"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"Trend"

"",,,,"English Learner Status",,
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""",759,126,885
"Learn","=""2450014""","Goodwin College Early Childhood Interdistrict Magnet School","=""2450314""",1271,35,1306
"Learn","=""2450014""","LEARN ABA Program at Center School","=""2451214""",15,0,15
"Learn","=""2450014""","LEARN Haynes Elementary Intensive Program","=""2451114""",38,0,38
"Learn","=""2450014""","LEARN High School ABA at MS","=""2450614""",14,0,14
"Learn","=""2450014""","LEARN Kelly Middle School Intensive Program","=""2450914""",8,0,8
"Learn","=""2450014""","LEARN Ledyard RICHES Program","=""2450714""",8,0,8
"Learn","=""2450014""","LEARN SAILS Middle School Program","=""2450814""",15,0,15
"Learn","=""2450014""","LEARN SAILS Program at Salem","=""2451014""",20,0,20
"Learn","=""2450014""","LEARN STS 18-21 Year Old Program","=""2450414""",7,0,7
"Learn","=""2450014""","Learn ABA Program at Center School","=""2451214""",15,0,15
"Learn","=""2450014""","Learn Haynes Elementary Intensive Program","=""2451114""",38,0,38
"Learn","=""2450014""","Learn High School ABA at MS","=""2450614""",14,0,14
"Learn","=""2450014""","Learn Ledyard RICHES Program","=""2450714""",8,0,8
"Learn","=""2450014""","Learn Pathways Program","=""2450514""",9,0,9
"Learn","=""2450014""","Learn SAILS Middle School Program","=""2450814""",15,0,15
"Learn","=""2450014""","Learn SAILS Program at Salem","=""2451014""",20,0,20
"Learn","=""2450014""","Learn STS 18-21 Year Old Program","=""2450414""",7,0,7
"Learn","=""2450014""","Learn Special Education","=""2459014""",215,0,215
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",1341,14,1355
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""",4454,876,5330
"Learn","=""2450014""","Riverside Magnet School at Goodwin College","=""2450314""",1271,35,1306
"Learn","=""2450014""","The Friendship School","=""2450214""",4924,135,5059
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",289,0,289
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""",4376,15,4391
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""","*","*",3681
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",4634,8,4642
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""",2132,38,2170
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""",3428,75,3503
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""",3002,34,3036
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""",4100,21,4121
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",9172,72,9244
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""",3812,37,3849
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",104,0,104
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",4607,22,4629
"Litchfield School District","=""0740011""","Center School","=""0740211""","*","*",3072
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",4887,21,4908
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""","*","*",2479
"Litchfield School District","=""0740011""","Litchfield Middle School","=""0746011""",335,0,335
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",12314,16,12330
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""",5285,21,5306
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""",2868,38,2906
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""",4531,27,4558
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""",2658,13,2671
"Madison School District","=""0760011""","Town Campus Learning Center","=""0769011""",337,0,337
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""",5845,14,5859
"Manchester School District","=""0770011""","Nathan Hale School","=""0770911""",1297,138,1435
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""","*","*",147
"Manchester School District","=""0770011""","Bowers School","=""0770111""",3976,222,4198
"Manchester School District","=""0770011""","Buckley School","=""0770311""",3514,122,3636
"Manchester School District","=""0770011""","Elementary Site 2","=""0771111""","*",0,"*"
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""",3648,147,3795
"Manchester School District","=""0770011""","Highland Park School","=""0770411""",2394,74,2468
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""",8136,331,8467
"Manchester School District","=""0770011""","Keeney School","=""0770611""",3525,135,3660
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",17079,599,17678
"Manchester School District","=""0770011""","Manchester Preschool - Site 2","=""0770811""",28,0,28
"Manchester School District","=""0770011""","Manchester Preschool Center","=""0778011""",1495,28,1523
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",827,13,840
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""",79,7,86
"Manchester School District","=""0770011""","Martin School","=""0771611""",2404,135,2539
"Manchester School District","=""0770011""","New Horizons","=""0770711""","*","*",69
"Manchester School District","=""0770011""","Robertson School","=""0771011""",3399,382,3781
"Manchester School District","=""0770011""","Verplanck School","=""0771211""",3196,460,3656
"Manchester School District","=""0770011""","Waddell School","=""0771311""",3162,296,3458
"Manchester School District","=""0770011""","Washington School","=""0771411""",3165,288,3453
"Mansfield School District","=""0780011""","Annie E. Vinton School","=""0780411""",2566,74,2640
"Mansfield School District","=""0780011""","Dorothy C. Goodwin School","=""0780211""",1950,123,2073
"Mansfield School District","=""0780011""","Mansfield Middle School School","=""0785111""",5488,107,5595
"Mansfield School District","=""0780011""","Southeast Elementary School","=""0780511""",2339,117,2456
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""",6259,24,6283
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""",5524,696,6220
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""",4065,246,4311
"Meriden School District","=""0800011""","Casimir Pulaski School","=""0801111""",5670,671,6341
"Meriden School District","=""0800011""","Community Classroom Collaborative-Meriden School District","=""0800211""",23,6,29
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",10850,1445,12295
"Meriden School District","=""0800011""","Hanover School","=""0800311""",4621,1093,5714
"Meriden School District","=""0800011""","Israel Putnam School","=""0800411""",5084,653,5737
"Meriden School District","=""0800011""","John Barry School","=""0800511""",4415,646,5061
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""",6448,1005,7453
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",10413,709,11122
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""",4632,710,5342
"Meriden School District","=""0800011""","STARS-MS","=""0801511""","*","*",6
"Meriden School District","=""0800011""","STARS-Meriden School District","=""0800611""",72,9,81
"Meriden School District","=""0800011""","STEP-Meriden School District","=""0800911""","*","*",38
"Meriden School District","=""0800011""","Steps-Meriden School District","=""0801211""",30,6,36
"Meriden School District","=""0800011""","Success Academy","=""0801411""","*","*",35
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""",3044,1531,4575
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""",69,13,82
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""",7233,766,7999
"Middletown School District","=""0830011""","Bielefield School","=""0830211""",3086,116,3202
"Middletown School District","=""0830011""","DEAL Program","=""0839011""","*","*",65
"Middletown School District","=""0830011""","Evening Program - MHS","=""0831611""",45,0,45
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""",3202,176,3378
"Middletown School District","=""0830011""","ICM - Farm Hill","=""0830611""",12,0,12
"Middletown School District","=""0830011""","ICM - Lawrence","=""0830711""",12,0,12
"Middletown School District","=""0830011""","ICM - Macdonough","=""0831011""","*","*",10
"Middletown School District","=""0830011""","ICM - Spencer","=""0832011""","*","*",14
"Middletown School District","=""0830011""","ICM - Wesley","=""0830811""",14,0,14
"Middletown School District","=""0830011""","ICM- Woodrow Wilson Middle School","=""0830411""","*","*",15
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""",3357,84,3441
"Middletown School District","=""0830011""","Lawrence School","=""0831311""",3022,120,3142
"Middletown School District","=""0830011""","MHS - Alternative Education Program 1","=""0831811""",23,0,23
"Middletown School District","=""0830011""","MHS - Alternative Education Program 2","=""0831911""",25,0,25
"Middletown School District","=""0830011""","MHS- Alternative Education Program 3","=""0832211""","*",0,"*"
"Middletown School District","=""0830011""","MacDonough School","=""0830911""",2148,117,2265
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",12646,221,12867
"Middletown School District","=""0830011""","Moody School","=""0831211""",3230,92,3322
"Middletown School District","=""0830011""","OASIS","=""0830311""",10,0,10
"Middletown School District","=""0830011""","STEM - Macdonough","=""0832111""",44,0,44
"Middletown School District","=""0830011""","Snow School","=""0831111""",3634,108,3742
"Middletown School District","=""0830011""","Spencer School","=""0830111""",3125,212,3337
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""","*","*",116
"Middletown School District","=""0830011""","Virtual Learning Academy - MHS","=""0831711""",28,0,28
"Middletown School District","=""0830011""","Wesley School","=""0831411""",3073,69,3142
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""",6829,136,6965
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""",2914,41,2955
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""",5137,26,5163
"Milford School District","=""0840011""","Fifth Year Vocational Experience","=""0840411""",8,0,8
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""",5671,29,5700
"Milford School District","=""0840011""","J. F. Kennedy School","=""0841911""",3707,173,3880
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",9753,98,9851
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",9745,57,9802
"Milford School District","=""0840011""","Live Oaks School","=""0841611""",3092,105,3197
"Milford School District","=""0840011""","Mathewson School","=""0841711""",4054,235,4289
"Milford School District","=""0840011""","Meadowside School","=""0840711""",3712,230,3942
"Milford School District","=""0840011""","Orange Avenue School","=""0840811""",4244,85,4329
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""",3733,49,3782
"Milford School District","=""0840011""","Post Grad Transitional Academy","=""0840611""","*",0,"*"
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""",3252,120,3372
"Milford School District","=""0840011""","Simon Lake School","=""0841411""",1046,55,1101
"Milford School District","=""0840011""","The Academy","=""0840311""",135,0,111
"Milford School District","=""0840011""","The Academy","=""0846411""","*","*",111
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""",5205,86,5291
"Monroe School District","=""0850011""","Chalk Hill School","=""0850611""",2166,6,2172
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""",5393,40,5433
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""",7495,16,7511
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""",38,0,38
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",12327,24,12351
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""",3679,10,3689
"Monroe School District","=""0850011""","REAL","=""0850411""",7,0,7
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""",4706,63,4769
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""",3588,70,3658
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""",6032,98,6130
"Montville School District","=""0860011""","Mohegan School","=""0860111""",3252,534,3786
"Montville School District","=""0860011""","Montville High School","=""0866111""",7210,192,7402
"Montville School District","=""0860011""","Oakdale School","=""0860511""",3782,62,3844
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",245,0,245
"Montville School District","=""0860011""","Pre School Program","=""0860311""",145,0,145
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""",2192,169,2361
"Naugatuck School District","=""0880011""","Central Avenue Preschool","=""0888211""",172,0,172
"Naugatuck School District","=""0880011""","Central Avenue School","=""0880111""",1275,95,1370
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""",6155,177,6332
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""",3222,101,3323
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""","*","*",31
"Naugatuck School District","=""0880011""","Head Start","=""0888111""",1124,0,1124
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""",3457,168,3625
"Naugatuck School District","=""0880011""","Hillside Middle School","=""0885211""",878,34,912
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""",3063,229,3292
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""",4290,196,4486
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",12811,346,13157
"Naugatuck School District","=""0880011""","Salem School","=""0880611""",2313,224,2537
"Naugatuck School District","=""0880011""","Western School","=""0880711""",2587,123,2710
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""","*","*",4073
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc. Family Academy","=""2800113""","*","*",4073
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""","*","*",4073
"New Britain School District","=""0890011""","Academic Extension Center","=""0899211""",26,7,33
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",240,51,291
"New Britain School District","=""0890011""","Behavior Support","=""0891011""","*","*",21
"New Britain School District","=""0890011""","Behavior Support Program","=""0899311""","*","*",12
"New Britain School District","=""0890011""","CLIMB","=""0899411""",125,12,137
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""",4583,446,5029
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""",5058,3100,8158
"New Britain School District","=""0890011""","Gaffney School","=""0890511""",5001,438,5439
"New Britain School District","=""0890011""","Holmes School","=""0890611""",3735,839,4574
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","*","*",1584
"New Britain School District","=""0890011""","Jefferson School","=""0890711""",3477,888,4365
"New Britain School District","=""0890011""","KEY Elementary","=""0891611""","*","*",87
"New Britain School District","=""0890011""","KEY Middle","=""0891711""","*","*",26
"New Britain School District","=""0890011""","Lincoln School","=""0890811""",5297,1483,6780
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",21786,4336,26122
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",264,61,325
"New Britain School District","=""0890011""","Northend School","=""0890911""",2607,191,2798
"New Britain School District","=""0890011""","Preschool at Roosevelt","=""0890111""",302,0,302
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""",5092,1680,6772
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""",2835,318,3153
"New Britain School District","=""0890011""","STEPS","=""0891811""",29,7,36
"New Britain School District","=""0890011""","Satellite Careers Academy","=""0899511""",124,33,157
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""",6334,817,7151
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""",5638,997,6635
"New Britain School District","=""0890011""","Smith School","=""0891311""",5867,579,6446
"New Britain School District","=""0890011""","Sunrise Intermediate","=""0890411""","*","*",19
"New Britain School District","=""0890011""","Sunrise Primary","=""0890211""","*","*",46
"New Britain School District","=""0890011""","Vance School","=""0891511""",4980,394,5374
"New Canaan School District","=""0900011""","East School","=""0900411""",5335,82,5417
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",12637,54,12691
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""",12739,79,12818
"New Canaan School District","=""0900011""","South School","=""0900211""",5393,73,5466
"New Canaan School District","=""0900011""","West School","=""0900311""",5177,50,5227
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""",30,0,30
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""",5643,155,5798
"New Fairfield School District","=""0910011""","Day Alternative Learning Program","=""0910411""",14,0,14
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""",5800,70,5870
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",9570,19,9589
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""",6633,33,6666
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",3298,6,3304
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""",1265,0,1265
"New Hartford School District","=""0920011""","Bridges I","=""0929011""",17,0,17
"New Hartford School District","=""0920011""","Bridges II at Ann Antolini School","=""0920411""","*",0,"*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""",982,12,994
"New Haven School District","=""0930011""","Edgewood School","=""0931211""",4384,74,4458
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",5140,356,5496
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",4349,546,4895
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""",5046,321,5367
"New Haven School District","=""0930011""","Beecher School","=""0930311""",4671,127,4798
"New Haven School District","=""0930011""","Benjamin Jepson Head Start","=""0933411""",12,0,12
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",4797,374,5171
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",4511,162,4673
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""",4217,359,4576
"New Haven School District","=""0930011""","Bishop Woods Self Contained Autism","=""0937911""",11,0,11
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","*","*",36
"New Haven School District","=""0930011""","Brennan Rogers School","=""0932111""",2957,177,3134
"New Haven School District","=""0930011""","Brennan Rogers Self Contained Autism","=""0937211""","*","*",21
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""",4171,222,4393
"New Haven School District","=""0930011""","Celentano Self Contained ID","=""0937411""","*","*",11
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""",2440,1928,4368
"New Haven School District","=""0930011""","Clarence Rogers School","=""0930511""",399,18,417
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""",4057,786,4843
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",3711,1730,5441
"New Haven School District","=""0930011""","Clinton Self Contained ID","=""0937811""","*","*",10
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""",2440,1928,4368
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""",5698,602,6300
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",5739,129,5868
"New Haven School District","=""0930011""","Cortlandt V.R. Creed Health and Sport Sciences High School","=""0936811""",1929,84,2013
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",4571,64,4635
"New Haven School District","=""0930011""","Domus Academy","=""0935611""",225,29,254
"New Haven School District","=""0930011""","Dr. Reginald Mayo Early Learning Center","=""0932711""",458,0,458
"New Haven School District","=""0930011""","Dwight Early Childhood Program","=""0938211""",293,0,293
"New Haven School District","=""0930011""","Early Learning Center","=""0938111""",1087,0,1087
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",4239,718,4957
"New Haven School District","=""0930011""","East Rock Self Contained MD","=""0937511""","*","*",29
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",3407,29,3436
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""",3337,3607,6944
"New Haven School District","=""0930011""","Fair Haven Self Contained ID","=""0938711""","*","*","*"
"New Haven School District","=""0930011""","Headstart","=""0938011""","*","*",3705
"New Haven School District","=""0930011""","Helene Grant HeadStart","=""0938311""",2756,0,2756
"New Haven School District","=""0930011""","Helene Grant Headstart","=""0938311""",2756,0,2756
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",2635,199,2834
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",2705,1697,4402
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",6525,365,6890
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",1929,84,2013
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",8943,910,9853
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",3941,1274,5215
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""",3536,1949,5485
"New Haven School District","=""0930011""","Katherine Brennan School","=""0930411""",565,11,576
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""",2957,177,3134
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",5174,118,5292
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""",3425,110,3535
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""",4055,383,4438
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",2955,155,3110
"New Haven School District","=""0930011""","NHPS Self Contained Autism","=""0934411""",40,0,40
"New Haven School District","=""0930011""","NHPS Self Contained Intellectually Disabled","=""0935011""",23,7,30
"New Haven School District","=""0930011""","NHPS Self Contained Multi-Handicapped","=""0934511""",36,6,42
"New Haven School District","=""0930011""","Nathan Hale Self Contained ID","=""0937711""","*","*",10
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",2452,70,2522
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""",219,18,237
"New Haven School District","=""0930011""","New Light High School","=""0932611""",93,8,101
"New Haven School District","=""0930011""","Off-Campus Classroom Program (OCC)","=""0937311""",37,8,45
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0936511""",86,14,100
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""",86,14,100
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""",1185,375,1560
"New Haven School District","=""0930011""","Riverside Education Academy","=""0936911""",586,73,659
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",586,73,659
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""",5559,520,6079
"New Haven School District","=""0930011""","Sheridan Communications and Technology Magnet School","=""0935311""",426,18,444
"New Haven School District","=""0930011""","Sound School","=""0936711""",3239,78,3317
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""",2488,814,3302
"New Haven School District","=""0930011""","Strong Self Contained Autism","=""0937611""",21,0,21
"New Haven School District","=""0930011""","Timothy Dwight School","=""0931111""",206,92,298
"New Haven School District","=""0930011""","Truman School","=""0932911""",3260,1991,5251
"New Haven School District","=""0930011""","Urban Youth Center Middle School","=""0935111""","*","*",51
"New Haven School District","=""0930011""","Urban Youth Center Middle School","=""0939011""","*","*",51
"New Haven School District","=""0930011""","Vincent E. Mauro Elementary Math, Science and Technology Magnet School","=""0932511""",728,122,850
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""",2184,140,2324
"New Haven School District","=""0930011""","West Rock Self Contained Autism","=""0938411""",11,0,11
"New Haven School District","=""0930011""","Wexler Grant Self Contained","=""0938611""","*",0,"*"
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""",4101,105,4206
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",12108,2569,14677
"New Haven School District","=""0930011""","Wilbur Cross Self Contained MD","=""0938511""","*","*",21
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""",3754,501,4255
"New London School District","=""0950011""","Jennings School","=""0950311""",2870,2430,5300
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",4589,1219,5808
"New London School District","=""0950011""","Dual Language Arts Academy/Academia Bilingue de las Artes","=""0955211""",48,33,81
"New London School District","=""0950011""","Early Childhood Center at Harbor","=""0950611""",354,109,463
"New London School District","=""0950011""","Harbor","=""0950611""",354,109,463
"New London School District","=""0950011""","Harbor School","=""0950211""",1518,101,1619
"New London School District","=""0950011""","Natha Hale Magnet Elementary School for the Performing &amp; Visual Arts","=""0950911""",3370,639,4009
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""",3370,639,4009
"New London School District","=""0950011""","New London Clinical Day Program","=""0959111""",113,18,131
"New London School District","=""0950011""","New London High School","=""0956111""",7137,1632,8769
"New London School District","=""0950011""","New London Visual and Performing Arts Magnet School","=""0951411""",93,12,105
"New London School District","=""0950011""","Pre-Kindergarten at Winthrop","=""0950711""","*",0,"*"
"New London School District","=""0950011""","Science and Technology Magnet School of Southeastern Connecticut","=""0951311""",533,26,559
"New London School District","=""0950011""","Shoreline Academy","=""0950511""",267,35,302
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""",3430,619,4049
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""",4191,386,4577
"New Milford School District","=""0960011""","John Pettibone School","=""0960511""",3743,286,4028
"New Milford School District","=""0960011""","John Pettibone School","=""0960711""",3743,286,4028
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""",90,0,90
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",14550,185,14735
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""",4861,76,4937
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""",10025,304,10329
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""",7773,130,7903
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""",4309,297,4606
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""",2814,187,3001
"Newington School District","=""0940011""","John Paterson School","=""0940811""",4078,322,4400
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""",6910,165,7075
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""",6066,131,6197
"Newington School District","=""0940011""","Newington High School","=""0946111""",13764,257,14021
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""",3473,269,3742
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""",3666,26,3692
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""",3471,14,3485
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""",4475,16,4491
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",17172,27,17199
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""","*","*",8665
"Newtown School District","=""0970011""","Newtown Preschool","=""0978011""",665,0,665
"Newtown School District","=""0970011""","Newtown Preschool at RIS","=""0978111""",30,0,30
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""",8107,12,8119
"Newtown School District","=""0970011""","STARR","=""0979011""",17,0,17
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""",4882,12,4894
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",1267,0,1267
"Norfolk School District","=""0980011""","Bridges II","=""0989211""",24,0,24
"Norfolk School District","=""0980011""","IEP Program","=""0989011""",12,0,12
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""",3964,59,4023
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",6443,32,6475
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""",5451,37,5488
"North Branford School District","=""0990011""","School to Work Program","=""0999011""",17,0,17
"North Branford School District","=""0990011""","Stanley T. Williams School","=""0990511""",756,13,769
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""",4584,52,4636
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",3007,72,3079
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""",3485,99,3584
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""",3784,133,3917
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""",3587,97,3684
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",11278,88,11366
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""",8104,92,8196
"North Haven School District","=""1010011""","North Haven Transition Partnership","=""1010111""",20,0,20
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""",4036,126,4162
