"Student Counts by School and Gender"
"All Districts, All Schools"
"Trend"

"",,,,"Gender",,
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""",27,27,54
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""",2125,2308,4433
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",4303,3914,8217
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""",3692,4022,7714
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""",2421,2407,4828
"Killingly School District","=""0690011""","Sunrise Community School","=""0690411""",9,38,47
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",1348,1052,2400
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""",485,400,885
"Learn","=""2450014""","Goodwin College Early Childhood Interdistrict Magnet School","=""2450314""",659,647,1306
"Learn","=""2450014""","LEARN ABA Program at Center School","=""2451214""","*","*",15
"Learn","=""2450014""","LEARN Haynes Elementary Intensive Program","=""2451114""","*","*",38
"Learn","=""2450014""","LEARN High School ABA at MS","=""2450614""","*","*",14
"Learn","=""2450014""","LEARN Kelly Middle School Intensive Program","=""2450914""","*","*",8
"Learn","=""2450014""","LEARN Ledyard RICHES Program","=""2450714""","*","*",8
"Learn","=""2450014""","LEARN SAILS Middle School Program","=""2450814""",0,15,15
"Learn","=""2450014""","LEARN SAILS Program at Salem","=""2451014""","*","*",20
"Learn","=""2450014""","LEARN STS 18-21 Year Old Program","=""2450414""","*","*",7
"Learn","=""2450014""","Learn ABA Program at Center School","=""2451214""","*","*",15
"Learn","=""2450014""","Learn Haynes Elementary Intensive Program","=""2451114""","*","*",38
"Learn","=""2450014""","Learn High School ABA at MS","=""2450614""","*","*",14
"Learn","=""2450014""","Learn Ledyard RICHES Program","=""2450714""","*","*",8
"Learn","=""2450014""","Learn Pathways Program","=""2450514""","*","*",9
"Learn","=""2450014""","Learn SAILS Middle School Program","=""2450814""",0,15,15
"Learn","=""2450014""","Learn SAILS Program at Salem","=""2451014""","*","*",20
"Learn","=""2450014""","Learn STS 18-21 Year Old Program","=""2450414""","*","*",7
"Learn","=""2450014""","Learn Special Education","=""2459014""",23,192,215
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",688,667,1355
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""",2716,2614,5330
"Learn","=""2450014""","Riverside Magnet School at Goodwin College","=""2450314""",659,647,1306
"Learn","=""2450014""","The Friendship School","=""2450214""",2450,2609,5059
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",192,97,289
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""",2059,2332,4391
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""",1802,1879,3681
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",2604,2038,4642
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""",1030,1140,2170
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""",1719,1784,3503
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""",1455,1581,3036
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""",1960,2161,4121
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",4895,4349,9244
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""",1857,1992,3849
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",48,56,104
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",2216,2413,4629
"Litchfield School District","=""0740011""","Center School","=""0740211""",1497,1575,3072
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",2430,2478,4908
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""",1232,1247,2479
"Litchfield School District","=""0740011""","Litchfield Middle School","=""0746011""",174,161,335
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",6140,6190,12330
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""",2536,2770,5306
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""",1422,1484,2906
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""",2110,2448,4558
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""",1253,1418,2671
"Madison School District","=""0760011""","Town Campus Learning Center","=""0769011""",123,214,337
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""",2911,2948,5859
"Manchester School District","=""0770011""","Nathan Hale School","=""0770911""",710,725,1435
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""",63,84,147
"Manchester School District","=""0770011""","Bowers School","=""0770111""",1930,2268,4198
"Manchester School District","=""0770011""","Buckley School","=""0770311""",1670,1966,3636
"Manchester School District","=""0770011""","Elementary Site 2","=""0771111""","*","*","*"
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""",1802,1993,3795
"Manchester School District","=""0770011""","Highland Park School","=""0770411""",1133,1335,2468
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""",4091,4376,8467
"Manchester School District","=""0770011""","Keeney School","=""0770611""",1816,1844,3660
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",8895,8783,17678
"Manchester School District","=""0770011""","Manchester Preschool - Site 2","=""0770811""",12,16,28
"Manchester School District","=""0770011""","Manchester Preschool Center","=""0778011""",717,806,1523
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",227,613,840
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""",33,53,86
"Manchester School District","=""0770011""","Martin School","=""0771611""",1292,1247,2539
"Manchester School District","=""0770011""","New Horizons","=""0770711""",13,56,69
"Manchester School District","=""0770011""","Robertson School","=""0771011""",1824,1957,3781
"Manchester School District","=""0770011""","Verplanck School","=""0771211""",1721,1935,3656
"Manchester School District","=""0770011""","Waddell School","=""0771311""",1643,1815,3458
"Manchester School District","=""0770011""","Washington School","=""0771411""",1681,1772,3453
"Mansfield School District","=""0780011""","Annie E. Vinton School","=""0780411""",1258,1382,2640
"Mansfield School District","=""0780011""","Dorothy C. Goodwin School","=""0780211""",959,1114,2073
"Mansfield School District","=""0780011""","Mansfield Middle School School","=""0785111""",2694,2901,5595
"Mansfield School District","=""0780011""","Southeast Elementary School","=""0780511""",1241,1215,2456
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""",3083,3200,6283
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""",3027,3193,6220
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""",1997,2314,4311
"Meriden School District","=""0800011""","Casimir Pulaski School","=""0801111""",3140,3201,6341
"Meriden School District","=""0800011""","Community Classroom Collaborative-Meriden School District","=""0800211""",7,22,29
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",6040,6255,12295
"Meriden School District","=""0800011""","Hanover School","=""0800311""",2648,3066,5714
"Meriden School District","=""0800011""","Israel Putnam School","=""0800411""",2741,2996,5737
"Meriden School District","=""0800011""","John Barry School","=""0800511""",2485,2576,5061
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""",3575,3878,7453
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",5445,5677,11122
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""",2518,2824,5342
"Meriden School District","=""0800011""","STARS-MS","=""0801511""",0,6,6
"Meriden School District","=""0800011""","STARS-Meriden School District","=""0800611""",15,66,81
"Meriden School District","=""0800011""","STEP-Meriden School District","=""0800911""",9,29,38
"Meriden School District","=""0800011""","Steps-Meriden School District","=""0801211""","*","*",36
"Meriden School District","=""0800011""","Success Academy","=""0801411""",19,16,35
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""",2242,2333,4575
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""",18,64,82
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""",3801,4198,7999
"Middletown School District","=""0830011""","Bielefield School","=""0830211""",1576,1626,3202
"Middletown School District","=""0830011""","DEAL Program","=""0839011""","*","*",65
"Middletown School District","=""0830011""","Evening Program - MHS","=""0831611""",18,27,45
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""",1677,1701,3378
"Middletown School District","=""0830011""","ICM - Farm Hill","=""0830611""",0,12,12
"Middletown School District","=""0830011""","ICM - Lawrence","=""0830711""",0,12,12
"Middletown School District","=""0830011""","ICM - Macdonough","=""0831011""",0,10,10
"Middletown School District","=""0830011""","ICM - Spencer","=""0832011""","*","*",14
"Middletown School District","=""0830011""","ICM - Wesley","=""0830811""",8,6,14
"Middletown School District","=""0830011""","ICM- Woodrow Wilson Middle School","=""0830411""",8,7,15
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""",1692,1749,3441
"Middletown School District","=""0830011""","Lawrence School","=""0831311""",1507,1635,3142
"Middletown School District","=""0830011""","MHS - Alternative Education Program 1","=""0831811""",9,14,23
"Middletown School District","=""0830011""","MHS - Alternative Education Program 2","=""0831911""","*","*",25
"Middletown School District","=""0830011""","MHS- Alternative Education Program 3","=""0832211""","*","*","*"
"Middletown School District","=""0830011""","MacDonough School","=""0830911""",1115,1150,2265
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",6415,6452,12867
"Middletown School District","=""0830011""","Moody School","=""0831211""",1562,1760,3322
"Middletown School District","=""0830011""","OASIS","=""0830311""","*","*",10
"Middletown School District","=""0830011""","STEM - Macdonough","=""0832111""",27,17,44
"Middletown School District","=""0830011""","Snow School","=""0831111""",1780,1962,3742
"Middletown School District","=""0830011""","Spencer School","=""0830111""",1618,1719,3337
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""",35,81,116
"Middletown School District","=""0830011""","Virtual Learning Academy - MHS","=""0831711""",19,9,28
"Middletown School District","=""0830011""","Wesley School","=""0831411""",1522,1620,3142
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""",3388,3577,6965
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""",1468,1487,2955
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""",2458,2705,5163
"Milford School District","=""0840011""","Fifth Year Vocational Experience","=""0840411""","*","*",8
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""",2677,3023,5700
"Milford School District","=""0840011""","J. F. Kennedy School","=""0841911""",1898,1982,3880
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",4914,4937,9851
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",4939,4863,9802
"Milford School District","=""0840011""","Live Oaks School","=""0841611""",1544,1653,3197
"Milford School District","=""0840011""","Mathewson School","=""0841711""",2028,2261,4289
"Milford School District","=""0840011""","Meadowside School","=""0840711""",1880,2062,3942
"Milford School District","=""0840011""","Orange Avenue School","=""0840811""",1954,2375,4329
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""",1795,1987,3782
"Milford School District","=""0840011""","Post Grad Transitional Academy","=""0840611""","*","*","*"
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""",1592,1780,3372
"Milford School District","=""0840011""","Simon Lake School","=""0841411""",540,561,1101
"Milford School District","=""0840011""","The Academy","=""0840311""",46,65,111
"Milford School District","=""0840011""","The Academy","=""0846411""",46,65,111
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""",2582,2709,5291
"Monroe School District","=""0850011""","Chalk Hill School","=""0850611""",1052,1120,2172
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""",2551,2882,5433
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""",3619,3892,7511
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""",11,27,38
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",6066,6285,12351
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""",1784,1905,3689
"Monroe School District","=""0850011""","REAL","=""0850411""","*","*",7
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""",2378,2391,4769
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""",1739,1919,3658
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""",2986,3144,6130
"Montville School District","=""0860011""","Mohegan School","=""0860111""",1982,1804,3786
"Montville School District","=""0860011""","Montville High School","=""0866111""",3658,3744,7402
"Montville School District","=""0860011""","Oakdale School","=""0860511""",1800,2044,3844
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",82,163,245
"Montville School District","=""0860011""","Pre School Program","=""0860311""",55,90,145
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""",1081,1280,2361
"Naugatuck School District","=""0880011""","Central Avenue Preschool","=""0888211""",38,134,172
"Naugatuck School District","=""0880011""","Central Avenue School","=""0880111""",701,669,1370
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""",2982,3350,6332
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""",1599,1724,3323
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""",13,18,31
"Naugatuck School District","=""0880011""","Head Start","=""0888111""",574,550,1124
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""",1665,1960,3625
"Naugatuck School District","=""0880011""","Hillside Middle School","=""0885211""",436,476,912
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""",1548,1744,3292
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""",2118,2368,4486
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",6289,6868,13157
"Naugatuck School District","=""0880011""","Salem School","=""0880611""",1158,1379,2537
"Naugatuck School District","=""0880011""","Western School","=""0880711""",1260,1450,2710
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""",2113,1960,4073
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc. Family Academy","=""2800113""",2113,1960,4073
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""",2113,1960,4073
"New Britain School District","=""0890011""","Academic Extension Center","=""0899211""",11,22,33
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",90,201,291
"New Britain School District","=""0890011""","Behavior Support","=""0891011""","*","*",21
"New Britain School District","=""0890011""","Behavior Support Program","=""0899311""","*","*",12
"New Britain School District","=""0890011""","CLIMB","=""0899411""",48,89,137
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""",2318,2711,5029
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""",4518,3640,8158
"New Britain School District","=""0890011""","Gaffney School","=""0890511""",2288,3151,5439
"New Britain School District","=""0890011""","Holmes School","=""0890611""",2086,2488,4574
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""",843,741,1584
"New Britain School District","=""0890011""","Jefferson School","=""0890711""",2022,2343,4365
"New Britain School District","=""0890011""","KEY Elementary","=""0891611""",25,62,87
"New Britain School District","=""0890011""","KEY Middle","=""0891711""","*","*",26
"New Britain School District","=""0890011""","Lincoln School","=""0890811""",3273,3507,6780
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",12485,13637,26122
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",101,224,325
"New Britain School District","=""0890011""","Northend School","=""0890911""",1391,1407,2798
"New Britain School District","=""0890011""","Preschool at Roosevelt","=""0890111""",117,185,302
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""",3018,3754,6772
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""",1498,1655,3153
"New Britain School District","=""0890011""","STEPS","=""0891811""","*","*",36
"New Britain School District","=""0890011""","Satellite Careers Academy","=""0899511""",70,87,157
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""",3407,3744,7151
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""",3224,3411,6635
"New Britain School District","=""0890011""","Smith School","=""0891311""",3050,3396,6446
"New Britain School District","=""0890011""","Sunrise Intermediate","=""0890411""",0,19,19
"New Britain School District","=""0890011""","Sunrise Primary","=""0890211""","*","*",46
"New Britain School District","=""0890011""","Vance School","=""0891511""",2660,2714,5374
"New Canaan School District","=""0900011""","East School","=""0900411""",2609,2808,5417
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",6345,6346,12691
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""",6351,6467,12818
"New Canaan School District","=""0900011""","South School","=""0900211""",2683,2783,5466
"New Canaan School District","=""0900011""","West School","=""0900311""",2556,2671,5227
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""",10,20,30
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""",2721,3077,5798
"New Fairfield School District","=""0910011""","Day Alternative Learning Program","=""0910411""",7,7,14
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""",2711,3159,5870
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",4632,4957,9589
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""",3161,3505,6666
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",1683,1621,3304
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""",640,625,1265
"New Hartford School District","=""0920011""","Bridges I","=""0929011""",10,7,17
"New Hartford School District","=""0920011""","Bridges II at Ann Antolini School","=""0920411""","*","*","*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""",518,476,994
"New Haven School District","=""0930011""","Edgewood School","=""0931211""",2213,2245,4458
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",2671,2825,5496
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",2316,2579,4895
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""",2610,2757,5367
"New Haven School District","=""0930011""","Beecher School","=""0930311""",2268,2530,4798
"New Haven School District","=""0930011""","Benjamin Jepson Head Start","=""0933411""","*","*",12
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",2373,2798,5171
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",3091,1582,4673
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""",2299,2277,4576
"New Haven School District","=""0930011""","Bishop Woods Self Contained Autism","=""0937911""",0,11,11
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""",10,26,36
"New Haven School District","=""0930011""","Brennan Rogers School","=""0932111""",1486,1648,3134
"New Haven School District","=""0930011""","Brennan Rogers Self Contained Autism","=""0937211""","*","*",21
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""",2096,2297,4393
"New Haven School District","=""0930011""","Celentano Self Contained ID","=""0937411""","*","*",11
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""",2259,2109,4368
"New Haven School District","=""0930011""","Clarence Rogers School","=""0930511""",197,220,417
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""",2363,2480,4843
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",2610,2831,5441
"New Haven School District","=""0930011""","Clinton Self Contained ID","=""0937811""","*","*",10
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""",2259,2109,4368
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""",3185,3115,6300
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",4047,1821,5868
"New Haven School District","=""0930011""","Cortlandt V.R. Creed Health and Sport Sciences High School","=""0936811""",500,1513,2013
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",2334,2301,4635
"New Haven School District","=""0930011""","Domus Academy","=""0935611""",43,211,254
"New Haven School District","=""0930011""","Dr. Reginald Mayo Early Learning Center","=""0932711""",235,223,458
"New Haven School District","=""0930011""","Dwight Early Childhood Program","=""0938211""",142,151,293
"New Haven School District","=""0930011""","Early Learning Center","=""0938111""",540,547,1087
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",2414,2543,4957
"New Haven School District","=""0930011""","East Rock Self Contained MD","=""0937511""",10,19,29
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",1058,2378,3436
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""",3364,3580,6944
"New Haven School District","=""0930011""","Fair Haven Self Contained ID","=""0938711""","*","*","*"
"New Haven School District","=""0930011""","Headstart","=""0938011""",1791,1914,3705
"New Haven School District","=""0930011""","Helene Grant HeadStart","=""0938311""",1371,1385,2756
"New Haven School District","=""0930011""","Helene Grant Headstart","=""0938311""",1371,1385,2756
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",1642,1192,2834
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",2166,2236,4402
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",4175,2715,6890
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",500,1513,2013
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",4683,5170,9853
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",2582,2633,5215
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""",2781,2704,5485
"New Haven School District","=""0930011""","Katherine Brennan School","=""0930411""",264,312,576
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""",1486,1648,3134
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",2563,2729,5292
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""",1693,1842,3535
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""",1948,2490,4438
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",1561,1549,3110
"New Haven School District","=""0930011""","NHPS Self Contained Autism","=""0934411""",8,32,40
"New Haven School District","=""0930011""","NHPS Self Contained Intellectually Disabled","=""0935011""",13,17,30
"New Haven School District","=""0930011""","NHPS Self Contained Multi-Handicapped","=""0934511""",18,24,42
"New Haven School District","=""0930011""","Nathan Hale Self Contained ID","=""0937711""","*","*",10
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",1377,1145,2522
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""",89,148,237
"New Haven School District","=""0930011""","New Light High School","=""0932611""",29,72,101
"New Haven School District","=""0930011""","Off-Campus Classroom Program (OCC)","=""0937311""",17,28,45
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0936511""","*","*",100
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","*","*",100
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""",845,715,1560
"New Haven School District","=""0930011""","Riverside Education Academy","=""0936911""",299,361,659
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",299,361,659
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""",3118,2961,6079
"New Haven School District","=""0930011""","Sheridan Communications and Technology Magnet School","=""0935311""",140,304,444
"New Haven School District","=""0930011""","Sound School","=""0936711""",1493,1824,3317
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""",1609,1693,3302
"New Haven School District","=""0930011""","Strong Self Contained Autism","=""0937611""","*","*",21
"New Haven School District","=""0930011""","Timothy Dwight School","=""0931111""",131,167,298
"New Haven School District","=""0930011""","Truman School","=""0932911""",2580,2671,5251
"New Haven School District","=""0930011""","Urban Youth Center Middle School","=""0935111""",11,40,51
"New Haven School District","=""0930011""","Urban Youth Center Middle School","=""0939011""",11,40,51
"New Haven School District","=""0930011""","Vincent E. Mauro Elementary Math, Science and Technology Magnet School","=""0932511""",387,463,850
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""",1075,1249,2324
"New Haven School District","=""0930011""","West Rock Self Contained Autism","=""0938411""","*","*",11
"New Haven School District","=""0930011""","Wexler Grant Self Contained","=""0938611""",0,"*","*"
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""",2016,2190,4206
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",7053,7624,14677
"New Haven School District","=""0930011""","Wilbur Cross Self Contained MD","=""0938511""",10,11,21
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""",2132,2123,4255
"New London School District","=""0950011""","Jennings School","=""0950311""",2773,2527,5300
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",2669,3139,5808
"New London School District","=""0950011""","Dual Language Arts Academy/Academia Bilingue de las Artes","=""0955211""",53,28,81
"New London School District","=""0950011""","Early Childhood Center at Harbor","=""0950611""",234,229,463
"New London School District","=""0950011""","Harbor","=""0950611""",234,229,463
"New London School District","=""0950011""","Harbor School","=""0950211""",728,891,1619
"New London School District","=""0950011""","Natha Hale Magnet Elementary School for the Performing &amp; Visual Arts","=""0950911""",1984,2025,4009
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""",1984,2025,4009
"New London School District","=""0950011""","New London Clinical Day Program","=""0959111""",37,94,131
"New London School District","=""0950011""","New London High School","=""0956111""",3862,4907,8769
"New London School District","=""0950011""","New London Visual and Performing Arts Magnet School","=""0951411""",53,52,105
"New London School District","=""0950011""","Pre-Kindergarten at Winthrop","=""0950711""","*","*","*"
"New London School District","=""0950011""","Science and Technology Magnet School of Southeastern Connecticut","=""0951311""",254,305,559
"New London School District","=""0950011""","Shoreline Academy","=""0950511""",143,159,302
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""",1747,2302,4049
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""",2071,2506,4577
"New Milford School District","=""0960011""","John Pettibone School","=""0960511""",1870,2158,4028
"New Milford School District","=""0960011""","John Pettibone School","=""0960711""",1870,2158,4028
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""",19,71,90
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",7307,7428,14735
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""",2344,2593,4937
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""",4946,5383,10329
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""",3846,4057,7903
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""",2254,2352,4606
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""",1452,1549,3001
"Newington School District","=""0940011""","John Paterson School","=""0940811""",2070,2330,4400
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""",3444,3631,7075
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""",3035,3162,6197
"Newington School District","=""0940011""","Newington High School","=""0946111""",6899,7122,14021
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""",1931,1811,3742
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""",1767,1925,3692
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""",1619,1866,3485
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""",2270,2221,4491
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",8439,8760,17199
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""",4153,4512,8665
"Newtown School District","=""0970011""","Newtown Preschool","=""0978011""",252,413,665
"Newtown School District","=""0970011""","Newtown Preschool at RIS","=""0978111""",9,21,30
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""",3899,4220,8119
"Newtown School District","=""0970011""","STARR","=""0979011""",10,7,17
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""",2390,2504,4894
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",619,648,1267
"Norfolk School District","=""0980011""","Bridges II","=""0989211""",9,15,24
"Norfolk School District","=""0980011""","IEP Program","=""0989011""","*","*",12
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""",1851,2172,4023
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",3322,3153,6475
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""",2760,2728,5488
