"FTE Staffing Report for Trend"

"",,,"Year",,,,
,="Counselors  Social Workers  and School Psychologists",="Certified",22.5,22.5,22.5,22.5,21.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",34.0,32.0,39.5,20.4,18.4
,="General Education - Teachers and Instructors",="Certified",268.0,283.8,278.5,267.8,270.5
,="Library/Media - Support Staff",="Non-Certified",5.0,5.0,5.0,5.0,5.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",251.5,243.2,246.1,240.8,245.4
,="School Nurses",="Non-Certified",8.0,8.0,8.0,8.0,8.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",93.2,93.3,91.5,99.5,99.5
,="Special Education - Teachers and Instructors",="Certified",51.6,51.4,49.9,48.0,50.2
,="Instructional Specialists Who Support Teachers",="Certified",14.3,16.4,16.7,17.8,18.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,3.0,3.0,3.0
,="Library/Media - Specialists (Certified)",="Certified",6.0,6.0,6.0,6.0,6.0
="Newington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",17.4,17.0,18.0,19.8,22.0
,="Counselors  Social Workers  and School Psychologists",="Certified",23.2,23.4,23.4,24.4,25.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.0,25.0,26.0,28.0,19.0
,="General Education - Teachers and Instructors",="Certified",282.9,268.7,264.7,269.5,273.7
,="Library/Media - Support Staff",="Non-Certified",3.0,3.0,3.0,3.0,3.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",140.6,126.5,141.2,141.6,148.5
,="School Nurses",="Non-Certified",9.0,9.0,9.0,9.0,9.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",86.6,95.6,103.5,105.0,104.0
,="Special Education - Teachers and Instructors",="Certified",31.5,32.5,33.5,32.5,33.0
,="Instructional Specialists Who Support Teachers",="Certified",14.2,14.2,15.2,18.2,19.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",7.0,7.0,7.0,7.0,7.0
,="Library/Media - Specialists (Certified)",="Certified",8.0,7.8,7.8,7.8,8.0
="Newtown School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",17.2,17.6,16.6,18.4,20.6
,="Counselors  Social Workers  and School Psychologists",="Certified",23.0,22.7,24.7,36.2,33.7
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",47.6,33.3,34.8,36.8,39.0
,="General Education - Teachers and Instructors",="Certified",321.6,332.4,331.6,337.0,318.1
,="Library/Media - Support Staff",="Non-Certified",5.6,4.6,4.8,4.9,4.9
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",257.9,257.3,255.1,260.5,257.1
,="School Nurses",="Non-Certified",9.5,9.0,9.0,10.0,10.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",77.3,76.3,75.4,78.7,80.9
,="Special Education - Teachers and Instructors",="Certified",35.4,37.0,36.0,36.0,36.9
,="Instructional Specialists Who Support Teachers",="Certified",24.1,22.7,24.2,22.1,18.1
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.6,4.6,5.6,6.7,6.7
,="Library/Media - Specialists (Certified)",="Certified",8.0,8.0,8.0,8.0,8.0
="Norfolk School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.6,0.6,0.6,0.7,.
,"General Education - Paraprofessional Instructional Assistants","Non-Certified",2.9,2.8,3.8,3.2,1.8
,="General Education - Teachers and Instructors",="Certified",10.1,10.1,9.5,8.3,9.4
,="Library/Media - Support Staff",="Non-Certified",0.2,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.7,7.7,7.8,7.7,7.7
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.9,3.7,2.7,2.1,3.5
,="Special Education - Teachers and Instructors",="Certified",3.0,2.0,2.0,2.0,2.0
,="Instructional Specialists Who Support Teachers",="Certified",1.2,1.4,1.3,1.4,0.7
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4,0.4,0.4,0.4,0.5
,="Library/Media - Specialists (Certified)",="Certified",0.6,0.6,0.6,0.5,0.5
="North Branford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.3,8.9,8.7,8.7,8.6
,="Counselors  Social Workers  and School Psychologists",="Certified",12.7,12.7,12.1,12.1,12.7
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",19.0,19.0,23.0,22.0,37.0
,="General Education - Teachers and Instructors",="Certified",138.7,140.0,135.3,132.4,132.0
,="Library/Media - Support Staff",="Non-Certified",4.0,4.0,3.0,4.0,4.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",95.2,95.7,100.7,70.7,75.9
,="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",48.0,43.0,45.0,41.0,41.0
,="Special Education - Teachers and Instructors",="Certified",26.7,25.7,26.0,26.8,23.5
,="Instructional Specialists Who Support Teachers",="Certified",8.7,8.7,7.1,5.3,5.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,5.0,5.0,4.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
="North Canaan School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,.
,"General Education - Paraprofessional Instructional Assistants","Non-Certified",6.5,5.1,4.1,4.1,4.1
,="General Education - Teachers and Instructors",="Certified",28.6,28.7,28.7,28.7,27.7
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",8.6,8.6,9.0,9.0,9.0
,="School Nurses",="Non-Certified",0.9,0.9,0.9,0.9,0.9
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.4,5.7,6.8,8.0,6.8
,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.5,0.5,0.5,0.5,0.5
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="North Haven School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",14.2,15.2,17.2,17.0,18.6
,="Counselors  Social Workers  and School Psychologists",="Certified",20.6,21.6,18.6,18.6,20.2
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",21.0,21.0,17.5,17.0,17.0
,="General Education - Teachers and Instructors",="Certified",234.2,232.5,234.3,233.4,221.8
,="Library/Media - Support Staff",="Non-Certified",3.0,3.0,2.0,2.0,2.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",115.9,120.3,115.6,109.5,119.5
,="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,5.9
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",41.0,34.0,41.5,47.0,48.5
,="Special Education - Teachers and Instructors",="Certified",35.0,33.0,27.0,25.0,29.0
,="Instructional Specialists Who Support Teachers",="Certified",9.5,11.9,11.1,10.6,11.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,4.0,4.0,4.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",6.6,6.0,7.0,7.0,6.0
="North Stonington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.8,2.8,2.9,3.0,2.8
,="Counselors  Social Workers  and School Psychologists",="Certified",5.0,5.0,5.0,5.0,5.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,5.8,4.8,5.5,4.0
,="General Education - Teachers and Instructors",="Certified",64.6,65.6,64.0,63.8,64.8
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",44.1,44.4,43.5,46.4,46.2
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",22.0,15.4,15.2,13.5,14.0
,="Special Education - Teachers and Instructors",="Certified",11.0,9.0,9.0,9.0,9.0
,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,2.0,2.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,3.0,3.0,3.0
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
="Norwalk School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",47.8,47.8,39.6,39.0,45.6
,="Counselors  Social Workers  and School Psychologists",="Certified",59.3,60.8,59.8,55.8,56.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",102.8,.,.,112.3,90.3
,="General Education - Teachers and Instructors",="Certified",707.4,735.3,685.3,698.6,688.6
,="Library/Media - Support Staff",="Non-Certified",30.8,.,.,13.5,13.8
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",354.6,.,.,321.6,372.8
,="School Nurses",="Non-Certified",19.0,.,.,19.0,19.4
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",128.5,.,.,116.1,122.3
,="Special Education - Teachers and Instructors",="Certified",89.1,90.1,84.1,86.3,80.5
,="Instructional Specialists Who Support Teachers",="Certified",29.0,28.0,20.0,23.0,21.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",16.0,16.0,13.0,15.0,17.0
,="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,2.0,3.0,2.0
="Norwich Free Academy District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.0,10.0,9.5,9.5,13.4
,="Counselors  Social Workers  and School Psychologists",="Certified",16.0,15.0,17.0,18.0,19.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5,6.0,7.0,10.0,12.4
,="General Education - Teachers and Instructors",="Certified",136.3,135.7,141.7,139.9,142.2
,="Library/Media - Support Staff",="Non-Certified",3.0,3.0,3.0,3.0,3.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",90.0,81.0,89.2,87.6,97.7
,="School Nurses",="Non-Certified",2.8,3.0,4.5,4.5,4.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,8.0
,="Special Education - Teachers and Instructors",="Certified",20.0,20.0,23.0,22.0,21.0
,="Instructional Specialists Who Support Teachers",="Certified",0.6,0.6,0.6,0.8,0.3
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
="Norwich School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.0,12.0,15.0,16.0,14.6
,="Counselors  Social Workers  and School Psychologists",="Certified",21.6,19.6,20.6,21.0,19.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",31.8,51.0,62.1,72.3,60.5
,="General Education - Teachers and Instructors",="Certified",202.5,189.5,190.0,199.0,192.5
,="Library/Media - Support Staff",="Non-Certified",5.3,1.0,2.0,2.0,3.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",217.2,224.2,229.4,221.5,236.6
,="School Nurses",="Non-Certified",12.4,13.1,12.8,13.3,13.2
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",53.0,57.2,69.0,63.4,73.5
,="Special Education - Teachers and Instructors",="Certified",40.0,43.0,43.0,42.0,39.8
,="Instructional Specialists Who Support Teachers",="Certified",11.0,10.2,11.4,15.0,17.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,4.0,4.0,4.4
,="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,3.0,4.0,4.0
="Odyssey Community School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,3.0,2.0,2.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,5.5,7.0,8.0,8.5
,="General Education - Teachers and Instructors",="Certified",13.3,22.4,25.8,25.8,27.0
,="Library/Media - Support Staff",="Non-Certified",0.2,0.0,0.0,0.6,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",3.4,5.0,6.0,5.8,6.1
,="School Nurses",="Non-Certified",0.8,1.0,1.3,1.3,1.3
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.5,3.0,3.0,3.0
,="Special Education - Teachers and Instructors",="Certified",2.0,4.0,3.0,4.0,3.0
="Office of Early Childhood (OEC)",="Special Education - Teachers and Instructors",="Certified",20.0,11.0,10.0,10.0,.
,"Instructional Specialists Who Support Teachers","Certified",3.0,3.0,3.0,2.0,.
,"Administrators  Coordinators and Department Chairs - District Central Office","Certified",3.0,2.0,2.0,2.0,.
"Old Saybrook School District","Administrators  Coordinators and Department Chairs - School Level","Certified",6.6,5.4,5.4,5.4,5.4
,="Counselors  Social Workers  and School Psychologists",="Certified",7.0,8.7,9.7,8.7,9.7
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,15.0,13.0,13.0,14.0
,="General Education - Teachers and Instructors",="Certified",111.0,110.8,113.5,110.9,112.3
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,3.0,3.0,3.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",60.0,65.0,64.0,62.0,59.0
,="School Nurses",="Non-Certified",4.0,4.0,4.0,5.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",52.0,51.0,52.0,53.0,50.0
,="Special Education - Teachers and Instructors",="Certified",23.7,23.2,24.4,24.6,23.0
,="Instructional Specialists Who Support Teachers",="Certified",5.0,4.0,4.0,5.0,5.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,4.0,4.0,4.0,3.0
,="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
="Orange School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.5,3.5,3.5,3.5,3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",4.8,4.8,4.5,4.5,4.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",12.8,12.7,12.1,12.1,10.8
,="General Education - Teachers and Instructors",="Certified",89.7,86.7,87.7,82.0,78.9
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",60.7,58.9,63.5,70.5,63.3
,="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",32.3,34.0,33.5,33.5,19.5
,="Special Education - Teachers and Instructors",="Certified",13.5,13.5,11.8,10.8,11.0
,="Instructional Specialists Who Support Teachers",="Certified",7.6,9.1,10.1,9.8,10.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.5,2.5,2.5,1.5,3.5
,="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
="Oxford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.8,6.4,7.6,7.2,7.2
,="Counselors  Social Workers  and School Psychologists",="Certified",7.5,8.3,7.8,9.8,7.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",19.9,16.4,15.1,17.9,16.6
,="General Education - Teachers and Instructors",="Certified",123.8,124.6,121.9,121.3,120.6
,="Library/Media - Support Staff",="Non-Certified",0.0,1.0,1.0,1.0,1.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",56.2,74.9,78.1,79.3,79.3
,="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",43.2,40.2,37.0,39.8,32.0
,="Special Education - Teachers and Instructors",="Certified",17.8,18.8,19.7,20.8,18.1
,="Instructional Specialists Who Support Teachers",="Certified",3.0,3.4,3.4,3.8,4.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,3.0,3.0,3.0,3.0
,="Library/Media - Specialists (Certified)",="Certified",4.0,3.0,4.0,4.0,3.0
="Park City Prep Charter School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,2.0,2.0,2.0,3.0
,="Counselors  Social Workers  and School Psychologists",="Certified",0.9,0.9,1.3,1.3,2.1
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="General Education - Teachers and Instructors",="Certified",16.0,15.0,15.0,15.0,23.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.0,4.0,4.0,6.0,8.0
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,0.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,1.0
,="Special Education - Teachers and Instructors",="Certified",.,1.0,1.0,1.0,1.6
="Plainfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0,8.0,8.0,8.0,9.4
,="Counselors  Social Workers  and School Psychologists",="Certified",21.0,20.0,16.5,16.5,16.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",28.4,17.5,22.5,18.8,17.3
,="General Education - Teachers and Instructors",="Certified",149.1,150.7,146.0,142.5,146.2
,="Library/Media - Support Staff",="Non-Certified",3.8,4.3,4.0,5.0,5.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",126.5,130.9,129.2,122.3,110.8
,="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",60.5,68.5,62.4,62.0,67.2
,="Special Education - Teachers and Instructors",="Certified",33.0,34.0,32.0,32.0,32.0
,="Instructional Specialists Who Support Teachers",="Certified",5.0,4.0,3.0,3.0,3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,3.0,5.0,5.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Plainville School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.5,9.5,9.5,9.5,9.0
,="Counselors  Social Workers  and School Psychologists",="Certified",14.0,15.0,14.2,14.2,15.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",26.8,28.1,33.2,29.8,32.4
,="General Education - Teachers and Instructors",="Certified",171.2,167.9,174.4,177.4,165.5
,="Library/Media - Support Staff",="Non-Certified",1.9,2.0,2.0,2.0,3.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",116.6,114.5,120.3,120.4,140.7
,="School Nurses",="Non-Certified",5.0,5.0,5.0,5.0,5.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",60.5,58.1,60.8,62.7,61.3
,="Special Education - Teachers and Instructors",="Certified",27.0,28.0,29.0,32.0,32.0
,="Instructional Specialists Who Support Teachers",="Certified",5.0,5.0,5.6,5.6,13.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0,6.0,5.0,5.0,7.0
,="Library/Media - Specialists (Certified)",="Certified",5.0,5.0,5.0,5.0,5.0
="Plymouth School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.0,6.0,6.0,7.0,5.0
,="Counselors  Social Workers  and School Psychologists",="Certified",8.0,8.0,8.0,8.0,10.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,8.1,8.1,15.4,21.1
,="General Education - Teachers and Instructors",="Certified",114.8,113.8,113.8,112.7,95.3
,="Library/Media - Support Staff",="Non-Certified",4.0,4.0,4.0,4.0,3.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",120.9,121.1,122.7,122.7,119.9
,="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",22.0,27.0,27.0,25.5,16.5
,="Special Education - Teachers and Instructors",="Certified",18.8,19.8,19.8,18.0,16.0
,="Instructional Specialists Who Support Teachers",="Certified",2.4,3.5,3.9,3.8,13.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0,4.7,5.0,6.0,5.3
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,.,1.0,2.0
="Pomfret School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,2.6,2.6,2.6
,="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.5,1.5,1.0,2.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,1.0,1.0,2.0,3.0
,="General Education - Teachers and Instructors",="Certified",38.0,38.2,36.0,34.6,33.0
,="Library/Media - Support Staff",="Non-Certified",1.0,0.5,0.5,0.5,0.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",23.9,21.6,21.4,21.4,22.4
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.5,12.5,11.5,12.5,12.5
,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,2.0,1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.6,1.6,.,.,0.6
,="Library/Media - Specialists (Certified)",="Certified",1.0,.,1.0,1.0,1.0
="Portland School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0,7.0,7.0,7.0,7.0
,="Counselors  Social Workers  and School Psychologists",="Certified",7.0,7.0,7.0,7.0,7.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",15.0,15.5,16.5,15.5,14.5
,="General Education - Teachers and Instructors",="Certified",90.7,91.6,91.5,91.0,90.8
,="Library/Media - Support Staff",="Non-Certified",5.4,5.4,5.4,5.4,5.6
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",64.3,67.8,66.5,66.5,67.5
,="School Nurses",="Non-Certified",5.5,4.5,4.0,5.0,5.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,11.5,13.0,15.5,19.0
,="Special Education - Teachers and Instructors",="Certified",12.0,12.0,12.0,12.0,11.0
,="Instructional Specialists Who Support Teachers",="Certified",2.0,3.0,3.0,3.0,3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0,1.0,1.0,1.0,2.3
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
="Preston School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.2,2.2,2.0,2.0,2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",1.6,1.6,1.6,1.6,1.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="General Education - Teachers and Instructors",="Certified",32.7,31.6,29.8,29.8,29.0
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",31.7,30.1,30.6,31.6,31.8
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",16.0,15.0,13.0,12.0,13.0
,="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,4.8,5.0
,="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,1.6,1.8,2.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,2.0,1.2,1.2,1.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Putnam School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.0,5.0,4.0,5.0,5.0
,="Counselors  Social Workers  and School Psychologists",="Certified",6.0,9.0,9.0,10.0,10.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",16.9,25.4,24.5,22.4,22.4
,="General Education - Teachers and Instructors",="Certified",82.4,83.3,83.4,83.4,82.4
,="Library/Media - Support Staff",="Non-Certified",3.0,3.0,3.0,3.0,2.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",50.7,46.7,49.3,52.0,51.4
,="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",29.0,28.0,32.5,32.0,31.0
,="Special Education - Teachers and Instructors",="Certified",14.6,17.5,18.0,17.0,17.0
,="Instructional Specialists Who Support Teachers",="Certified",4.8,4.8,4.8,4.8,5.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.0,4.0,3.0,4.0
,="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
="Redding School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.0,6.0,7.0,6.0,4.0
,="Counselors  Social Workers  and School Psychologists",="Certified",6.4,6.8,6.2,6.4,6.4
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",25.3,39.0,22.2,21.5,14.0
,="General Education - Teachers and Instructors",="Certified",84.6,83.2,81.4,77.4,68.9
,="Library/Media - Support Staff",="Non-Certified",2.0,4.0,2.0,2.0,2.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",39.5,82.0,30.0,33.0,41.0
,="School Nurses",="Non-Certified",3.0,6.0,3.0,3.0,3.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",23.0,28.0,32.0,30.0,27.5
,="Special Education - Teachers and Instructors",="Certified",15.5,16.4,16.7,15.7,13.4
,="Instructional Specialists Who Support Teachers",="Certified",9.4,10.4,11.4,10.4,12.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0,1.0,1.0,1.0,1.0
,="Library/Media - Specialists (Certified)",="Certified",2.4,3.0,2.4,2.4,2.0
="Regional School District 01",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.8,3.8,3.6,1.2,3.6
,="Counselors  Social Workers  and School Psychologists",="Certified",6.0,5.0,5.0,5.0,4.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.6,2.6,2.6,1.8,1.7
,="General Education - Teachers and Instructors",="Certified",38.4,38.8,36.4,30.8,33.1
,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.9
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",18.1,18.1,46.4,44.2,42.8
,="School Nurses",="Non-Certified",0.9,0.9,0.9,0.9,0.9
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.7,4.7,4.7,3.1,3.1
,="Special Education - Teachers and Instructors",="Certified",3.6,6.0,6.0,6.0,4.8
,="Instructional Specialists Who Support Teachers",="Certified",0.2,0.2,.,.,0.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,2.0,2.0,2.0,2.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Regional School District 04",="Administrators  Coordinators and Department Chairs - School Level",="Certified",4.1,4.2,4.0,4.0,4.0
,="Counselors  Social Workers  and School Psychologists",="Certified",6.6,6.8,7.8,8.0,8.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,1.5,1.5,2.0,2.0
,="General Education - Teachers and Instructors",="Certified",70.5,72.8,71.1,71.4,69.8
,="Library/Media - Support Staff",="Non-Certified",1.9,1.9,1.9,1.9,1.8
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",73.7,69.6,68.5,66.3,74.9
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
