"Total Expenditures Used for Special Education, Trend"
"All Districts"

"",,"Year",,,,
,="Equipment",1175,543,8641,0,22344
,="Other Expenditures",2613,5273,3569,4985,23525
,="Total Expenditures",4832657,5025592,5238430,5699451,5933770
="Pomfret School District",="Certified Personnel",570053,576432,606554,576833,604413
,="Noncertified Personnel",238686,244980,268582,255850,272227
,="Employee Benefits",178963,246294,254464,264440,290548
,="Purchased Services",151364,128640,96112,111015,95659
,="Tuition to Other Schools",1204526,1333784,1326657,1256964,1374717
,="Instructional Supplies",13626,19041,28534,28377,32239
,="Property Services",0,0,0,0,0
,="Transportation",260868,311003,259719,227942,262934
,="Equipment",10055,7802,10400,8762,7843
,="Other Expenditures",2666,2922,2592,1640,4736
,="Total Expenditures",2640340,2875066,2861848,2744931,2946517
="Portland School District",="Certified Personnel",1486429,1324106,1369595,1451765,1373467
,="Noncertified Personnel",530377,458100,550377,397125,611378
,="Employee Benefits",744864,658375,691146,618257,751889
,="Purchased Services",263901,216431,303289,345415,341798
,="Tuition to Other Schools",464337,605013,679617,583600,741326
,="Instructional Supplies",25810,15852,9149,0,25991
,="Property Services",0,0,0,0,0
,="Transportation",207831,233826,227751,245797,279986
,="Equipment",0,0,2491,4289,21073
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",3723549,3511703,3833415,3657991,4146908
="Preston School District",="Certified Personnel",675073,698169,753253,641256,658711
,="Noncertified Personnel",410810,353121,349982,381264,404715
,="Employee Benefits",290433,273727,285161,275117,256680
,="Purchased Services",207259,307399,223317,215719,146587
,="Tuition to Other Schools",1504237,1352565,1216658,1589314,1151321
,="Instructional Supplies",17181,6933,6408,4777,5754
,="Property Services",0,0,0,0,0
,="Transportation",153696,92708,113029,73246,113525
,="Equipment",7766,0,0,72369,2742
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",3271957,3104723,2951114,3260885,2743742
="Putnam School District",="Certified Personnel",1684788,1852118,1831603,1805508,1825214
,="Noncertified Personnel",748293,635154,686354,645850,639076
,="Employee Benefits",566907,559915,568669,556801,565520
,="Purchased Services",324673,460758,254253,243986,245301
,="Tuition to Other Schools",652427,713978,1306223,1419840,1494713
,="Instructional Supplies",34100,34051,68487,31281,25584
,="Property Services",4200,4605,607,153,0
,="Transportation",20842,56287,116099,201108,151878
,="Equipment",2000,12895,2196,553,424
,="Other Expenditures",886,2494,2916,2816,2045
,="Total Expenditures",4046583,4352479,4839393,4912899,4955364
="Redding School District",="Certified Personnel",2074277,2183368,2157211,2160351,2138993
,="Noncertified Personnel",924967,896490,1129742,1061499,1135222
,="Employee Benefits",643271,706017,708810,845784,907143
,="Purchased Services",190778,189535,153558,186203,405113
,="Tuition to Other Schools",74222,193285,141043,197899,113224
,="Instructional Supplies",20025,19394,14989,14392,19298
,="Property Services",0,0,0,0,0
,="Transportation",306638,184187,165846,127954,149075
,="Equipment",2053,16136,6946,6817,11191
,="Other Expenditures",1124,947,753,1004,378
,="Total Expenditures",4245321,4396228,4488746,4608185,4888555
="Regional School District 01",="Certified Personnel",661021,786313,703917,738372,793443
,="Noncertified Personnel",159135,250850,273937,208205,226624
,="Employee Benefits",270103,282984,276596,308933,375182
,="Purchased Services",62088,102619,102207,44703,34184
,="Tuition to Other Schools",819025,428650,119158,427392,740739
,="Instructional Supplies",10115,6398,10813,14214,10476
,="Property Services",0,0,0,0,0
,="Transportation",108766,103879,113349,129416,134171
,="Equipment",1524,4017,2659,2771,4083
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",2091777,1965710,1602636,1874006,2318902
="Regional School District 04",="Certified Personnel",1347755,1318864,1438619,1607971,1692571
,="Noncertified Personnel",372873,361128,380265,401175,414376
,="Employee Benefits",396746,386207,385204,374780,372662
,="Purchased Services",128518,211080,224402,250609,254496
,="Tuition to Other Schools",673671,517583,436294,624816,1193662
,="Instructional Supplies",8845,14460,12501,20004,9022
,="Property Services",222,225,227,237,243
,="Transportation",130479,149305,209343,266982,215761
,="Equipment",1257,9639,6366,3487,0
,="Other Expenditures",972,1131,1119,844,1280
,="Total Expenditures",3061338,2969622,3094340,3550905,4154073
="Regional School District 05",="Certified Personnel",2524451,2485203,2570028,2516196,2712580
,="Noncertified Personnel",537906,575726,585972,620359,656518
,="Employee Benefits",648214,684739,649461,751527,772591
,="Purchased Services",258723,303598,383352,248443,313723
,="Tuition to Other Schools",2043392,1790515,2276574,2622223,2965456
,="Instructional Supplies",6851,8443,12466,16290,15097
,="Property Services",760,0,225,0,0
,="Transportation",378656,486187,553352,534757,799361
,="Equipment",3690,40261,9665,35136,33155
,="Other Expenditures",13115,10599,1562,1252,1331
,="Total Expenditures",6453944,6405900,7051326,7352791,8282296
="Regional School District 06",="Certified Personnel",1257534,1212766,1346231,1339680,1377384
,="Noncertified Personnel",606334,591984,656334,737580,647843
,="Employee Benefits",344577,356050,405992,455696,425868
,="Purchased Services",166130,137499,177090,202903,368221
,="Tuition to Other Schools",298194,304476,304622,302782,411423
,="Instructional Supplies",20235,13366,24455,33333,42121
,="Property Services",0,0,0,0,0
,="Transportation",175521,148198,208612,217600,229431
,="Equipment",6911,2136,2230,1417,8066
,="Other Expenditures",413,0,0,310,195
,="Total Expenditures",2883417,2767667,3137567,3292219,3511467
="Regional School District 07",="Certified Personnel",846547,818296,802385,777224,833400
,="Noncertified Personnel",313707,282107,278979,369521,256729
,="Employee Benefits",323043,286911,274664,278613,269624
,="Purchased Services",1038194,1225319,1023797,1072075,1283630
,="Tuition to Other Schools",907785,960403,870901,893672,1011764
,="Instructional Supplies",9211,5121,8348,8272,9781
,="Property Services",0,0,0,0,0
,="Transportation",253685,341585,262411,323054,340009
,="Equipment",0,2994,4385,4620,2956
,="Other Expenditures",744,733,696,0,0
,="Total Expenditures",3692916,3923469,3526566,3727051,4007893
="Regional School District 08",="Certified Personnel",1980656,1924747,2081005,2252994,1670054
,="Noncertified Personnel",694055,750247,751167,779786,768537
,="Employee Benefits",711597,674583,817001,619493,539540
,="Purchased Services",196137,222104,298941,298639,134864
,="Tuition to Other Schools",1390188,1197422,1128623,812430,1391605
,="Instructional Supplies",8011,11487,6145,6801,11845
,="Property Services",345,0,0,0,0
,="Transportation",372347,278626,239562,368042,317341
,="Equipment",3684,0,0,0,495
,="Other Expenditures",0,0,0,0,809
,="Total Expenditures",5368268,5076476,5327299,5157317,4848960
="Regional School District 09",="Certified Personnel",853337,893859,932642,1035205,1049217
,="Noncertified Personnel",395896,389512,348148,374383,447475
,="Employee Benefits",250104,258205,263936,280324,339394
,="Purchased Services",317426,290434,263805,310594,401682
,="Tuition to Other Schools",1613337,1440781,1515076,1422205,1442264
,="Instructional Supplies",7558,4216,6573,8299,10448
,="Property Services",0,0,0,0,0
,="Transportation",166661,196618,425650,426262,345641
,="Equipment",41068,19446,4138,14904,15543
,="Other Expenditures",809,968,1033,951,704
,="Total Expenditures",3648518,3505385,3771875,3886848,4058756
="Regional School District 10",="Certified Personnel",2797631,2903902,3006874,2930934,2798544
,="Noncertified Personnel",909252,1004157,1092683,1164702,1353243
,="Employee Benefits",925280,924907,1022478,927790,930816
,="Purchased Services",555963,467122,477750,511995,349842
,="Tuition to Other Schools",1158944,1374912,1661458,1813055,1411176
,="Instructional Supplies",36166,33771,30654,40546,89915
,="Property Services",29505,35375,30882,36390,27951
,="Transportation",450491,477563,546448,471786,590457
,="Equipment",0,130442,5374,3315,0
,="Other Expenditures",11640,15951,8263,32357,63594
,="Total Expenditures",6874872,7368102,7882864,7932870,7615538
="Regional School District 11",="Certified Personnel",312141,299997,296477,303862,315839
,="Noncertified Personnel",104887,111280,142499,128444,136371
,="Employee Benefits",96874,88527,90592,88596,108530
,="Purchased Services",130096,189228,183630,176067,131086
,="Tuition to Other Schools",631609,658220,765295,608717,711264
,="Instructional Supplies",3007,3264,2564,1913,664
,="Property Services",0,0,0,0,0
,="Transportation",184410,159854,250039,191592,186564
,="Equipment",4120,4365,4443,0,0
,="Other Expenditures",291,0,0,390,0
,="Total Expenditures",1467435,1514735,1735539,1499581,1590318
="Regional School District 12",="Certified Personnel",1847195,1718097,1782235,1686156,1611175
,="Noncertified Personnel",742516,783496,756589,810061,742310
,="Employee Benefits",540990,536570,521748,563919,513035
,="Purchased Services",328445,344252,391393,472763,344601
,="Tuition to Other Schools",539843,483487,597613,613359,578950
,="Instructional Supplies",26332,27327,35603,40551,52571
,="Property Services",0,0,0,0,0
,="Transportation",420184,390585,321827,361849,354283
,="Equipment",79305,4233,13182,637,1794
,="Other Expenditures",185,310,310,310,310
,="Total Expenditures",4525293,4288686,4420957,4550137,4199788
="Regional School District 13",="Certified Personnel",2591360,2778334,2692179,2605527,2686967
,="Noncertified Personnel",1593112,1598002,1788541,1889137,1884476
,="Employee Benefits",1353558,1632377,1702209,1464956,1440957
,="Purchased Services",317985,328611,337294,304278,238675
,="Tuition to Other Schools",770838,453440,674138,938354,924038
,="Instructional Supplies",32510,48430,38236,48457,44495
,="Property Services",18120,40897,28761,43123,43608
,="Transportation",366241,434314,377267,443927,635743
,="Equipment",83167,40734,7409,14683,18963
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",7130856,7358200,7688220,7758592,7938377
="Regional School District 14",="Certified Personnel",2748461,2842683,2776171,2781407,2896318
,="Noncertified Personnel",941848,1216880,1274052,1312641,1272308
,="Employee Benefits",750484,902702,933521,859020,880383
,="Purchased Services",415862,316040,348736,166144,291543
,="Tuition to Other Schools",1975745,1851439,1750984,1688734,1517255
,="Instructional Supplies",42736,54403,42713,71632,37586
,="Property Services",1934,0,0,0,0
,="Transportation",583720,536241,566475,694834,640280
,="Equipment",1532,7135,8520,11805,1850
,="Other Expenditures",634,444,452,792,450
,="Total Expenditures",7462956,7727967,7701624,7587009,7537973
="Regional School District 15",="Certified Personnel",5322639,5555716,5578870,5745748,5692215
,="Noncertified Personnel",2161945,2205394,2102907,2180892,2397782
,="Employee Benefits",2061771,2097916,1944461,2045798,2256477
,="Purchased Services",1261567,828297,884931,765032,945807
,="Tuition to Other Schools",1335000,1594287,1767352,2275370,2132706
,="Instructional Supplies",11355,3180,6498,5804,9644
,="Property Services",11016,13135,10295,32954,39346
,="Transportation",1133787,1217052,1199068,1339753,1373841
,="Equipment",16040,14674,16537,7237,7059
,="Other Expenditures",1240,18233,2023,1444,1134
,="Total Expenditures",13360574,13583164,13550198,14441036,14903782
="Regional School District 16",="Certified Personnel",2201586,2199244,2181648,2168141,2137414
,="Noncertified Personnel",1116066,1127674,1149894,1145730,1403589
,="Employee Benefits",939310,920074,937701,878020,897695
,="Purchased Services",663850,741851,711497,869424,756630
,="Tuition to Other Schools",984725,1046902,1103672,1187669,1205799
,="Instructional Supplies",63464,46292,34567,48318,46212
,="Property Services",0,0,0,2526,2323
,="Transportation",863999,951968,996627,1013123,1029543
,="Equipment",40318,10550,900,0,0
,="Other Expenditures",0,49,0,0,0
,="Total Expenditures",6940899,7118632,7200055,7348395,7479205
="Regional School District 17",="Certified Personnel",2417029,2570227,2637182,2660851,2684422
,="Noncertified Personnel",920405,796110,913791,1106434,1170775
,="Employee Benefits",857015,850942,801587,900348,847370
,="Purchased Services",330109,286669,198037,254411,317883
,="Tuition to Other Schools",849756,1229528,984913,1393275,1446711
,="Instructional Supplies",36069,9338,6927,10229,10891
,="Property Services",4507,1938,1833,0,29066
,="Transportation",626793,960153,886432,1009510,846283
,="Equipment",10647,1260,12186,0,5370
,="Other Expenditures",7218,2936,4028,872,802
,="Total Expenditures",6066172,6713888,6468389,7339786,7360615
="Regional School District 18",="Certified Personnel",2475543,2557841,2606901,2717204,2682633
,="Noncertified Personnel",1164453,1083691,1205734,1279429,1385107
,="Employee Benefits",723114,760027,792059,784122,775290
,="Purchased Services",264128,247398,309930,261302,256397
,="Tuition to Other Schools",1041991,997342,596684,740676,412952
,="Instructional Supplies",64752,41098,43196,38468,48696
,="Property Services",0,0,0,0,0
,="Transportation",363723,387258,336869,371295,340135
,="Equipment",42389,4831,5817,7922,5488
,="Other Expenditures",4453,2723,4066,5093,4908
,="Total Expenditures",6163686,6109446,5920575,6229317,5926037
="Regional School District 19",="Certified Personnel",1348537,1352823,1416208,1482883,1599617
,="Noncertified Personnel",202209,198125,250900,205826,255122
,="Employee Benefits",231965,248644,230896,261759,322038
,="Purchased Services",828396,1012172,1091058,1160224,1254508
,="Tuition to Other Schools",1403960,1139056,916994,758380,811241
,="Instructional Supplies",22040,10312,12676,20008,15314
,="Property Services",977,335,266,915,1524
,="Transportation",349914,410000,401060,442710,361871
,="Equipment",9716,4500,52902,27254,8220
,="Other Expenditures",0,0,545,275,1687
,="Total Expenditures",4400136,4378109,4375123,4365530,4635623
="Ridgefield School District",="Certified Personnel",5558143,5556954,5457710,5721787,6048795
,="Noncertified Personnel",2197272,2138900,2105757,2271473,2202338
,="Employee Benefits",2507546,2156621,2119277,2239731,2311958
,="Purchased Services",1147382,1614651,1443952,1693254,1906201
,="Tuition to Other Schools",3249619,2494506,3646305,3585123,4115681
,="Instructional Supplies",41177,72012,57636,19917,63525
,="Property Services",0,0,0,0,0
,="Transportation",954487,1191809,1257779,1281466,1306024
,="Equipment",7779,24741,5794,13668,28226
,="Other Expenditures",8713,16125,30302,16044,20064
,="Total Expenditures",15685863,15281414,16139839,16849835,18030077
="Rocky Hill School District",="Certified Personnel",2467729,2737835,2699388,2837687,2946523
,="Noncertified Personnel",1066161,1087006,1160327,1242359,1292263
,="Employee Benefits",1181945,1324986,1174178,1295568,1099371
,="Purchased Services",173086,151560,170397,200699,217184
,="Tuition to Other Schools",841967,1116425,1129630,949214,1086207
,="Instructional Supplies",9151,10776,16581,17099,14920
,="Property Services",1875,-19,91,70,70
,="Transportation",367781,410498,475769,539561,446656
,="Equipment",4754,15790,4163,8243,8686
,="Other Expenditures",598,5491,723,783,816
,="Total Expenditures",6122281,6866251,6848237,7099183,7123852
="Salem School District",="Certified Personnel",494674,516800,459774,604303,548741
,="Noncertified Personnel",123265,118412,217402,239864,259915
,="Employee Benefits",138226,102664,63091,122958,146747
,="Purchased Services",377457,133015,186541,213680,245977
,="Tuition to Other Schools",660849,832294,1111082,1213731,1747312
,="Instructional Supplies",887,281,0,0,3700
,="Property Services",0,5051,0,0,0
,="Transportation",230629,218021,326055,344238,307845
,="Equipment",2477,0,0,0,0
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",2044600,1926833,2368066,2748960,3268085
="Salisbury School District",="Certified Personnel",431247,472628,492618,534662,535875
,="Noncertified Personnel",98102,91586,125211,147684,143456
,="Employee Benefits",166891,173773,187603,185344,213296
,="Purchased Services",55396,60031,64723,43191,40869
,="Tuition to Other Schools",11960,28885,67402,30546,2050
,="Instructional Supplies",7367,4751,7493,8525,10548
,="Property Services",0,0,0,0,0
,="Transportation",67051,64008,72116,76644,89169
,="Equipment",940,1185,1655,1988,1909
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",838954,896847,1018821,1028584,1037172
="Scotland School District",="Certified Personnel",319919,321351,344876,359150,292187
,="Noncertified Personnel",207852,199261,164021,156256,162764
,="Employee Benefits",68622,61298,54833,58425,57293
,="Purchased Services",31325,30323,19581,44427,32042
,="Tuition to Other Schools",0,0,0,0,49010
,="Instructional Supplies",8140,7640,6766,6239,3039
,="Property Services",3974,0,0,861,0
,="Transportation",0,0,0,0,0
,="Equipment",3644,1024,0,500,0
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",644861,621001,590205,625858,596335
="Seymour School District",="Certified Personnel",2253478,2430573,2360858,2515930,2762840
,="Noncertified Personnel",651557,654897,747312,721414,785120
,="Employee Benefits",765174,765659,821943,856869,869922
,="Purchased Services",355169,330892,312909,283044,273487
,="Tuition to Other Schools",676450,937567,1083919,1476493,1797423
,="Instructional Supplies",36488,32046,22958,29312,17383
,="Property Services",8654,8524,6810,16176,2720
,="Transportation",420907,491938,564383,702697,773132
,="Equipment",863,5314,2849,477,119
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",5170691,5662972,5933468,6602412,7282146
="Sharon School District",="Certified Personnel",268902,285687,286513,295184,325598
,="Noncertified Personnel",78269,72144,90956,93484,105335
,="Employee Benefits",114650,115632,119826,122402,154109
,="Purchased Services",25257,27189,28791,29476,13041
,="Tuition to Other Schools",0,325,0,25985,11619
,="Instructional Supplies",4115,2384,3983,4078,3963
,="Property Services",0,0,0,0,0
,="Transportation",44246,40883,44259,45312,50728
,="Equipment",620,757,1016,1040,1543
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",536059,545001,575344,616961,665936
="Shelton School District",="Certified Personnel",6274967,5954127,5951126,6066126,6660579
,="Noncertified Personnel",1732606,1821335,1639361,1967603,1790957
,="Employee Benefits",2173291,2096591,1717633,1825487,1868860
,="Purchased Services",175288,175667,215711,271726,252318
,="Tuition to Other Schools",1707876,1739918,1634192,1902090,2016327
,="Instructional Supplies",72096,76530,53185,86525,76454
,="Property Services",2882,7772,11490,0,0
,="Transportation",1055777,1308897,1142589,1211721,1101655
,="Equipment",29996,13378,0,384,46052
,="Other Expenditures",0,0,35,771,39
,="Total Expenditures",13241925,13207425,12380246,13340042,13817494
="Sherman School District",="Certified Personnel",850576,843556,852434,836089,848675
,="Noncertified Personnel",471496,420840,406336,440948,395757
,="Employee Benefits",232155,236989,248540,184742,202232
,="Purchased Services",103665,27656,38553,80501,96998
,="Tuition to Other Schools",293534,364689,383515,416934,509693
,="Instructional Supplies",33858,7083,7602,9712,15008
,="Property Services",119,150,318,200,529
,="Transportation",79375,81836,93396,115657,103164
,="Equipment",0,2775,0,0,4369
,="Other Expenditures",179,1228,286,856,915
,="Total Expenditures",2064957,1986802,2030980,2085639,2177340
="Simsbury School District",="Certified Personnel",5179882,4368537,4752240,5051002,5178865
,="Noncertified Personnel",2709909,2448794,2646105,2915133,3089054
,="Employee Benefits",1636018,1631502,1561285,1803580,1650739
,="Purchased Services",331416,292466,332617,577724,692050
,="Tuition to Other Schools",1933399,2221386,2149426,2612903,2395008
,="Instructional Supplies",30382,25001,18802,22020,22323
,="Property Services",0,0,0,0,0
,="Transportation",773441,824674,837949,975418,1234426
,="Equipment",23857,0,0,0,33739
,="Other Expenditures",8846,0,0,258313,135690
,="Total Expenditures",12705489,11841590,12343827,14238164,14469000
="Somers School District",="Certified Personnel",1613051,1599412,1662245,1691048,1760942
,="Noncertified Personnel",705372,708521,726002,751151,771839
,="Employee Benefits",579350,486784,550420,593344,569088
,="Purchased Services",177113,148268,165843,211980,183077
,="Tuition to Other Schools",1003828,1017420,1002171,1023086,863782
,="Instructional Supplies",10292,9740,17875,10516,17808
,="Property Services",0,550,9449,0,100
,="Transportation",463478,411001,375981,390263,370360
,="Equipment",16456,741,1843,0,0
,="Other Expenditures",488,828,431,185,220
,="Total Expenditures",4569915,4383819,4516241,4675111,4546091
="South Windsor School District",="Certified Personnel",3750150,3764248,3833176,3677229,3921338
,="Noncertified Personnel",2294136,2458115,2554035,2677158,2824335
,="Employee Benefits",1795414,1835913,1648680,1900132,2051219
,="Purchased Services",180914,261167,134142,137582,145377
,="Tuition to Other Schools",3504640,3650156,4457981,4348105,4652194
,="Instructional Supplies",109496,35898,22239,26883,17810
,="Property Services",46908,39481,0,48132,46915
,="Transportation",1441361,1340969,1283260,1392299,1557917
,="Equipment",-21061,13298,59414,80690,54377
,="Other Expenditures",48647,4370,3063,5681,2901
,="Total Expenditures",13177907,13438069,14013184,14310698,15293265
="Southington School District",="Certified Personnel",6849491,7060168,6957448,7043402,7098955
,="Noncertified Personnel",3546249,3787116,3843799,4532944,5026119
,="Employee Benefits",4206436,4167244,4254195,4491721,4677954
,="Purchased Services",1617459,1957799,1833983,1339263,1393567
,="Tuition to Other Schools",4049524,4625484,4604688,4836314,4661259
,="Instructional Supplies",111271,77444,90927,109304,108905
,="Property Services",0,0,0,0,0
,="Transportation",1687204,1901173,1885366,1870291,1923544
,="Equipment",27662,20069,4428,4967,32127
,="Other Expenditures",5787,6823,7952,7992,9822
,="Total Expenditures",22101083,23603320,23482786,24236198,24932252
="Sprague School District",="Certified Personnel",421225,561703,492671,409177,538645
,="Noncertified Personnel",221663,184480,304283,292802,309032
,="Employee Benefits",220879,191981,194911,190068,187514
,="Purchased Services",179103,245877,179309,208199,137346
,="Tuition to Other Schools",443672,538944,488098,371479,424490
,="Instructional Supplies",5575,14740,9728,11159,4296
,="Property Services",5071,0,277,0,0
,="Transportation",30369,105343,79268,73454,72645
,="Equipment",1975,0,59,0,0
,="Other Expenditures",2566,1998,4201,924,445
,="Total Expenditures",1543499,1859241,1768568,1558098,1674413
="Stafford School District",="Certified Personnel",2172148,2416466,2369492,2212457,1933082
,="Noncertified Personnel",724138,756035,807097,803094,756413
,="Employee Benefits",747365,773828,839660,967355,822601
,="Purchased Services",229267,183030,203487,195737,203209
,="Tuition to Other Schools",1356596,1259246,1087607,907423,1039152
,="Instructional Supplies",52049,19622,40996,40128,37053
,="Property Services",17404,20961,14334,13606,17580
,="Transportation",470677,536231,576663,586951,573073
,="Equipment",0,4094,3386,5936,3202
,="Other Expenditures",185,333,185,185,185
,="Total Expenditures",5769829,5969846,5942907,5732872,5385550
="Stamford School District",="Certified Personnel",20525296,20370824,21226376,22136504,22025697
,="Noncertified Personnel",6509129,6755194,6851982,7254939,8320793
,="Employee Benefits",7112867,7616972,8035917,8130332,8269954
,="Purchased Services",3018413,3245950,3609663,4477289,5092529
,="Tuition to Other Schools",10268537,11030332,11022016,12260569,14735654
,="Instructional Supplies",273332,254609,262449,401006,332052
,="Property Services",239617,152593,202714,216601,224749
,="Transportation",4519628,4642250,4435003,4359004,4903550
,="Equipment",94046,89687,253897,340740,66877
,="Other Expenditures",25443,31166,27388,14757,34705
,="Total Expenditures",52595237,54197561,55933462,59608920,64008928
="Sterling School District",="Certified Personnel",588842,539126,517494,491388,422280
,="Noncertified Personnel",455304,484862,434547,433634,407155
,="Employee Benefits",283262,293751,258382,253508,250932
,="Purchased Services",133917,126107,122776,120576,113967
,="Tuition to Other Schools",628418,770189,776565,1068566,1089746
,="Instructional Supplies",10494,4460,4840,2582,23035
,="Property Services",7341,11527,10983,10503,13451
,="Transportation",14384,18138,9119,2946,13814
,="Equipment",2852,1679,9125,7792,26771
,="Other Expenditures",184,155,435,198,980
,="Total Expenditures",2143105,2274825,2179029,2420476,2385712
="Stonington School District",="Certified Personnel",2799061,2830822,3066541,3137880,3235768
,="Noncertified Personnel",1560050,1538090,1573632,1536048,1538575
,="Employee Benefits",1167399,1205784,1114993,1136162,1193386
,="Purchased Services",184839,232154,216272,285308,335775
,="Tuition to Other Schools",1780984,2091011,2157279,1994168,2086905
,="Instructional Supplies",26124,8153,6952,3270,24139
,="Property Services",0,0,0,0,0
,="Transportation",754010,864607,1028992,932122,880078
,="Equipment",31279,12206,15884,10714,10496
,="Other Expenditures",745,663,735,40,0
,="Total Expenditures",8308317,8788513,9185421,9038698,9317802
="Stratford School District",="Certified Personnel",8102819,8169052,8350054,8606516,8819123
,="Noncertified Personnel",1825690,1890777,1908817,1977941,2168748
,="Employee Benefits",3642149,3882986,3857665,3385971,4139766
,="Purchased Services",2781918,2238029,2543327,2914609,2660577
,="Tuition to Other Schools",5058657,5347987,5554944,5309579,5415325
,="Instructional Supplies",35849,21784,18176,17969,22801
,="Property Services",11578,8809,17717,18233,28153
,="Transportation",1842048,2074302,2077017,2063582,2147715
,="Equipment",99273,27146,17049,19807,1193
,="Other Expenditures",364,364,35217,367,248
,="Total Expenditures",23563788,23672738,24390375,24323981,25411002
="Suffield School District",="Certified Personnel",2191525,2226481,2456997,2482480,2688028
,="Noncertified Personnel",1062219,1009340,1209349,1322592,1502303
,="Employee Benefits",735891,760747,947404,885171,986866
,="Purchased Services",328345,336578,245673,346697,501035
,="Tuition to Other Schools",1790577,1759944,1697244,1561559,1183677
,="Instructional Supplies",88796,40243,37096,66803,65382
,="Property Services",0,0,0,396,0
,="Transportation",134789,413951,496886,531072,423157
,="Equipment",10331,3857,2176,5901,6891
,="Other Expenditures",1677,1450,1924,986,1574
,="Total Expenditures",6345586,6559417,7095520,7205152,7360213
="Thomaston School District",="Certified Personnel",1124071,1177532,998566,1308049,1345065
,="Noncertified Personnel",343705,345447,390406,427756,452341
,="Employee Benefits",456934,478685,476417,513278,555398
,="Purchased Services",145158,137611,136340,70470,112321
,="Tuition to Other Schools",879000,710047,963009,1009301,963871
,="Instructional Supplies",14350,19135,22232,27255,29372
,="Property Services",794,1011,405,202,850
,="Transportation",400064,339502,414043,442390,475732
,="Equipment",27490,4470,2795,6513,20988
,="Other Expenditures",3021,3831,2626,2684,912
,="Total Expenditures",3400375,3228887,3422011,3820775,3963066
="Thompson School District",="Certified Personnel",888315,952072,1008908,1087466,1054504
,="Noncertified Personnel",517008,545102,529228,516725,459047
,="Employee Benefits",457180,509750,507066,397499,360487
,="Purchased Services",51813,102940,31603,113846,116212
,="Tuition to Other Schools",1332558,1476253,1469740,1497481,1777651
,="Instructional Supplies",16431,8746,9021,5895,7428
,="Property Services",0,0,0,0,0
,="Transportation",44155,75918,141845,162267,213961
,="Equipment",5863,3470,3088,9958,797
,="Other Expenditures",705,1077,669,9654,4031
,="Total Expenditures",3320142,3679972,3727642,3807564,4011418
="Tolland School District",="Certified Personnel",2208032,2184287,1880571,2213058,2212055
,="Noncertified Personnel",1099158,1126455,1088574,1201760,1323842
,="Employee Benefits",867872,916004,730282,888567,946027
,="Purchased Services",340774,374885,358810,315974,331076
,="Tuition to Other Schools",2336204,2679838,2931589,2919553,3143553
,="Instructional Supplies",22668,16410,18189,19506,17990
,="Property Services",4883,0,8507,0,0
,="Transportation",486995,690319,640103,719052,736016
,="Equipment",21359,5445,10378,17533,9106
,="Other Expenditures",3885,7827,303,557,199
,="Total Expenditures",7415753,8023592,7686831,8318330,8745934
="Torrington School District",="Certified Personnel",4918829,4808787,5072040,5027135,5636290
,="Noncertified Personnel",2352977,2392194,2774032,3144772,3383724
,="Employee Benefits",2721518,2724573,2905216,3206956,3430359
,="Purchased Services",495508,282586,344984,322935,356885
,="Tuition to Other Schools",5878192,5291051,5221169,5815215,6471463
,="Instructional Supplies",20963,45856,62704,25406,16180
,="Property Services",0,0,0,394093,29065
,="Transportation",1363155,1281106,996367,1301095,1442599
,="Equipment",2116,43196,15268,612,727
,="Other Expenditures",2506,1122,245,12,0
,="Total Expenditures",17755764,16874160,17392025,19238442,20767292
="Trumbull School District",="Certified Personnel",8045727,7891757,8336670,8495855,9089378
,="Noncertified Personnel",3101696,3164256,3188277,3427358,3506780
,="Employee Benefits",2198088,2299354,2492135,2595747,2918181
,="Purchased Services",532859,542533,555082,347438,534232
,="Tuition to Other Schools",2770640,3287700,3494181,3105576,3063213
,="Instructional Supplies",48136,39146,46290,54157,101263
,="Property Services",0,0,0,0,0
,="Transportation",1527359,1665902,1871295,2077830,1805628
,="Equipment",29538,27933,25003,13883,107293
,="Other Expenditures",2145,1966,2337,2909,1447
,="Total Expenditures",18264200,18928521,20018851,20128966,21134705
="Union School District",="Certified Personnel",54517,55551,76395,78170,131867
,="Noncertified Personnel",13902,13336,14279,7557,46777
,="Employee Benefits",19763,25006,27202,22620,35883
,="Purchased Services",71129,43279,61768,61483,180374
,="Tuition to Other Schools",74379,49849,43813,96086,38332
,="Instructional Supplies",1041,1000,4508,4371,4920
,="Property Services",0,0,0,0,0
,="Transportation",0,0,1408,12574,41070
,="Equipment",3801,0,458,0,1613
,="Other Expenditures",0,0,0,0,0
,="Total Expenditures",238532,188021,229831,282861,480836
="Vernon School District",="Certified Personnel",4307188,4057901,4207337,4582969,4904930
,="Noncertified Personnel",1514718,1690618,2007246,2178552,2298325
,="Employee Benefits",1303328,1235230,1329857,1601646,1679202
,="Purchased Services",542781,578966,390584,191298,217897
