"Chronic Absenteeism, 2015-16"
", All Schools, All Students"

"District","District Code","School","School Code","% Chronically Absent"
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""",5.4
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""","*"
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",8.1
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""",6.2
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""",3.2
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""",4.4
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""",2.7
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""",2.1
"Newington School District","=""0940011""","John Paterson School","=""0940811""",2.5
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""",1.8
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""",2.4
"Newington School District","=""0940011""","Newington High School","=""0946111""",10.0
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""",2.7
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""",2.2
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""",4.7
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""",3.8
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",5.3
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""",5.7
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""",3.0
"Newtown School District","=""0970011""","STARR","=""0979011""","*"
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""",2.1
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""","*"
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""","*"
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",8.8
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""",3.5
"North Branford School District","=""0990011""","School to Work Program","=""0999011""","*"
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""",3.5
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",5.7
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""",2.6
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""",3.1
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""","*"
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",2.3
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""",8.0
"North Haven School District","=""1010011""","North Haven Transition Partnership","=""1010111""","*"
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""",3.5
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",3.6
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",5.3
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""",4.5
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",15.7
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""",4.4
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""",4.0
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""",5.6
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""",6.0
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""",7.3
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""",7.4
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""",4.1
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""",6.1
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""",6.9
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",18.3
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",69.2
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""",9.0
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""",5.6
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""",5.1
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""",6.7
"Norwalk School District","=""1030011""","Tracey School","=""1031411""",8.7
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",8.7
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""",7.0
"Norwich Free Academy District","=""9010022""","Alternative Pathways to Success","=""9010322""","*"
"Norwich Free Academy District","=""9010022""","LEAD (Life Skills, Education and Adult Development)","=""9010122""","*"
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",10.2
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""","*"
"Norwich School District","=""1040011""","ABA Autism Program","=""1040411""","*"
"Norwich School District","=""1040011""","IRS Program at Moriarty","=""1040911""","*"
"Norwich School District","=""1040011""","IRS Program at Uncas","=""1040711""","*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""",8.0
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""",9.6
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""",10.4
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""",4.7
"Norwich School District","=""1040011""","Special Needs Program","=""1040511""","*"
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""",8.1
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""",2.3
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""",8.8
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""",12.3
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""",7.1
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",4.3
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""",4.2
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""",2.4
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",12.3
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""","*"
"Orange School District","=""1070011""","Peck Place School","=""1070511""",2.7
"Orange School District","=""1070011""","Race Brook School","=""1070311""",3.8
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""",2.7
"Oxford School District","=""1080011""","Alternative Education","=""1080411""","*"
"Oxford School District","=""1080011""","Great Oak School","=""1085111""",7.7
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""",1.7
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",12.1
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""",2.1
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",6.3
"Path Academy District","=""2930013""","Path Academy","=""2930113""",100.0
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""",4.1
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",6.7
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",21.7
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""",4.2
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""",13.8
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""",5.4
"Plainville School District","=""1100011""","Linden Street School","=""1100211""",6.1
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""",4.1
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""",7.6
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",11.8
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""",6.5
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""",8.1
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""","*"
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""",3.4
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",20.4
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",2.6
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""",3.6
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""",11.1
"Portland School District","=""1130011""","Portland Middle School","=""1135111""",5.9
"Portland School District","=""1130011""","Valley View School","=""1130211""",4.8
"Preston School District","=""1140011""","Preston Plains School","=""1145111""",5.3
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""",4.3
"Putnam School District","=""1160011""","Helping Hands","=""1169011""","*"
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""","*"
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""",6.7
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",24.5
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""",16.2
"Redding School District","=""1170011""","John Read Middle School","=""1175111""",3.6
"Redding School District","=""1170011""","Redding Elementary School","=""1170111""",2.3
"Regional School District 01","=""2010012""","ALPSS","=""2010512""","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",10.5
"Regional School District 01","=""2010012""","LEAPSS","=""2010412""","*"
"Regional School District 01","=""2010012""","SELC","=""2010312""","*"
"Regional School District 01","=""2010012""","TOTAL","=""2010212""","*"
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""",4.1
"Regional School District 04","=""2040012""","Region 4 Transition Academy","=""2040112""","*"
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",7.9
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",8.1
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""",4.7
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",0.7
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""",5.3
"Regional School District 06","=""2060012""","James Morris School","=""2060212""","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",4.8
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""","*"
"Regional School District 07","=""2070012""","SAGE","=""3480415""","*"
"Regional School District 07","=""2070012""","AIM","=""2079112""","*"
"Regional School District 07","=""2070012""","FLEX","=""2079012""","*"
"Regional School District 07","=""2070012""","Highlander Transition Academy","=""2070112""","*"
"Regional School District 07","=""2070012""","Links","=""2079212""","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",3.1
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""","*"
"Regional School District 07","=""2070012""","STEP","=""2079312""",81.8
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",8.4
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""",3.0
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",9.2
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",3.0
"Regional School District 10","=""2100012""","Harwinton Consolidated School","=""2100312""",1.6
"Regional School District 10","=""2100012""","Lake Garda Elementary School","=""2100212""",1.9
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",13.8
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",9.7
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""","*"
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",7.6
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""","*"
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""","*"
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",9.2
"Regional School District 13","=""2130012""","Francis E. Korn School","=""2130212""",0.0
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""",4.7
"Regional School District 13","=""2130012""","Frederick Brewster School","=""2130112""","*"
"Regional School District 13","=""2130012""","John Lyman School","=""2130512""",2.8
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""",2.3
"Regional School District 13","=""2130012""","Middlesex Transition Academy","=""2130312""","*"
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""",3.8
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""",8.3
"Regional School District 14","=""2140012""","Nonnewaug Chiefs Alternative Program","=""2140312""","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",6.6
"Regional School District 14","=""2140012""","Region 14 Transition Academy","=""2140412""","*"
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""",3.9
"Regional School District 15","=""2150012""","Gainfield Elementary School","=""2150412""",1.6
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""",3.0
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""","*"
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""",2.9
"Regional School District 15","=""2150012""","Middlebury Elementary School","=""2150612""",2.7
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",3.3
"Regional School District 15","=""2150012""","Pomperaug School","=""2150512""",3.1
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""",3.1
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""",11.3
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""",6.1
"Regional School District 16","=""2160012""","Prospect Elementary School","=""2160512""",2.8
"Regional School District 16","=""2160012""","WRHS Alternative Education Program","=""2160412""","*"
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",9.4
"Regional School District 17","=""2170012""","Burr District Elementary School","=""2170212""","*"
"Regional School District 17","=""2170012""","Haddam Elementary School","=""2170112""",3.6
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",8.2
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""",2.3
"Regional School District 17","=""2170012""","Killingworth Elementary School","=""2170312""","*"
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""","*"
"Regional School District 18","=""2180012""","Lyme Consolidated School","=""2180112""",5.0
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",9.9
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""",4.6
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""",4.5
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",7.5
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""",36.0
"Regional School District 19","=""2190012""","PM Panthers","=""2190212""",54.5
"Regional School District 19","=""2190012""","STAAR Program","=""2190312""","*"
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""","*"
"Ridgefield School District","=""1180011""","Barlow Mountain Elementary School","=""1180811""","*"
"Ridgefield School District","=""1180011""","Branchville Elementary School","=""1180611""",1.8
"Ridgefield School District","=""1180011""","District Program BMES","=""1180111""","*"
"Ridgefield School District","=""1180011""","District Program ERMS","=""1181011""","*"
"Ridgefield School District","=""1180011""","District Program RES","=""1180711""","*"
"Ridgefield School District","=""1180011""","District Program SES","=""1180911""","*"
"Ridgefield School District","=""1180011""","East Ridge Middle School","=""1185111""",2.5
"Ridgefield School District","=""1180011""","Farmingville Elementary School","=""1180411""","*"
"Ridgefield School District","=""1180011""","Ridgebury Elementary School","=""1180311""",2.3
"Ridgefield School District","=""1180011""","Ridgefield 18-21 Transition Program","=""1189011""","*"
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",8.5
"Ridgefield School District","=""1180011""","Scotland Elementary School","=""1180511""","*"
"Ridgefield School District","=""1180011""","Scotts Ridge Middle School","=""1185211""",3.8
"Ridgefield School District","=""1180011""","Veterans Park Elementary School","=""1180211""",2.0
"Rocky Hill School District","=""1190011""","Albert D. Griswold Middle School","=""1195111""",6.7
"Rocky Hill School District","=""1190011""","Alternative Learning Program","=""1190111""","*"
"Rocky Hill School District","=""1190011""","Myrtle H. Stevens School","=""1190411""",7.1
"Rocky Hill School District","=""1190011""","Pathways","=""1190311""","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",8.0
"Rocky Hill School District","=""1190011""","West Hill School","=""1190511""",10.2
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""",4.8
"Salisbury School District","=""1220011""","Salisbury Central School","=""1220111""",4.4
"Scotland School District","=""1230011""","Scotland Elementary School","=""1230111""","*"
"Seymour School District","=""1240011""","Bungay School","=""1240111""",4.8
"Seymour School District","=""1240011""","Chatfield-LoPresti School","=""1240211""",6.8
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",11.8
"Seymour School District","=""1240011""","Seymour Middle School","=""1245111""",9.0
"Sharon School District","=""1250011""","Sharon Center School","=""1250111""",5.2
"Shelton School District","=""1260011""","Mohegan School","=""1260911""",3.1
"Shelton School District","=""1260011""","Alternative Learning Center 1","=""1260211""","*"
"Shelton School District","=""1260011""","Booth Hill School","=""1261011""",5.4
"Shelton School District","=""1260011""","Elizabeth Shelton School","=""1260511""",5.8
"Shelton School District","=""1260011""","Intermediate School","=""1265111""",9.4
"Shelton School District","=""1260011""","Life Skills","=""1260311""","*"
"Shelton School District","=""1260011""","Long Hill School","=""1260811""",11.8
"Shelton School District","=""1260011""","Perry Hill Elementary School","=""1261111""",7.7
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",26.5
"Shelton School District","=""1260011""","Sunnyside School","=""1260611""",4.4
"Shelton School District","=""1260011""","Work Experience","=""1260711""","*"
"Sherman School District","=""1270011""","Sherman School","=""1270111""",5.8
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",4.2
"Simsbury School District","=""1280011""","Central School","=""1280111""","*"
"Simsbury School District","=""1280011""","Farmington Valley Transition Academy","=""1280211""",22.6
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""",5.0
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""",2.4
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",7.4
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""",2.3
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""",2.9
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""",2.1
"Somers School District","=""1290011""","Aspire","=""1290511""","*"
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""",16.0
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""",3.0
"Somers School District","=""1290011""","Somers High School","=""1296111""",15.0
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""",1.9
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""",2.2
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""",4.1
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""","*"
"South Windsor School District","=""1320011""","Project Worth Young Adult Academy","=""1329011""","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",5.4
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""",2.9
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""",4.0
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""",5.6
"Southington School District","=""1310011""","Achieve","=""1311711""","*"
"Southington School District","=""1310011""","Alta","=""1310111""",75.0
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""",4.7
"Southington School District","=""1310011""","EASE","=""1310511""","*"
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""",4.0
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""",2.5
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""",5.6
"Southington School District","=""1310011""","Language Based Classroom","=""1310411""","*"
"Southington School District","=""1310011""","Language Based Classroom, Multihandicapped","=""1311811""","*"
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""",3.1
"Southington School District","=""1310011""","South End Elementary School","=""1310711""",6.4
"Southington School District","=""1310011""","Southington High School","=""1316211""",8.3
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""",4.4
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""",3.0
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""","*"
"Southington School District","=""1310011""","Therapeutic Educational Setting (TEP)","=""1311211""","*"
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""","*"
"Sprague School District","=""1330011""","Sayles School","=""1330111""",7.7
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""",5.2
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",10.9
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""",6.0
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""",7.4
"Stafford School District","=""1340011""","West Stafford School","=""1340411""",9.6
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",99.3
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""",8.2
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""",20.5
"Stamford School District","=""1350011""","Cloonan School","=""1355611""",39.9
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""",7.0
"Stamford School District","=""1350011""","Dolan School","=""1355311""",22.8
"Stamford School District","=""1350011""","Hart School","=""1352211""",5.9
"Stamford School District","=""1350011""","Individuals Achieving Independence","=""1350211""","*"
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""",7.8
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""",4.5
"Stamford School District","=""1350011""","Newfield School","=""1350611""",6.6
"Stamford School District","=""1350011""","Northeast School","=""1351811""",5.9
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""",10.0
"Stamford School District","=""1350011""","Rogers International School","=""1350811""",10.2
"Stamford School District","=""1350011""","Roxbury School","=""1350911""",11.7
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""",5.5
"Stamford School District","=""1350011""","Springdale School","=""1351111""",3.8
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",11.6
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""",11.2
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",7.0
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""",9.5
"Stamford School District","=""1350011""","Turn of River School","=""1355511""",26.5
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",16.5
"Stamford School District","=""1350011""","Westover School","=""1351411""",4.2
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",8.0
"Stonington School District","=""1370011""","Community Classroom","=""1370811""","*"
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""",3.1
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""",9.7
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""",4.5
"Stonington School District","=""1370011""","SAILS","=""1370711""","*"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",3.3
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""",8.2
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""",16.2
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""",7.3
"Stratford School District","=""1380011""","ABA Nichols","=""1382511""","*"
"Stratford School District","=""1380011""","ABA Second Hill Lane","=""1380611""","*"
"Stratford School District","=""1380011""","ABA Whitney","=""1382411""","*"
"Stratford School District","=""1380011""","ALPHA","=""1380511""",74.4
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",14.8
"Stratford School District","=""1380011""","Chapel School","=""1380311""",7.8
"Stratford School District","=""1380011""","DLC Whitney","=""1382311""","*"
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""",14.6
"Stratford School District","=""1380011""","Franklin STEPS K-2","=""1382111""","*"
"Stratford School District","=""1380011""","Franklin School","=""1380411""",6.6
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""",11.5
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""","*"
"Stratford School District","=""1380011""","High School Sails","=""1380711""","*"
"Stratford School District","=""1380011""","IPP Classroom - Johnson","=""1381111""","*"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""",8.2
"Stratford School District","=""1380011""","Middle School STEPS 7-8","=""1381911""","*"
"Stratford School District","=""1380011""","Middle School Sails","=""1381811""","*"
"Stratford School District","=""1380011""","Nichols School","=""1380911""",6.4
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""",6.1
"Stratford School District","=""1380011""","Steps K-2 Nichols","=""1382611""","*"
"Stratford School District","=""1380011""","Straford Academy - Victoria Soto School","=""1382211""",6.4
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""",3.7
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",23.3
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""",3.7
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""",5.3
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""",3.0
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",9.7
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""",3.7
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",8.6
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",4.9
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""",5.0
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""",4.6
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",9.0
"Thompson School District","=""1410011""","District Autism Program","=""1410211""","*"
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""",2.2
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""",5.0
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",18.1
"Tolland School District","=""1420011""","Birch Grove Primary School","=""1420111""",3.9
"Tolland School District","=""1420011""","TALC","=""1420311""","*"
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",7.8
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""",1.5
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""",4.2
"Torrington School District","=""1430011""","East School","=""1430111""",3.7
"Torrington School District","=""1430011""","ABC / Forbes School","=""1431511""","*"
"Torrington School District","=""1430011""","Forbes School","=""1430211""",6.9
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""","*"
"Torrington School District","=""1430011""","Southwest School","=""1430811""",7.1
"Torrington School District","=""1430011""","Torringford / ABC","=""1432411""","*"
"Torrington School District","=""1430011""","Torringford School","=""1430911""",4.7
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",15.6
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""",12.0
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""",5.3
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""",18.6
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""",2.8
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""",1.7
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""",2.0
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""",7.2
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""",3.6
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""",6.6
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""",6.8
"Trumbull School District","=""1440011""","REACH","=""1440511""","*"
"Trumbull School District","=""1440011""","Tashua School","=""1440911""",2.7
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""","*"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",5.1
"Unified School District #1","=""3360015""","Bridgeport Correctional Center","=""3360115""","*"
"Unified School District #1","=""3360015""","Cheshire Correctional Institution","=""3360315""","*"
"Unified School District #1","=""3360015""","Corrigan/Radgowski Correctional Institution","=""3362415""","*"
"Unified School District #1","=""3360015""","Enfield Correctional Institution","=""3360415""","*"
"Unified School District #1","=""3360015""","Garner Correctional Institution","=""3361915""","*"
"Unified School District #1","=""3360015""","Hartford Correctional Center","=""3360615""","*"
