"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","School","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","Hispanic or Latino",48.1,*
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","White",*,*
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","Black or African American",*,78.7
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","Hispanic or Latino",47.8,75.9
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","White",*,*
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","American Indian or Alaska Native",*,*
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","Black or African American",*,*
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","Hispanic or Latino",41.0,*
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","White",29.0,*
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","Black or African American",*,*
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","Hispanic or Latino",37.5,*
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","White",*,*
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","Asian",*,*
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","Black or African American",*,*
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","Hispanic or Latino",53.5,69.6
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","White",44.2,61.8
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","Black or African American",*,*
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","Hispanic or Latino",*,*
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","White",35.2,67.7
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","Asian",*,*
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","Black or African American",*,*
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","Hispanic or Latino",60.5,84.6
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","White",40.0,77.5
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","American Indian or Alaska Native",*,*
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","Hispanic or Latino",*,*
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","White",28.9,*
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","Asian",*,*
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","Black or African American",*,*
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","Hispanic or Latino",*,*
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","White",35.2,81.3
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","Black or African American",*,*
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","Hispanic or Latino",*,*
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","White",40.6,63.4
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","American Indian or Alaska Native",*,*
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","Black or African American",*,*
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","Hispanic or Latino",*,*
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","White",35.8,69.0
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","Asian",*,*
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","Black or African American",*,*
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","Hispanic or Latino",*,*
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","White",46.9,79.3
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","Asian",*,*
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","Black or African American",*,*
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","Hispanic or Latino",44.8,92.3
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","White",48.7,74.1
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","American Indian or Alaska Native",*,*
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","Asian",*,*
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","Black or African American",*,*
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","Hispanic or Latino",*,*
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","White",35.3,77.8
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","American Indian or Alaska Native",*,*
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","Asian",*,*
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","Black or African American",*,*
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","Hispanic or Latino",44.8,76.9
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","White",43.6,64.7
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","Hispanic or Latino",61.8,76.2
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","White",49.4,76.3
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","American Indian or Alaska Native",*,*
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","Asian",*,92.9
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","Black or African American",59.7,76.7
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","Hispanic or Latino",71.4,87.5
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","White",76.0,88.0
"The Gilbert School District","=""9020022""","The Gilbert School","Black or African American",*,*
"The Gilbert School District","=""9020022""","The Gilbert School","Hispanic or Latino",*,*
"The Gilbert School District","=""9020022""","The Gilbert School","White",79.8,73.3
"Woodstock Academy District","=""9030022""","Woodstock Academy","American Indian or Alaska Native",*,*
"Woodstock Academy District","=""9030022""","Woodstock Academy","Asian",*,*
"Woodstock Academy District","=""9030022""","Woodstock Academy","Hispanic or Latino",*,*
"Woodstock Academy District","=""9030022""","Woodstock Academy","White",83.1,89.6

