"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","School Code","School","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""1180011""","Ridgefield School District","=""1180211""","Veterans Park Elementary School",107,"59.8%","78.0%"
"=""1190011""","Rocky Hill School District","=""1195111""","Albert D. Griswold Middle School",585,"39.3%","55.9%"
"=""1190011""","Rocky Hill School District","=""1190411""","Myrtle H. Stevens School",136,"48.5%","72.5%"
"=""1190011""","Rocky Hill School District","=""1190511""","West Hill School",164,"57.9%","78.7%"
"=""1210011""","Salem School District","=""1210111""","Salem Elementary School",195,"58.5%","78.7%"
"=""1220011""","Salisbury School District","=""1220111""","Salisbury Central School",125,"47.2%","62.4%"
"=""1230011""","Scotland School District","=""1230111""","Scotland Elementary School",44,"61.4%","78.3%"
"=""1240011""","Seymour School District","=""1240111""","Bungay School",151,"41.7%","64.8%"
"=""1240011""","Seymour School District","=""1240211""","Chatfield-LoPresti School",159,"55.3%","74.6%"
"=""1240011""","Seymour School District","=""1245111""","Seymour Middle School",542,"31.2%","50.0%"
"=""1250011""","Sharon School District","=""1250111""","Sharon Center School",68,"44.1%","66.0%"
"=""1260011""","Shelton School District","=""1260211""","Behavior Modification","*","*","*"
"=""1260011""","Shelton School District","=""1261011""","Booth Hill School",59,"54.2%","77.3%"
"=""1260011""","Shelton School District","=""1260511""","Elizabeth Shelton School",88,"65.9%","90.5%"
"=""1260011""","Shelton School District","=""1265111""","Intermediate School",811,"41.6%","58.1%"
"=""1260011""","Shelton School District","=""1260811""","Long Hill School",74,"70.3%","90.5%"
"=""1260011""","Shelton School District","=""1260911""","Mohegan School",68,"51.5%","73.7%"
"=""1260011""","Shelton School District","=""1261111""","Perry Hill Elementary School",691,"55.6%","75.2%"
"=""1260011""","Shelton School District","=""1260611""","Sunnyside School","*","57.8%","82.4%"
"=""1270011""","Sherman School District","=""1270111""","Sherman School",99,"47.5%","70.2%"
"=""2700013""","Side By Side Charter School District","=""2700113""","Side By Side Charter School",108,"39.8%","60.3%"
"=""1280011""","Simsbury School District","=""1280111""","Central School",149,"60.4%","80.4%"
"=""1280011""","Simsbury School District","=""1285111""","Henry James Memorial School",668,"55.2%","71.9%"
"=""1280011""","Simsbury School District","=""1280611""","Latimer Lane School",172,"49.4%","69.3%"
"=""1280011""","Simsbury School District","=""1280711""","Squadron Line School",269,"56.5%","75.6%"
"=""1280011""","Simsbury School District","=""1280311""","Tariffville School",121,"57.9%","74.9%"
"=""1280011""","Simsbury School District","=""1280411""","Tootin' Hills School",170,"60.6%","79.6%"
"=""1290011""","Somers School District","=""1295111""","Mabelle B. Avery Middle School",324,"48.8%","66.8%"
"=""1290011""","Somers School District","=""1290411""","Somers Elementary School",210,"43.8%","66.5%"
"=""1320011""","South Windsor School District","=""1320711""","Eli Terry School",119,"48.7%","71.3%"
"=""1320011""","South Windsor School District","=""1320611""","Orchard Hill School",123,"57.7%","79.4%"
"=""1320011""","South Windsor School District","=""1320111""","Philip R. Smith School",137,"61.3%","84.9%"
"=""1320011""","South Windsor School District","=""1320211""","Pleasant Valley School",122,"57.4%","79.9%"
"=""1320011""","South Windsor School District","=""1325111""","Timothy Edwards School",921,"45.1%","60.7%"
"=""1320011""","South Windsor School District","=""1320411""","Wapping Elementary School",83,"60.2%","78.9%"
"=""1310011""","Southington School District","=""1311511""","Derynoski Elementary School",209,"37.3%","58.4%"
"=""1310011""","Southington School District","=""1310511""","EASE","*","*","*"
"=""1310011""","Southington School District","=""1311311""","Flanders Elementary School",103,"46.6%","67.0%"
"=""1310011""","Southington School District","=""1310211""","Hatton Elementary School",125,"36.0%","60.7%"
"=""1310011""","Southington School District","=""1315311""","John F. Kennedy Middle School",804,"38.3%","57.7%"
"=""1310011""","Southington School District","=""1315111""","Joseph A. Depaolo Middle School",706,"39.2%","57.6%"
"=""1310011""","Southington School District","=""1310411""","Language Based Classroom at Hatton School","*","*","*"
"=""1310011""","Southington School District","=""1310611""","Plantsville Elementary School",90,"38.9%","64.1%"
"=""1310011""","Southington School District","=""1310711""","South End Elementary School",80,"46.3%","63.8%"
"=""1310011""","Southington School District","=""1310811""","Strong Elementary School",112,"38.4%","55.0%"
"=""1310011""","Southington School District","=""1310911""","Thalberg Elementary School",137,"36.5%","62.9%"
"=""1310011""","Southington School District","=""1311611""","Therapeutic Educational Alternative Model (TEAM)",6,"*","*"
"=""1310011""","Southington School District","=""1311411""","Urbin T. Kelley School",112,"56.3%","75.8%"
"=""1330011""","Sprague School District","=""1330111""","Sayles School",164,"42.7%","61.8%"
"=""1340011""","Stafford School District","=""1340611""","Stafford Elementary School",230,"36.1%","62.5%"
"=""1340011""","Stafford School District","=""1345211""","Stafford Middle School",303,"51.5%","68.9%"
"=""1350011""","Stamford School District","=""1355611""","Cloonan School",479,"37.2%","57.1%"
"=""1350011""","Stamford School District","=""1352011""","Davenport Ridge School",157,"44.6%","68.0%"
"=""1350011""","Stamford School District","=""1355311""","Dolan School",452,"44.7%","65.1%"
"=""1350011""","Stamford School District","=""1352211""","Hart School",181,"47.0%","69.3%"
"=""1350011""","Stamford School District","=""1351211""","Julia A. Stark School",180,"45.6%","71.3%"
"=""1350011""","Stamford School District","=""1350511""","K. T. Murphy School",116,"49.1%","75.8%"
"=""1350011""","Stamford School District","=""1350611""","Newfield School",186,"37.6%","65.7%"
"=""1350011""","Stamford School District","=""1351811""","Northeast School",193,"44.0%","70.4%"
"=""1350011""","Stamford School District","=""1355811""","Rippowam Middle School",731,"38.0%","56.7%"
"=""1350011""","Stamford School District","=""1350811""","Rogers International School",423,"43.0%","64.0%"
"=""1350011""","Stamford School District","=""1350911""","Roxbury School",173,"49.1%","77.7%"
"=""1350011""","Stamford School District","=""1355711""","Scofield Middle School",680,"42.4%","59.9%"
"=""1350011""","Stamford School District","=""1351111""","Springdale School",194,"36.1%","65.0%"
"=""1350011""","Stamford School District","=""1352111""","Stillmeadow School",198,"48.5%","72.9%"
"=""1350011""","Stamford School District","=""1351911""","Toquam Magnet School",184,"44.6%","69.7%"
"=""1350011""","Stamford School District","=""1355511""","Turn of River School",485,"34.8%","50.1%"
"=""1350011""","Stamford School District","=""1351411""","Westover School",188,"48.4%","73.9%"
"=""1360011""","Sterling School District","=""1360311""","Sterling Community School",227,"41.4%","64.4%"
"=""1370011""","Stonington School District","=""1370511""","Deans Mill School",78,"64.1%","77.8%"
"=""1370011""","Stonington School District","=""1375211""","Mystic Middle School",361,"41.0%","55.1%"
"=""1370011""","Stonington School District","=""1375111""","Pawcatuck Middle School",244,"48.0%","64.6%"
"=""1370011""","Stonington School District","=""1370411""","West Broad Street School",71,"38.0%","65.3%"
"=""1380011""","Stratford School District","=""1380311""","Chapel School",204,"40.2%","65.8%"
"=""1380011""","Stratford School District","=""1385211""","David Wooster Middle School",516,"28.3%","45.5%"
"=""1380011""","Stratford School District","=""1381311""","Eli Whitney School",222,"53.2%","74.1%"
"=""1380011""","Stratford School District","=""1380411""","Franklin School",90,"35.6%","62.8%"
"=""1380011""","Stratford School District","=""1385311""","Harry B. Flood Middle School",524,"29.2%","47.8%"
"=""1380011""","Stratford School District","=""1381211""","Johnson House STEPS 3-6","*","*","*"
"=""1380011""","Stratford School District","=""1380811""","Lordship School",98,"51.0%","78.2%"
"=""1380011""","Stratford School District","=""1381911""","Middle School STEPS 7-8","*","*","*"
"=""1380011""","Stratford School District","=""1380911""","Nichols School",182,"46.7%","70.7%"
"=""1380011""","Stratford School District","=""1381011""","Second Hill Lane School",238,"48.7%","72.8%"
"=""1380011""","Stratford School District","=""1381511""","Stratford Academy - Johnson House",295,"52.2%","73.7%"
"=""1380011""","Stratford School District","=""1381411""","Wilcoxson School",145,"36.6%","59.9%"
"=""1390011""","Suffield School District","=""1390311""","McAlister Intermediate School",294,"51.7%","71.5%"
"=""1390011""","Suffield School District","=""1395111""","Suffield Middle School",519,"38.9%","55.6%"
"=""2690013""","The Bridge Academy District","=""2696113""","The Bridge Academy",97,"25.8%","45.0%"
"=""9020022""","The Gilbert School District","=""9026122""","The Gilbert School",157,"27.4%","43.7%"
"=""1400011""","Thomaston School District","=""1400211""","Thomaston Center School",209,"42.1%","66.9%"
"=""1400011""","Thomaston School District","=""1406211""","Thomaston High School",162,"37.0%","61.7%"
"=""1410011""","Thompson School District","=""1410111""","Mary R. Fisher Elementary School",71,"19.7%","38.1%"
"=""1410011""","Thompson School District","=""1415111""","Thompson Middle School",299,"26.4%","46.2%"
"=""1420011""","Tolland School District","=""1420211""","Tolland Intermediate School",360,"53.6%","73.7%"
"=""1420011""","Tolland School District","=""1425111""","Tolland Middle School",644,"41.5%","59.5%"
"=""1430011""","Torrington School District","=""1430111""","East School",91,"37.4%","61.3%"
"=""1430011""","Torrington School District","=""1430211""","Forbes School",108,"31.5%","58.5%"
"=""1430011""","Torrington School District","=""1430811""","Southwest School",80,"57.5%","84.1%"
"=""1430011""","Torrington School District","=""1430911""","Torringford School",224,"32.6%","56.1%"
"=""1430011""","Torrington School District","=""1435111""","Torrington Middle School",858,"26.9%","44.9%"
"=""1430011""","Torrington School District","=""1431311""","Vogel-Wetmore School",114,"33.3%","57.3%"
"=""2780013""","Trailblazers Academy District","=""2785113""","Trailblazers Academy",105,"21.9%","41.9%"
"=""1440011""","Trumbull School District","=""1440111""","Booth Hill School",164,"72.0%","90.7%"
"=""1440011""","Trumbull School District","=""1440811""","Daniels Farm School",155,"63.9%","82.4%"
"=""1440011""","Trumbull School District","=""1441011""","Frenchtown Elementary School",199,"56.3%","81.0%"
"=""1440011""","Trumbull School District","=""1445211""","Hillcrest Middle School",686,"78.9%","94.1%"
"=""1440011""","Trumbull School District","=""1440411""","Jane Ryan School",125,"72.0%","88.2%"
"=""1440011""","Trumbull School District","=""1445111""","Madison Middle School",714,"63.3%","79.9%"
"=""1440011""","Trumbull School District","=""1440311""","Middlebrook School",168,"64.3%","88.4%"
"=""1440011""","Trumbull School District","=""1440911""","Tashua School",124,"68.5%","88.0%"
"=""3470015""","Unified School District #2","=""3470315""","Riverview School","*","*","*"
"=""1450011""","Union School District","=""1450111""","Union Elementary School",39,"46.2%","63.9%"
"=""1460011""","Vernon School District","=""1461411""","Center Road School",159,"42.1%","63.7%"
"=""1460011""","Vernon School District","=""1460111""","Lake Street School",66,"45.5%","63.7%"
"=""1460011""","Vernon School District","=""1460511""","Loveland Hill School",6,"*","*"
"=""1460011""","Vernon School District","=""1460211""","Maple Street School",65,"43.1%","69.5%"
"=""1460011""","Vernon School District","=""1460311""","Northeast School",76,"50.0%","75.6%"
"=""1460011""","Vernon School District","=""1461011""","Skinner Road School",80,"35.0%","56.0%"
"=""1460011""","Vernon School District","=""1465111""","Vernon Center Middle School",616,"38.5%","57.2%"
"=""1470011""","Voluntown School District","=""1470111""","Voluntown Elementary School",142,"37.3%","58.9%"
"=""1480011""","Wallingford School District","=""1489011""","A.R.T.S. Academy","*","*","*"
"=""1480011""","Wallingford School District","=""1485211""","Dag Hammarskjold Middle School",683,"40.8%","60.1%"
"=""1480011""","Wallingford School District","=""1489211""","Harvest Park","*","*","*"
"=""1480011""","Wallingford School District","=""1485311""","James H. Moran Middle School",658,"42.2%","62.5%"
"=""1480011""","Wallingford School District","=""1480311""","Parker Farms School",162,"43.2%","67.7%"
"=""1480011""","Wallingford School District","=""1481211""","Pond Hill School",220,"55.5%","79.4%"
"=""1480011""","Wallingford School District","=""1480411""","Rock Hill School",204,"39.7%","65.3%"
"=""1480011""","Wallingford School District","=""1480811""","Yalesville School",214,"57.9%","81.1%"
"=""1510011""","Waterbury School District","=""1512111""","B. W. Tinker School",188,"26.1%","51.5%"
"=""1510011""","Waterbury School District","=""1510411""","B.W. Tinker BDLC",7,"*","*"
"=""1510011""","Waterbury School District","=""1510511""","Bucks Hill School",93,"17.2%","36.8%"
"=""1510011""","Waterbury School District","=""1510111""","Bunker Hill BDLC","*","*","*"
"=""1510011""","Waterbury School District","=""1510611""","Bunker Hill School",129,"27.9%","60.5%"
"=""1510011""","Waterbury School District","=""1512711""","Carrington School",247,"30.8%","54.7%"
"=""1510011""","Waterbury School District","=""1510911""","Driggs School",126,"30.2%","63.3%"
"=""1510011""","Waterbury School District","=""1511611""","Duggan School",190,"46.8%","70.1%"
"=""1510011""","Waterbury School District","=""1519111""","Enlightenment School",34,"11.8%","33.0%"
"=""1510011""","Waterbury School District","=""1513911""","Excel III","*","*","*"
"=""1510011""","Waterbury School District","=""1511411""","F. J. Kingsbury School",149,"38.9%","67.9%"
"=""1510011""","Waterbury School District","=""1512611""","Gilmartin School",229,"40.2%","65.9%"
"=""1510011""","Waterbury School District","=""1510711""","H. S. Chase School",223,"29.6%","56.5%"
"=""1510011""","Waterbury School District","=""1511311""","Hopeville School",93,"32.3%","64.3%"
"=""1510011""","Waterbury School District","=""1513111""","Maloney Interdistrict Magnet School",163,"30.7%","57.7%"
"=""1510011""","Waterbury School District","=""1511111""","Margaret M. Generali Elementary School",134,"31.3%","59.3%"
"=""1510011""","Waterbury School District","=""1515111""","Michael F. Wallace Middle School",1029,"30.3%","49.3%"
"=""1510011""","Waterbury School District","=""1515311""","North End Middle School",840,"34.2%","56.5%"
"=""1510011""","Waterbury School District","=""1513411""","Reed School",179,"35.8%","58.6%"
"=""1510011""","Waterbury School District","=""1512811""","Regan School",79,"44.3%","72.9%"
"=""1510011""","Waterbury School District","=""1513311""","Rotella Interdistrict Magnet School",185,"30.8%","55.4%"
"=""1510011""","Waterbury School District","=""1512011""","Sprague School",110,"16.4%","46.5%"
"=""1510011""","Waterbury School District","=""1519011""","State Street School",11,"*","*"
"=""1510011""","Waterbury School District","=""1512211""","Walsh School",105,"43.8%","76.0%"
"=""1510011""","Waterbury School District","=""1512311""","Washington School",79,"34.2%","65.8%"
"=""1510011""","Waterbury School District","=""1515011""","Waterbury Arts Magnet School (Middle)",310,"33.2%","51.7%"
"=""1510011""","Waterbury School District","=""1510811""","Wendell L. Cross School",82,"39.0%","63.3%"
"=""1510011""","Waterbury School District","=""1515211""","West Side Middle School",862,"37.9%","59.9%"
"=""1510011""","Waterbury School District","=""1511211""","Woodrow Wilson BDLC","*","*","*"
"=""1510011""","Waterbury School District","=""1513211""","Woodrow Wilson School",88,"46.6%","73.5%"
"=""1520011""","Waterford School District","=""1525111""","Clark Lane Middle School",625,"41.8%","60.2%"
"=""1520011""","Waterford School District","=""1520211""","Great Neck Elementary School",98,"58.2%","77.0%"
"=""1520011""","Waterford School District","=""1520611""","Oswegatchie Elementary School",119,"41.2%","63.5%"
"=""1520011""","Waterford School District","=""1520711""","Quaker Hill Elementary School",116,"45.7%","70.0%"
"=""1530011""","Watertown School District","=""1530311""","Fletcher W. Judson School",185,"47.6%","71.2%"
"=""1530011""","Watertown School District","=""1530411""","Polk School",219,"38.4%","65.8%"
"=""1530011""","Watertown School District","=""1535111""","Swift Middle School",634,"48.1%","67.9%"
"=""1550011""","West Hartford School District","=""1551611""","Aiken School",127,"46.5%","69.5%"
"=""1550011""","West Hartford School District","=""1559311""","Braeburn Learning Center","*","*","*"
"=""1550011""","West Hartford School District","=""1550211""","Braeburn School",111,"57.7%","77.6%"
"=""1550011""","West Hartford School District","=""1555311""","Bristow Middle School",410,"46.3%","61.9%"
"=""1550011""","West Hartford School District","=""1550411""","Bugbee School",157,"56.7%","71.3%"
"=""1550011""","West Hartford School District","=""1550511""","Charter Oak International Academy","*","23.9%","57.9%"
"=""1550011""","West Hartford School District","=""1550611""","Duffy School",165,"53.9%","76.6%"
"=""1550011""","West Hartford School District","=""1555111""","King Philip Middle School",874,"41.6%","58.4%"
"=""1550011""","West Hartford School District","=""1550911""","Morley School",102,"55.9%","72.7%"
"=""1550011""","West Hartford School District","=""1551011""","Norfeldt School",117,"42.7%","66.0%"
"=""1550011""","West Hartford School District","=""1555211""","Sedgwick Middle School",811,"39.8%","54.1%"
"=""1550011""","West Hartford School District","=""1551711""","Smith School",105,"51.4%","74.0%"
"=""1550011""","West Hartford School District","=""1551211""","Webster Hill School",133,"46.6%","70.7%"
"=""1550011""","West Hartford School District","=""1551311""","Whiting Lane School",131,"57.3%","79.9%"
"=""1550011""","West Hartford School District","=""1551511""","Wolcott School",158,"32.9%","55.1%"
"=""1560011""","West Haven School District","=""1561111""","ASD Lab","*","*","*"
"=""1560011""","West Haven School District","=""1560811""","Alma E. Pagels School",50,"44.0%","72.5%"
"=""1560011""","West Haven School District","=""1565311""","Carrigan 5/6 Intermediate School",818,"42.1%","66.0%"
"=""1560011""","West Haven School District","=""1560611""","Edith E. Mackrille School","*","55.1%","81.4%"
"=""1560011""","West Haven School District","=""1560311""","Forest School",69,"33.3%","60.7%"
"=""1560011""","West Haven School District","=""1565111""","Harry M. Bailey Middle School",757,"33.0%","52.1%"
"=""1560011""","West Haven School District","=""1561411""","Savin Rock Community School",87,"36.8%","66.3%"
"=""1560011""","West Haven School District","=""1560411""","Seth G. Haley School",81,"45.7%","75.0%"
"=""1560011""","West Haven School District","=""1561211""","Washington School",80,"38.8%","59.8%"
"=""1540011""","Westbrook School District","=""1540211""","Daisy Ingraham School",46,"63.0%","88.0%"
"=""1540011""","Westbrook School District","=""1545111""","Westbrook Middle School",212,"47.6%","67.6%"
"=""1570011""","Weston School District","=""1570211""","Weston Intermediate School",335,"51.3%","74.6%"
"=""1570011""","Weston School District","=""1575111""","Weston Middle School",550,"48.0%","65.6%"
"=""1580011""","Westport School District","=""1585111""","Bedford Middle School",757,"41.3%","55.1%"
"=""1580011""","Westport School District","=""1580311""","Coleytown Elementary School",143,"46.9%","65.9%"
"=""1580011""","Westport School District","=""1585311""","Coleytown Middle School",495,"44.8%","60.3%"
"=""1580011""","Westport School District","=""1580411""","Green's Farms School",140,"57.9%","77.3%"
"=""1580011""","Westport School District","=""1580211""","Green's Farms Segregated","*","*","*"
"=""1580011""","Westport School District","=""1580511""","King's Highway Elementary School",160,"45.0%","69.1%"
"=""1580011""","Westport School District","=""1580611""","King's Highway Segregated","*","*","*"
"=""1580011""","Westport School District","=""1580711""","Long Lots School",195,"61.5%","82.6%"
"=""1580011""","Westport School District","=""1580811""","Saugatuck Elementary School",164,"54.3%","74.8%"
"=""1590011""","Wethersfield School District","=""1590811""","Alfred W. Hanmer School",149,"69.8%","89.1%"
"=""1590011""","Wethersfield School District","=""1591011""","Charles Wright School",138,"60.9%","83.3%"
"=""1590011""","Wethersfield School District","=""1590211""","Emerson-Williams School",164,"54.9%","74.4%"
"=""1590011""","Wethersfield School District","=""1591111""","Highcrest School",180,"47.8%","67.9%"
"=""1590011""","Wethersfield School District","=""1591211""","Samuel B. Webb Elementary School",132,"45.5%","65.8%"
"=""1590011""","Wethersfield School District","=""1595211""","Silas Deane Middle School",512,"54.5%","71.5%"
"=""1600011""","Willington School District","=""1600111""","Center School",48,"39.6%","60.1%"
"=""1600011""","Willington School District","=""1605111""","Hall Memorial School",170,"50.0%","71.7%"
"=""1610011""","Wilton School District","=""1610711""","Cider Mill School",635,"59.8%","80.3%"
"=""1610011""","Wilton School District","=""1615211""","Middlebrook School",955,"53.9%","71.0%"
"=""1620011""","Winchester School District","=""1620211""","Mary P. Hinsdale School",65,"27.7%","49.3%"
"=""1620011""","Winchester School District","=""1625111""","Pearson Middle School",151,"45.7%","69.1%"
"=""1630011""","Windham School District","=""1630411""","Charles H. Barrows STEM Academy",277,"53.8%","76.6%"
"=""1630011""","Windham School District","=""1630111""","Natchaug School",80,"40.0%","68.1%"
"=""1630011""","Windham School District","=""1630311""","North Windham School",127,"44.9%","70.0%"
"=""1630011""","Windham School District","=""1630611""","W. B. Sweeney School",73,"58.9%","88.0%"
"=""1630011""","Windham School District","=""1630511""","Windham Center School",73,"32.9%","61.8%"
"=""1630011""","Windham School District","=""1635111""","Windham Middle School",489,"38.2%","58.4%"
"=""1650011""","Windsor Locks School District","=""1650411""","South Elementary School",250,"44.0%","70.0%"
"=""1650011""","Windsor Locks School District","=""1655111""","Windsor Locks Middle School",330,"42.7%","64.3%"
"=""1640011""","Windsor School District","=""1640111""","Clover Street School",169,"42.6%","63.2%"
"=""1640011""","Windsor School District","=""1640811""","John F. Kennedy School",236,"34.3%","61.0%"
"=""1640011""","Windsor School District","=""1645311""","Sage Park Middle School",616,"33.6%","51.8%"
"=""1660011""","Wolcott School District","=""1660311""","ABC Classroom","*","*","*"
"=""1660011""","Wolcott School District","=""1660611""","Alcott School","*","53.3%","71.5%"
"=""1660011""","Wolcott School District","=""1660211""","Frisbie School",115,"61.7%","82.3%"
"=""1660011""","Wolcott School District","=""1665111""","Tyrrell Middle School",579,"41.1%","59.6%"
"=""1660011""","Wolcott School District","=""1660511""","Wakelee School",109,"38.5%","64.2%"
"=""1670011""","Woodbridge School District","=""1670311""","Beecher Road School",286,"64.3%","82.2%"
"=""1690011""","Woodstock School District","=""1690211""","Woodstock Elementary School",73,"50.7%","74.0%"
"=""1690011""","Woodstock School District","=""1695111""","Woodstock Middle School",383,"40.5%","58.0%"

