"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","School Code","School","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0890011""","New Britain School District","=""0890611""","Holmes School","Non-Special Education",101,"45.5%","73.8%"
"=""0890011""","New Britain School District","=""0895411""","House of Arts Letters and Science (HALS)  Academy","Special Education","*","*","*"
"=""0890011""","New Britain School District","=""0895411""","House of Arts Letters and Science (HALS)  Academy","Non-Special Education","*","49.3%","64.5%"
"=""0890011""","New Britain School District","=""0890711""","Jefferson School","Special Education",19,"*","*"
"=""0890011""","New Britain School District","=""0890711""","Jefferson School","Non-Special Education",102,"33.3%","59.4%"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School","Special Education",16,"*","*"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School","Non-Special Education",126,"25.4%","51.6%"
"=""0890011""","New Britain School District","=""0899011""","New Britain Transition Center","Special Education","*","*","*"
"=""0890011""","New Britain School District","=""0899011""","New Britain Transition Center","Non-Special Education","*","*","*"
"=""0890011""","New Britain School District","=""0890911""","Northend School","Special Education",15,"*","*"
"=""0890011""","New Britain School District","=""0890911""","Northend School","Non-Special Education",64,"32.8%","58.9%"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","Special Education",102,"26.5%","45.0%"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","Non-Special Education",525,"30.5%","50.6%"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","Special Education",81,"22.2%","43.2%"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","Non-Special Education",540,"25.4%","44.3%"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy","Special Education",32,"12.5%","51.4%"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy","Non-Special Education",123,"25.2%","53.6%"
"=""0890011""","New Britain School District","=""0891311""","Smith School","Special Education",21,"42.9%","63.7%"
"=""0890011""","New Britain School District","=""0891311""","Smith School","Non-Special Education",149,"16.8%","39.9%"
"=""0890011""","New Britain School District","=""0891811""","Steps","Special Education","*","20.8%","45.8%"
"=""0890011""","New Britain School District","=""0891811""","Steps","Non-Special Education","*","*","*"
"=""0890011""","New Britain School District","=""0890411""","Sunrise Intermediate","Special Education",7,"*","*"
"=""0890011""","New Britain School District","=""0890211""","Sunrise Primary","Special Education","*","*","*"
"=""0890011""","New Britain School District","=""0891511""","Vance School","Special Education",24,"8.3%","49.9%"
"=""0890011""","New Britain School District","=""0891511""","Vance School","Non-Special Education",127,"33.9%","60.0%"
"=""0900011""","New Canaan School District","=""0900411""","East School","Special Education",11,"*","*"
"=""0900011""","New Canaan School District","=""0900411""","East School","Non-Special Education",102,"82.4%","99.5%"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","Special Education",126,"37.3%","56.8%"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","Non-Special Education",1118,"49.3%","64.5%"
"=""0900011""","New Canaan School District","=""0900211""","South School","Special Education",15,"*","*"
"=""0900011""","New Canaan School District","=""0900211""","South School","Non-Special Education",102,"65.7%","80.5%"
"=""0900011""","New Canaan School District","=""0900311""","West School","Special Education",7,"*","*"
"=""0900011""","New Canaan School District","=""0900311""","West School","Non-Special Education",74,"71.6%","87.3%"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School","Special Education",21,"28.6%","56.3%"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School","Non-Special Education",269,"53.5%","75.9%"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School","Special Education",40,"52.5%","70.4%"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School","Non-Special Education",465,"50.3%","69.1%"
"=""0920011""","New Hartford School District","=""0920311""","Ann Antolini School","Special Education",21,"28.6%","63.7%"
"=""0920011""","New Hartford School District","=""0920311""","Ann Antolini School","Non-Special Education",176,"44.9%","66.8%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School","Special Education",31,"6.5%","36.0%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School","Non-Special Education",186,"25.3%","50.4%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School","Special Education",32,"21.9%","34.1%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School","Non-Special Education",210,"27.1%","49.7%"
"=""0930011""","New Haven School District","=""0930311""","Beecher School","Special Education",27,"55.6%","74.2%"
"=""0930011""","New Haven School District","=""0930311""","Beecher School","Non-Special Education",193,"46.6%","71.5%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","Special Education",34,"41.2%","63.2%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","Non-Special Education",196,"54.1%","79.5%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","Special Education",41,"43.9%","69.8%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","Non-Special Education",391,"41.2%","64.9%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","Special Education",32,"28.1%","59.4%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","Non-Special Education",177,"35.6%","58.7%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","Special Education",29,"10.3%","35.7%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","Non-Special Education",148,"35.8%","60.7%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","Special Education",28,"21.4%","51.3%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","Non-Special Education",133,"33.8%","59.0%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","Special Education",47,"23.4%","55.5%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","Non-Special Education",187,"44.4%","69.8%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","Special Education",44,"20.5%","52.5%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","Non-Special Education",216,"39.8%","67.4%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","Special Education",34,"29.4%","49.8%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","Non-Special Education",170,"38.2%","64.7%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","Special Education",34,"44.1%","68.4%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","Non-Special Education",283,"53.4%","77.9%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","Special Education",37,"32.4%","60.3%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","Non-Special Education",180,"41.1%","66.7%"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","Special Education",11,"*","*"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","Non-Special Education",6,"*","*"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","Special Education",25,"36.0%","72.6%"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","Non-Special Education",194,"33.0%","57.0%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","Special Education",24,"41.7%","52.5%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","Non-Special Education",200,"43.5%","65.6%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","Special Education",18,"*","*"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","Non-Special Education",232,"38.8%","59.2%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","Special Education",40,"20.0%","48.6%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","Non-Special Education",290,"42.1%","64.4%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","Special Education",32,"31.3%","49.6%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","Non-Special Education",201,"28.4%","54.7%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","Special Education",29,"34.5%","57.8%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","Non-Special Education",188,"39.9%","65.6%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","Special Education",27,"18.5%","43.5%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","Non-Special Education",250,"46.0%","72.4%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","Special Education",42,"21.4%","41.0%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","Non-Special Education",190,"36.8%","63.3%"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School","Special Education",12,"*","*"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School","Non-Special Education",73,"46.6%","78.1%"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School","Special Education",25,"32.0%","55.6%"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School","Non-Special Education",202,"49.0%","70.3%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School","Special Education",34,"20.6%","51.0%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School","Non-Special Education",196,"45.9%","67.5%"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School","Special Education",7,"*","*"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School","Non-Special Education",32,"68.8%","93.2%"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School","Special Education",33,"21.2%","46.4%"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School","Non-Special Education",285,"29.8%","54.3%"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School","Special Education","*","*","*"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School","Non-Special Education","*","44.8%","71.4%"
"=""0930011""","New Haven School District","=""0932911""","Truman School","Special Education",26,"19.2%","56.7%"
"=""0930011""","New Haven School District","=""0932911""","Truman School","Non-Special Education",187,"37.4%","63.6%"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy","Special Education","*","*","*"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy","Non-Special Education","*","*","*"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School","Special Education",33,"24.2%","50.3%"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School","Non-Special Education",122,"27.0%","54.9%"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School","Special Education",19,"*","*"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School","Non-Special Education",153,"65.4%","82.2%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School","Special Education",66,"27.3%","45.6%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School","Non-Special Education",443,"23.9%","41.3%"
"=""0950011""","New London School District","=""0950311""","Jennings School","Special Education",20,"25.0%","72.2%"
"=""0950011""","New London School District","=""0950311""","Jennings School","Non-Special Education",127,"43.3%","71.7%"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School","Special Education",27,"29.6%","53.7%"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School","Non-Special Education",145,"38.6%","63.6%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School","Special Education",29,"44.8%","71.3%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School","Non-Special Education",118,"43.2%","68.5%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School","Special Education",65,"36.9%","61.4%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School","Non-Special Education",523,"39.2%","63.0%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School","Special Education",115,"35.7%","54.8%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School","Non-Special Education",764,"42.0%","60.6%"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School","Special Education","*","*","*"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School","Non-Special Education","*","64.2%","86.7%"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School","Special Education",8,"*","*"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School","Non-Special Education",51,"47.1%","73.2%"
"=""0940011""","Newington School District","=""0940811""","John Paterson School","Special Education",8,"*","*"
"=""0940011""","Newington School District","=""0940811""","John Paterson School","Non-Special Education",69,"33.3%","56.3%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School","Special Education",70,"25.7%","46.6%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School","Non-Special Education",564,"41.8%","62.2%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School","Special Education",61,"18.0%","37.2%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School","Non-Special Education",530,"32.5%","52.0%"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School","Special Education",7,"*","*"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School","Non-Special Education",64,"32.8%","61.8%"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School","Special Education",7,"*","*"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School","Non-Special Education",62,"53.2%","83.6%"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School","Special Education",6,"*","*"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School","Non-Special Education",65,"69.2%","84.3%"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School","Special Education",8,"*","*"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School","Non-Special Education",70,"34.3%","61.5%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School","Special Education",46,"28.3%","51.4%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School","Non-Special Education",720,"45.8%","60.4%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School","Special Education",75,"33.3%","51.0%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School","Non-Special Education",578,"46.2%","65.3%"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School","Special Education",7,"*","*"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School","Non-Special Education",59,"52.5%","76.1%"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School","Special Education",9,"*","*"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School","Non-Special Education",35,"51.4%","74.1%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School","Special Education",61,"29.5%","56.4%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School","Non-Special Education",377,"46.4%","65.3%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School","Special Education",39,"20.5%","49.5%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School","Non-Special Education",226,"46.0%","67.9%"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School","Special Education",11,"*","*"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School","Non-Special Education",99,"61.6%","82.1%"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School","Special Education",7,"*","*"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School","Non-Special Education",92,"52.2%","79.2%"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School","Special Education",18,"*","*"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School","Non-Special Education",81,"64.2%","87.7%"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School","Special Education",18,"*","*"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School","Non-Special Education",82,"59.8%","83.5%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School","Special Education",62,"53.2%","80.9%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School","Non-Special Education",644,"72.5%","89.9%"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School","Special Education",13,"*","*"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School","Non-Special Education",108,"74.1%","93.2%"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School","Special Education","*","*","*"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School","Non-Special Education","*","63.6%","83.0%"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School","Special Education",10,"*","*"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School","Non-Special Education",154,"40.3%","55.3%"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School","Special Education",12,"*","*"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School","Non-Special Education",118,"40.7%","62.4%"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School","Special Education",15,"*","*"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School","Non-Special Education",66,"43.9%","69.8%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School","Special Education",21,"14.3%","34.3%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School","Non-Special Education",106,"39.6%","62.1%"
"=""1030011""","Norwalk School District","=""1032011""","Fox Run Elementary School","Special Education",15,"*","*"
"=""1030011""","Norwalk School District","=""1032011""","Fox Run Elementary School","Non-Special Education",111,"28.8%","55.2%"
"=""1030011""","Norwalk School District","=""1030711""","Jefferson Magnet School","Special Education",11,"*","*"
"=""1030011""","Norwalk School District","=""1030711""","Jefferson Magnet School","Non-Special Education",175,"38.3%","61.1%"
"=""1030011""","Norwalk School District","=""1030811""","Kendall Elementary School","Special Education",9,"*","*"
"=""1030011""","Norwalk School District","=""1030811""","Kendall Elementary School","Non-Special Education",156,"42.3%","66.1%"
"=""1030011""","Norwalk School District","=""1032211""","Marvin Elementary School","Special Education",18,"*","*"
"=""1030011""","Norwalk School District","=""1032211""","Marvin Elementary School","Non-Special Education",130,"33.8%","59.8%"
"=""1030011""","Norwalk School District","=""1032111""","Naramake Elementary School","Special Education",20,"25.0%","57.1%"
"=""1030011""","Norwalk School District","=""1032111""","Naramake Elementary School","Non-Special Education",111,"40.5%","61.0%"
"=""1030011""","Norwalk School District","=""1035211""","Nathan Hale Middle School","Special Education",88,"26.1%","45.9%"
"=""1030011""","Norwalk School District","=""1035211""","Nathan Hale Middle School","Non-Special Education",521,"34.9%","53.3%"
"=""1030011""","Norwalk School District","=""1035311""","Ponus Ridge Middle School","Special Education",89,"20.2%","44.7%"
"=""1030011""","Norwalk School District","=""1035311""","Ponus Ridge Middle School","Non-Special Education",519,"34.3%","55.7%"
"=""1030011""","Norwalk School District","=""1035511""","Roton Middle School","Special Education",45,"26.7%","50.8%"
"=""1030011""","Norwalk School District","=""1035511""","Roton Middle School","Non-Special Education",393,"39.9%","57.5%"
"=""1030011""","Norwalk School District","=""1031311""","Rowayton School","Special Education",16,"*","*"
"=""1030011""","Norwalk School District","=""1031311""","Rowayton School","Non-Special Education",99,"56.6%","83.4%"
"=""1030011""","Norwalk School District","=""1032311""","Silvermine Elementary School","Special Education",19,"*","*"
"=""1030011""","Norwalk School District","=""1032311""","Silvermine Elementary School","Non-Special Education",125,"30.4%","58.0%"
"=""1030011""","Norwalk School District","=""1031411""","Tracey School","Special Education",24,"20.8%","48.5%"
"=""1030011""","Norwalk School District","=""1031411""","Tracey School","Non-Special Education",87,"32.2%","62.0%"
"=""1030011""","Norwalk School District","=""1035411""","West Rocks Middle School","Special Education",78,"25.6%","48.0%"
"=""1030011""","Norwalk School District","=""1035411""","West Rocks Middle School","Non-Special Education",542,"35.6%","53.6%"
"=""1030011""","Norwalk School District","=""1032411""","Wolfpit School","Special Education",13,"*","*"
"=""1030011""","Norwalk School District","=""1032411""","Wolfpit School","Non-Special Education",73,"45.2%","72.9%"
"=""1040011""","Norwich School District","=""1040711""","IRS Program at Uncas","Special Education","*","*","*"
"=""1040011""","Norwich School District","=""1041411""","John B. Stanton Network School","Special Education",16,"*","*"
"=""1040011""","Norwich School District","=""1041411""","John B. Stanton Network School","Non-Special Education",85,"45.9%","68.9%"
"=""1040011""","Norwich School District","=""1045111""","Kelly Middle School","Special Education",94,"35.1%","60.0%"
"=""1040011""","Norwich School District","=""1045111""","Kelly Middle School","Non-Special Education",576,"35.8%","55.7%"
"=""1040011""","Norwich School District","=""1042011""","Moriarty Magnet School","Special Education",18,"*","*"
"=""1040011""","Norwich School District","=""1042011""","Moriarty Magnet School","Non-Special Education",107,"42.1%","71.4%"
"=""1040011""","Norwich School District","=""1040811""","Samuel Huntington School","Special Education",13,"*","*"
"=""1040011""","Norwich School District","=""1040811""","Samuel Huntington School","Non-Special Education",92,"55.4%","81.5%"
"=""1040011""","Norwich School District","=""1045211""","Teachers' Memorial Middle School","Special Education",51,"15.7%","40.1%"
"=""1040011""","Norwich School District","=""1045211""","Teachers' Memorial Middle School","Non-Special Education",252,"35.3%","56.5%"
"=""1040011""","Norwich School District","=""1041711""","Thomas W. Mahan School","Special Education",7,"*","*"
"=""1040011""","Norwich School District","=""1041711""","Thomas W. Mahan School","Non-Special Education",73,"61.6%","80.8%"
"=""1040011""","Norwich School District","=""1041911""","Uncas Network School","Special Education",10,"*","*"
"=""1040011""","Norwich School District","=""1041911""","Uncas Network School","Non-Special Education",52,"23.1%","43.7%"
"=""1040011""","Norwich School District","=""1041811""","Veterans' Memorial School","Special Education",16,"*","*"
"=""1040011""","Norwich School District","=""1041811""","Veterans' Memorial School","Non-Special Education",76,"32.9%","57.9%"
"=""1040011""","Norwich School District","=""1041511""","Wequonnoc Magnet School","Special Education",10,"*","*"
"=""1040011""","Norwich School District","=""1041511""","Wequonnoc Magnet School","Non-Special Education",59,"45.8%","67.3%"
"=""2630013""","Odyssey Community School District","=""2635113""","Odyssey Community School","Special Education",16,"*","*"
"=""2630013""","Odyssey Community School District","=""2635113""","Odyssey Community School","Non-Special Education",159,"38.4%","62.5%"
"=""1060011""","Old Saybrook School District","=""1065211""","Old Saybrook Middle School","Special Education",61,"42.6%","60.9%"
"=""1060011""","Old Saybrook School District","=""1065211""","Old Saybrook Middle School","Non-Special Education",439,"46.0%","66.1%"
"=""1070011""","Orange School District","=""1070511""","Peck Place School","Special Education",8,"*","*"
"=""1070011""","Orange School District","=""1070511""","Peck Place School","Non-Special Education",181,"55.8%","74.0%"
"=""1070011""","Orange School District","=""1070311""","Race Brook School","Special Education",14,"*","*"
"=""1070011""","Orange School District","=""1070311""","Race Brook School","Non-Special Education",167,"52.7%","74.2%"
"=""1070011""","Orange School District","=""1070411""","Turkey Hill School","Special Education",12,"*","*"
"=""1070011""","Orange School District","=""1070411""","Turkey Hill School","Non-Special Education",127,"59.1%","78.8%"
"=""1080011""","Oxford School District","=""1080411""","Alternative Education","Special Education","*","*","*"
"=""1080011""","Oxford School District","=""1085111""","Great Oak School","Special Education",46,"21.7%","42.5%"
"=""1080011""","Oxford School District","=""1085111""","Great Oak School","Non-Special Education",414,"39.1%","53.9%"
"=""1080011""","Oxford School District","=""1080111""","Oxford Center School","Special Education",41,"19.5%","55.6%"
"=""1080011""","Oxford School District","=""1080111""","Oxford Center School","Non-Special Education",272,"45.2%","65.0%"
"=""2830013""","Park City Prep Charter School District","=""2835113""","Park City Prep Charter School","Special Education",23,"8.7%","41.6%"
"=""2830013""","Park City Prep Charter School District","=""2835113""","Park City Prep Charter School","Non-Special Education",314,"49.0%","72.9%"
"=""1090011""","Plainfield School District","=""1095111""","Plainfield Central School","Special Education",49,"49.0%","73.5%"
"=""1090011""","Plainfield School District","=""1095111""","Plainfield Central School","Non-Special Education",444,"55.2%","76.5%"
"=""1090011""","Plainfield School District","=""1090311""","Plainfield Memorial School","Special Education",43,"46.5%","65.4%"
"=""1090011""","Plainfield School District","=""1090311""","Plainfield Memorial School","Non-Special Education",264,"36.0%","62.0%"
"=""1100011""","Plainville School District","=""1100411""","Frank T. Wheeler School","Special Education",7,"*","*"
"=""1100011""","Plainville School District","=""1100411""","Frank T. Wheeler School","Non-Special Education",74,"45.9%","72.3%"
"=""1100011""","Plainville School District","=""1100211""","Linden Street School","Special Education",22,"36.4%","59.2%"
"=""1100011""","Plainville School District","=""1100211""","Linden Street School","Non-Special Education",114,"38.6%","66.5%"
"=""1100011""","Plainville School District","=""1100511""","Louis Toffolon School","Special Education",18,"*","*"
"=""1100011""","Plainville School District","=""1100511""","Louis Toffolon School","Non-Special Education",91,"34.1%","59.1%"
"=""1100011""","Plainville School District","=""1105211""","Middle School of Plainville","Special Education",59,"35.6%","53.6%"
"=""1100011""","Plainville School District","=""1105211""","Middle School of Plainville","Non-Special Education",466,"47.2%","67.9%"
"=""1110011""","Plymouth School District","=""1115111""","Eli Terry Jr. Middle School","Special Education",36,"47.2%","68.7%"
"=""1110011""","Plymouth School District","=""1115111""","Eli Terry Jr. Middle School","Non-Special Education",278,"37.8%","56.4%"
"=""1110011""","Plymouth School District","=""1110411""","Harry S. Fisher Elementary School","Special Education",23,"30.4%","58.5%"
"=""1110011""","Plymouth School District","=""1110411""","Harry S. Fisher Elementary School","Non-Special Education",88,"45.5%","67.1%"
"=""1110011""","Plymouth School District","=""1110211""","Plymouth Center School","Special Education",14,"*","*"
"=""1110011""","Plymouth School District","=""1110211""","Plymouth Center School","Non-Special Education",95,"63.2%","84.2%"
"=""1120011""","Pomfret School District","=""1120111""","Pomfret Community School","Special Education",28,"50.0%","61.8%"
"=""1120011""","Pomfret School District","=""1120111""","Pomfret Community School","Non-Special Education",193,"51.8%","71.6%"
"=""1130011""","Portland School District","=""1130511""","Brownstone Intermediate School","Special Education",16,"*","*"
"=""1130011""","Portland School District","=""1130511""","Brownstone Intermediate School","Non-Special Education",192,"56.3%","72.9%"
"=""1130011""","Portland School District","=""1130411""","Gildersleeve School","Special Education",8,"*","*"
"=""1130011""","Portland School District","=""1130411""","Gildersleeve School","Non-Special Education",83,"43.4%","71.5%"
"=""1130011""","Portland School District","=""1135111""","Portland Middle School","Special Education",22,"13.6%","32.0%"
"=""1130011""","Portland School District","=""1135111""","Portland Middle School","Non-Special Education",186,"50.5%","68.0%"
"=""1140011""","Preston School District","=""1145111""","Preston Plains School","Special Education",25,"24.0%","47.2%"
"=""1140011""","Preston School District","=""1145111""","Preston Plains School","Non-Special Education",112,"29.5%","43.5%"
"=""1140011""","Preston School District","=""1140411""","Preston Veterans' Memorial School","Special Education",14,"*","*"
"=""1140011""","Preston School District","=""1140411""","Preston Veterans' Memorial School","Non-Special Education",62,"51.6%","75.1%"
"=""1160011""","Putnam School District","=""1160311""","Putnam Elementary School","Special Education",17,"*","*"
"=""1160011""","Putnam School District","=""1160311""","Putnam Elementary School","Non-Special Education",143,"39.2%","61.1%"
"=""1160011""","Putnam School District","=""1165111""","Putnam Middle School","Special Education",31,"41.9%","76.9%"
"=""1160011""","Putnam School District","=""1165111""","Putnam Middle School","Non-Special Education",204,"49.0%","65.9%"
"=""1170011""","Redding School District","=""1175111""","John Read Middle School","Special Education",45,"35.6%","54.0%"
"=""1170011""","Redding School District","=""1175111""","John Read Middle School","Non-Special Education",372,"50.5%","66.8%"
"=""1170011""","Redding School District","=""1170111""","Redding Elementary School","Special Education",12,"*","*"
"=""1170011""","Redding School District","=""1170111""","Redding Elementary School","Non-Special Education",73,"68.5%","91.2%"
"=""2010012""","Regional School District 01","=""2010312""","SELC","Special Education","*","*","*"
"=""2010012""","Regional School District 01","=""2010212""","TOTAL","Special Education","*","*","*"
"=""2040012""","Regional School District 04","=""2045112""","John Winthrop Middle School","Special Education",43,"23.3%","43.3%"
