"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"District Code","District","School Code","School","Subject","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0890011""","New Britain School District","=""0890911""","Northend School","ELA",79,"31.6%","59.5%"
"=""0890011""","New Britain School District","=""0890911""","Northend School","Math",78,"20.5%","45.7%"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","ELA",627,"29.8%","49.6%"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","Math",637,"29.8%","47.6%"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","ELA",621,"25.0%","44.2%"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","Math",625,"27.0%","43.9%"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy","ELA",155,"22.6%","53.2%"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy","Math",159,"19.5%","44.1%"
"=""0890011""","New Britain School District","=""0891311""","Smith School","ELA",170,"20.0%","42.8%"
"=""0890011""","New Britain School District","=""0891311""","Smith School","Math",172,"16.9%","35.1%"
"=""0890011""","New Britain School District","=""0891811""","Steps","ELA",25,"24.0%","48.3%"
"=""0890011""","New Britain School District","=""0891811""","Steps","Math",25,"24.0%","33.0%"
"=""0890011""","New Britain School District","=""0890411""","Sunrise Intermediate","ELA",7,"*","*"
"=""0890011""","New Britain School District","=""0890411""","Sunrise Intermediate","Math",8,"*","*"
"=""0890011""","New Britain School District","=""0890211""","Sunrise Primary","ELA","*","*","*"
"=""0890011""","New Britain School District","=""0890211""","Sunrise Primary","Math","*","*","*"
"=""0890011""","New Britain School District","=""0891511""","Vance School","ELA",151,"29.8%","58.4%"
"=""0890011""","New Britain School District","=""0891511""","Vance School","Math",149,"18.8%","44.3%"
"=""0900011""","New Canaan School District","=""0900411""","East School","ELA",113,"79.6%","98.6%"
"=""0900011""","New Canaan School District","=""0900411""","East School","Math",113,"88.5%","100.0%"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","ELA",1244,"48.1%","63.7%"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","Math",1246,"55.1%","73.3%"
"=""0900011""","New Canaan School District","=""0900211""","South School","ELA",117,"65.0%","80.5%"
"=""0900011""","New Canaan School District","=""0900211""","South School","Math",117,"69.2%","89.9%"
"=""0900011""","New Canaan School District","=""0900311""","West School","ELA",81,"70.4%","86.2%"
"=""0900011""","New Canaan School District","=""0900311""","West School","Math",81,"74.1%","93.5%"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School","ELA",290,"51.7%","74.5%"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School","Math",284,"52.1%","78.4%"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School","ELA",505,"50.5%","69.2%"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School","Math",495,"62.0%","80.0%"
"=""0920011""","New Hartford School District","=""0920311""","Ann Antolini School","ELA",197,"43.1%","66.4%"
"=""0920011""","New Hartford School District","=""0920311""","Ann Antolini School","Math",196,"32.1%","56.8%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School","ELA",217,"22.6%","48.4%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School","Math",216,"30.1%","53.4%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School","ELA",242,"26.4%","47.6%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School","Math",242,"36.0%","57.4%"
"=""0930011""","New Haven School District","=""0930311""","Beecher School","ELA",220,"47.7%","71.8%"
"=""0930011""","New Haven School District","=""0930311""","Beecher School","Math",213,"33.8%","55.2%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","ELA",230,"52.2%","77.1%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","Math",230,"38.3%","62.4%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","ELA",432,"41.4%","65.4%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","Math",430,"49.3%","69.6%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","ELA",209,"34.4%","58.8%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","Math",209,"38.8%","61.1%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","ELA",177,"31.6%","56.6%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","Math",178,"39.3%","61.8%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","ELA",161,"31.7%","57.7%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","Math",161,"26.7%","50.9%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","ELA",234,"40.2%","66.9%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","Math",257,"45.1%","66.3%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","ELA",260,"36.5%","64.9%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","Math",261,"43.3%","66.4%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","ELA",204,"36.8%","62.2%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","Math",207,"37.7%","61.7%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","ELA",317,"52.4%","76.8%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","Math",317,"53.9%","77.8%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","ELA",217,"39.6%","65.6%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","Math",217,"33.6%","57.4%"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","ELA",17,"*","*"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","Math",19,"*","*"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","ELA",219,"33.3%","58.8%"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","Math",219,"38.4%","64.5%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","ELA",224,"43.3%","64.2%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","Math",225,"38.7%","60.0%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","ELA",250,"37.6%","58.0%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","Math",250,"47.2%","66.3%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","ELA",330,"39.4%","62.5%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","Math",375,"36.0%","56.7%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","ELA",233,"28.8%","54.0%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","Math",235,"32.8%","56.1%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","ELA",217,"39.2%","64.5%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","Math",219,"42.5%","65.4%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","ELA",277,"43.3%","69.6%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","Math",278,"56.5%","80.1%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","ELA",232,"34.1%","59.3%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","Math",231,"42.0%","64.8%"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School","ELA",85,"45.9%","78.5%"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School","Math",85,"69.4%","94.6%"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School","ELA",227,"47.1%","68.7%"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School","Math",224,"48.2%","70.4%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School","ELA",230,"42.2%","65.0%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School","Math",230,"41.7%","63.8%"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School","ELA",39,"61.5%","86.2%"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School","Math",39,"33.3%","69.7%"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School","ELA",318,"28.9%","53.5%"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School","Math",318,"21.7%","42.7%"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School","ELA",72,"43.1%","68.4%"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School","Math",73,"32.9%","70.4%"
"=""0930011""","New Haven School District","=""0932911""","Truman School","ELA",213,"35.2%","62.8%"
"=""0930011""","New Haven School District","=""0932911""","Truman School","Math",215,"51.2%","75.2%"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy","ELA",19,"*","*"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy","Math",19,"*","*"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School","ELA",155,"26.5%","53.9%"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School","Math",155,"21.9%","44.4%"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School","ELA",172,"63.4%","79.9%"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School","Math",174,"61.5%","80.3%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School","ELA",509,"24.4%","41.8%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School","Math",520,"28.1%","47.5%"
"=""0950011""","New London School District","=""0950311""","Jennings School","ELA",147,"40.8%","71.8%"
"=""0950011""","New London School District","=""0950311""","Jennings School","Math",153,"16.3%","42.9%"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School","ELA",172,"37.2%","62.0%"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School","Math",172,"21.5%","45.9%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School","ELA",147,"43.5%","69.1%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School","Math",148,"42.6%","68.1%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School","ELA",588,"38.9%","62.8%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School","Math",586,"52.9%","78.4%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School","ELA",879,"41.2%","59.9%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School","Math",852,"38.3%","55.3%"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School","ELA",85,"65.9%","87.7%"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School","Math",85,"55.3%","81.7%"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School","ELA",59,"42.4%","68.4%"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School","Math",59,"35.6%","66.2%"
"=""0940011""","Newington School District","=""0940811""","John Paterson School","ELA",77,"33.8%","57.3%"
"=""0940011""","Newington School District","=""0940811""","John Paterson School","Math",77,"36.4%","67.6%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School","ELA",634,"40.1%","60.5%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School","Math",633,"39.3%","56.0%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School","ELA",591,"31.0%","50.5%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School","Math",594,"35.7%","52.4%"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School","ELA",71,"32.4%","60.8%"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School","Math",70,"21.4%","42.8%"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School","ELA",69,"53.6%","84.2%"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School","Math",69,"59.4%","86.8%"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School","ELA",71,"66.2%","82.6%"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School","Math",71,"69.0%","95.1%"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School","ELA",78,"37.2%","63.5%"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School","Math",78,"32.1%","60.7%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School","ELA",766,"44.8%","59.9%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School","Math",763,"53.2%","68.9%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School","ELA",653,"44.7%","63.6%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School","Math",654,"69.7%","88.6%"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School","ELA",66,"48.5%","72.8%"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School","Math",67,"43.3%","71.7%"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School","ELA",44,"45.5%","65.8%"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School","Math",44,"50.0%","69.8%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School","ELA",438,"44.1%","64.1%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School","Math",438,"42.0%","60.0%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School","ELA",265,"42.3%","65.2%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School","Math",265,"51.3%","76.3%"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School","ELA",110,"58.2%","77.4%"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School","Math",110,"50.0%","74.0%"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School","ELA",99,"50.5%","77.8%"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School","Math",99,"56.6%","86.2%"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School","ELA",99,"60.6%","84.5%"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School","Math",100,"62.0%","87.9%"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School","ELA",100,"57.0%","82.1%"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School","Math",100,"54.0%","83.1%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School","ELA",706,"70.8%","89.1%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School","Math",707,"75.7%","92.8%"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School","ELA",121,"70.2%","91.1%"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School","Math",121,"65.3%","91.0%"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School","ELA",100,"64.0%","83.2%"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School","Math",100,"68.0%","86.0%"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School","ELA",164,"40.2%","55.5%"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School","Math",164,"37.8%","56.3%"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School","ELA",130,"38.5%","60.7%"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School","Math",134,"41.8%","64.0%"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School","ELA",81,"38.3%","66.3%"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School","Math",82,"40.2%","70.7%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School","ELA",127,"35.4%","57.5%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School","Math",131,"27.5%","57.8%"
"=""1030011""","Norwalk School District","=""1032011""","Fox Run Elementary School","ELA",126,"27.8%","53.3%"
"=""1030011""","Norwalk School District","=""1032011""","Fox Run Elementary School","Math",127,"37.0%","66.3%"
"=""1030011""","Norwalk School District","=""1030711""","Jefferson Magnet School","ELA",186,"37.6%","60.7%"
"=""1030011""","Norwalk School District","=""1030711""","Jefferson Magnet School","Math",194,"45.9%","71.9%"
"=""1030011""","Norwalk School District","=""1030811""","Kendall Elementary School","ELA",165,"41.2%","64.8%"
"=""1030011""","Norwalk School District","=""1030811""","Kendall Elementary School","Math",166,"30.1%","54.1%"
"=""1030011""","Norwalk School District","=""1032211""","Marvin Elementary School","ELA",148,"34.5%","61.1%"
"=""1030011""","Norwalk School District","=""1032211""","Marvin Elementary School","Math",149,"35.6%","66.3%"
"=""1030011""","Norwalk School District","=""1032111""","Naramake Elementary School","ELA",131,"38.2%","60.4%"
"=""1030011""","Norwalk School District","=""1032111""","Naramake Elementary School","Math",132,"38.6%","65.7%"
"=""1030011""","Norwalk School District","=""1035211""","Nathan Hale Middle School","ELA",609,"33.7%","52.2%"
"=""1030011""","Norwalk School District","=""1035211""","Nathan Hale Middle School","Math",621,"34.8%","53.4%"
"=""1030011""","Norwalk School District","=""1035311""","Ponus Ridge Middle School","ELA",608,"32.2%","54.1%"
"=""1030011""","Norwalk School District","=""1035311""","Ponus Ridge Middle School","Math",618,"30.7%","47.6%"
"=""1030011""","Norwalk School District","=""1035511""","Roton Middle School","ELA",438,"38.6%","56.8%"
"=""1030011""","Norwalk School District","=""1035511""","Roton Middle School","Math",447,"35.8%","54.5%"
"=""1030011""","Norwalk School District","=""1031311""","Rowayton School","ELA",115,"54.8%","81.5%"
"=""1030011""","Norwalk School District","=""1031311""","Rowayton School","Math",116,"71.6%","91.8%"
"=""1030011""","Norwalk School District","=""1032311""","Silvermine Elementary School","ELA",144,"30.6%","58.3%"
"=""1030011""","Norwalk School District","=""1032311""","Silvermine Elementary School","Math",150,"32.7%","58.7%"
"=""1030011""","Norwalk School District","=""1031411""","Tracey School","ELA",111,"29.7%","59.1%"
"=""1030011""","Norwalk School District","=""1031411""","Tracey School","Math",111,"40.5%","63.6%"
"=""1030011""","Norwalk School District","=""1035411""","West Rocks Middle School","ELA",620,"34.4%","52.9%"
"=""1030011""","Norwalk School District","=""1035411""","West Rocks Middle School","Math",626,"39.8%","58.3%"
"=""1030011""","Norwalk School District","=""1032411""","Wolfpit School","ELA",86,"44.2%","72.5%"
"=""1030011""","Norwalk School District","=""1032411""","Wolfpit School","Math",88,"46.6%","71.1%"
"=""1040011""","Norwich School District","=""1040711""","IRS Program at Uncas","ELA","*","*","*"
"=""1040011""","Norwich School District","=""1040711""","IRS Program at Uncas","Math","*","*","*"
"=""1040011""","Norwich School District","=""1041411""","John B. Stanton Network School","ELA",101,"41.6%","65.5%"
"=""1040011""","Norwich School District","=""1041411""","John B. Stanton Network School","Math",107,"32.7%","61.8%"
"=""1040011""","Norwich School District","=""1045111""","Kelly Middle School","ELA",670,"35.7%","56.3%"
"=""1040011""","Norwich School District","=""1045111""","Kelly Middle School","Math",671,"35.9%","54.5%"
"=""1040011""","Norwich School District","=""1042011""","Moriarty Magnet School","ELA",125,"40.0%","70.3%"
"=""1040011""","Norwich School District","=""1042011""","Moriarty Magnet School","Math",125,"33.6%","58.0%"
"=""1040011""","Norwich School District","=""1040811""","Samuel Huntington School","ELA",105,"54.3%","81.0%"
"=""1040011""","Norwich School District","=""1040811""","Samuel Huntington School","Math",106,"50.9%","80.0%"
"=""1040011""","Norwich School District","=""1045211""","Teachers' Memorial Middle School","ELA",303,"32.0%","53.7%"
"=""1040011""","Norwich School District","=""1045211""","Teachers' Memorial Middle School","Math",304,"37.8%","56.6%"
"=""1040011""","Norwich School District","=""1041711""","Thomas W. Mahan School","ELA",80,"62.5%","81.8%"
"=""1040011""","Norwich School District","=""1041711""","Thomas W. Mahan School","Math",85,"74.1%","98.1%"
"=""1040011""","Norwich School District","=""1041911""","Uncas Network School","ELA","*","22.6%","43.6%"
"=""1040011""","Norwich School District","=""1041911""","Uncas Network School","Math","*","30.6%","52.3%"
"=""1040011""","Norwich School District","=""1041811""","Veterans' Memorial School","ELA",92,"30.4%","55.1%"
"=""1040011""","Norwich School District","=""1041811""","Veterans' Memorial School","Math",93,"29.0%","59.9%"
"=""1040011""","Norwich School District","=""1041511""","Wequonnoc Magnet School","ELA",69,"47.8%","69.7%"
"=""1040011""","Norwich School District","=""1041511""","Wequonnoc Magnet School","Math",69,"26.1%","54.3%"
"=""2630013""","Odyssey Community School District","=""2635113""","Odyssey Community School","ELA",175,"36.6%","62.1%"
"=""2630013""","Odyssey Community School District","=""2635113""","Odyssey Community School","Math",175,"33.1%","54.1%"
"=""1060011""","Old Saybrook School District","=""1065211""","Old Saybrook Middle School","ELA",500,"45.6%","65.5%"
"=""1060011""","Old Saybrook School District","=""1065211""","Old Saybrook Middle School","Math",502,"49.2%","70.7%"
"=""1070011""","Orange School District","=""1070511""","Peck Place School","ELA",189,"55.0%","73.5%"
"=""1070011""","Orange School District","=""1070511""","Peck Place School","Math",190,"41.6%","67.8%"
"=""1070011""","Orange School District","=""1070311""","Race Brook School","ELA",181,"50.3%","72.3%"
"=""1070011""","Orange School District","=""1070311""","Race Brook School","Math",184,"54.9%","77.7%"
"=""1070011""","Orange School District","=""1070411""","Turkey Hill School","ELA",139,"56.8%","76.8%"
"=""1070011""","Orange School District","=""1070411""","Turkey Hill School","Math",140,"55.7%","78.2%"
"=""1080011""","Oxford School District","=""1080411""","Alternative Education","ELA","*","*","*"
"=""1080011""","Oxford School District","=""1080411""","Alternative Education","Math","*","*","*"
"=""1080011""","Oxford School District","=""1085111""","Great Oak School","ELA",460,"37.4%","52.8%"
"=""1080011""","Oxford School District","=""1085111""","Great Oak School","Math",460,"51.3%","71.3%"
"=""1080011""","Oxford School District","=""1080111""","Oxford Center School","ELA","*","41.9%","63.8%"
"=""1080011""","Oxford School District","=""1080111""","Oxford Center School","Math","*","43.3%","69.8%"
"=""2830013""","Park City Prep Charter School District","=""2835113""","Park City Prep Charter School","ELA",337,"46.3%","70.8%"
"=""2830013""","Park City Prep Charter School District","=""2835113""","Park City Prep Charter School","Math",336,"57.4%","77.1%"
"=""1090011""","Plainfield School District","=""1095111""","Plainfield Central School","ELA",493,"54.6%","76.2%"
"=""1090011""","Plainfield School District","=""1095111""","Plainfield Central School","Math",489,"67.7%","86.7%"
"=""1090011""","Plainfield School District","=""1090311""","Plainfield Memorial School","ELA",307,"37.5%","62.4%"
"=""1090011""","Plainfield School District","=""1090311""","Plainfield Memorial School","Math",308,"38.6%","68.9%"
"=""1100011""","Plainville School District","=""1100411""","Frank T. Wheeler School","ELA",81,"43.2%","71.0%"
"=""1100011""","Plainville School District","=""1100411""","Frank T. Wheeler School","Math",81,"28.4%","56.4%"
"=""1100011""","Plainville School District","=""1100211""","Linden Street School","ELA",136,"38.2%","65.3%"
"=""1100011""","Plainville School District","=""1100211""","Linden Street School","Math",135,"25.2%","56.1%"
"=""1100011""","Plainville School District","=""1100511""","Louis Toffolon School","ELA",109,"34.9%","61.6%"
"=""1100011""","Plainville School District","=""1100511""","Louis Toffolon School","Math",108,"38.9%","69.8%"
"=""1100011""","Plainville School District","=""1105211""","Middle School of Plainville","ELA",525,"45.9%","66.3%"
"=""1100011""","Plainville School District","=""1105211""","Middle School of Plainville","Math",527,"45.4%","65.6%"
"=""1110011""","Plymouth School District","=""1115111""","Eli Terry Jr. Middle School","ELA",314,"38.9%","57.8%"
"=""1110011""","Plymouth School District","=""1115111""","Eli Terry Jr. Middle School","Math",316,"51.3%","70.4%"
"=""1110011""","Plymouth School District","=""1110411""","Harry S. Fisher Elementary School","ELA",111,"42.3%","65.3%"
"=""1110011""","Plymouth School District","=""1110411""","Harry S. Fisher Elementary School","Math",112,"34.8%","69.3%"
"=""1110011""","Plymouth School District","=""1110211""","Plymouth Center School","ELA",109,"59.6%","81.0%"
"=""1110011""","Plymouth School District","=""1110211""","Plymouth Center School","Math",109,"60.6%","87.9%"
"=""1120011""","Pomfret School District","=""1120111""","Pomfret Community School","ELA",221,"51.6%","70.3%"
"=""1120011""","Pomfret School District","=""1120111""","Pomfret Community School","Math",221,"48.9%","68.4%"
"=""1130011""","Portland School District","=""1130511""","Brownstone Intermediate School","ELA",208,"54.3%","71.1%"
"=""1130011""","Portland School District","=""1130511""","Brownstone Intermediate School","Math",208,"62.5%","83.2%"
"=""1130011""","Portland School District","=""1130411""","Gildersleeve School","ELA",91,"40.7%","68.6%"
"=""1130011""","Portland School District","=""1130411""","Gildersleeve School","Math",91,"31.9%","67.6%"
"=""1130011""","Portland School District","=""1135111""","Portland Middle School","ELA",208,"46.6%","64.2%"
"=""1130011""","Portland School District","=""1135111""","Portland Middle School","Math",208,"38.9%","58.9%"
"=""1140011""","Preston School District","=""1145111""","Preston Plains School","ELA",137,"28.5%","44.2%"
"=""1140011""","Preston School District","=""1145111""","Preston Plains School","Math",137,"42.3%","61.8%"
"=""1140011""","Preston School District","=""1140411""","Preston Veterans' Memorial School","ELA",76,"52.6%","76.7%"
"=""1140011""","Preston School District","=""1140411""","Preston Veterans' Memorial School","Math",76,"43.4%","64.8%"
"=""1160011""","Putnam School District","=""1160311""","Putnam Elementary School","ELA",160,"37.5%","59.3%"
"=""1160011""","Putnam School District","=""1160311""","Putnam Elementary School","Math",159,"59.7%","80.0%"
"=""1160011""","Putnam School District","=""1165111""","Putnam Middle School","ELA",235,"48.1%","67.3%"
"=""1160011""","Putnam School District","=""1165111""","Putnam Middle School","Math",235,"40.9%","63.1%"
"=""1170011""","Redding School District","=""1175111""","John Read Middle School","ELA",417,"48.9%","65.4%"
"=""1170011""","Redding School District","=""1175111""","John Read Middle School","Math",411,"53.5%","71.4%"
"=""1170011""","Redding School District","=""1170111""","Redding Elementary School","ELA",85,"63.5%","86.4%"
"=""1170011""","Redding School District","=""1170111""","Redding Elementary School","Math",85,"65.9%","92.5%"
"=""2010012""","Regional School District 01","=""2010312""","SELC","ELA","*","*","*"
"=""2010012""","Regional School District 01","=""2010312""","SELC","Math","*","*","*"
"=""2010012""","Regional School District 01","=""2010212""","TOTAL","ELA","*","*","*"
"=""2010012""","Regional School District 01","=""2010212""","TOTAL","Math","*","*","*"
"=""2040012""","Regional School District 04","=""2045112""","John Winthrop Middle School","ELA",299,"42.8%","57.7%"
"=""2040012""","Regional School District 04","=""2045112""","John Winthrop Middle School","Math",299,"41.1%","58.7%"
"=""2050012""","Regional School District 05","=""2055112""","Amity Middle School: Bethany","ELA",357,"56.6%","74.0%"
"=""2050012""","Regional School District 05","=""2055112""","Amity Middle School: Bethany","Math",357,"65.8%","82.3%"
"=""2050012""","Regional School District 05","=""2055212""","Amity Middle School: Orange","ELA",352,"45.7%","65.2%"
"=""2050012""","Regional School District 05","=""2055212""","Amity Middle School: Orange","Math",352,"51.1%","66.7%"
"=""2060012""","Regional School District 06","=""2060112""","Goshen Center School","ELA",61,"60.7%","78.7%"
"=""2060012""","Regional School District 06","=""2060112""","Goshen Center School","Math",61,"54.1%","78.6%"
"=""2060012""","Regional School District 06","=""2060212""","James Morris School","ELA",36,"33.3%","59.6%"
"=""2060012""","Regional School District 06","=""2060212""","James Morris School","Math",36,"44.4%","65.4%"
"=""2060012""","Regional School District 06","=""2066112""","Wamogo Regional High School","ELA",116,"38.8%","54.0%"
"=""2060012""","Regional School District 06","=""2066112""","Wamogo Regional High School","Math",114,"32.5%","47.1%"
"=""2060012""","Regional School District 06","=""2060312""","Warren Elementary School","ELA",31,"54.8%","71.8%"
"=""2060012""","Regional School District 06","=""2060312""","Warren Elementary School","Math",31,"38.7%","61.9%"
