"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","School Code","School","Subject","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","ELA","High Needs",158,"47.5%","73.0%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","ELA","Non-High Needs",72,"62.5%","86.1%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","Math","High Needs",158,"37.3%","60.6%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","Math","Non-High Needs",72,"40.3%","66.2%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","ELA","High Needs",247,"38.9%","65.0%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","ELA","Non-High Needs",185,"44.9%","65.9%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","Math","High Needs",247,"50.2%","70.1%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","Math","Non-High Needs",183,"48.1%","68.9%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","ELA","High Needs",144,"31.9%","58.6%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","ELA","Non-High Needs",65,"40.0%","59.2%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","Math","High Needs",144,"36.8%","58.0%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","Math","Non-High Needs",65,"43.1%","67.8%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","ELA","High Needs",153,"29.4%","54.6%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","ELA","Non-High Needs",24,"45.8%","69.6%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","Math","High Needs",154,"39.0%","61.6%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","Math","Non-High Needs",24,"41.7%","63.2%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","ELA","High Needs",129,"27.9%","56.1%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","ELA","Non-High Needs",32,"46.9%","64.1%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","Math","High Needs",130,"23.8%","50.4%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","Math","Non-High Needs",31,"38.7%","53.2%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","ELA","High Needs",215,"38.1%","65.6%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","ELA","Non-High Needs",19,"*","*"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","Math","High Needs",238,"45.0%","65.7%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","Math","Non-High Needs",19,"*","*"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","ELA","High Needs",220,"33.6%","63.4%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","ELA","Non-High Needs",40,"52.5%","73.0%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","Math","High Needs",221,"44.3%","66.1%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","Math","Non-High Needs",40,"37.5%","68.1%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","ELA","High Needs",168,"35.7%","62.3%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","ELA","Non-High Needs",36,"41.7%","61.7%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","Math","High Needs",171,"37.4%","62.0%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","Math","Non-High Needs",36,"38.9%","60.4%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","ELA","High Needs",233,"48.5%","75.2%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","ELA","Non-High Needs",84,"63.1%","81.4%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","Math","High Needs",233,"52.4%","75.6%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","Math","Non-High Needs",84,"58.3%","83.7%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","ELA","High Needs",116,"36.2%","61.6%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","ELA","Non-High Needs",101,"43.6%","70.1%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","Math","High Needs",117,"28.2%","52.3%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","Math","Non-High Needs",100,"40.0%","63.3%"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","ELA","High Needs","*","*","*"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","ELA","Non-High Needs","*","*","*"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","Math","High Needs","*","*","*"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","Math","Non-High Needs","*","*","*"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","ELA","High Needs",162,"29.6%","56.1%"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","ELA","Non-High Needs",57,"43.9%","66.2%"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","Math","High Needs",162,"37.7%","63.7%"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","Math","Non-High Needs",57,"40.4%","66.8%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","ELA","High Needs",102,"39.2%","63.1%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","ELA","Non-High Needs",122,"46.7%","65.1%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","Math","High Needs",103,"35.9%","55.4%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","Math","Non-High Needs",122,"41.0%","63.8%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","ELA","High Needs",58,"22.4%","45.8%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","ELA","Non-High Needs",192,"42.2%","61.7%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","Math","High Needs",58,"37.9%","57.7%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","Math","Non-High Needs",192,"50.0%","68.9%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","ELA","High Needs",289,"39.8%","62.9%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","ELA","Non-High Needs",41,"36.6%","59.2%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","Math","High Needs",335,"36.7%","57.2%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","Math","Non-High Needs",40,"30.0%","52.2%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","ELA","High Needs",203,"28.1%","54.1%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","ELA","Non-High Needs",30,"33.3%","53.3%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","Math","High Needs",205,"31.7%","55.7%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","Math","Non-High Needs",30,"40.0%","59.1%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","ELA","High Needs",148,"38.5%","63.3%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","ELA","Non-High Needs",69,"40.6%","67.2%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","Math","High Needs",150,"42.7%","66.2%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","Math","Non-High Needs",69,"42.0%","63.7%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","ELA","High Needs",235,"41.3%","68.5%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","ELA","Non-High Needs",42,"54.8%","75.8%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","Math","High Needs",235,"55.7%","78.9%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","Math","Non-High Needs",43,"60.5%","86.4%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","ELA","High Needs",153,"30.1%","56.7%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","ELA","Non-High Needs",79,"41.8%","64.3%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","Math","High Needs",153,"39.9%","63.0%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","Math","Non-High Needs",78,"46.2%","68.2%"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School","ELA","High Needs",77,"48.1%","79.6%"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School","ELA","Non-High Needs",8,"*","*"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School","Math","High Needs",77,"70.1%","96.3%"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School","Math","Non-High Needs",8,"*","*"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School","ELA","High Needs",130,"42.3%","64.0%"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School","ELA","Non-High Needs",97,"53.6%","75.1%"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School","Math","High Needs",128,"46.1%","68.6%"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School","Math","Non-High Needs",96,"51.0%","72.9%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School","ELA","High Needs",90,"40.0%","64.0%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School","ELA","Non-High Needs",140,"43.6%","65.7%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School","Math","High Needs",90,"36.7%","58.9%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School","Math","Non-High Needs",140,"45.0%","66.9%"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School","ELA","High Needs",33,"60.6%","85.8%"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School","ELA","Non-High Needs",6,"*","*"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School","Math","High Needs",33,"33.3%","68.5%"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School","Math","Non-High Needs",6,"*","*"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School","ELA","High Needs",190,"23.7%","48.8%"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School","ELA","Non-High Needs",128,"36.7%","60.4%"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School","Math","High Needs",190,"20.0%","39.1%"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School","Math","Non-High Needs",128,"24.2%","48.0%"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School","ELA","High Needs",62,"45.2%","69.2%"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School","ELA","Non-High Needs",10,"*","*"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School","Math","High Needs",63,"33.3%","69.2%"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School","Math","Non-High Needs",10,"*","*"
"=""0930011""","New Haven School District","=""0932911""","Truman School","ELA","High Needs",191,"34.0%","62.3%"
"=""0930011""","New Haven School District","=""0932911""","Truman School","ELA","Non-High Needs",22,"45.5%","67.1%"
"=""0930011""","New Haven School District","=""0932911""","Truman School","Math","High Needs",193,"51.8%","75.5%"
"=""0930011""","New Haven School District","=""0932911""","Truman School","Math","Non-High Needs",22,"45.5%","72.7%"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy","ELA","High Needs","*","*","*"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy","ELA","Non-High Needs","*","*","*"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy","Math","High Needs","*","*","*"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy","Math","Non-High Needs","*","*","*"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School","ELA","High Needs",120,"24.2%","53.1%"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School","ELA","Non-High Needs",35,"34.3%","56.7%"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School","Math","High Needs",120,"21.7%","44.6%"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School","Math","Non-High Needs",35,"22.9%","43.7%"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School","ELA","High Needs",47,"51.1%","66.3%"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School","ELA","Non-High Needs",125,"68.0%","85.0%"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School","Math","High Needs",50,"52.0%","69.7%"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School","Math","Non-High Needs",124,"65.3%","84.6%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School","ELA","High Needs",457,"24.5%","41.3%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School","ELA","Non-High Needs",52,"23.1%","46.3%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School","Math","High Needs",466,"29.2%","48.8%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School","Math","Non-High Needs",54,"18.5%","36.3%"
"=""0950011""","New London School District","=""0950311""","Jennings School","ELA","High Needs",132,"40.9%","73.4%"
"=""0950011""","New London School District","=""0950311""","Jennings School","ELA","Non-High Needs",15,"*","*"
"=""0950011""","New London School District","=""0950311""","Jennings School","Math","High Needs",138,"16.7%","43.0%"
"=""0950011""","New London School District","=""0950311""","Jennings School","Math","Non-High Needs",15,"*","*"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School","ELA","High Needs",152,"38.2%","62.7%"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School","ELA","Non-High Needs",20,"30.0%","56.7%"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School","Math","High Needs",152,"21.1%","45.8%"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School","Math","Non-High Needs",20,"25.0%","46.8%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School","ELA","High Needs",120,"40.8%","66.1%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School","ELA","Non-High Needs",27,"55.6%","82.3%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School","Math","High Needs",121,"41.3%","66.4%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School","Math","Non-High Needs",27,"48.1%","75.7%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School","ELA","High Needs",183,"36.1%","58.9%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School","ELA","Non-High Needs",405,"40.2%","64.6%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School","Math","High Needs",183,"45.9%","71.2%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School","Math","Non-High Needs",403,"56.1%","81.6%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School","ELA","High Needs",271,"36.5%","56.6%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School","ELA","Non-High Needs",608,"43.3%","61.3%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School","Math","High Needs",265,"30.9%","47.0%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School","Math","Non-High Needs",587,"41.6%","59.0%"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School","ELA","High Needs",16,"*","*"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School","ELA","Non-High Needs",69,"63.8%","87.6%"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School","Math","High Needs",16,"*","*"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School","Math","Non-High Needs",69,"56.5%","82.6%"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School","ELA","High Needs",21,"19.0%","46.7%"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School","ELA","Non-High Needs",38,"55.3%","80.4%"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School","Math","High Needs",21,"33.3%","72.7%"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School","Math","Non-High Needs",38,"36.8%","62.6%"
"=""0940011""","Newington School District","=""0940811""","John Paterson School","ELA","High Needs",23,"30.4%","46.1%"
"=""0940011""","Newington School District","=""0940811""","John Paterson School","ELA","Non-High Needs",54,"35.2%","62.1%"
"=""0940011""","Newington School District","=""0940811""","John Paterson School","Math","High Needs",23,"30.4%","61.3%"
"=""0940011""","Newington School District","=""0940811""","John Paterson School","Math","Non-High Needs",54,"38.9%","70.3%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School","ELA","High Needs",168,"31.5%","52.8%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School","ELA","Non-High Needs",466,"43.1%","63.3%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School","Math","High Needs",167,"28.7%","45.5%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School","Math","Non-High Needs",466,"43.1%","59.8%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School","ELA","High Needs",196,"26.0%","46.5%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School","ELA","Non-High Needs",395,"33.4%","52.4%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School","Math","High Needs",199,"32.7%","51.1%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School","Math","Non-High Needs",395,"37.2%","53.1%"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School","ELA","High Needs",24,"20.8%","60.7%"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School","ELA","Non-High Needs",47,"38.3%","60.9%"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School","Math","High Needs",24,"12.5%","28.1%"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School","Math","Non-High Needs",46,"26.1%","50.5%"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School","ELA","High Needs",10,"*","*"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School","ELA","Non-High Needs",59,"54.2%","84.3%"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School","Math","High Needs",10,"*","*"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School","Math","Non-High Needs",59,"62.7%","89.8%"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School","ELA","High Needs",8,"*","*"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School","ELA","Non-High Needs",63,"69.8%","85.4%"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School","Math","High Needs",8,"*","*"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School","Math","Non-High Needs",63,"69.8%","94.4%"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School","ELA","High Needs",15,"*","*"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School","ELA","Non-High Needs",63,"33.3%","59.3%"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School","Math","High Needs",15,"*","*"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School","Math","Non-High Needs",63,"38.1%","61.9%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School","ELA","High Needs",99,"28.3%","54.0%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School","ELA","Non-High Needs",667,"47.2%","60.8%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School","Math","High Needs",98,"41.8%","57.9%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School","Math","Non-High Needs",665,"54.9%","70.6%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School","ELA","High Needs",115,"35.7%","53.4%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School","ELA","Non-High Needs",538,"46.7%","65.8%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School","Math","High Needs",116,"49.1%","70.6%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School","Math","Non-High Needs",538,"74.2%","92.4%"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School","ELA","High Needs",9,"*","*"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School","ELA","Non-High Needs",57,"52.6%","75.2%"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School","Math","High Needs",10,"*","*"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School","Math","Non-High Needs",57,"43.9%","74.6%"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School","ELA","High Needs",13,"*","*"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School","ELA","Non-High Needs",31,"48.4%","70.6%"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School","Math","High Needs",13,"*","*"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School","Math","Non-High Needs",31,"61.3%","81.0%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School","ELA","High Needs",129,"37.2%","60.2%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School","ELA","Non-High Needs",309,"46.9%","65.7%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School","Math","High Needs",130,"43.1%","59.8%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School","Math","Non-High Needs",308,"41.6%","60.1%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School","ELA","High Needs",74,"27.0%","55.7%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School","ELA","Non-High Needs",191,"48.2%","68.9%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School","Math","High Needs",74,"48.6%","71.0%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School","Math","Non-High Needs",191,"52.4%","78.4%"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School","ELA","High Needs",35,"45.7%","66.7%"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School","ELA","Non-High Needs",75,"64.0%","82.4%"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School","Math","High Needs",35,"37.1%","68.2%"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School","Math","Non-High Needs",75,"56.0%","76.7%"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School","ELA","High Needs",21,"38.1%","73.6%"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School","ELA","Non-High Needs",78,"53.8%","78.9%"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School","Math","High Needs",21,"42.9%","76.5%"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School","Math","Non-High Needs",78,"60.3%","88.8%"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School","ELA","High Needs",30,"50.0%","75.4%"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School","ELA","Non-High Needs",69,"65.2%","88.4%"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School","Math","High Needs",30,"50.0%","79.4%"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School","Math","Non-High Needs",70,"67.1%","91.5%"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School","ELA","High Needs",23,"34.8%","69.0%"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School","ELA","Non-High Needs",77,"63.6%","86.0%"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School","Math","High Needs",23,"52.2%","76.8%"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School","Math","Non-High Needs",77,"54.5%","85.0%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School","ELA","High Needs",159,"59.7%","83.9%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School","ELA","Non-High Needs",547,"74.0%","90.6%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School","Math","High Needs",160,"59.4%","79.1%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School","Math","Non-High Needs",547,"80.4%","96.8%"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School","ELA","High Needs",27,"40.7%","73.5%"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School","ELA","Non-High Needs",94,"78.7%","96.1%"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School","Math","High Needs",27,"59.3%","87.6%"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School","Math","Non-High Needs",94,"67.0%","92.0%"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School","ELA","High Needs",10,"*","*"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School","ELA","Non-High Needs",90,"62.2%","82.1%"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School","Math","High Needs",10,"*","*"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School","Math","Non-High Needs",90,"68.9%","87.2%"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School","ELA","High Needs",37,"37.8%","50.6%"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School","ELA","Non-High Needs",127,"40.9%","57.0%"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School","Math","High Needs",37,"29.7%","47.7%"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School","Math","Non-High Needs",127,"40.2%","58.8%"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School","ELA","High Needs",88,"37.5%","59.7%"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School","ELA","Non-High Needs",42,"40.5%","62.8%"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School","Math","High Needs",92,"38.0%","59.8%"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School","Math","Non-High Needs",42,"50.0%","73.3%"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School","ELA","High Needs",32,"31.3%","61.3%"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School","ELA","Non-High Needs",49,"42.9%","69.6%"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School","Math","High Needs",33,"30.3%","58.2%"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School","Math","Non-High Needs",49,"46.9%","79.1%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School","ELA","High Needs",58,"25.9%","51.1%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School","ELA","Non-High Needs",69,"43.5%","62.9%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School","Math","High Needs",62,"21.0%","52.4%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School","Math","Non-High Needs",69,"33.3%","62.6%"
