"Smarter Balanced Growth Report, 2015-16"
"All Districts, Race"

"District Code","District","School Code","School","Race/Ethnicity","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0830011""","Middletown School District","=""0832011""","ICM - Spencer","Hispanic/Latino of any race","*","*","*"
"=""0830011""","Middletown School District","=""0831511""","Keigwin Middle School","American Indian or Alaska Native","*","*","*"
"=""0830011""","Middletown School District","=""0831511""","Keigwin Middle School","White",176,"42.6%","58.0%"
"=""0830011""","Middletown School District","=""0831511""","Keigwin Middle School","Asian","*","*","*"
"=""0830011""","Middletown School District","=""0831511""","Keigwin Middle School","Two or More Races",18,"*","*"
"=""0830011""","Middletown School District","=""0831511""","Keigwin Middle School","Hispanic/Latino of any race",44,"43.2%","67.9%"
"=""0830011""","Middletown School District","=""0831511""","Keigwin Middle School","Black or African American",44,"40.9%","59.6%"
"=""0830011""","Middletown School District","=""0831311""","Lawrence School","White",34,"23.5%","45.2%"
"=""0830011""","Middletown School District","=""0831311""","Lawrence School","Asian","*","*","*"
"=""0830011""","Middletown School District","=""0831311""","Lawrence School","Two or More Races","*","*","*"
"=""0830011""","Middletown School District","=""0831311""","Lawrence School","Hispanic/Latino of any race",10,"*","*"
"=""0830011""","Middletown School District","=""0831311""","Lawrence School","Black or African American",17,"*","*"
"=""0830011""","Middletown School District","=""0830911""","MacDonough School","White","*","*","*"
"=""0830011""","Middletown School District","=""0830911""","MacDonough School","Two or More Races","*","*","*"
"=""0830011""","Middletown School District","=""0830911""","MacDonough School","Hispanic/Latino of any race",16,"*","*"
"=""0830011""","Middletown School District","=""0830911""","MacDonough School","Black or African American",16,"*","*"
"=""0830011""","Middletown School District","=""0831211""","Moody School","White",63,"46.0%","68.2%"
"=""0830011""","Middletown School District","=""0831211""","Moody School","Asian","*","*","*"
"=""0830011""","Middletown School District","=""0831211""","Moody School","Two or More Races","*","*","*"
"=""0830011""","Middletown School District","=""0831211""","Moody School","Hispanic/Latino of any race","*","*","*"
"=""0830011""","Middletown School District","=""0831211""","Moody School","Black or African American",10,"*","*"
"=""0830011""","Middletown School District","=""0830311""","OASIS","White","*","*","*"
"=""0830011""","Middletown School District","=""0830311""","OASIS","Black or African American","*","*","*"
"=""0830011""","Middletown School District","=""0832111""","STEM - Macdonough","White",11,"*","*"
"=""0830011""","Middletown School District","=""0832111""","STEM - Macdonough","Asian","*","*","*"
"=""0830011""","Middletown School District","=""0832111""","STEM - Macdonough","Two or More Races","*","*","*"
"=""0830011""","Middletown School District","=""0832111""","STEM - Macdonough","Hispanic/Latino of any race","*","*","*"
"=""0830011""","Middletown School District","=""0832111""","STEM - Macdonough","Black or African American","*","*","*"
"=""0830011""","Middletown School District","=""0831111""","Snow School","White",34,"41.2%","66.3%"
"=""0830011""","Middletown School District","=""0831111""","Snow School","Asian","*","*","*"
"=""0830011""","Middletown School District","=""0831111""","Snow School","Two or More Races","*","*","*"
"=""0830011""","Middletown School District","=""0831111""","Snow School","Hispanic/Latino of any race",10,"*","*"
"=""0830011""","Middletown School District","=""0831111""","Snow School","Black or African American",16,"*","*"
"=""0830011""","Middletown School District","=""0830111""","Spencer School","White",48,"37.5%","63.1%"
"=""0830011""","Middletown School District","=""0830111""","Spencer School","Asian","*","*","*"
"=""0830011""","Middletown School District","=""0830111""","Spencer School","Two or More Races","*","*","*"
"=""0830011""","Middletown School District","=""0830111""","Spencer School","Hispanic/Latino of any race",18,"*","*"
"=""0830011""","Middletown School District","=""0830111""","Spencer School","Black or African American",15,"*","*"
"=""0830011""","Middletown School District","=""0831411""","Wesley School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0830011""","Middletown School District","=""0831411""","Wesley School","White",45,"46.7%","70.5%"
"=""0830011""","Middletown School District","=""0831411""","Wesley School","Asian","*","*","*"
"=""0830011""","Middletown School District","=""0831411""","Wesley School","Two or More Races","*","*","*"
"=""0830011""","Middletown School District","=""0831411""","Wesley School","Hispanic/Latino of any race",10,"*","*"
"=""0830011""","Middletown School District","=""0831411""","Wesley School","Black or African American",18,"*","*"
"=""0830011""","Middletown School District","=""0835411""","Woodrow Wilson Middle School","American Indian or Alaska Native","*","*","*"
"=""0830011""","Middletown School District","=""0835411""","Woodrow Wilson Middle School","White",365,"43.0%","58.9%"
"=""0830011""","Middletown School District","=""0835411""","Woodrow Wilson Middle School","Asian",28,"42.9%","59.2%"
"=""0830011""","Middletown School District","=""0835411""","Woodrow Wilson Middle School","Two or More Races","*","29.6%","47.9%"
"=""0830011""","Middletown School District","=""0835411""","Woodrow Wilson Middle School","Hispanic/Latino of any race",98,"24.5%","43.8%"
"=""0830011""","Middletown School District","=""0835411""","Woodrow Wilson Middle School","Black or African American",112,"34.8%","55.2%"
"=""0840011""","Milford School District","=""0840111""","Calf Pen Meadow School","White",78,"55.1%","75.3%"
"=""0840011""","Milford School District","=""0840111""","Calf Pen Meadow School","Asian","*","*","*"
"=""0840011""","Milford School District","=""0840111""","Calf Pen Meadow School","Hispanic/Latino of any race",6,"*","*"
"=""0840011""","Milford School District","=""0840111""","Calf Pen Meadow School","Black or African American","*","*","*"
"=""0840011""","Milford School District","=""0845111""","East Shore Middle School","American Indian or Alaska Native","*","*","*"
"=""0840011""","Milford School District","=""0845111""","East Shore Middle School","White",370,"49.7%","65.7%"
"=""0840011""","Milford School District","=""0845111""","East Shore Middle School","Asian",25,"48.0%","66.0%"
"=""0840011""","Milford School District","=""0845111""","East Shore Middle School","Hispanic/Latino of any race",22,"50.0%","64.6%"
"=""0840011""","Milford School District","=""0845111""","East Shore Middle School","Black or African American","*","*","*"
"=""0840011""","Milford School District","=""0845211""","Harborside Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0840011""","Milford School District","=""0845211""","Harborside Middle School","White",400,"47.5%","65.0%"
"=""0840011""","Milford School District","=""0845211""","Harborside Middle School","Asian",47,"61.7%","73.9%"
"=""0840011""","Milford School District","=""0845211""","Harborside Middle School","Hispanic/Latino of any race","*","*","*"
"=""0840011""","Milford School District","=""0845211""","Harborside Middle School","Black or African American",24,"50.0%","63.0%"
"=""0840011""","Milford School District","=""0841911""","J. F. Kennedy School","White",85,"51.8%","79.7%"
"=""0840011""","Milford School District","=""0841911""","J. F. Kennedy School","Asian",7,"*","*"
"=""0840011""","Milford School District","=""0841911""","J. F. Kennedy School","Hispanic/Latino of any race",15,"*","*"
"=""0840011""","Milford School District","=""0841911""","J. F. Kennedy School","Black or African American",7,"*","*"
"=""0840011""","Milford School District","=""0841611""","Live Oaks School","White",66,"43.9%","65.7%"
"=""0840011""","Milford School District","=""0841611""","Live Oaks School","Asian",11,"*","*"
"=""0840011""","Milford School District","=""0841611""","Live Oaks School","Two or More Races","*","*","*"
"=""0840011""","Milford School District","=""0841611""","Live Oaks School","Hispanic/Latino of any race","*","*","*"
"=""0840011""","Milford School District","=""0841611""","Live Oaks School","Black or African American","*","*","*"
"=""0840011""","Milford School District","=""0841711""","Mathewson School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0840011""","Milford School District","=""0841711""","Mathewson School","White",88,"48.9%","69.1%"
"=""0840011""","Milford School District","=""0841711""","Mathewson School","Asian",24,"45.8%","72.3%"
"=""0840011""","Milford School District","=""0841711""","Mathewson School","Hispanic/Latino of any race",8,"*","*"
"=""0840011""","Milford School District","=""0841711""","Mathewson School","Black or African American","*","*","*"
"=""0840011""","Milford School District","=""0840711""","Meadowside School","White",55,"45.5%","74.1%"
"=""0840011""","Milford School District","=""0840711""","Meadowside School","Asian",25,"36.0%","65.9%"
"=""0840011""","Milford School District","=""0840711""","Meadowside School","Hispanic/Latino of any race",8,"*","*"
"=""0840011""","Milford School District","=""0840811""","Orange Avenue School","American Indian or Alaska Native","*","*","*"
"=""0840011""","Milford School District","=""0840811""","Orange Avenue School","White",101,"53.5%","79.6%"
"=""0840011""","Milford School District","=""0840811""","Orange Avenue School","Asian",7,"*","*"
"=""0840011""","Milford School District","=""0840811""","Orange Avenue School","Hispanic/Latino of any race",10,"*","*"
"=""0840011""","Milford School District","=""0840811""","Orange Avenue School","Black or African American","*","*","*"
"=""0840011""","Milford School District","=""0841811""","Orchard Hills School","White",91,"56.0%","76.8%"
"=""0840011""","Milford School District","=""0841811""","Orchard Hills School","Asian",8,"*","*"
"=""0840011""","Milford School District","=""0841811""","Orchard Hills School","Hispanic/Latino of any race","*","*","*"
"=""0840011""","Milford School District","=""0841811""","Orchard Hills School","Black or African American","*","*","*"
"=""0840011""","Milford School District","=""0841011""","Pumpkin Delight School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0840011""","Milford School District","=""0841011""","Pumpkin Delight School","White",63,"61.9%","89.2%"
"=""0840011""","Milford School District","=""0841011""","Pumpkin Delight School","Asian","*","*","*"
"=""0840011""","Milford School District","=""0841011""","Pumpkin Delight School","Hispanic/Latino of any race",7,"*","*"
"=""0840011""","Milford School District","=""0841011""","Pumpkin Delight School","Black or African American",11,"*","*"
"=""0840011""","Milford School District","=""0845311""","West Shore Middle School","American Indian or Alaska Native","*","*","*"
"=""0840011""","Milford School District","=""0845311""","West Shore Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0840011""","Milford School District","=""0845311""","West Shore Middle School","White",329,"44.1%","63.2%"
"=""0840011""","Milford School District","=""0845311""","West Shore Middle School","Asian",32,"50.0%","67.5%"
"=""0840011""","Milford School District","=""0845311""","West Shore Middle School","Two or More Races","*","*","*"
"=""0840011""","Milford School District","=""0845311""","West Shore Middle School","Hispanic/Latino of any race",29,"41.4%","65.0%"
"=""0840011""","Milford School District","=""0845311""","West Shore Middle School","Black or African American",34,"38.2%","54.8%"
"=""0850011""","Monroe School District","=""0850511""","Fawn Hollow Elementary School","White",142,"55.6%","78.0%"
"=""0850011""","Monroe School District","=""0850511""","Fawn Hollow Elementary School","Asian","*","*","*"
"=""0850011""","Monroe School District","=""0850511""","Fawn Hollow Elementary School","Two or More Races",6,"*","*"
"=""0850011""","Monroe School District","=""0850511""","Fawn Hollow Elementary School","Hispanic/Latino of any race",16,"*","*"
"=""0850011""","Monroe School District","=""0850511""","Fawn Hollow Elementary School","Black or African American","*","*","*"
"=""0850011""","Monroe School District","=""0855211""","Jockey Hollow School","American Indian or Alaska Native","*","*","*"
"=""0850011""","Monroe School District","=""0855211""","Jockey Hollow School","White",639,"44.4%","59.5%"
"=""0850011""","Monroe School District","=""0855211""","Jockey Hollow School","Asian",35,"54.3%","61.0%"
"=""0850011""","Monroe School District","=""0855211""","Jockey Hollow School","Two or More Races",15,"*","*"
"=""0850011""","Monroe School District","=""0855211""","Jockey Hollow School","Hispanic/Latino of any race",55,"47.3%","63.0%"
"=""0850011""","Monroe School District","=""0855211""","Jockey Hollow School","Black or African American","*","*","*"
"=""0850011""","Monroe School District","=""0850111""","Monroe Elementary School","White",91,"62.6%","76.1%"
"=""0850011""","Monroe School District","=""0850111""","Monroe Elementary School","Asian","*","*","*"
"=""0850011""","Monroe School District","=""0850111""","Monroe Elementary School","Two or More Races","*","*","*"
"=""0850011""","Monroe School District","=""0850111""","Monroe Elementary School","Hispanic/Latino of any race",8,"*","*"
"=""0850011""","Monroe School District","=""0850111""","Monroe Elementary School","Black or African American","*","*","*"
"=""0850011""","Monroe School District","=""0850311""","Stepney Elementary School","American Indian or Alaska Native","*","*","*"
"=""0850011""","Monroe School District","=""0850311""","Stepney Elementary School","White",128,"55.5%","70.6%"
"=""0850011""","Monroe School District","=""0850311""","Stepney Elementary School","Asian",7,"*","*"
"=""0850011""","Monroe School District","=""0850311""","Stepney Elementary School","Two or More Races","*","*","*"
"=""0850011""","Monroe School District","=""0850311""","Stepney Elementary School","Hispanic/Latino of any race",8,"*","*"
"=""0850011""","Monroe School District","=""0850311""","Stepney Elementary School","Black or African American","*","*","*"
"=""0860011""","Montville School District","=""0860711""","Dr. Charles E. Murphy School","American Indian or Alaska Native","*","*","*"
"=""0860011""","Montville School District","=""0860711""","Dr. Charles E. Murphy School","White",72,"40.3%","65.0%"
"=""0860011""","Montville School District","=""0860711""","Dr. Charles E. Murphy School","Asian","*","*","*"
"=""0860011""","Montville School District","=""0860711""","Dr. Charles E. Murphy School","Two or More Races",14,"*","*"
"=""0860011""","Montville School District","=""0860711""","Dr. Charles E. Murphy School","Hispanic/Latino of any race",13,"*","*"
"=""0860011""","Montville School District","=""0865111""","Leonard J. Tyl Middle School","American Indian or Alaska Native",6,"*","*"
"=""0860011""","Montville School District","=""0865111""","Leonard J. Tyl Middle School","White",356,"38.8%","56.8%"
"=""0860011""","Montville School District","=""0865111""","Leonard J. Tyl Middle School","Asian",44,"47.7%","71.2%"
"=""0860011""","Montville School District","=""0865111""","Leonard J. Tyl Middle School","Two or More Races",58,"36.2%","60.8%"
"=""0860011""","Montville School District","=""0865111""","Leonard J. Tyl Middle School","Hispanic/Latino of any race",41,"51.2%","68.6%"
"=""0860011""","Montville School District","=""0865111""","Leonard J. Tyl Middle School","Black or African American",10,"*","*"
"=""0860011""","Montville School District","=""0860111""","Mohegan School","White",63,"47.6%","67.7%"
"=""0860011""","Montville School District","=""0860111""","Mohegan School","Asian",12,"*","*"
"=""0860011""","Montville School District","=""0860111""","Mohegan School","Two or More Races",15,"*","*"
"=""0860011""","Montville School District","=""0860111""","Mohegan School","Hispanic/Latino of any race","*","*","*"
"=""0860011""","Montville School District","=""0860111""","Mohegan School","Black or African American","*","*","*"
"=""0860011""","Montville School District","=""0860511""","Oakdale School","American Indian or Alaska Native","*","*","*"
"=""0860011""","Montville School District","=""0860511""","Oakdale School","White",75,"70.7%","92.3%"
"=""0860011""","Montville School District","=""0860511""","Oakdale School","Asian",6,"*","*"
"=""0860011""","Montville School District","=""0860511""","Oakdale School","Two or More Races",13,"*","*"
"=""0860011""","Montville School District","=""0860511""","Oakdale School","Hispanic/Latino of any race",6,"*","*"
"=""0860011""","Montville School District","=""0860511""","Oakdale School","Black or African American","*","*","*"
"=""0880011""","Naugatuck School District","=""0880811""","Andrew Avenue School","White",22,"22.7%","47.4%"
"=""0880011""","Naugatuck School District","=""0880811""","Andrew Avenue School","Asian","*","*","*"
"=""0880011""","Naugatuck School District","=""0880811""","Andrew Avenue School","Two or More Races","*","*","*"
"=""0880011""","Naugatuck School District","=""0880811""","Andrew Avenue School","Hispanic/Latino of any race",14,"*","*"
"=""0880011""","Naugatuck School District","=""0880811""","Andrew Avenue School","Black or African American","*","*","*"
"=""0880011""","Naugatuck School District","=""0885111""","City Hill Middle School","White",414,"40.1%","59.7%"
"=""0880011""","Naugatuck School District","=""0885111""","City Hill Middle School","Asian",23,"43.5%","58.4%"
"=""0880011""","Naugatuck School District","=""0885111""","City Hill Middle School","Two or More Races",32,"43.8%","61.4%"
"=""0880011""","Naugatuck School District","=""0885111""","City Hill Middle School","Hispanic/Latino of any race",125,"31.2%","49.5%"
"=""0880011""","Naugatuck School District","=""0885111""","City Hill Middle School","Black or African American",40,"22.5%","52.0%"
"=""0880011""","Naugatuck School District","=""0880211""","Cross Street Intermediate School","White",194,"52.1%","77.7%"
"=""0880011""","Naugatuck School District","=""0880211""","Cross Street Intermediate School","Asian",14,"*","*"
"=""0880011""","Naugatuck School District","=""0880211""","Cross Street Intermediate School","Two or More Races",16,"*","*"
"=""0880011""","Naugatuck School District","=""0880211""","Cross Street Intermediate School","Hispanic/Latino of any race",54,"59.3%","78.7%"
"=""0880011""","Naugatuck School District","=""0880211""","Cross Street Intermediate School","Black or African American",12,"*","*"
"=""0880011""","Naugatuck School District","=""0880411""","Hillside Intermediate School","White",164,"44.5%","69.2%"
"=""0880011""","Naugatuck School District","=""0880411""","Hillside Intermediate School","Asian",6,"*","*"
"=""0880011""","Naugatuck School District","=""0880411""","Hillside Intermediate School","Two or More Races",19,"*","*"
"=""0880011""","Naugatuck School District","=""0880411""","Hillside Intermediate School","Hispanic/Latino of any race",75,"45.3%","67.6%"
"=""0880011""","Naugatuck School District","=""0880411""","Hillside Intermediate School","Black or African American",33,"51.5%","74.3%"
"=""0880011""","Naugatuck School District","=""0880511""","Hop Brook Elementary School","American Indian or Alaska Native","*","*","*"
"=""0880011""","Naugatuck School District","=""0880511""","Hop Brook Elementary School","White",33,"30.3%","56.2%"
"=""0880011""","Naugatuck School District","=""0880511""","Hop Brook Elementary School","Asian","*","*","*"
"=""0880011""","Naugatuck School District","=""0880511""","Hop Brook Elementary School","Hispanic/Latino of any race",9,"*","*"
"=""0880011""","Naugatuck School District","=""0880511""","Hop Brook Elementary School","Black or African American","*","*","*"
"=""0880011""","Naugatuck School District","=""0880311""","Maple Hill School","American Indian or Alaska Native","*","*","*"
"=""0880011""","Naugatuck School District","=""0880311""","Maple Hill School","White",76,"34.2%","59.0%"
"=""0880011""","Naugatuck School District","=""0880311""","Maple Hill School","Asian","*","*","*"
"=""0880011""","Naugatuck School District","=""0880311""","Maple Hill School","Two or More Races","*","*","*"
"=""0880011""","Naugatuck School District","=""0880311""","Maple Hill School","Hispanic/Latino of any race",15,"*","*"
"=""0880011""","Naugatuck School District","=""0880311""","Maple Hill School","Black or African American","*","*","*"
"=""0880011""","Naugatuck School District","=""0880611""","Salem School","White",24,"45.8%","72.7%"
"=""0880011""","Naugatuck School District","=""0880611""","Salem School","Two or More Races","*","*","*"
"=""0880011""","Naugatuck School District","=""0880611""","Salem School","Hispanic/Latino of any race",12,"*","*"
"=""0880011""","Naugatuck School District","=""0880611""","Salem School","Black or African American","*","*","*"
"=""0880011""","Naugatuck School District","=""0880711""","Western School","White",41,"61.0%","81.6%"
"=""0880011""","Naugatuck School District","=""0880711""","Western School","Two or More Races","*","*","*"
"=""0880011""","Naugatuck School District","=""0880711""","Western School","Hispanic/Latino of any race",13,"*","*"
"=""0880011""","Naugatuck School District","=""0880711""","Western School","Black or African American","*","*","*"
"=""2800013""","New Beginnings Inc Family Academy District","=""2800113""","New Beginnings Inc., Family Academy","White","*","*","*"
"=""2800013""","New Beginnings Inc Family Academy District","=""2800113""","New Beginnings Inc., Family Academy","Two or More Races","*","*","*"
"=""2800013""","New Beginnings Inc Family Academy District","=""2800113""","New Beginnings Inc., Family Academy","Hispanic/Latino of any race",43,"25.6%","54.8%"
"=""2800013""","New Beginnings Inc Family Academy District","=""2800113""","New Beginnings Inc., Family Academy","Black or African American",118,"37.3%","57.1%"
"=""0890011""","New Britain School District","=""0899111""","Alternative Center School","Hispanic/Latino of any race",10,"*","*"
"=""0890011""","New Britain School District","=""0891011""","Behavior Support","White","*","*","*"
"=""0890011""","New Britain School District","=""0891011""","Behavior Support","Hispanic/Latino of any race","*","*","*"
"=""0890011""","New Britain School District","=""0891011""","Behavior Support","Black or African American","*","*","*"
"=""0890011""","New Britain School District","=""0890311""","Chamberlain  Elementary School","White","*","33.3%","65.0%"
"=""0890011""","New Britain School District","=""0890311""","Chamberlain  Elementary School","Two or More Races","*","*","*"
"=""0890011""","New Britain School District","=""0890311""","Chamberlain  Elementary School","Hispanic/Latino of any race",66,"28.8%","53.4%"
"=""0890011""","New Britain School District","=""0890311""","Chamberlain  Elementary School","Black or African American",25,"28.0%","59.9%"
"=""0890011""","New Britain School District","=""0891111""","Frank J. DiLoreto School","American Indian or Alaska Native","*","*","*"
"=""0890011""","New Britain School District","=""0891111""","Frank J. DiLoreto School","White",57,"29.8%","57.5%"
"=""0890011""","New Britain School District","=""0891111""","Frank J. DiLoreto School","Asian","*","*","*"
"=""0890011""","New Britain School District","=""0891111""","Frank J. DiLoreto School","Two or More Races","*","*","*"
"=""0890011""","New Britain School District","=""0891111""","Frank J. DiLoreto School","Hispanic/Latino of any race",310,"27.7%","51.4%"
"=""0890011""","New Britain School District","=""0891111""","Frank J. DiLoreto School","Black or African American",18,"*","*"
"=""0890011""","New Britain School District","=""0890511""","Gaffney School","White",27,"40.7%","64.4%"
"=""0890011""","New Britain School District","=""0890511""","Gaffney School","Asian","*","*","*"
"=""0890011""","New Britain School District","=""0890511""","Gaffney School","Two or More Races","*","*","*"
"=""0890011""","New Britain School District","=""0890511""","Gaffney School","Hispanic/Latino of any race",61,"29.5%","57.1%"
"=""0890011""","New Britain School District","=""0890511""","Gaffney School","Black or African American",10,"*","*"
"=""0890011""","New Britain School District","=""0890611""","Holmes School","White",54,"50.0%","79.3%"
"=""0890011""","New Britain School District","=""0890611""","Holmes School","Asian","*","*","*"
"=""0890011""","New Britain School District","=""0890611""","Holmes School","Two or More Races","*","*","*"
"=""0890011""","New Britain School District","=""0890611""","Holmes School","Hispanic/Latino of any race",35,"42.9%","70.7%"
"=""0890011""","New Britain School District","=""0890611""","Holmes School","Black or African American",13,"*","*"
"=""0890011""","New Britain School District","=""0895411""","House of Arts Letters and Science (HALS)  Academy","American Indian or Alaska Native","*","*","*"
"=""0890011""","New Britain School District","=""0895411""","House of Arts Letters and Science (HALS)  Academy","White",71,"50.7%","66.1%"
"=""0890011""","New Britain School District","=""0895411""","House of Arts Letters and Science (HALS)  Academy","Asian",7,"*","*"
"=""0890011""","New Britain School District","=""0895411""","House of Arts Letters and Science (HALS)  Academy","Two or More Races","*","*","*"
"=""0890011""","New Britain School District","=""0895411""","House of Arts Letters and Science (HALS)  Academy","Hispanic/Latino of any race",46,"39.1%","53.5%"
"=""0890011""","New Britain School District","=""0895411""","House of Arts Letters and Science (HALS)  Academy","Black or African American",16,"*","*"
"=""0890011""","New Britain School District","=""0890711""","Jefferson School","White",47,"42.6%","65.3%"
"=""0890011""","New Britain School District","=""0890711""","Jefferson School","Asian","*","*","*"
"=""0890011""","New Britain School District","=""0890711""","Jefferson School","Two or More Races","*","*","*"
"=""0890011""","New Britain School District","=""0890711""","Jefferson School","Hispanic/Latino of any race",58,"29.3%","58.1%"
"=""0890011""","New Britain School District","=""0890711""","Jefferson School","Black or African American",10,"*","*"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School","American Indian or Alaska Native","*","*","*"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School","White",38,"26.3%","54.4%"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School","Asian","*","*","*"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School","Two or More Races","*","*","*"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School","Hispanic/Latino of any race",74,"25.7%","50.0%"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School","Black or African American",22,"18.2%","49.2%"
"=""0890011""","New Britain School District","=""0899011""","New Britain Transition Center","White","*","*","*"
"=""0890011""","New Britain School District","=""0899011""","New Britain Transition Center","Hispanic/Latino of any race",13,"*","*"
"=""0890011""","New Britain School District","=""0899011""","New Britain Transition Center","Black or African American","*","*","*"
"=""0890011""","New Britain School District","=""0890911""","Northend School","White","*","*","*"
"=""0890011""","New Britain School District","=""0890911""","Northend School","Two or More Races","*","*","*"
"=""0890011""","New Britain School District","=""0890911""","Northend School","Hispanic/Latino of any race",49,"32.7%","61.6%"
"=""0890011""","New Britain School District","=""0890911""","Northend School","Black or African American",16,"*","*"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","American Indian or Alaska Native","*","*","*"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","White",116,"31.9%","52.4%"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","Asian",31,"41.9%","56.4%"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","Two or More Races",10,"*","*"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","Hispanic/Latino of any race",387,"28.4%","48.3%"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","Black or African American",81,"29.6%","50.2%"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","American Indian or Alaska Native","*","*","*"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","Native Hawaiian or Other Pacific Islander","*","*","*"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","White",98,"23.5%","41.7%"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","Asian",10,"*","*"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","Two or More Races",13,"*","*"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","Hispanic/Latino of any race",403,"26.3%","45.3%"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","Black or African American",95,"22.1%","43.2%"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy","White",14,"*","*"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy","Asian","*","*","*"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy","Two or More Races","*","*","*"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy","Hispanic/Latino of any race",115,"24.3%","55.8%"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy","Black or African American",19,"*","*"
"=""0890011""","New Britain School District","=""0891311""","Smith School","American Indian or Alaska Native","*","*","*"
"=""0890011""","New Britain School District","=""0891311""","Smith School","White",40,"20.0%","37.6%"
"=""0890011""","New Britain School District","=""0891311""","Smith School","Asian","*","*","*"
"=""0890011""","New Britain School District","=""0891311""","Smith School","Two or More Races","*","*","*"
"=""0890011""","New Britain School District","=""0891311""","Smith School","Hispanic/Latino of any race",105,"20.0%","44.9%"
"=""0890011""","New Britain School District","=""0891311""","Smith School","Black or African American",18,"*","*"
"=""0890011""","New Britain School District","=""0891811""","Steps","White","*","*","*"
"=""0890011""","New Britain School District","=""0891811""","Steps","Two or More Races","*","*","*"
"=""0890011""","New Britain School District","=""0891811""","Steps","Hispanic/Latino of any race",19,"*","*"
"=""0890011""","New Britain School District","=""0891811""","Steps","Black or African American","*","*","*"
"=""0890011""","New Britain School District","=""0890411""","Sunrise Intermediate","White","*","*","*"
"=""0890011""","New Britain School District","=""0890411""","Sunrise Intermediate","Hispanic/Latino of any race","*","*","*"
"=""0890011""","New Britain School District","=""0890211""","Sunrise Primary","Hispanic/Latino of any race","*","*","*"
"=""0890011""","New Britain School District","=""0891511""","Vance School","White",25,"28.0%","55.1%"
"=""0890011""","New Britain School District","=""0891511""","Vance School","Asian","*","*","*"
"=""0890011""","New Britain School District","=""0891511""","Vance School","Two or More Races","*","*","*"
"=""0890011""","New Britain School District","=""0891511""","Vance School","Hispanic/Latino of any race",91,"30.8%","58.3%"
"=""0890011""","New Britain School District","=""0891511""","Vance School","Black or African American",28,"28.6%","60.9%"
"=""0900011""","New Canaan School District","=""0900411""","East School","American Indian or Alaska Native","*","*","*"
"=""0900011""","New Canaan School District","=""0900411""","East School","White",94,"80.9%","98.2%"
"=""0900011""","New Canaan School District","=""0900411""","East School","Asian",10,"*","*"
"=""0900011""","New Canaan School District","=""0900411""","East School","Two or More Races","*","*","*"
"=""0900011""","New Canaan School District","=""0900411""","East School","Hispanic/Latino of any race","*","*","*"
"=""0900011""","New Canaan School District","=""0900411""","East School","Black or African American","*","*","*"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","American Indian or Alaska Native","*","*","*"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","White",1090,"47.2%","63.1%"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","Asian",71,"66.2%","76.8%"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","Two or More Races",28,"46.4%","63.6%"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","Hispanic/Latino of any race",34,"41.2%","56.3%"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","Black or African American","*","*","*"
"=""0900011""","New Canaan School District","=""0900211""","South School","White",92,"67.4%","83.1%"
"=""0900011""","New Canaan School District","=""0900211""","South School","Asian",12,"*","*"
"=""0900011""","New Canaan School District","=""0900211""","South School","Two or More Races","*","*","*"
