"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","School Code","School","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","Special Education",125,"41.6%","62.0%"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","Non-Special Education",1121,"56.6%","74.5%"
"=""0900011""","New Canaan School District","=""0900211""","South School","Special Education",15,"*","*"
"=""0900011""","New Canaan School District","=""0900211""","South School","Non-Special Education",102,"74.5%","91.6%"
"=""0900011""","New Canaan School District","=""0900311""","West School","Special Education",7,"*","*"
"=""0900011""","New Canaan School District","=""0900311""","West School","Non-Special Education",74,"75.7%","95.2%"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School","Special Education",18,"*","*"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School","Non-Special Education",266,"52.6%","79.5%"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School","Special Education",39,"51.3%","64.8%"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School","Non-Special Education",456,"62.9%","81.3%"
"=""0920011""","New Hartford School District","=""0920311""","Ann Antolini School","Special Education",21,"33.3%","66.4%"
"=""0920011""","New Hartford School District","=""0920311""","Ann Antolini School","Non-Special Education",175,"32.0%","55.7%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School","Special Education",30,"30.0%","52.2%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School","Non-Special Education",186,"30.1%","53.6%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School","Special Education",32,"25.0%","42.8%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School","Non-Special Education",210,"37.6%","59.6%"
"=""0930011""","New Haven School District","=""0930311""","Beecher School","Special Education",25,"64.0%","74.8%"
"=""0930011""","New Haven School District","=""0930311""","Beecher School","Non-Special Education",188,"29.8%","52.6%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","Special Education",34,"32.4%","56.6%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","Non-Special Education",196,"39.3%","63.4%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","Special Education",40,"40.0%","64.0%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","Non-Special Education",390,"50.3%","70.1%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","Special Education",32,"34.4%","55.4%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","Non-Special Education",177,"39.5%","62.1%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","Special Education",29,"34.5%","57.7%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","Non-Special Education",149,"40.3%","62.6%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","Special Education",27,"14.8%","48.2%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","Non-Special Education",134,"29.1%","51.5%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","Special Education",49,"38.8%","67.3%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","Non-Special Education",208,"46.6%","66.0%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","Special Education",44,"34.1%","55.3%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","Non-Special Education",217,"45.2%","68.7%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","Special Education",34,"38.2%","59.7%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","Non-Special Education",173,"37.6%","62.1%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","Special Education",34,"38.2%","62.3%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","Non-Special Education",283,"55.8%","79.6%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","Special Education",37,"29.7%","47.1%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","Non-Special Education",180,"34.4%","59.5%"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","Special Education",11,"*","*"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","Non-Special Education",8,"*","*"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","Special Education",25,"24.0%","49.0%"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","Non-Special Education",194,"40.2%","66.5%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","Special Education",24,"25.0%","46.1%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","Non-Special Education",201,"40.3%","61.6%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","Special Education",18,"*","*"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","Non-Special Education",232,"47.8%","67.3%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","Special Education",40,"47.5%","64.1%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","Non-Special Education",335,"34.6%","55.8%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","Special Education",32,"15.6%","39.2%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","Non-Special Education",203,"35.5%","58.8%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","Special Education",29,"37.9%","60.0%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","Non-Special Education",190,"43.2%","66.2%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","Special Education",27,"44.4%","64.3%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","Non-Special Education",251,"57.8%","81.8%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","Special Education",42,"35.7%","54.9%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","Non-Special Education",189,"43.4%","66.9%"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School","Special Education",11,"*","*"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School","Non-Special Education",74,"70.3%","94.4%"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School","Special Education",24,"58.3%","72.9%"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School","Non-Special Education",200,"47.0%","70.2%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School","Special Education",34,"32.4%","45.8%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School","Non-Special Education",196,"43.4%","66.9%"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School","Special Education",7,"*","*"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School","Non-Special Education",32,"34.4%","71.8%"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School","Special Education",33,"27.3%","48.7%"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School","Non-Special Education",285,"21.1%","42.0%"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School","Special Education","*","*","*"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School","Non-Special Education","*","33.8%","70.9%"
"=""0930011""","New Haven School District","=""0932911""","Truman School","Special Education",27,"40.7%","56.5%"
"=""0930011""","New Haven School District","=""0932911""","Truman School","Non-Special Education",188,"52.7%","77.9%"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy","Special Education","*","*","*"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy","Non-Special Education","*","*","*"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School","Special Education",33,"27.3%","54.4%"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School","Non-Special Education",122,"20.5%","41.6%"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School","Special Education",18,"*","*"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School","Non-Special Education",156,"63.5%","82.9%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School","Special Education",64,"35.9%","50.0%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School","Non-Special Education",456,"27.0%","47.1%"
"=""0950011""","New London School District","=""0950311""","Jennings School","Special Education",21,"23.8%","49.6%"
"=""0950011""","New London School District","=""0950311""","Jennings School","Non-Special Education",132,"15.2%","41.9%"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School","Special Education",27,"22.2%","41.3%"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School","Non-Special Education",145,"21.4%","46.8%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School","Special Education",29,"37.9%","63.6%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School","Non-Special Education",119,"43.7%","69.2%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School","Special Education",64,"35.9%","61.6%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School","Non-Special Education",522,"55.0%","80.4%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School","Special Education",112,"32.1%","44.7%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School","Non-Special Education",740,"39.2%","56.9%"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School","Special Education","*","*","*"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School","Non-Special Education","*","55.6%","81.5%"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School","Special Education",8,"*","*"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School","Non-Special Education",51,"35.3%","65.0%"
"=""0940011""","Newington School District","=""0940811""","John Paterson School","Special Education",8,"*","*"
"=""0940011""","Newington School District","=""0940811""","John Paterson School","Non-Special Education",69,"37.7%","67.9%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School","Special Education",70,"20.0%","35.0%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School","Non-Special Education",563,"41.7%","58.6%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School","Special Education",61,"23.0%","40.9%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School","Non-Special Education",533,"37.1%","53.7%"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School","Special Education",7,"*","*"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School","Non-Special Education",63,"23.8%","46.1%"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School","Special Education",7,"*","*"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School","Non-Special Education",62,"59.7%","87.5%"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School","Special Education",6,"*","*"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School","Non-Special Education",65,"70.8%","94.8%"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School","Special Education",8,"*","*"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School","Non-Special Education",70,"35.7%","60.6%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School","Special Education",45,"33.3%","49.5%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School","Non-Special Education",718,"54.5%","70.1%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School","Special Education",75,"40.0%","62.3%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School","Non-Special Education",579,"73.6%","92.0%"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School","Special Education",8,"*","*"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School","Non-Special Education",59,"44.1%","73.9%"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School","Special Education",9,"*","*"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School","Non-Special Education",35,"57.1%","77.4%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School","Special Education",61,"32.8%","51.3%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School","Non-Special Education",377,"43.5%","61.5%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School","Special Education",39,"43.6%","63.4%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School","Non-Special Education",226,"52.7%","78.5%"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School","Special Education",11,"*","*"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School","Non-Special Education",99,"52.5%","76.4%"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School","Special Education",7,"*","*"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School","Non-Special Education",92,"57.6%","87.1%"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School","Special Education",18,"*","*"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School","Non-Special Education",82,"63.4%","88.8%"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School","Special Education",18,"*","*"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School","Non-Special Education",82,"53.7%","85.6%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School","Special Education",62,"50.0%","68.1%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School","Non-Special Education",645,"78.1%","95.1%"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School","Special Education",13,"*","*"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School","Non-Special Education",108,"65.7%","91.3%"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School","Special Education","*","*","*"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School","Non-Special Education","*","67.7%","85.7%"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School","Special Education",10,"*","*"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School","Non-Special Education",154,"36.4%","55.7%"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School","Special Education",14,"*","*"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School","Non-Special Education",120,"39.2%","61.6%"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School","Special Education",16,"*","*"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School","Non-Special Education",66,"42.4%","75.3%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School","Special Education",21,"9.5%","43.1%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School","Non-Special Education",110,"30.9%","60.6%"
"=""1030011""","Norwalk School District","=""1032011""","Fox Run Elementary School","Special Education",15,"*","*"
"=""1030011""","Norwalk School District","=""1032011""","Fox Run Elementary School","Non-Special Education",112,"40.2%","69.3%"
"=""1030011""","Norwalk School District","=""1030711""","Jefferson Magnet School","Special Education",11,"*","*"
"=""1030011""","Norwalk School District","=""1030711""","Jefferson Magnet School","Non-Special Education",183,"46.4%","73.1%"
"=""1030011""","Norwalk School District","=""1030811""","Kendall Elementary School","Special Education",9,"*","*"
"=""1030011""","Norwalk School District","=""1030811""","Kendall Elementary School","Non-Special Education",157,"31.8%","56.9%"
"=""1030011""","Norwalk School District","=""1032211""","Marvin Elementary School","Special Education",18,"*","*"
"=""1030011""","Norwalk School District","=""1032211""","Marvin Elementary School","Non-Special Education",131,"35.1%","67.0%"
"=""1030011""","Norwalk School District","=""1032111""","Naramake Elementary School","Special Education",20,"15.0%","39.9%"
"=""1030011""","Norwalk School District","=""1032111""","Naramake Elementary School","Non-Special Education",112,"42.9%","70.3%"
"=""1030011""","Norwalk School District","=""1035211""","Nathan Hale Middle School","Special Education",87,"25.3%","39.7%"
"=""1030011""","Norwalk School District","=""1035211""","Nathan Hale Middle School","Non-Special Education",534,"36.3%","55.6%"
"=""1030011""","Norwalk School District","=""1035311""","Ponus Ridge Middle School","Special Education",89,"19.1%","32.9%"
"=""1030011""","Norwalk School District","=""1035311""","Ponus Ridge Middle School","Non-Special Education",529,"32.7%","50.1%"
"=""1030011""","Norwalk School District","=""1035511""","Roton Middle School","Special Education",45,"31.1%","45.0%"
"=""1030011""","Norwalk School District","=""1035511""","Roton Middle School","Non-Special Education",402,"36.3%","55.5%"
"=""1030011""","Norwalk School District","=""1031311""","Rowayton School","Special Education",16,"*","*"
"=""1030011""","Norwalk School District","=""1031311""","Rowayton School","Non-Special Education",100,"78.0%","96.1%"
"=""1030011""","Norwalk School District","=""1032311""","Silvermine Elementary School","Special Education",19,"*","*"
"=""1030011""","Norwalk School District","=""1032311""","Silvermine Elementary School","Non-Special Education",131,"30.5%","56.2%"
"=""1030011""","Norwalk School District","=""1031411""","Tracey School","Special Education",24,"20.8%","36.1%"
"=""1030011""","Norwalk School District","=""1031411""","Tracey School","Non-Special Education",87,"46.0%","71.1%"
"=""1030011""","Norwalk School District","=""1035411""","West Rocks Middle School","Special Education",77,"32.5%","45.8%"
"=""1030011""","Norwalk School District","=""1035411""","West Rocks Middle School","Non-Special Education",549,"40.8%","60.0%"
"=""1030011""","Norwalk School District","=""1032411""","Wolfpit School","Special Education",13,"*","*"
"=""1030011""","Norwalk School District","=""1032411""","Wolfpit School","Non-Special Education",75,"46.7%","73.1%"
"=""1040011""","Norwich School District","=""1040711""","IRS Program at Uncas","Special Education","*","*","*"
"=""1040011""","Norwich School District","=""1041411""","John B. Stanton Network School","Special Education",16,"*","*"
"=""1040011""","Norwich School District","=""1041411""","John B. Stanton Network School","Non-Special Education",91,"35.2%","63.4%"
"=""1040011""","Norwich School District","=""1045111""","Kelly Middle School","Special Education",94,"37.2%","55.7%"
"=""1040011""","Norwich School District","=""1045111""","Kelly Middle School","Non-Special Education",577,"35.7%","54.3%"
"=""1040011""","Norwich School District","=""1042011""","Moriarty Magnet School","Special Education",18,"*","*"
"=""1040011""","Norwich School District","=""1042011""","Moriarty Magnet School","Non-Special Education",107,"33.6%","57.4%"
"=""1040011""","Norwich School District","=""1040811""","Samuel Huntington School","Special Education",14,"*","*"
"=""1040011""","Norwich School District","=""1040811""","Samuel Huntington School","Non-Special Education",92,"52.2%","80.9%"
"=""1040011""","Norwich School District","=""1045211""","Teachers' Memorial Middle School","Special Education",51,"7.8%","20.8%"
"=""1040011""","Norwich School District","=""1045211""","Teachers' Memorial Middle School","Non-Special Education",253,"43.9%","63.8%"
"=""1040011""","Norwich School District","=""1041711""","Thomas W. Mahan School","Special Education",7,"*","*"
"=""1040011""","Norwich School District","=""1041711""","Thomas W. Mahan School","Non-Special Education",78,"76.9%","99.4%"
"=""1040011""","Norwich School District","=""1041911""","Uncas Network School","Special Education",10,"*","*"
"=""1040011""","Norwich School District","=""1041911""","Uncas Network School","Non-Special Education",52,"28.8%","50.7%"
"=""1040011""","Norwich School District","=""1041811""","Veterans' Memorial School","Special Education",17,"*","*"
"=""1040011""","Norwich School District","=""1041811""","Veterans' Memorial School","Non-Special Education",76,"28.9%","61.4%"
"=""1040011""","Norwich School District","=""1041511""","Wequonnoc Magnet School","Special Education",10,"*","*"
"=""1040011""","Norwich School District","=""1041511""","Wequonnoc Magnet School","Non-Special Education",59,"23.7%","51.5%"
"=""2630013""","Odyssey Community School District","=""2635113""","Odyssey Community School","Special Education",16,"*","*"
"=""2630013""","Odyssey Community School District","=""2635113""","Odyssey Community School","Non-Special Education",159,"34.0%","55.6%"
"=""1060011""","Old Saybrook School District","=""1065211""","Old Saybrook Middle School","Special Education",59,"40.7%","59.8%"
"=""1060011""","Old Saybrook School District","=""1065211""","Old Saybrook Middle School","Non-Special Education",443,"50.3%","72.2%"
"=""1070011""","Orange School District","=""1070511""","Peck Place School","Special Education",8,"*","*"
"=""1070011""","Orange School District","=""1070511""","Peck Place School","Non-Special Education",182,"42.3%","68.6%"
"=""1070011""","Orange School District","=""1070311""","Race Brook School","Special Education",14,"*","*"
"=""1070011""","Orange School District","=""1070311""","Race Brook School","Non-Special Education",170,"57.1%","79.2%"
"=""1070011""","Orange School District","=""1070411""","Turkey Hill School","Special Education",12,"*","*"
"=""1070011""","Orange School District","=""1070411""","Turkey Hill School","Non-Special Education",128,"58.6%","81.5%"
"=""1080011""","Oxford School District","=""1080411""","Alternative Education","Special Education","*","*","*"
"=""1080011""","Oxford School District","=""1085111""","Great Oak School","Special Education",46,"30.4%","47.7%"
"=""1080011""","Oxford School District","=""1085111""","Great Oak School","Non-Special Education",414,"53.6%","73.9%"
"=""1080011""","Oxford School District","=""1080111""","Oxford Center School","Special Education",40,"30.0%","57.2%"
"=""1080011""","Oxford School District","=""1080111""","Oxford Center School","Non-Special Education",272,"45.2%","71.7%"
"=""2830013""","Park City Prep Charter School District","=""2835113""","Park City Prep Charter School","Special Education",23,"30.4%","45.0%"
"=""2830013""","Park City Prep Charter School District","=""2835113""","Park City Prep Charter School","Non-Special Education",313,"59.4%","79.4%"
"=""1090011""","Plainfield School District","=""1095111""","Plainfield Central School","Special Education",49,"55.1%","73.8%"
"=""1090011""","Plainfield School District","=""1095111""","Plainfield Central School","Non-Special Education",440,"69.1%","88.1%"
"=""1090011""","Plainfield School District","=""1090311""","Plainfield Memorial School","Special Education",44,"40.9%","71.7%"
"=""1090011""","Plainfield School District","=""1090311""","Plainfield Memorial School","Non-Special Education",264,"38.3%","68.4%"
"=""1100011""","Plainville School District","=""1100411""","Frank T. Wheeler School","Special Education",7,"*","*"
"=""1100011""","Plainville School District","=""1100411""","Frank T. Wheeler School","Non-Special Education",74,"29.7%","56.4%"
"=""1100011""","Plainville School District","=""1100211""","Linden Street School","Special Education",21,"23.8%","56.1%"
"=""1100011""","Plainville School District","=""1100211""","Linden Street School","Non-Special Education",114,"25.4%","56.1%"
"=""1100011""","Plainville School District","=""1100511""","Louis Toffolon School","Special Education",18,"*","*"
"=""1100011""","Plainville School District","=""1100511""","Louis Toffolon School","Non-Special Education",90,"34.4%","67.0%"
"=""1100011""","Plainville School District","=""1105211""","Middle School of Plainville","Special Education",60,"30.0%","50.5%"
"=""1100011""","Plainville School District","=""1105211""","Middle School of Plainville","Non-Special Education",467,"47.3%","67.5%"
"=""1110011""","Plymouth School District","=""1115111""","Eli Terry Jr. Middle School","Special Education",36,"33.3%","48.2%"
"=""1110011""","Plymouth School District","=""1115111""","Eli Terry Jr. Middle School","Non-Special Education",280,"53.6%","73.3%"
"=""1110011""","Plymouth School District","=""1110411""","Harry S. Fisher Elementary School","Special Education",23,"43.5%","80.7%"
"=""1110011""","Plymouth School District","=""1110411""","Harry S. Fisher Elementary School","Non-Special Education",89,"32.6%","66.4%"
"=""1110011""","Plymouth School District","=""1110211""","Plymouth Center School","Special Education",14,"*","*"
"=""1110011""","Plymouth School District","=""1110211""","Plymouth Center School","Non-Special Education",95,"63.2%","89.8%"
"=""1120011""","Pomfret School District","=""1120111""","Pomfret Community School","Special Education",28,"28.6%","41.3%"
"=""1120011""","Pomfret School District","=""1120111""","Pomfret Community School","Non-Special Education",193,"51.8%","72.3%"
"=""1130011""","Portland School District","=""1130511""","Brownstone Intermediate School","Special Education",16,"*","*"
"=""1130011""","Portland School District","=""1130511""","Brownstone Intermediate School","Non-Special Education",192,"63.0%","84.1%"
"=""1130011""","Portland School District","=""1130411""","Gildersleeve School","Special Education",8,"*","*"
"=""1130011""","Portland School District","=""1130411""","Gildersleeve School","Non-Special Education",83,"32.5%","67.9%"
"=""1130011""","Portland School District","=""1135111""","Portland Middle School","Special Education",22,"27.3%","48.9%"
"=""1130011""","Portland School District","=""1135111""","Portland Middle School","Non-Special Education",186,"40.3%","60.0%"
"=""1140011""","Preston School District","=""1145111""","Preston Plains School","Special Education",25,"32.0%","54.3%"
"=""1140011""","Preston School District","=""1145111""","Preston Plains School","Non-Special Education",112,"44.6%","63.4%"
"=""1140011""","Preston School District","=""1140411""","Preston Veterans' Memorial School","Special Education",14,"*","*"
"=""1140011""","Preston School District","=""1140411""","Preston Veterans' Memorial School","Non-Special Education",62,"46.8%","65.8%"
"=""1160011""","Putnam School District","=""1160311""","Putnam Elementary School","Special Education",16,"*","*"
"=""1160011""","Putnam School District","=""1160311""","Putnam Elementary School","Non-Special Education",143,"61.5%","80.3%"
"=""1160011""","Putnam School District","=""1165111""","Putnam Middle School","Special Education",30,"33.3%","57.3%"
"=""1160011""","Putnam School District","=""1165111""","Putnam Middle School","Non-Special Education",205,"42.0%","64.0%"
"=""1170011""","Redding School District","=""1175111""","John Read Middle School","Special Education",43,"39.5%","60.5%"
"=""1170011""","Redding School District","=""1175111""","John Read Middle School","Non-Special Education",368,"55.2%","72.7%"
"=""1170011""","Redding School District","=""1170111""","Redding Elementary School","Special Education",12,"*","*"
"=""1170011""","Redding School District","=""1170111""","Redding Elementary School","Non-Special Education",73,"65.8%","92.8%"
"=""2010012""","Regional School District 01","=""2010312""","SELC","Special Education","*","*","*"
"=""2010012""","Regional School District 01","=""2010212""","TOTAL","Special Education","*","*","*"
"=""2040012""","Regional School District 04","=""2045112""","John Winthrop Middle School","Special Education",42,"31.0%","41.4%"
"=""2040012""","Regional School District 04","=""2045112""","John Winthrop Middle School","Non-Special Education",257,"42.8%","61.6%"
"=""2050012""","Regional School District 05","=""2055112""","Amity Middle School: Bethany","Special Education",33,"27.3%","39.7%"
"=""2050012""","Regional School District 05","=""2055112""","Amity Middle School: Bethany","Non-Special Education",324,"69.8%","86.6%"
"=""2050012""","Regional School District 05","=""2055212""","Amity Middle School: Orange","Special Education",38,"36.8%","48.1%"
"=""2050012""","Regional School District 05","=""2055212""","Amity Middle School: Orange","Non-Special Education",314,"52.9%","68.9%"
"=""2060012""","Regional School District 06","=""2060112""","Goshen Center School","Special Education",6,"*","*"
"=""2060012""","Regional School District 06","=""2060112""","Goshen Center School","Non-Special Education",55,"52.7%","76.4%"
"=""2060012""","Regional School District 06","=""2060212""","James Morris School","Special Education",7,"*","*"
"=""2060012""","Regional School District 06","=""2060212""","James Morris School","Non-Special Education",29,"48.3%","70.6%"
"=""2060012""","Regional School District 06","=""2066112""","Wamogo Regional High School","Special Education",13,"*","*"
"=""2060012""","Regional School District 06","=""2066112""","Wamogo Regional High School","Non-Special Education",101,"35.6%","50.4%"
"=""2060012""","Regional School District 06","=""2060312""","Warren Elementary School","Special Education","*","*","*"
"=""2060012""","Regional School District 06","=""2060312""","Warren Elementary School","Non-Special Education","*","40.7%","63.0%"
"=""2070012""","Regional School District 07","=""2079012""","FLEX","Special Education","*","*","*"
"=""2070012""","Regional School District 07","=""2079212""","Links","Special Education","*","*","*"
"=""2070012""","Regional School District 07","=""2075112""","Northwestern Regional Middle School","Special Education",30,"40.0%","57.8%"
"=""2070012""","Regional School District 07","=""2075112""","Northwestern Regional Middle School","Non-Special Education",246,"62.2%","79.3%"
"=""2080012""","Regional School District 08","=""2085112""","RHAM Middle School","Special Education",63,"30.2%","52.7%"
"=""2080012""","Regional School District 08","=""2085112""","RHAM Middle School","Non-Special Education",486,"44.0%","60.3%"
"=""2100012""","Regional School District 10","=""2105112""","Har-Bur Middle School","Special Education",73,"27.4%","44.9%"
"=""2100012""","Regional School District 10","=""2105112""","Har-Bur Middle School","Non-Special Education",677,"37.4%","55.8%"
"=""2100012""","Regional School District 10","=""2100312""","Harwinton Consolidated School","Special Education","*","*","*"
"=""2100012""","Regional School District 10","=""2100312""","Harwinton Consolidated School","Non-Special Education","*","78.5%","99.1%"
"=""2100012""","Regional School District 10","=""2100212""","Lake Garda Elementary School","Special Education","*","*","*"
"=""2100012""","Regional School District 10","=""2100212""","Lake Garda Elementary School","Non-Special Education","*","42.5%","75.4%"
