"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","School Code","School","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0900011""","New Canaan School District","=""0900311""","West School","High Needs",8,"*","*"
"=""0900011""","New Canaan School District","=""0900311""","West School","Non-High Needs",73,"75.3%","95.0%"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School","High Needs",50,"42.0%","73.1%"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School","Non-High Needs",234,"54.3%","79.5%"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School","High Needs",82,"54.9%","71.2%"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School","Non-High Needs",413,"63.4%","81.8%"
"=""0920011""","New Hartford School District","=""0920311""","Ann Antolini School","High Needs",36,"25.0%","53.9%"
"=""0920011""","New Hartford School District","=""0920311""","Ann Antolini School","Non-High Needs",160,"33.8%","57.5%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School","High Needs",167,"27.5%","51.6%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School","Non-High Needs",49,"38.8%","59.5%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School","High Needs",169,"32.0%","54.6%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School","Non-High Needs",73,"45.2%","63.9%"
"=""0930011""","New Haven School District","=""0930311""","Beecher School","High Needs",145,"38.6%","57.1%"
"=""0930011""","New Haven School District","=""0930311""","Beecher School","Non-High Needs",68,"23.5%","51.1%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","High Needs",158,"37.3%","60.6%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","Non-High Needs",72,"40.3%","66.2%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","High Needs",247,"50.2%","70.1%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","Non-High Needs",183,"48.1%","68.9%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","High Needs",144,"36.8%","58.0%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","Non-High Needs",65,"43.1%","67.8%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","High Needs",154,"39.0%","61.6%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","Non-High Needs",24,"41.7%","63.2%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","High Needs",130,"23.8%","50.4%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","Non-High Needs",31,"38.7%","53.2%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","High Needs",238,"45.0%","65.7%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","Non-High Needs",19,"*","*"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","High Needs",221,"44.3%","66.1%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","Non-High Needs",40,"37.5%","68.1%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","High Needs",171,"37.4%","62.0%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","Non-High Needs",36,"38.9%","60.4%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","High Needs",233,"52.4%","75.6%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","Non-High Needs",84,"58.3%","83.7%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","High Needs",117,"28.2%","52.3%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","Non-High Needs",100,"40.0%","63.3%"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","High Needs","*","*","*"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","Non-High Needs","*","*","*"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","High Needs",162,"37.7%","63.7%"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","Non-High Needs",57,"40.4%","66.8%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","High Needs",103,"35.9%","55.4%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","Non-High Needs",122,"41.0%","63.8%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","High Needs",58,"37.9%","57.7%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","Non-High Needs",192,"50.0%","68.9%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","High Needs",335,"36.7%","57.2%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","Non-High Needs",40,"30.0%","52.2%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","High Needs",205,"31.7%","55.7%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","Non-High Needs",30,"40.0%","59.1%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","High Needs",150,"42.7%","66.2%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","Non-High Needs",69,"42.0%","63.7%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","High Needs",235,"55.7%","78.9%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","Non-High Needs",43,"60.5%","86.4%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","High Needs",153,"39.9%","63.0%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","Non-High Needs",78,"46.2%","68.2%"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School","High Needs",77,"70.1%","96.3%"
"=""0930011""","New Haven School District","=""0932011""","Lincoln-Bassett School","Non-High Needs",8,"*","*"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School","High Needs",128,"46.1%","68.6%"
"=""0930011""","New Haven School District","=""0931911""","Mauro-Sheridan Magnet School","Non-High Needs",96,"51.0%","72.9%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School","High Needs",90,"36.7%","58.9%"
"=""0930011""","New Haven School District","=""0931411""","Nathan Hale School","Non-High Needs",140,"45.0%","66.9%"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School","High Needs",33,"33.3%","68.5%"
"=""0930011""","New Haven School District","=""0933511""","Quinnipiac Real World Math STEM School","Non-High Needs",6,"*","*"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School","High Needs",190,"20.0%","39.1%"
"=""0930011""","New Haven School District","=""0931011""","Ross/Woodward School","Non-High Needs",128,"24.2%","48.0%"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School","High Needs",63,"33.3%","69.2%"
"=""0930011""","New Haven School District","=""0932811""","Strong 21st Century Communications Magnet and SCSU Lab School","Non-High Needs",10,"*","*"
"=""0930011""","New Haven School District","=""0932911""","Truman School","High Needs",193,"51.8%","75.5%"
"=""0930011""","New Haven School District","=""0932911""","Truman School","Non-High Needs",22,"45.5%","72.7%"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy","High Needs","*","*","*"
"=""0930011""","New Haven School District","=""0934911""","West Rock Authors Academy","Non-High Needs","*","*","*"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School","High Needs",120,"21.7%","44.6%"
"=""0930011""","New Haven School District","=""0933211""","Wexler/Grant Community School","Non-High Needs",35,"22.9%","43.7%"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School","High Needs",50,"52.0%","69.7%"
"=""0930011""","New Haven School District","=""0933811""","Worthington Hooker School","Non-High Needs",124,"65.3%","84.6%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School","High Needs",466,"29.2%","48.8%"
"=""0950011""","New London School District","=""0955111""","Bennie Dover Jackson Middle School","Non-High Needs",54,"18.5%","36.3%"
"=""0950011""","New London School District","=""0950311""","Jennings School","High Needs",138,"16.7%","43.0%"
"=""0950011""","New London School District","=""0950311""","Jennings School","Non-High Needs",15,"*","*"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School","High Needs",152,"21.1%","45.8%"
"=""0950011""","New London School District","=""0950911""","Nathan Hale Arts Magnet School","Non-High Needs",20,"25.0%","46.8%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School","High Needs",121,"41.3%","66.4%"
"=""0950011""","New London School District","=""0950811""","Winthrop STEM Elementary Magnet School","Non-High Needs",27,"48.1%","75.7%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School","High Needs",183,"45.9%","71.2%"
"=""0960011""","New Milford School District","=""0960911""","Sarah Noble Intermediate School","Non-High Needs",403,"56.1%","81.6%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School","High Needs",265,"30.9%","47.0%"
"=""0960011""","New Milford School District","=""0965211""","Schaghticoke Middle School","Non-High Needs",587,"41.6%","59.0%"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School","High Needs",16,"*","*"
"=""0940011""","Newington School District","=""0940611""","Anna Reynolds School","Non-High Needs",69,"56.5%","82.6%"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School","High Needs",21,"33.3%","72.7%"
"=""0940011""","Newington School District","=""0940211""","Elizabeth Green School","Non-High Needs",38,"36.8%","62.6%"
"=""0940011""","Newington School District","=""0940811""","John Paterson School","High Needs",23,"30.4%","61.3%"
"=""0940011""","Newington School District","=""0940811""","John Paterson School","Non-High Needs",54,"38.9%","70.3%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School","High Needs",167,"28.7%","45.5%"
"=""0940011""","Newington School District","=""0945311""","John Wallace Middle School","Non-High Needs",466,"43.1%","59.8%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School","High Needs",199,"32.7%","51.1%"
"=""0940011""","Newington School District","=""0945111""","Martin Kellogg Middle School","Non-High Needs",395,"37.2%","53.1%"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School","High Needs",24,"12.5%","28.1%"
"=""0940011""","Newington School District","=""0940711""","Ruth Chaffee School","Non-High Needs",46,"26.1%","50.5%"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School","High Needs",10,"*","*"
"=""0970011""","Newtown School District","=""0970111""","Hawley Elementary School","Non-High Needs",59,"62.7%","89.8%"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School","High Needs",8,"*","*"
"=""0970011""","Newtown School District","=""0970411""","Head O'Meadow Elementary School","Non-High Needs",63,"69.8%","94.4%"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School","High Needs",15,"*","*"
"=""0970011""","Newtown School District","=""0970311""","Middle Gate Elementary School","Non-High Needs",63,"38.1%","61.9%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School","High Needs",98,"41.8%","57.9%"
"=""0970011""","Newtown School District","=""0975111""","Newtown Middle School","Non-High Needs",665,"54.9%","70.6%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School","High Needs",116,"49.1%","70.6%"
"=""0970011""","Newtown School District","=""0970511""","Reed Intermediate School","Non-High Needs",538,"74.2%","92.4%"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School","High Needs",10,"*","*"
"=""0970011""","Newtown School District","=""0970211""","Sandy Hook Elementary School","Non-High Needs",57,"43.9%","74.6%"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School","High Needs",13,"*","*"
"=""0980011""","Norfolk School District","=""0980111""","Botelle Elementary School","Non-High Needs",31,"61.3%","81.0%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School","High Needs",130,"43.1%","59.8%"
"=""0990011""","North Branford School District","=""0995111""","North Branford Intermediate School","Non-High Needs",308,"41.6%","60.1%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School","High Needs",74,"48.6%","71.0%"
"=""0990011""","North Branford School District","=""0990611""","Totoket Valley Elementary School","Non-High Needs",191,"52.4%","78.4%"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School","High Needs",35,"37.1%","68.2%"
"=""1000011""","North Canaan School District","=""1000111""","North Canaan Elementary School","Non-High Needs",75,"56.0%","76.7%"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School","High Needs",21,"42.9%","76.5%"
"=""1010011""","North Haven School District","=""1010811""","Clintonville Elementary School","Non-High Needs",78,"60.3%","88.8%"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School","High Needs",30,"50.0%","79.4%"
"=""1010011""","North Haven School District","=""1010711""","Green Acres Elementary School","Non-High Needs",70,"67.1%","91.5%"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School","High Needs",23,"52.2%","76.8%"
"=""1010011""","North Haven School District","=""1010211""","Montowese Elementary School","Non-High Needs",77,"54.5%","85.0%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School","High Needs",160,"59.4%","79.1%"
"=""1010011""","North Haven School District","=""1015211""","North Haven Middle School","Non-High Needs",547,"80.4%","96.8%"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School","High Needs",27,"59.3%","87.6%"
"=""1010011""","North Haven School District","=""1010311""","Ridge Road Elementary School","Non-High Needs",94,"67.0%","92.0%"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School","High Needs",10,"*","*"
"=""1020011""","North Stonington School District","=""1020111""","North Stonington Elementary School","Non-High Needs",90,"68.9%","87.2%"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School","High Needs",37,"29.7%","47.7%"
"=""1020011""","North Stonington School District","=""1025111""","Wheeler Middle School","Non-High Needs",127,"40.2%","58.8%"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School","High Needs",92,"38.0%","59.8%"
"=""1030011""","Norwalk School District","=""1030211""","Brookside Elementary School","Non-High Needs",42,"50.0%","73.3%"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School","High Needs",33,"30.3%","58.2%"
"=""1030011""","Norwalk School District","=""1030311""","Columbus Magnet School","Non-High Needs",49,"46.9%","79.1%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School","High Needs",62,"21.0%","52.4%"
"=""1030011""","Norwalk School District","=""1030411""","Cranbury Elementary School","Non-High Needs",69,"33.3%","62.6%"
"=""1030011""","Norwalk School District","=""1032011""","Fox Run Elementary School","High Needs",58,"22.4%","54.5%"
"=""1030011""","Norwalk School District","=""1032011""","Fox Run Elementary School","Non-High Needs",69,"49.3%","76.3%"
"=""1030011""","Norwalk School District","=""1030711""","Jefferson Magnet School","High Needs",145,"44.1%","68.1%"
"=""1030011""","Norwalk School District","=""1030711""","Jefferson Magnet School","Non-High Needs",49,"51.0%","83.2%"
"=""1030011""","Norwalk School District","=""1030811""","Kendall Elementary School","High Needs",141,"28.4%","51.8%"
"=""1030011""","Norwalk School District","=""1030811""","Kendall Elementary School","Non-High Needs",25,"40.0%","67.1%"
"=""1030011""","Norwalk School District","=""1032211""","Marvin Elementary School","High Needs",87,"36.8%","68.4%"
"=""1030011""","Norwalk School District","=""1032211""","Marvin Elementary School","Non-High Needs",62,"33.9%","63.3%"
"=""1030011""","Norwalk School District","=""1032111""","Naramake Elementary School","High Needs",70,"35.7%","59.1%"
"=""1030011""","Norwalk School District","=""1032111""","Naramake Elementary School","Non-High Needs",62,"41.9%","73.1%"
"=""1030011""","Norwalk School District","=""1035211""","Nathan Hale Middle School","High Needs",334,"30.2%","49.5%"
"=""1030011""","Norwalk School District","=""1035211""","Nathan Hale Middle School","Non-High Needs",287,"40.1%","58.0%"
"=""1030011""","Norwalk School District","=""1035311""","Ponus Ridge Middle School","High Needs",437,"29.3%","47.1%"
"=""1030011""","Norwalk School District","=""1035311""","Ponus Ridge Middle School","Non-High Needs",181,"34.3%","48.8%"
"=""1030011""","Norwalk School District","=""1035511""","Roton Middle School","High Needs",251,"31.5%","49.6%"
"=""1030011""","Norwalk School District","=""1035511""","Roton Middle School","Non-High Needs",196,"41.3%","60.7%"
"=""1030011""","Norwalk School District","=""1031311""","Rowayton School","High Needs",41,"56.1%","82.8%"
"=""1030011""","Norwalk School District","=""1031311""","Rowayton School","Non-High Needs",75,"80.0%","96.6%"
"=""1030011""","Norwalk School District","=""1032311""","Silvermine Elementary School","High Needs",118,"30.5%","56.3%"
"=""1030011""","Norwalk School District","=""1032311""","Silvermine Elementary School","Non-High Needs",32,"40.6%","67.2%"
"=""1030011""","Norwalk School District","=""1031411""","Tracey School","High Needs",75,"36.0%","58.2%"
"=""1030011""","Norwalk School District","=""1031411""","Tracey School","Non-High Needs",36,"50.0%","74.7%"
"=""1030011""","Norwalk School District","=""1035411""","West Rocks Middle School","High Needs",390,"36.2%","54.2%"
"=""1030011""","Norwalk School District","=""1035411""","West Rocks Middle School","Non-High Needs",236,"45.8%","65.1%"
"=""1030011""","Norwalk School District","=""1032411""","Wolfpit School","High Needs",47,"38.3%","61.2%"
"=""1030011""","Norwalk School District","=""1032411""","Wolfpit School","Non-High Needs",41,"56.1%","82.4%"
"=""1040011""","Norwich School District","=""1040711""","IRS Program at Uncas","High Needs","*","*","*"
"=""1040011""","Norwich School District","=""1041411""","John B. Stanton Network School","High Needs",97,"32.0%","61.4%"
"=""1040011""","Norwich School District","=""1041411""","John B. Stanton Network School","Non-High Needs",10,"*","*"
"=""1040011""","Norwich School District","=""1045111""","Kelly Middle School","High Needs",544,"36.2%","54.2%"
"=""1040011""","Norwich School District","=""1045111""","Kelly Middle School","Non-High Needs",127,"34.6%","55.4%"
"=""1040011""","Norwich School District","=""1042011""","Moriarty Magnet School","High Needs",101,"34.7%","58.5%"
"=""1040011""","Norwich School District","=""1042011""","Moriarty Magnet School","Non-High Needs",24,"29.2%","56.0%"
"=""1040011""","Norwich School District","=""1040811""","Samuel Huntington School","High Needs",62,"48.4%","74.3%"
"=""1040011""","Norwich School District","=""1040811""","Samuel Huntington School","Non-High Needs",44,"54.5%","87.9%"
"=""1040011""","Norwich School District","=""1045211""","Teachers' Memorial Middle School","High Needs",234,"34.2%","53.3%"
"=""1040011""","Norwich School District","=""1045211""","Teachers' Memorial Middle School","Non-High Needs",70,"50.0%","67.4%"
"=""1040011""","Norwich School District","=""1041711""","Thomas W. Mahan School","High Needs",66,"74.2%","98.2%"
"=""1040011""","Norwich School District","=""1041711""","Thomas W. Mahan School","Non-High Needs",19,"*","*"
"=""1040011""","Norwich School District","=""1041911""","Uncas Network School","High Needs",54,"31.5%","55.1%"
"=""1040011""","Norwich School District","=""1041911""","Uncas Network School","Non-High Needs",8,"*","*"
"=""1040011""","Norwich School District","=""1041811""","Veterans' Memorial School","High Needs",82,"26.8%","57.0%"
"=""1040011""","Norwich School District","=""1041811""","Veterans' Memorial School","Non-High Needs",11,"*","*"
"=""1040011""","Norwich School District","=""1041511""","Wequonnoc Magnet School","High Needs",60,"23.3%","53.1%"
"=""1040011""","Norwich School District","=""1041511""","Wequonnoc Magnet School","Non-High Needs",9,"*","*"
"=""2630013""","Odyssey Community School District","=""2635113""","Odyssey Community School","High Needs",67,"35.8%","53.0%"
"=""2630013""","Odyssey Community School District","=""2635113""","Odyssey Community School","Non-High Needs",108,"31.5%","54.8%"
"=""1060011""","Old Saybrook School District","=""1065211""","Old Saybrook Middle School","High Needs",139,"44.6%","65.1%"
"=""1060011""","Old Saybrook School District","=""1065211""","Old Saybrook Middle School","Non-High Needs",363,"51.0%","72.9%"
"=""1070011""","Orange School District","=""1070511""","Peck Place School","High Needs",15,"*","*"
"=""1070011""","Orange School District","=""1070511""","Peck Place School","Non-High Needs",175,"43.4%","69.2%"
"=""1070011""","Orange School District","=""1070311""","Race Brook School","High Needs",26,"38.5%","67.0%"
"=""1070011""","Orange School District","=""1070311""","Race Brook School","Non-High Needs",158,"57.6%","79.5%"
"=""1070011""","Orange School District","=""1070411""","Turkey Hill School","High Needs",17,"*","*"
"=""1070011""","Orange School District","=""1070411""","Turkey Hill School","Non-High Needs",123,"57.7%","80.5%"
"=""1080011""","Oxford School District","=""1080411""","Alternative Education","High Needs","*","*","*"
"=""1080011""","Oxford School District","=""1085111""","Great Oak School","High Needs",77,"37.7%","57.1%"
"=""1080011""","Oxford School District","=""1085111""","Great Oak School","Non-High Needs",383,"54.0%","74.2%"
"=""1080011""","Oxford School District","=""1080111""","Oxford Center School","High Needs",65,"38.5%","64.4%"
"=""1080011""","Oxford School District","=""1080111""","Oxford Center School","Non-High Needs",247,"44.5%","71.3%"
"=""2830013""","Park City Prep Charter School District","=""2835113""","Park City Prep Charter School","High Needs",260,"55.0%","75.1%"
"=""2830013""","Park City Prep Charter School District","=""2835113""","Park City Prep Charter School","Non-High Needs",76,"65.8%","83.9%"
"=""1090011""","Plainfield School District","=""1095111""","Plainfield Central School","High Needs",277,"66.4%","84.9%"
"=""1090011""","Plainfield School District","=""1095111""","Plainfield Central School","Non-High Needs",212,"69.3%","89.1%"
"=""1090011""","Plainfield School District","=""1090311""","Plainfield Memorial School","High Needs",174,"38.5%","69.3%"
"=""1090011""","Plainfield School District","=""1090311""","Plainfield Memorial School","Non-High Needs",134,"38.8%","68.4%"
"=""1100011""","Plainville School District","=""1100411""","Frank T. Wheeler School","High Needs",37,"18.9%","56.0%"
"=""1100011""","Plainville School District","=""1100411""","Frank T. Wheeler School","Non-High Needs",44,"36.4%","56.7%"
"=""1100011""","Plainville School District","=""1100211""","Linden Street School","High Needs",69,"18.8%","54.5%"
"=""1100011""","Plainville School District","=""1100211""","Linden Street School","Non-High Needs",66,"31.8%","57.7%"
"=""1100011""","Plainville School District","=""1100511""","Louis Toffolon School","High Needs",46,"34.8%","68.7%"
"=""1100011""","Plainville School District","=""1100511""","Louis Toffolon School","Non-High Needs",62,"41.9%","70.7%"
"=""1100011""","Plainville School District","=""1105211""","Middle School of Plainville","High Needs",196,"37.2%","58.8%"
"=""1100011""","Plainville School District","=""1105211""","Middle School of Plainville","Non-High Needs",331,"50.2%","69.7%"
"=""1110011""","Plymouth School District","=""1115111""","Eli Terry Jr. Middle School","High Needs",120,"44.2%","64.4%"
"=""1110011""","Plymouth School District","=""1115111""","Eli Terry Jr. Middle School","Non-High Needs",196,"55.6%","74.1%"
"=""1110011""","Plymouth School District","=""1110411""","Harry S. Fisher Elementary School","High Needs",49,"34.7%","69.7%"
"=""1110011""","Plymouth School District","=""1110411""","Harry S. Fisher Elementary School","Non-High Needs",63,"34.9%","69.0%"
"=""1110011""","Plymouth School District","=""1110211""","Plymouth Center School","High Needs",37,"45.9%","76.5%"
"=""1110011""","Plymouth School District","=""1110211""","Plymouth Center School","Non-High Needs",72,"68.1%","93.8%"
"=""1120011""","Pomfret School District","=""1120111""","Pomfret Community School","High Needs",58,"36.2%","56.6%"
"=""1120011""","Pomfret School District","=""1120111""","Pomfret Community School","Non-High Needs",163,"53.4%","72.5%"
"=""1130011""","Portland School District","=""1130511""","Brownstone Intermediate School","High Needs",52,"61.5%","80.7%"
"=""1130011""","Portland School District","=""1130511""","Brownstone Intermediate School","Non-High Needs",156,"62.8%","84.0%"
"=""1130011""","Portland School District","=""1130411""","Gildersleeve School","High Needs",31,"16.1%","61.1%"
"=""1130011""","Portland School District","=""1130411""","Gildersleeve School","Non-High Needs",60,"40.0%","71.0%"
"=""1130011""","Portland School District","=""1135111""","Portland Middle School","High Needs",46,"30.4%","53.1%"
"=""1130011""","Portland School District","=""1135111""","Portland Middle School","Non-High Needs",162,"41.4%","60.5%"
"=""1140011""","Preston School District","=""1145111""","Preston Plains School","High Needs",45,"37.8%","57.6%"
"=""1140011""","Preston School District","=""1145111""","Preston Plains School","Non-High Needs",92,"44.6%","63.8%"
"=""1140011""","Preston School District","=""1140411""","Preston Veterans' Memorial School","High Needs",29,"37.9%","63.1%"
"=""1140011""","Preston School District","=""1140411""","Preston Veterans' Memorial School","Non-High Needs",47,"46.8%","65.8%"
"=""1160011""","Putnam School District","=""1160311""","Putnam Elementary School","High Needs",97,"51.5%","72.8%"
"=""1160011""","Putnam School District","=""1160311""","Putnam Elementary School","Non-High Needs",62,"72.6%","91.3%"
"=""1160011""","Putnam School District","=""1165111""","Putnam Middle School","High Needs",135,"37.8%","62.2%"
"=""1160011""","Putnam School District","=""1165111""","Putnam Middle School","Non-High Needs",100,"45.0%","64.4%"
"=""1170011""","Redding School District","=""1175111""","John Read Middle School","High Needs",52,"46.2%","64.9%"
"=""1170011""","Redding School District","=""1175111""","John Read Middle School","Non-High Needs",359,"54.6%","72.3%"
"=""1170011""","Redding School District","=""1170111""","Redding Elementary School","High Needs",15,"*","*"
"=""1170011""","Redding School District","=""1170111""","Redding Elementary School","Non-High Needs",70,"64.3%","92.0%"
"=""2010012""","Regional School District 01","=""2010312""","SELC","High Needs","*","*","*"
"=""2010012""","Regional School District 01","=""2010212""","TOTAL","High Needs","*","*","*"
"=""2040012""","Regional School District 04","=""2045112""","John Winthrop Middle School","High Needs",77,"35.1%","50.1%"
"=""2040012""","Regional School District 04","=""2045112""","John Winthrop Middle School","Non-High Needs",222,"43.2%","61.7%"
"=""2050012""","Regional School District 05","=""2055112""","Amity Middle School: Bethany","High Needs",51,"39.2%","56.5%"
"=""2050012""","Regional School District 05","=""2055112""","Amity Middle School: Bethany","Non-High Needs",306,"70.3%","86.6%"
"=""2050012""","Regional School District 05","=""2055212""","Amity Middle School: Orange","High Needs",51,"37.3%","49.2%"
"=""2050012""","Regional School District 05","=""2055212""","Amity Middle School: Orange","Non-High Needs",301,"53.5%","69.6%"
"=""2060012""","Regional School District 06","=""2060112""","Goshen Center School","High Needs",15,"*","*"
"=""2060012""","Regional School District 06","=""2060112""","Goshen Center School","Non-High Needs",46,"52.2%","75.7%"
"=""2060012""","Regional School District 06","=""2060212""","James Morris School","High Needs",10,"*","*"
"=""2060012""","Regional School District 06","=""2060212""","James Morris School","Non-High Needs",26,"53.8%","74.9%"
"=""2060012""","Regional School District 06","=""2066112""","Wamogo Regional High School","High Needs",29,"24.1%","35.8%"
"=""2060012""","Regional School District 06","=""2066112""","Wamogo Regional High School","Non-High Needs",85,"35.3%","51.0%"
"=""2060012""","Regional School District 06","=""2060312""","Warren Elementary School","High Needs",8,"*","*"
"=""2060012""","Regional School District 06","=""2060312""","Warren Elementary School","Non-High Needs",23,"39.1%","61.6%"
"=""2070012""","Regional School District 07","=""2079012""","FLEX","High Needs","*","*","*"
"=""2070012""","Regional School District 07","=""2079212""","Links","High Needs","*","*","*"
"=""2070012""","Regional School District 07","=""2075112""","Northwestern Regional Middle School","High Needs",40,"42.5%","60.4%"
"=""2070012""","Regional School District 07","=""2075112""","Northwestern Regional Middle School","Non-High Needs",236,"62.7%","79.8%"
"=""2080012""","Regional School District 08","=""2085112""","RHAM Middle School","High Needs",99,"35.4%","58.1%"
"=""2080012""","Regional School District 08","=""2085112""","RHAM Middle School","Non-High Needs",450,"44.0%","59.7%"
"=""2100012""","Regional School District 10","=""2105112""","Har-Bur Middle School","High Needs",116,"31.0%","47.7%"
"=""2100012""","Regional School District 10","=""2105112""","Har-Bur Middle School","Non-High Needs",634,"37.4%","56.0%"
"=""2100012""","Regional School District 10","=""2100312""","Harwinton Consolidated School","High Needs",9,"*","*"
"=""2100012""","Regional School District 10","=""2100312""","Harwinton Consolidated School","Non-High Needs",74,"78.4%","99.6%"
"=""2100012""","Regional School District 10","=""2100212""","Lake Garda Elementary School","High Needs",12,"*","*"
"=""2100012""","Regional School District 10","=""2100212""","Lake Garda Elementary School","Non-High Needs",65,"41.5%","74.4%"
