"Smarter Balanced Growth Report, 2015-16"
"All Districts, Special Education"

"District Code","District","Subject","Special Education Status (SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""1570011""","Weston School District","ELA","Non-Special Education",825,"50.3%","69.8%"
"=""1570011""","Weston School District","Math","Special Education",60,"45.0%","60.5%"
"=""1570011""","Weston School District","Math","Non-Special Education",823,"46.4%","66.4%"
"=""1580011""","Westport School District","ELA","Special Education",214,"27.1%","51.4%"
"=""1580011""","Westport School District","ELA","Non-Special Education",1849,"49.1%","65.3%"
"=""1580011""","Westport School District","Math","Special Education",213,"35.7%","57.8%"
"=""1580011""","Westport School District","Math","Non-Special Education",1850,"52.3%","70.7%"
"=""1590011""","Wethersfield School District","ELA","Special Education",180,"50.0%","70.0%"
"=""1590011""","Wethersfield School District","ELA","Non-Special Education",1103,"55.8%","74.7%"
"=""1590011""","Wethersfield School District","Math","Special Education",179,"36.3%","59.2%"
"=""1590011""","Wethersfield School District","Math","Non-Special Education",1104,"63.6%","83.3%"
"=""1600011""","Willington School District","ELA","Special Education",37,"43.2%","67.6%"
"=""1600011""","Willington School District","ELA","Non-Special Education",181,"48.6%","69.5%"
"=""1600011""","Willington School District","Math","Special Education",37,"54.1%","78.9%"
"=""1600011""","Willington School District","Math","Non-Special Education",181,"44.2%","68.8%"
"=""1610011""","Wilton School District","ELA","Special Education",235,"48.5%","70.2%"
"=""1610011""","Wilton School District","ELA","Non-Special Education",1356,"57.6%","75.5%"
"=""1610011""","Wilton School District","Math","Special Education",235,"42.1%","64.4%"
"=""1610011""","Wilton School District","Math","Non-Special Education",1355,"63.0%","83.2%"
"=""1620011""","Winchester School District","ELA","Special Education",40,"47.5%","72.7%"
"=""1620011""","Winchester School District","ELA","Non-Special Education",177,"38.4%","60.6%"
"=""1620011""","Winchester School District","Math","Special Education",38,"47.4%","61.7%"
"=""1620011""","Winchester School District","Math","Non-Special Education",180,"33.3%","57.0%"
"=""1630011""","Windham School District","ELA","Special Education",193,"28.0%","50.2%"
"=""1630011""","Windham School District","ELA","Non-Special Education",936,"47.1%","70.4%"
"=""1630011""","Windham School District","Math","Special Education",190,"36.3%","56.5%"
"=""1630011""","Windham School District","Math","Non-Special Education",940,"43.8%","66.4%"
"=""1650011""","Windsor Locks School District","ELA","Special Education",90,"33.3%","61.0%"
"=""1650011""","Windsor Locks School District","ELA","Non-Special Education",492,"45.1%","67.7%"
"=""1650011""","Windsor Locks School District","Math","Special Education",85,"41.2%","62.2%"
"=""1650011""","Windsor Locks School District","Math","Non-Special Education",483,"46.8%","67.3%"
"=""1640011""","Windsor School District","ELA","Special Education",167,"23.4%","45.7%"
"=""1640011""","Windsor School District","ELA","Non-Special Education",857,"37.7%","57.8%"
"=""1640011""","Windsor School District","Math","Special Education",165,"28.5%","49.6%"
"=""1640011""","Windsor School District","Math","Non-Special Education",860,"41.9%","66.7%"
"=""1660011""","Wolcott School District","ELA","Special Education",108,"26.9%","50.7%"
"=""1660011""","Wolcott School District","ELA","Non-Special Education",791,"46.9%","66.0%"
"=""1660011""","Wolcott School District","Math","Special Education",108,"25.9%","52.1%"
"=""1660011""","Wolcott School District","Math","Non-Special Education",791,"53.4%","75.0%"
"=""1670011""","Woodbridge School District","ELA","Special Education",26,"57.7%","81.0%"
"=""1670011""","Woodbridge School District","ELA","Non-Special Education",260,"65.0%","82.4%"
"=""1670011""","Woodbridge School District","Math","Special Education",26,"42.3%","79.0%"
"=""1670011""","Woodbridge School District","Math","Non-Special Education",260,"68.1%","88.1%"
"=""1690011""","Woodstock School District","ELA","Special Education",46,"32.6%","55.5%"
"=""1690011""","Woodstock School District","ELA","Non-Special Education",411,"43.3%","61.2%"
"=""1690011""","Woodstock School District","Math","Special Education",46,"26.1%","52.8%"
"=""1690011""","Woodstock School District","Math","Non-Special Education",411,"38.4%","59.3%"

