"Smarter Balanced Growth Report, 2015-16"
"All Districts, High Needs (F, R, ELL or SWD)"

"District Code","District","Subject","High Needs (F/R, EL or SWD)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""1570011""","Weston School District","ELA","High Needs",78,"42.3%","64.2%"
"=""1570011""","Weston School District","ELA","Non-High Needs",807,"49.9%","69.5%"
"=""1570011""","Weston School District","Math","High Needs",78,"42.3%","58.5%"
"=""1570011""","Weston School District","Math","Non-High Needs",805,"46.7%","66.8%"
"=""1580011""","Westport School District","ELA","High Needs",274,"31.4%","55.1%"
"=""1580011""","Westport School District","ELA","Non-High Needs",1789,"49.2%","65.2%"
"=""1580011""","Westport School District","Math","High Needs",274,"36.1%","57.4%"
"=""1580011""","Westport School District","Math","Non-High Needs",1789,"52.8%","71.2%"
"=""1590011""","Wethersfield School District","ELA","High Needs",374,"48.7%","69.5%"
"=""1590011""","Wethersfield School District","ELA","Non-High Needs",909,"57.6%","75.9%"
"=""1590011""","Wethersfield School District","Math","High Needs",374,"46.8%","70.2%"
"=""1590011""","Wethersfield School District","Math","Non-High Needs",909,"65.1%","83.9%"
"=""1600011""","Willington School District","ELA","High Needs",74,"48.6%","72.8%"
"=""1600011""","Willington School District","ELA","Non-High Needs",144,"47.2%","67.3%"
"=""1600011""","Willington School District","Math","High Needs",74,"48.6%","73.6%"
"=""1600011""","Willington School District","Math","Non-High Needs",144,"44.4%","69.0%"
"=""1610011""","Wilton School District","ELA","High Needs",250,"48.4%","69.8%"
"=""1610011""","Wilton School District","ELA","Non-High Needs",1341,"57.7%","75.6%"
"=""1610011""","Wilton School District","Math","High Needs",250,"42.4%","64.9%"
"=""1610011""","Wilton School District","Math","Non-High Needs",1340,"63.2%","83.3%"
"=""1620011""","Winchester School District","ELA","High Needs",137,"40.1%","63.7%"
"=""1620011""","Winchester School District","ELA","Non-High Needs",80,"40.0%","61.4%"
"=""1620011""","Winchester School District","Math","High Needs",138,"39.1%","60.4%"
"=""1620011""","Winchester School District","Math","Non-High Needs",80,"30.0%","53.5%"
"=""1630011""","Windham School District","ELA","High Needs",934,"40.7%","64.6%"
"=""1630011""","Windham School District","ELA","Non-High Needs",195,"59.0%","78.2%"
"=""1630011""","Windham School District","Math","High Needs",937,"40.2%","62.5%"
"=""1630011""","Windham School District","Math","Non-High Needs",193,"53.9%","75.8%"
"=""1650011""","Windsor Locks School District","ELA","High Needs",274,"38.3%","63.3%"
"=""1650011""","Windsor Locks School District","ELA","Non-High Needs",308,"47.7%","69.7%"
"=""1650011""","Windsor Locks School District","Math","High Needs",265,"39.6%","60.0%"
"=""1650011""","Windsor Locks School District","Math","Non-High Needs",303,"51.5%","72.3%"
"=""1640011""","Windsor School District","ELA","High Needs",473,"31.7%","52.6%"
"=""1640011""","Windsor School District","ELA","Non-High Needs",551,"38.5%","58.7%"
"=""1640011""","Windsor School District","Math","High Needs",474,"34.6%","59.0%"
"=""1640011""","Windsor School District","Math","Non-High Needs",551,"44.1%","68.1%"
"=""1660011""","Wolcott School District","ELA","High Needs",239,"36.4%","58.7%"
"=""1660011""","Wolcott School District","ELA","Non-High Needs",660,"47.4%","66.1%"
"=""1660011""","Wolcott School District","Math","High Needs",239,"41.0%","65.0%"
"=""1660011""","Wolcott School District","Math","Non-High Needs",660,"53.3%","74.9%"
"=""1670011""","Woodbridge School District","ELA","High Needs",49,"65.3%","87.6%"
"=""1670011""","Woodbridge School District","ELA","Non-High Needs",237,"64.1%","81.1%"
"=""1670011""","Woodbridge School District","Math","High Needs",50,"56.0%","82.7%"
"=""1670011""","Woodbridge School District","Math","Non-High Needs",236,"67.8%","88.2%"
"=""1690011""","Woodstock School District","ELA","High Needs",98,"38.8%","59.0%"
"=""1690011""","Woodstock School District","ELA","Non-High Needs",359,"43.2%","61.1%"
"=""1690011""","Woodstock School District","Math","High Needs",98,"30.6%","56.3%"
"=""1690011""","Woodstock School District","Math","Non-High Needs",359,"39.0%","59.3%"

