"Smarter Balanced Growth Report, 2015-16"
"All Districts, Free/Reduced Price Meal Eligibility (3-level)"

"District Code","District","Subject","Free/Reduced Price Meal Eligibility (3-level)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0980011""","Norfolk School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""0980011""","Norfolk School District","Math","Eligible for Free Lunch","*","*","*"
"=""0980011""","Norfolk School District","Math","Not Eligible for Free/Reduced Lunch",37,"56.8%","75.8%"
"=""0980011""","Norfolk School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""0990011""","North Branford School District","ELA","Eligible for Free Lunch",94,"35.1%","59.1%"
"=""0990011""","North Branford School District","ELA","Not Eligible for Free/Reduced Lunch",578,"45.0%","65.8%"
"=""0990011""","North Branford School District","ELA","Eligible for Reduced Lunch",33,"36.4%","55.4%"
"=""0990011""","North Branford School District","Math","Eligible for Free Lunch",95,"47.4%","65.8%"
"=""0990011""","North Branford School District","Math","Not Eligible for Free/Reduced Lunch",577,"44.9%","65.9%"
"=""0990011""","North Branford School District","Math","Eligible for Reduced Lunch",33,"51.5%","71.5%"
"=""1000011""","North Canaan School District","ELA","Eligible for Free Lunch",21,"47.6%","71.5%"
"=""1000011""","North Canaan School District","ELA","Not Eligible for Free/Reduced Lunch",82,"62.2%","79.9%"
"=""1000011""","North Canaan School District","ELA","Eligible for Reduced Lunch",7,"*","*"
"=""1000011""","North Canaan School District","Math","Eligible for Free Lunch",21,"23.8%","62.7%"
"=""1000011""","North Canaan School District","Math","Not Eligible for Free/Reduced Lunch",82,"56.1%","77.0%"
"=""1000011""","North Canaan School District","Math","Eligible for Reduced Lunch",7,"*","*"
"=""1010011""","North Haven School District","ELA","Eligible for Free Lunch",125,"57.6%","83.8%"
"=""1010011""","North Haven School District","ELA","Not Eligible for Free/Reduced Lunch",949,"69.2%","88.5%"
"=""1010011""","North Haven School District","ELA","Eligible for Reduced Lunch",54,"48.1%","75.9%"
"=""1010011""","North Haven School District","Math","Eligible for Free Lunch",126,"64.3%","85.9%"
"=""1010011""","North Haven School District","Math","Not Eligible for Free/Reduced Lunch",949,"72.1%","92.3%"
"=""1010011""","North Haven School District","Math","Eligible for Reduced Lunch",55,"41.8%","74.6%"
"=""1020011""","North Stonington School District","ELA","Eligible for Free Lunch",33,"42.4%","56.7%"
"=""1020011""","North Stonington School District","ELA","Not Eligible for Free/Reduced Lunch",224,"49.6%","67.1%"
"=""1020011""","North Stonington School District","ELA","Eligible for Reduced Lunch",7,"*","*"
"=""1020011""","North Stonington School District","Math","Eligible for Free Lunch",33,"33.3%","55.6%"
"=""1020011""","North Stonington School District","Math","Not Eligible for Free/Reduced Lunch",224,"52.2%","70.3%"
"=""1020011""","North Stonington School District","Math","Eligible for Reduced Lunch",7,"*","*"
"=""1030011""","Norwalk School District","ELA","Eligible for Free Lunch",1772,"31.3%","53.9%"
"=""1030011""","Norwalk School District","ELA","Not Eligible for Free/Reduced Lunch",1713,"40.7%","61.0%"
"=""1030011""","Norwalk School District","ELA","Eligible for Reduced Lunch",364,"33.0%","56.8%"
"=""1030011""","Norwalk School District","Math","Eligible for Free Lunch",1828,"33.0%","54.0%"
"=""1030011""","Norwalk School District","Math","Not Eligible for Free/Reduced Lunch",1718,"41.9%","63.5%"
"=""1030011""","Norwalk School District","Math","Eligible for Reduced Lunch",369,"36.0%","58.7%"
"=""1040011""","Norwich School District","ELA","Eligible for Free Lunch",1096,"34.9%","58.1%"
"=""1040011""","Norwich School District","ELA","Not Eligible for Free/Reduced Lunch",364,"45.6%","66.2%"
"=""1040011""","Norwich School District","ELA","Eligible for Reduced Lunch",169,"40.8%","62.6%"
"=""1040011""","Norwich School District","Math","Eligible for Free Lunch",1109,"36.4%","58.3%"
"=""1040011""","Norwich School District","Math","Not Eligible for Free/Reduced Lunch",362,"41.2%","63.4%"
"=""1040011""","Norwich School District","Math","Eligible for Reduced Lunch",172,"38.4%","61.0%"
"=""2630013""","Odyssey Community School District","ELA","Eligible for Free Lunch",50,"38.0%","69.2%"
"=""2630013""","Odyssey Community School District","ELA","Not Eligible for Free/Reduced Lunch",115,"34.8%","57.8%"
"=""2630013""","Odyssey Community School District","ELA","Eligible for Reduced Lunch",10,"*","*"
"=""2630013""","Odyssey Community School District","Math","Eligible for Free Lunch",50,"38.0%","56.8%"
"=""2630013""","Odyssey Community School District","Math","Not Eligible for Free/Reduced Lunch",115,"30.4%","52.8%"
"=""2630013""","Odyssey Community School District","Math","Eligible for Reduced Lunch",10,"*","*"
"=""1060011""","Old Saybrook School District","ELA","Eligible for Free Lunch",80,"41.3%","64.6%"
"=""1060011""","Old Saybrook School District","ELA","Not Eligible for Free/Reduced Lunch",403,"46.7%","65.8%"
"=""1060011""","Old Saybrook School District","ELA","Eligible for Reduced Lunch",18,"*","*"
"=""1060011""","Old Saybrook School District","Math","Eligible for Free Lunch",79,"40.5%","61.9%"
"=""1060011""","Old Saybrook School District","Math","Not Eligible for Free/Reduced Lunch",406,"50.5%","71.8%"
"=""1060011""","Old Saybrook School District","Math","Eligible for Reduced Lunch",18,"*","*"
"=""1070011""","Orange School District","ELA","Eligible for Free Lunch",19,"*","*"
"=""1070011""","Orange School District","ELA","Not Eligible for Free/Reduced Lunch",484,"54.5%","74.7%"
"=""1070011""","Orange School District","ELA","Eligible for Reduced Lunch",6,"*","*"
"=""1070011""","Orange School District","Math","Eligible for Free Lunch",19,"*","*"
"=""1070011""","Orange School District","Math","Not Eligible for Free/Reduced Lunch",489,"50.5%","74.3%"
"=""1070011""","Orange School District","Math","Eligible for Reduced Lunch",6,"*","*"
"=""1080011""","Oxford School District","ELA","Eligible for Free Lunch",42,"28.6%","50.7%"
"=""1080011""","Oxford School District","ELA","Not Eligible for Free/Reduced Lunch",710,"39.9%","57.4%"
"=""1080011""","Oxford School District","ELA","Eligible for Reduced Lunch",24,"37.5%","64.4%"
"=""1080011""","Oxford School District","Math","Eligible for Free Lunch",42,"38.1%","58.0%"
"=""1080011""","Oxford School District","Math","Not Eligible for Free/Reduced Lunch",710,"48.9%","71.4%"
"=""1080011""","Oxford School District","Math","Eligible for Reduced Lunch",23,"43.5%","71.8%"
"=""2830013""","Park City Prep Charter School District","ELA","Eligible for Free Lunch",229,"43.2%","67.9%"
"=""2830013""","Park City Prep Charter School District","ELA","Not Eligible for Free/Reduced Lunch",76,"51.3%","76.5%"
"=""2830013""","Park City Prep Charter School District","ELA","Eligible for Reduced Lunch",32,"56.3%","77.9%"
"=""2830013""","Park City Prep Charter School District","Math","Eligible for Free Lunch",228,"53.1%","73.3%"
"=""2830013""","Park City Prep Charter School District","Math","Not Eligible for Free/Reduced Lunch",76,"65.8%","83.9%"
"=""2830013""","Park City Prep Charter School District","Math","Eligible for Reduced Lunch",32,"68.8%","87.6%"
"=""1090011""","Plainfield School District","ELA","Eligible for Free Lunch",334,"47.0%","69.6%"
"=""1090011""","Plainfield School District","ELA","Not Eligible for Free/Reduced Lunch",384,"49.5%","71.1%"
"=""1090011""","Plainfield School District","ELA","Eligible for Reduced Lunch",84,"44.0%","74.2%"
"=""1090011""","Plainfield School District","Math","Eligible for Free Lunch",334,"53.6%","76.5%"
"=""1090011""","Plainfield School District","Math","Not Eligible for Free/Reduced Lunch",381,"56.7%","80.6%"
"=""1090011""","Plainfield School District","Math","Eligible for Reduced Lunch",84,"65.5%","87.4%"
"=""1100011""","Plainville School District","ELA","Eligible for Free Lunch",223,"36.8%","60.6%"
"=""1100011""","Plainville School District","ELA","Not Eligible for Free/Reduced Lunch",579,"45.8%","68.0%"
"=""1100011""","Plainville School District","ELA","Eligible for Reduced Lunch",54,"37.0%","63.3%"
"=""1100011""","Plainville School District","Math","Eligible for Free Lunch",222,"30.2%","58.9%"
"=""1100011""","Plainville School District","Math","Not Eligible for Free/Reduced Lunch",580,"43.8%","65.8%"
"=""1100011""","Plainville School District","Math","Eligible for Reduced Lunch",54,"35.2%","60.9%"
"=""1110011""","Plymouth School District","ELA","Eligible for Free Lunch",136,"33.8%","57.1%"
"=""1110011""","Plymouth School District","ELA","Not Eligible for Free/Reduced Lunch",367,"48.8%","67.2%"
"=""1110011""","Plymouth School District","ELA","Eligible for Reduced Lunch",33,"30.3%","58.2%"
"=""1110011""","Plymouth School District","Math","Eligible for Free Lunch",139,"42.4%","68.2%"
"=""1110011""","Plymouth School District","Math","Not Eligible for Free/Reduced Lunch",367,"53.1%","76.4%"
"=""1110011""","Plymouth School District","Math","Eligible for Reduced Lunch",33,"42.4%","66.2%"
"=""1120011""","Pomfret School District","ELA","Eligible for Free Lunch",28,"39.3%","55.3%"
"=""1120011""","Pomfret School District","ELA","Not Eligible for Free/Reduced Lunch",182,"52.7%","71.8%"
"=""1120011""","Pomfret School District","ELA","Eligible for Reduced Lunch",11,"*","*"
"=""1120011""","Pomfret School District","Math","Eligible for Free Lunch",28,"42.9%","63.1%"
"=""1120011""","Pomfret School District","Math","Not Eligible for Free/Reduced Lunch",182,"51.1%","69.0%"
"=""1120011""","Pomfret School District","Math","Eligible for Reduced Lunch",11,"*","*"
"=""1130011""","Portland School District","ELA","Eligible for Free Lunch",81,"43.2%","62.7%"
"=""1130011""","Portland School District","ELA","Not Eligible for Free/Reduced Lunch",406,"50.0%","69.2%"
"=""1130011""","Portland School District","ELA","Eligible for Reduced Lunch",21,"47.6%","62.1%"
"=""1130011""","Portland School District","Math","Eligible for Free Lunch",81,"35.8%","64.6%"
"=""1130011""","Portland School District","Math","Not Eligible for Free/Reduced Lunch",406,"49.8%","71.4%"
"=""1130011""","Portland School District","Math","Eligible for Reduced Lunch",21,"47.6%","75.5%"
"=""1140011""","Preston School District","ELA","Eligible for Free Lunch",33,"33.3%","56.7%"
"=""1140011""","Preston School District","ELA","Not Eligible for Free/Reduced Lunch",165,"37.6%","56.1%"
"=""1140011""","Preston School District","ELA","Eligible for Reduced Lunch",17,"*","*"
"=""1140011""","Preston School District","Math","Eligible for Free Lunch",33,"48.5%","64.5%"
"=""1140011""","Preston School District","Math","Not Eligible for Free/Reduced Lunch",164,"41.5%","61.9%"
"=""1140011""","Preston School District","Math","Eligible for Reduced Lunch",17,"*","*"
"=""1160011""","Putnam School District","ELA","Eligible for Free Lunch",178,"39.9%","59.6%"
"=""1160011""","Putnam School District","ELA","Not Eligible for Free/Reduced Lunch",177,"46.3%","68.8%"
"=""1160011""","Putnam School District","ELA","Eligible for Reduced Lunch",40,"50.0%","63.2%"
"=""1160011""","Putnam School District","Math","Eligible for Free Lunch",180,"47.2%","69.8%"
"=""1160011""","Putnam School District","Math","Not Eligible for Free/Reduced Lunch",176,"52.8%","72.4%"
"=""1160011""","Putnam School District","Math","Eligible for Reduced Lunch",39,"33.3%","57.6%"
"=""1170011""","Redding School District","ELA","Eligible for Free Lunch","*","*","*"
"=""1170011""","Redding School District","ELA","Not Eligible for Free/Reduced Lunch",489,"51.7%","69.0%"
"=""1170011""","Redding School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""1170011""","Redding School District","Math","Eligible for Free Lunch","*","*","*"
"=""1170011""","Redding School District","Math","Not Eligible for Free/Reduced Lunch",485,"55.1%","74.7%"
"=""1170011""","Redding School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""2010012""","Regional School District 01","ELA","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""2010012""","Regional School District 01","ELA","Eligible for Reduced Lunch","*","*","*"
"=""2010012""","Regional School District 01","Math","Not Eligible for Free/Reduced Lunch","*","*","*"
"=""2010012""","Regional School District 01","Math","Eligible for Reduced Lunch","*","*","*"
"=""2040012""","Regional School District 04","ELA","Eligible for Free Lunch",36,"36.1%","53.5%"
"=""2040012""","Regional School District 04","ELA","Not Eligible for Free/Reduced Lunch",258,"43.8%","58.4%"
"=""2040012""","Regional School District 04","ELA","Eligible for Reduced Lunch",6,"*","*"
"=""2040012""","Regional School District 04","Math","Eligible for Free Lunch",36,"36.1%","54.8%"
"=""2040012""","Regional School District 04","Math","Not Eligible for Free/Reduced Lunch",258,"41.9%","59.4%"
"=""2040012""","Regional School District 04","Math","Eligible for Reduced Lunch",6,"*","*"
"=""2050012""","Regional School District 05","ELA","Eligible for Free Lunch",22,"50.0%","65.0%"
"=""2050012""","Regional School District 05","ELA","Not Eligible for Free/Reduced Lunch",682,"50.9%","69.7%"
"=""2050012""","Regional School District 05","ELA","Eligible for Reduced Lunch",10,"*","*"
"=""2050012""","Regional School District 05","Math","Eligible for Free Lunch",22,"45.5%","65.6%"
"=""2050012""","Regional School District 05","Math","Not Eligible for Free/Reduced Lunch",682,"58.8%","74.3%"
"=""2050012""","Regional School District 05","Math","Eligible for Reduced Lunch",10,"*","*"
"=""2060012""","Regional School District 06","ELA","Eligible for Free Lunch",27,"48.1%","64.9%"
"=""2060012""","Regional School District 06","ELA","Not Eligible for Free/Reduced Lunch",208,"44.7%","62.8%"
"=""2060012""","Regional School District 06","ELA","Eligible for Reduced Lunch",9,"*","*"
"=""2060012""","Regional School District 06","Math","Eligible for Free Lunch",27,"37.0%","58.5%"
"=""2060012""","Regional School District 06","Math","Not Eligible for Free/Reduced Lunch",206,"41.3%","60.6%"
"=""2060012""","Regional School District 06","Math","Eligible for Reduced Lunch",9,"*","*"
"=""2070012""","Regional School District 07","ELA","Eligible for Free Lunch","*","*","*"
"=""2070012""","Regional School District 07","ELA","Not Eligible for Free/Reduced Lunch",267,"47.9%","63.9%"
"=""2070012""","Regional School District 07","ELA","Eligible for Reduced Lunch","*","*","*"
"=""2070012""","Regional School District 07","Math","Eligible for Free Lunch","*","*","*"
"=""2070012""","Regional School District 07","Math","Not Eligible for Free/Reduced Lunch",264,"59.8%","77.0%"
"=""2070012""","Regional School District 07","Math","Eligible for Reduced Lunch","*","*","*"
"=""2080012""","Regional School District 08","ELA","Eligible for Free Lunch",28,"46.4%","68.4%"
"=""2080012""","Regional School District 08","ELA","Not Eligible for Free/Reduced Lunch",506,"36.0%","52.8%"
"=""2080012""","Regional School District 08","ELA","Eligible for Reduced Lunch",15,"*","*"
"=""2080012""","Regional School District 08","Math","Eligible for Free Lunch",29,"37.9%","58.4%"
"=""2080012""","Regional School District 08","Math","Not Eligible for Free/Reduced Lunch",505,"43.0%","59.5%"
"=""2080012""","Regional School District 08","Math","Eligible for Reduced Lunch",15,"*","*"
"=""2100012""","Regional School District 10","ELA","Eligible for Free Lunch",53,"35.8%","58.9%"
"=""2100012""","Regional School District 10","ELA","Not Eligible for Free/Reduced Lunch",847,"43.2%","63.3%"
"=""2100012""","Regional School District 10","ELA","Eligible for Reduced Lunch",11,"*","*"
"=""2100012""","Regional School District 10","Math","Eligible for Free Lunch",53,"34.0%","52.7%"
"=""2100012""","Regional School District 10","Math","Not Eligible for Free/Reduced Lunch",847,"41.0%","60.8%"
"=""2100012""","Regional School District 10","Math","Eligible for Reduced Lunch",11,"*","*"
"=""2110012""","Regional School District 11","ELA","Eligible for Free Lunch","*","33.3%","52.8%"
"=""2110012""","Regional School District 11","ELA","Not Eligible for Free/Reduced Lunch",57,"54.4%","71.8%"
"=""2110012""","Regional School District 11","ELA","Eligible for Reduced Lunch","*","*","*"
"=""2110012""","Regional School District 11","Math","Eligible for Free Lunch","*","42.9%","71.6%"
"=""2110012""","Regional School District 11","Math","Not Eligible for Free/Reduced Lunch",55,"50.9%","67.1%"
"=""2110012""","Regional School District 11","Math","Eligible for Reduced Lunch","*","*","*"
"=""2120012""","Regional School District 12","ELA","Eligible for Free Lunch","*","70.0%","87.1%"
"=""2120012""","Regional School District 12","ELA","Not Eligible for Free/Reduced Lunch",233,"53.2%","75.2%"
"=""2120012""","Regional School District 12","ELA","Eligible for Reduced Lunch","*","*","*"
"=""2120012""","Regional School District 12","Math","Eligible for Free Lunch","*","75.0%","89.8%"
"=""2120012""","Regional School District 12","Math","Not Eligible for Free/Reduced Lunch",232,"62.1%","83.4%"
"=""2120012""","Regional School District 12","Math","Eligible for Reduced Lunch","*","*","*"
"=""2130012""","Regional School District 13","ELA","Eligible for Free Lunch",39,"28.2%","60.7%"
"=""2130012""","Regional School District 13","ELA","Not Eligible for Free/Reduced Lunch",619,"48.8%","70.1%"
"=""2130012""","Regional School District 13","ELA","Eligible for Reduced Lunch",12,"*","*"
"=""2130012""","Regional School District 13","Math","Eligible for Free Lunch",39,"25.6%","49.7%"
"=""2130012""","Regional School District 13","Math","Not Eligible for Free/Reduced Lunch",618,"48.5%","70.8%"
"=""2130012""","Regional School District 13","Math","Eligible for Reduced Lunch",12,"*","*"
"=""2140012""","Regional School District 14","ELA","Eligible for Free Lunch",52,"42.3%","63.5%"
"=""2140012""","Regional School District 14","ELA","Not Eligible for Free/Reduced Lunch",475,"38.9%","60.3%"
"=""2140012""","Regional School District 14","ELA","Eligible for Reduced Lunch",16,"*","*"
"=""2140012""","Regional School District 14","Math","Eligible for Free Lunch",52,"25.0%","48.5%"
"=""2140012""","Regional School District 14","Math","Not Eligible for Free/Reduced Lunch",474,"34.2%","55.4%"
"=""2140012""","Regional School District 14","Math","Eligible for Reduced Lunch",16,"*","*"
"=""2150012""","Regional School District 15","ELA","Eligible for Free Lunch",80,"38.8%","54.1%"
"=""2150012""","Regional School District 15","ELA","Not Eligible for Free/Reduced Lunch",1359,"52.5%","72.5%"
"=""2150012""","Regional School District 15","ELA","Eligible for Reduced Lunch",30,"33.3%","53.3%"
"=""2150012""","Regional School District 15","Math","Eligible for Free Lunch",79,"36.7%","59.5%"
"=""2150012""","Regional School District 15","Math","Not Eligible for Free/Reduced Lunch",1361,"52.8%","73.5%"
"=""2150012""","Regional School District 15","Math","Eligible for Reduced Lunch",30,"36.7%","56.7%"
"=""2160012""","Regional School District 16","ELA","Eligible for Free Lunch",85,"29.4%","52.9%"
"=""2160012""","Regional School District 16","ELA","Not Eligible for Free/Reduced Lunch",676,"44.5%","66.6%"
"=""2160012""","Regional School District 16","ELA","Eligible for Reduced Lunch",37,"62.2%","82.3%"
"=""2160012""","Regional School District 16","Math","Eligible for Free Lunch",84,"35.7%","54.5%"
"=""2160012""","Regional School District 16","Math","Not Eligible for Free/Reduced Lunch",660,"41.5%","64.2%"
"=""2160012""","Regional School District 16","Math","Eligible for Reduced Lunch",34,"47.1%","64.0%"
"=""2170012""","Regional School District 17","ELA","Eligible for Free Lunch",46,"54.3%","69.9%"
"=""2170012""","Regional School District 17","ELA","Not Eligible for Free/Reduced Lunch",807,"51.4%","69.7%"
"=""2170012""","Regional School District 17","ELA","Eligible for Reduced Lunch",34,"44.1%","70.7%"
"=""2170012""","Regional School District 17","Math","Eligible for Free Lunch",45,"44.4%","67.4%"
"=""2170012""","Regional School District 17","Math","Not Eligible for Free/Reduced Lunch",806,"54.7%","75.1%"
"=""2170012""","Regional School District 17","Math","Eligible for Reduced Lunch",32,"50.0%","76.9%"
"=""2180012""","Regional School District 18","ELA","Eligible for Free Lunch","*","25.0%","50.1%"
"=""2180012""","Regional School District 18","ELA","Not Eligible for Free/Reduced Lunch",480,"53.1%","70.4%"
"=""2180012""","Regional School District 18","ELA","Eligible for Reduced Lunch","*","*","*"
"=""2180012""","Regional School District 18","Math","Eligible for Free Lunch","*","*","*"
"=""2180012""","Regional School District 18","Math","Not Eligible for Free/Reduced Lunch",480,"59.0%","76.2%"
"=""2180012""","Regional School District 18","Math","Eligible for Reduced Lunch","*","*","*"
"=""1180011""","Ridgefield School District","ELA","Eligible for Free Lunch",41,"53.7%","68.0%"
"=""1180011""","Ridgefield School District","ELA","Not Eligible for Free/Reduced Lunch",1802,"51.9%","68.4%"
"=""1180011""","Ridgefield School District","ELA","Eligible for Reduced Lunch",10,"*","*"
"=""1180011""","Ridgefield School District","Math","Eligible for Free Lunch",41,"48.8%","73.6%"
"=""1180011""","Ridgefield School District","Math","Not Eligible for Free/Reduced Lunch",1801,"54.5%","74.2%"
"=""1180011""","Ridgefield School District","Math","Eligible for Reduced Lunch",10,"*","*"
"=""1190011""","Rocky Hill School District","ELA","Eligible for Free Lunch",109,"33.9%","55.0%"
"=""1190011""","Rocky Hill School District","ELA","Not Eligible for Free/Reduced Lunch",751,"45.9%","63.7%"
"=""1190011""","Rocky Hill School District","ELA","Eligible for Reduced Lunch",26,"34.6%","62.8%"
"=""1190011""","Rocky Hill School District","Math","Eligible for Free Lunch",110,"39.1%","60.1%"
"=""1190011""","Rocky Hill School District","Math","Not Eligible for Free/Reduced Lunch",754,"50.7%","70.8%"
"=""1190011""","Rocky Hill School District","Math","Eligible for Reduced Lunch",26,"46.2%","60.4%"
"=""1210011""","Salem School District","ELA","Eligible for Free Lunch","*","*","*"
"=""1210011""","Salem School District","ELA","Not Eligible for Free/Reduced Lunch",176,"59.7%","79.8%"
"=""1210011""","Salem School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""1210011""","Salem School District","Math","Eligible for Free Lunch","*","*","*"
"=""1210011""","Salem School District","Math","Not Eligible for Free/Reduced Lunch",176,"52.3%","69.9%"
"=""1210011""","Salem School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""1220011""","Salisbury School District","ELA","Eligible for Free Lunch",10,"*","*"
"=""1220011""","Salisbury School District","ELA","Not Eligible for Free/Reduced Lunch",109,"49.5%","63.7%"
"=""1220011""","Salisbury School District","ELA","Eligible for Reduced Lunch",6,"*","*"
"=""1220011""","Salisbury School District","Math","Eligible for Free Lunch",10,"*","*"
"=""1220011""","Salisbury School District","Math","Not Eligible for Free/Reduced Lunch",109,"58.7%","76.7%"
"=""1220011""","Salisbury School District","Math","Eligible for Reduced Lunch",6,"*","*"
"=""1230011""","Scotland School District","ELA","Eligible for Free Lunch","*","*","*"
"=""1230011""","Scotland School District","ELA","Not Eligible for Free/Reduced Lunch",32,"62.5%","76.7%"
"=""1230011""","Scotland School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""1230011""","Scotland School District","Math","Eligible for Free Lunch","*","*","*"
"=""1230011""","Scotland School District","Math","Not Eligible for Free/Reduced Lunch",32,"37.5%","65.5%"
"=""1230011""","Scotland School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""1240011""","Seymour School District","ELA","Eligible for Free Lunch",183,"33.3%","52.7%"
"=""1240011""","Seymour School District","ELA","Not Eligible for Free/Reduced Lunch",607,"39.9%","59.6%"
"=""1240011""","Seymour School District","ELA","Eligible for Reduced Lunch",66,"31.8%","51.2%"
"=""1240011""","Seymour School District","Math","Eligible for Free Lunch",182,"39.6%","63.9%"
"=""1240011""","Seymour School District","Math","Not Eligible for Free/Reduced Lunch",607,"52.2%","72.7%"
"=""1240011""","Seymour School District","Math","Eligible for Reduced Lunch",66,"40.9%","65.2%"
"=""1250011""","Sharon School District","ELA","Eligible for Free Lunch",9,"*","*"
"=""1250011""","Sharon School District","ELA","Not Eligible for Free/Reduced Lunch",52,"42.3%","63.4%"
"=""1250011""","Sharon School District","ELA","Eligible for Reduced Lunch",7,"*","*"
"=""1250011""","Sharon School District","Math","Eligible for Free Lunch",9,"*","*"
"=""1250011""","Sharon School District","Math","Not Eligible for Free/Reduced Lunch",52,"51.9%","65.1%"
"=""1250011""","Sharon School District","Math","Eligible for Reduced Lunch",7,"*","*"
"=""1260011""","Shelton School District","ELA","Eligible for Free Lunch",313,"40.3%","60.9%"
"=""1260011""","Shelton School District","ELA","Not Eligible for Free/Reduced Lunch",1425,"52.6%","71.3%"
"=""1260011""","Shelton School District","ELA","Eligible for Reduced Lunch",100,"48.0%","65.3%"
"=""1260011""","Shelton School District","Math","Eligible for Free Lunch",313,"44.7%","67.4%"
"=""1260011""","Shelton School District","Math","Not Eligible for Free/Reduced Lunch",1427,"50.7%","71.4%"
"=""1260011""","Shelton School District","Math","Eligible for Reduced Lunch",100,"45.0%","67.0%"
"=""1270011""","Sherman School District","ELA","Eligible for Free Lunch","*","*","*"
"=""1270011""","Sherman School District","ELA","Not Eligible for Free/Reduced Lunch",93,"48.4%","72.0%"
"=""1270011""","Sherman School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""1270011""","Sherman School District","Math","Eligible for Free Lunch","*","*","*"
"=""1270011""","Sherman School District","Math","Not Eligible for Free/Reduced Lunch",94,"55.3%","80.2%"
"=""1270011""","Sherman School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""2700013""","Side By Side Charter School District","ELA","Eligible for Free Lunch",51,"39.2%","61.0%"
"=""2700013""","Side By Side Charter School District","ELA","Not Eligible for Free/Reduced Lunch",49,"42.9%","63.5%"
"=""2700013""","Side By Side Charter School District","ELA","Eligible for Reduced Lunch",8,"*","*"
"=""2700013""","Side By Side Charter School District","Math","Eligible for Free Lunch",51,"49.0%","70.0%"
"=""2700013""","Side By Side Charter School District","Math","Not Eligible for Free/Reduced Lunch",48,"58.3%","79.2%"
"=""2700013""","Side By Side Charter School District","Math","Eligible for Reduced Lunch",8,"*","*"
"=""1280011""","Simsbury School District","ELA","Eligible for Free Lunch",127,"42.5%","64.3%"
"=""1280011""","Simsbury School District","ELA","Not Eligible for Free/Reduced Lunch",1400,"57.4%","75.0%"
"=""1280011""","Simsbury School District","ELA","Eligible for Reduced Lunch",27,"48.1%","67.3%"
"=""1280011""","Simsbury School District","Math","Eligible for Free Lunch",125,"40.0%","60.1%"
"=""1280011""","Simsbury School District","Math","Not Eligible for Free/Reduced Lunch",1392,"55.2%","75.2%"
"=""1280011""","Simsbury School District","Math","Eligible for Reduced Lunch",27,"37.0%","64.9%"
"=""1290011""","Somers School District","ELA","Eligible for Free Lunch","*","33.3%","57.5%"
"=""1290011""","Somers School District","ELA","Not Eligible for Free/Reduced Lunch",486,"48.4%","67.9%"
"=""1290011""","Somers School District","ELA","Eligible for Reduced Lunch","*","*","*"
"=""1290011""","Somers School District","Math","Eligible for Free Lunch","*","40.0%","55.7%"
"=""1290011""","Somers School District","Math","Not Eligible for Free/Reduced Lunch",485,"49.3%","73.7%"
"=""1290011""","Somers School District","Math","Eligible for Reduced Lunch","*","*","*"
"=""1320011""","South Windsor School District","ELA","Eligible for Free Lunch",145,"36.6%","64.3%"
"=""1320011""","South Windsor School District","ELA","Not Eligible for Free/Reduced Lunch",1309,"51.4%","68.6%"
"=""1320011""","South Windsor School District","ELA","Eligible for Reduced Lunch",58,"43.1%","61.6%"
"=""1320011""","South Windsor School District","Math","Eligible for Free Lunch",145,"35.2%","57.6%"
"=""1320011""","South Windsor School District","Math","Not Eligible for Free/Reduced Lunch",1304,"57.2%","77.4%"
"=""1320011""","South Windsor School District","Math","Eligible for Reduced Lunch",58,"53.4%","75.7%"
"=""1310011""","Southington School District","ELA","Eligible for Free Lunch",318,"34.3%","55.1%"
"=""1310011""","Southington School District","ELA","Not Eligible for Free/Reduced Lunch",2105,"40.8%","60.6%"
"=""1310011""","Southington School District","ELA","Eligible for Reduced Lunch",81,"30.9%","53.2%"
"=""1310011""","Southington School District","Math","Eligible for Free Lunch",317,"34.7%","58.3%"
"=""1310011""","Southington School District","Math","Not Eligible for Free/Reduced Lunch",2103,"40.3%","61.7%"
"=""1310011""","Southington School District","Math","Eligible for Reduced Lunch",81,"29.6%","48.5%"
"=""1330011""","Sprague School District","ELA","Eligible for Free Lunch",73,"45.2%","66.7%"
"=""1330011""","Sprague School District","ELA","Not Eligible for Free/Reduced Lunch",82,"43.9%","60.8%"
"=""1330011""","Sprague School District","ELA","Eligible for Reduced Lunch",9,"*","*"
"=""1330011""","Sprague School District","Math","Eligible for Free Lunch",73,"28.8%","58.8%"
"=""1330011""","Sprague School District","Math","Not Eligible for Free/Reduced Lunch",82,"40.2%","60.1%"
"=""1330011""","Sprague School District","Math","Eligible for Reduced Lunch",10,"*","*"
"=""1340011""","Stafford School District","ELA","Eligible for Free Lunch",133,"41.4%","68.8%"
"=""1340011""","Stafford School District","ELA","Not Eligible for Free/Reduced Lunch",340,"45.3%","64.6%"
