"Smarter Balanced Growth Report, 2015-16"
"All Districts, All Students"

"",,,,"Average Vertical Scale Score (VSS)",,,"",
"=""1350011""","Stamford School District",6,995,2506,2528,23,"37.3%","55.9%"
"=""1350011""","Stamford School District",7,988,2526,2556,31,"41.9%","59.9%"
"=""1350011""","Stamford School District",8,1022,2544,2567,24,"39.0%","57.3%"
"=""1360011""","Sterling School District",4,33,2433,2491,59,"51.5%","79.4%"
"=""1360011""","Sterling School District",5,45,2457,2508,51,"42.2%","66.2%"
"=""1360011""","Sterling School District",6,40,2497,2528,31,"40.0%","63.3%"
"=""1360011""","Sterling School District",7,59,2531,2574,43,"49.2%","69.6%"
"=""1360011""","Sterling School District",8,50,2544,2561,17,"26.0%","47.8%"
"=""1370011""","Stonington School District",4,149,2479,2525,46,"51.7%","71.8%"
"=""1370011""","Stonington School District",5,143,2530,2562,32,"46.2%","64.0%"
"=""1370011""","Stonington School District",6,146,2547,2563,16,"36.3%","50.6%"
"=""1370011""","Stonington School District",7,161,2566,2577,12,"39.8%","52.9%"
"=""1370011""","Stonington School District",8,157,2568,2601,33,"52.2%","68.2%"
"=""1380011""","Stratford School District",4,515,2409,2480,71,"56.1%","81.0%"
"=""1380011""","Stratford School District",5,479,2470,2508,38,"33.8%","60.1%"
"=""1380011""","Stratford School District",6,500,2494,2536,41,"49.4%","69.0%"
"=""1380011""","Stratford School District",7,540,2530,2546,15,"30.0%","49.1%"
"=""1380011""","Stratford School District",8,508,2546,2553,7,"27.4%","43.9%"
"=""1390011""","Suffield School District",4,160,2453,2497,44,"48.1%","68.5%"
"=""1390011""","Suffield School District",5,134,2488,2545,57,"56.0%","75.0%"
"=""1390011""","Suffield School District",6,179,2543,2575,33,"46.9%","65.8%"
"=""1390011""","Suffield School District",7,170,2579,2596,17,"38.8%","57.4%"
"=""1390011""","Suffield School District",8,171,2613,2605,-8,"30.4%","43.1%"
"=""2690013""","The Bridge Academy District",7,48,2455,2490,35,"29.2%","52.1%"
"=""2690013""","The Bridge Academy District",8,49,2493,2498,5,"22.4%","38.0%"
"=""9020022""","The Gilbert School District",7,75,2541,2556,15,"28.0%","45.3%"
"=""9020022""","The Gilbert School District",8,82,2530,2540,10,"26.8%","42.3%"
"=""1400011""","Thomaston School District",4,61,2406,2460,54,"41.0%","67.6%"
"=""1400011""","Thomaston School District",5,71,2438,2496,59,"43.7%","68.5%"
"=""1400011""","Thomaston School District",6,77,2512,2549,37,"41.6%","64.8%"
"=""1400011""","Thomaston School District",7,95,2533,2565,33,"37.9%","62.6%"
"=""1400011""","Thomaston School District",8,68,2570,2591,22,"35.3%","59.4%"
"=""1410011""","Thompson School District",4,71,2424,2437,13,"19.7%","38.1%"
"=""1410011""","Thompson School District",5,78,2425,2479,54,"43.6%","69.2%"
"=""1410011""","Thompson School District",6,78,2502,2516,14,"30.8%","48.8%"
"=""1410011""","Thompson School District",7,77,2521,2519,-2,"15.6%","34.4%"
"=""1410011""","Thompson School District",8,67,2544,2538,-7,"13.4%","29.1%"
"=""1420011""","Tolland School District",4,180,2464,2527,63,"60.6%","82.8%"
"=""1420011""","Tolland School District",5,183,2529,2564,35,"46.4%","64.1%"
"=""1420011""","Tolland School District",6,201,2557,2582,25,"42.3%","59.7%"
"=""1420011""","Tolland School District",7,216,2563,2585,22,"37.5%","57.3%"
"=""1420011""","Tolland School District",8,227,2576,2605,29,"44.5%","61.6%"
"=""1430011""","Torrington School District",4,299,2426,2469,43,"36.8%","62.1%"
"=""1430011""","Torrington School District",5,332,2475,2513,38,"35.8%","59.7%"
"=""1430011""","Torrington School District",6,302,2496,2509,13,"27.2%","45.0%"
"=""1430011""","Torrington School District",7,283,2510,2513,4,"21.9%","38.3%"
"=""1430011""","Torrington School District",8,285,2525,2544,19,"31.9%","51.1%"
"=""2780013""","Trailblazers Academy District",6,38,2414,2412,-3,"13.2%","24.7%"
"=""2780013""","Trailblazers Academy District",7,31,2413,2444,31,"29.0%","50.9%"
"=""2780013""","Trailblazers Academy District",8,36,2473,2493,19,"25.0%","52.4%"
"=""1440011""","Trumbull School District",4,464,2479,2551,72,"69.8%","89.7%"
"=""1440011""","Trumbull School District",5,475,2517,2575,58,"61.1%","82.6%"
"=""1440011""","Trumbull School District",6,506,2557,2602,45,"64.4%","79.0%"
"=""1440011""","Trumbull School District",7,488,2549,2625,76,"72.1%","90.6%"
"=""1440011""","Trumbull School District",8,408,2568,2641,74,"77.5%","92.1%"
"=""3470015""","Unified School District #2",7,"*","*","*","*","*","*"
"=""3470015""","Unified School District #2",8,"*","*","*","*","*","*"
"=""1450011""","Union School District",4,"*","*","*","*","*","*"
"=""1450011""","Union School District",5,8,"*","*","*","*","*"
"=""1450011""","Union School District",6,"*","*","*","*","*","*"
"=""1450011""","Union School District",7,15,"*","*","*","*","*"
"=""1450011""","Union School District",8,9,"*","*","*","*","*"
"=""1460011""","Vernon School District",4,228,2405,2462,57,"46.5%","71.0%"
"=""1460011""","Vernon School District",5,224,2458,2494,36,"38.8%","59.0%"
"=""1460011""","Vernon School District",6,228,2491,2510,19,"32.5%","50.7%"
"=""1460011""","Vernon School District",7,207,2504,2544,40,"47.3%","68.1%"
"=""1460011""","Vernon School District",8,188,2510,2536,25,"36.2%","53.9%"
"=""1470011""","Voluntown School District",4,28,2457,2500,42,"39.3%","62.2%"
"=""1470011""","Voluntown School District",5,30,2495,2527,32,"30.0%","53.4%"
"=""1470011""","Voluntown School District",6,29,2523,2555,32,"41.4%","70.7%"
"=""1470011""","Voluntown School District",7,27,2548,2584,36,"44.4%","62.2%"
"=""1470011""","Voluntown School District",8,30,2578,2585,7,"30.0%","44.7%"
"=""1480011""","Wallingford School District",4,381,2428,2483,55,"48.0%","72.8%"
"=""1480011""","Wallingford School District",5,429,2475,2530,55,"50.8%","74.7%"
"=""1480011""","Wallingford School District",6,467,2510,2526,17,"31.9%","51.2%"
"=""1480011""","Wallingford School District",7,432,2523,2564,40,"47.0%","66.6%"
"=""1480011""","Wallingford School District",8,456,2552,2586,34,"45.4%","65.9%"
"=""1510011""","Waterbury School District",4,1276,2376,2423,48,"32.7%","61.8%"
"=""1510011""","Waterbury School District",5,1293,2418,2458,40,"30.1%","57.0%"
"=""1510011""","Waterbury School District",6,1251,2445,2465,20,"27.7%","48.8%"
"=""1510011""","Waterbury School District",7,1273,2448,2489,41,"40.8%","61.9%"
"=""1510011""","Waterbury School District",8,1204,2478,2506,28,"35.0%","55.5%"
"=""1520011""","Waterford School District",4,149,2464,2512,48,"46.3%","71.6%"
"=""1520011""","Waterford School District",5,191,2484,2531,47,"49.7%","69.1%"
"=""1520011""","Waterford School District",6,194,2517,2556,39,"47.4%","69.8%"
"=""1520011""","Waterford School District",7,213,2548,2577,29,"44.6%","61.0%"
"=""1520011""","Waterford School District",8,221,2577,2588,11,"34.4%","51.3%"
"=""1530011""","Watertown School District",4,203,2457,2510,54,"44.3%","72.7%"
"=""1530011""","Watertown School District",5,206,2490,2527,37,"39.8%","62.6%"
"=""1530011""","Watertown School District",6,219,2499,2550,51,"53.4%","74.0%"
"=""1530011""","Watertown School District",7,202,2541,2584,43,"52.0%","70.7%"
"=""1530011""","Watertown School District",8,215,2568,2591,23,"38.6%","58.5%"
"=""1550011""","West Hartford School District",4,676,2470,2525,55,"53.1%","76.0%"
"=""1550011""","West Hartford School District",5,721,2522,2557,35,"43.7%","64.9%"
"=""1550011""","West Hartford School District",6,726,2551,2569,18,"41.3%","57.3%"
"=""1550011""","West Hartford School District",7,731,2578,2599,21,"42.7%","57.4%"
"=""1550011""","West Hartford School District",8,644,2582,2602,20,"41.3%","57.3%"
"=""1560011""","West Haven School District",4,417,2413,2466,53,"41.5%","68.4%"
"=""1560011""","West Haven School District",5,455,2455,2502,47,"38.2%","65.2%"
"=""1560011""","West Haven School District",6,370,2480,2520,40,"46.5%","66.7%"
"=""1560011""","West Haven School District",7,365,2510,2538,27,"38.4%","56.3%"
"=""1560011""","West Haven School District",8,396,2531,2543,11,"27.8%","47.9%"
"=""1540011""","Westbrook School District",4,46,2453,2521,67,"63.0%","88.0%"
"=""1540011""","Westbrook School District",5,58,2511,2554,42,"41.4%","65.7%"
"=""1540011""","Westbrook School District",6,59,2569,2589,20,"44.1%","60.5%"
"=""1540011""","Westbrook School District",7,48,2592,2625,33,"47.9%","70.9%"
"=""1540011""","Westbrook School District",8,47,2617,2652,35,"59.6%","75.3%"
"=""1570011""","Weston School District",4,166,2465,2521,56,"51.8%","76.2%"
"=""1570011""","Weston School District",5,169,2531,2572,41,"50.9%","73.0%"
"=""1570011""","Weston School District",6,178,2562,2577,15,"37.1%","55.5%"
"=""1570011""","Weston School District",7,196,2577,2618,41,"57.1%","74.9%"
"=""1570011""","Weston School District",8,176,2598,2627,29,"48.9%","65.5%"
"=""1580011""","Westport School District",4,381,2500,2547,47,"51.7%","73.7%"
"=""1580011""","Westport School District",5,427,2547,2589,42,"54.3%","74.5%"
"=""1580011""","Westport School District",6,403,2583,2597,14,"42.9%","56.9%"
"=""1580011""","Westport School District",7,428,2587,2612,25,"45.8%","61.6%"
"=""1580011""","Westport School District",8,424,2621,2630,8,"39.6%","53.0%"
"=""1590011""","Wethersfield School District",4,244,2437,2502,65,"56.1%","77.6%"
"=""1590011""","Wethersfield School District",5,251,2490,2545,55,"53.8%","75.8%"
"=""1590011""","Wethersfield School District",6,275,2531,2574,42,"56.4%","74.1%"
"=""1590011""","Wethersfield School District",7,248,2555,2591,36,"53.2%","69.5%"
"=""1590011""","Wethersfield School District",8,265,2539,2584,45,"55.5%","73.1%"
"=""1600011""","Willington School District",4,48,2431,2475,44,"39.6%","60.1%"
"=""1600011""","Willington School District",5,33,2442,2504,62,"54.5%","80.2%"
"=""1600011""","Willington School District",6,43,2510,2558,48,"55.8%","72.9%"
"=""1600011""","Willington School District",7,49,2515,2557,42,"38.8%","63.6%"
"=""1600011""","Willington School District",8,45,2560,2597,37,"53.3%","73.2%"
"=""1610011""","Wilton School District",4,310,2468,2541,73,"67.7%","87.4%"
"=""1610011""","Wilton School District",5,326,2498,2552,54,"52.1%","73.2%"
"=""1610011""","Wilton School District",6,297,2549,2585,36,"51.9%","70.5%"
"=""1610011""","Wilton School District",7,342,2568,2611,43,"54.7%","73.1%"
"=""1610011""","Wilton School District",8,316,2606,2638,32,"55.1%","69.3%"
"=""1620011""","Winchester School District",4,"*",2437,2464,27,"27.7%","49.3%"
"=""1620011""","Winchester School District",5,81,2431,2493,62,"46.9%","73.7%"
"=""1620011""","Winchester School District",6,70,2478,2511,33,"44.3%","63.7%"
"=""1620011""","Winchester School District",8,"*","*","*","*","*","*"
"=""1630011""","Windham School District",4,253,2381,2439,58,"41.5%","69.6%"
"=""1630011""","Windham School District",5,212,2421,2487,66,"48.1%","75.8%"
"=""1630011""","Windham School District",6,229,2462,2506,44,"46.3%","69.1%"
"=""1630011""","Windham School District",7,220,2478,2522,44,"46.8%","64.8%"
"=""1630011""","Windham School District",8,215,2497,2521,24,"36.7%","54.9%"
"=""1650011""","Windsor Locks School District",4,123,2422,2479,58,"45.5%","75.6%"
"=""1650011""","Windsor Locks School District",5,128,2457,2500,43,"43.0%","64.8%"
"=""1650011""","Windsor Locks School District",6,103,2495,2508,12,"27.2%","51.0%"
"=""1650011""","Windsor Locks School District",7,116,2491,2552,60,"55.2%","75.2%"
"=""1650011""","Windsor Locks School District",8,112,2530,2565,35,"43.8%","64.6%"
"=""1640011""","Windsor School District",4,193,2420,2474,54,"47.7%","70.0%"
"=""1640011""","Windsor School District",5,214,2459,2490,31,"29.0%","54.7%"
"=""1640011""","Windsor School District",6,198,2492,2529,38,"40.9%","60.2%"
"=""1640011""","Windsor School District",7,194,2531,2549,18,"28.9%","46.5%"
"=""1640011""","Windsor School District",8,225,2514,2531,17,"31.6%","49.1%"
"=""1660011""","Wolcott School District",4,141,2441,2499,59,"53.9%","74.5%"
"=""1660011""","Wolcott School District",5,176,2500,2547,48,"48.9%","71.8%"
"=""1660011""","Wolcott School District",6,179,2542,2560,18,"36.3%","54.6%"
"=""1660011""","Wolcott School District",7,180,2539,2573,34,"42.2%","62.4%"
"=""1660011""","Wolcott School District",8,223,2575,2601,26,"43.5%","60.7%"
"=""1670011""","Woodbridge School District",4,87,2468,2535,67,"63.2%","82.1%"
"=""1670011""","Woodbridge School District",5,88,2522,2582,61,"63.6%","81.4%"
"=""1670011""","Woodbridge School District",6,111,2548,2600,52,"65.8%","83.1%"
"=""1690011""","Woodstock School District",4,73,2468,2520,52,"50.7%","74.0%"
"=""1690011""","Woodstock School District",5,102,2508,2544,36,"44.1%","64.2%"
"=""1690011""","Woodstock School District",6,87,2529,2542,13,"34.5%","50.9%"
"=""1690011""","Woodstock School District",7,105,2558,2593,35,"46.7%","66.9%"
"=""1690011""","Woodstock School District",8,90,2602,2607,6,"35.6%","48.0%"

