"Student Counts by School and Race"
"All Districts, All Schools"
"Trend"

"",,,,"Race",,,,,,,,,,,,
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""","*","*",124,133,114,101,388,0,"*",89,1420,946,3323
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""",0,"*","*","*",0,0,"*",0,0,0,19,0,31
"Naugatuck School District","=""0880011""","Head Start","=""0888111""","*",0,48,73,"*",85,197,0,0,45,470,162,1124
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""","*","*",110,197,112,165,564,"*",0,129,1562,775,3625
"Naugatuck School District","=""0880011""","Hillside Middle School","=""0885211""","*",0,"*",0,85,104,0,0,0,0,0,679,912
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""",16,7,163,133,74,143,481,0,0,115,1486,674,3292
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""",6,12,234,178,135,107,468,0,0,132,2191,1023,4486
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","*","*",373,725,304,447,1617,18,0,367,5949,3351,13157
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","*",0,58,161,103,120,481,"*","*",101,1008,496,2537
"Naugatuck School District","=""0880011""","Western School","=""0880711""","*",10,61,97,64,95,435,"*",0,82,1242,620,2710
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""",0,"*","*",2070,901,157,802,0,0,21,98,22,4073
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc. Family Academy","=""2800113""",0,"*","*",2070,901,157,802,0,0,21,98,22,4073
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""",0,"*","*",2070,901,157,802,0,0,21,98,22,4073
"New Britain School District","=""0890011""","Academic Extension Center","=""0899211""",0,0,0,"*","*",18,7,0,0,0,"*","*",33
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",0,0,"*",51,0,0,208,0,0,"*",26,0,291
"New Britain School District","=""0890011""","Behavior Support","=""0891011""",0,0,0,"*",0,0,13,"*",0,"*","*",0,21
"New Britain School District","=""0890011""","Behavior Support Program","=""0899311""",0,0,0,0,"*","*",0,0,0,0,0,"*",12
"New Britain School District","=""0890011""","CLIMB","=""0899411""",0,0,0,19,0,0,89,0,0,0,29,0,137
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","*",0,"*",577,320,892,2175,0,0,81,660,249,5029
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","*",10,47,363,262,1648,4674,"*",0,54,783,314,8158
"New Britain School District","=""0890011""","Gaffney School","=""0890511""",0,"*",217,415,227,693,2055,0,0,"*",1286,460,5439
"New Britain School District","=""0890011""","Holmes School","=""0890611""","*","*",297,351,157,836,1362,"*",0,70,1150,343,4574
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","*","*",79,150,77,131,353,0,0,34,510,240,1584
"New Britain School District","=""0890011""","Jefferson School","=""0890711""",6,"*",346,282,186,577,1563,"*",0,82,993,322,4365
"New Britain School District","=""0890011""","KEY Elementary","=""0891611""",0,0,"*",9,0,0,52,0,0,"*",20,0,87
"New Britain School District","=""0890011""","KEY Middle","=""0891711""",0,0,0,"*",0,0,18,0,0,0,"*",0,26
"New Britain School District","=""0890011""","Lincoln School","=""0890811""",6,14,139,553,316,1175,3004,0,0,111,1118,344,6780
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","*",23,578,2787,1592,4635,9958,"*",0,255,3829,2448,26122
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",0,0,0,36,8,20,192,0,0,"*",57,"*",325
"New Britain School District","=""0890011""","Northend School","=""0890911""","*","*",43,291,187,557,1264,0,0,55,275,118,2798
"New Britain School District","=""0890011""","Preschool at Roosevelt","=""0890111""",0,0,"*",23,0,0,198,0,0,"*",71,0,302
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","*",6,219,607,332,1398,2948,"*",0,75,795,388,6772
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""",0,0,39,324,346,899,1146,"*",0,"*",183,194,3153
"New Britain School District","=""0890011""","STEPS","=""0891811""",0,0,0,"*",0,0,28,0,0,"*","*",0,36
"New Britain School District","=""0890011""","Satellite Careers Academy","=""0899511""",0,0,0,21,0,0,123,0,0,"*","*",0,157
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","*","*",104,856,453,1199,3185,"*",0,94,863,387,7151
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""",0,"*","*",531,465,1320,3282,0,0,92,556,302,6635
"New Britain School District","=""0890011""","Smith School","=""0891311""","*",9,152,612,374,1069,2726,"*",0,112,959,425,6446
"New Britain School District","=""0890011""","Sunrise Intermediate","=""0890411""",0,0,0,"*",0,0,14,0,0,"*","*",0,19
"New Britain School District","=""0890011""","Sunrise Primary","=""0890211""",0,0,"*","*",0,0,34,0,0,"*",8,0,46
"New Britain School District","=""0890011""","Vance School","=""0891511""","*","*",91,594,302,732,2248,"*",0,119,816,467,5374
"New Canaan School District","=""0900011""","East School","=""0900411""","*",12,375,74,29,48,151,"*",0,66,3186,1469,5417
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","*",38,411,117,41,76,281,"*",0,109,8090,3516,12691
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","*",22,522,105,35,61,303,"*",0,170,8013,3578,12818
"New Canaan School District","=""0900011""","South School","=""0900211""","*","*",337,28,9,40,163,"*",0,105,3286,1490,5466
"New Canaan School District","=""0900011""","West School","=""0900311""","*","*",180,12,"*",30,109,"*",0,55,3355,1473,5227
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""",0,0,0,0,0,0,"*",0,0,0,"*",0,30
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","*","*",124,56,29,95,377,0,0,60,3227,1809,5798
"New Fairfield School District","=""0910011""","Day Alternative Learning Program","=""0910411""",0,0,0,0,0,0,"*",0,0,"*",12,0,14
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","*","*",105,50,17,67,297,0,0,61,3356,1902,5870
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","*","*",168,78,25,84,377,"*",0,92,6001,2758,9589
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""",0,8,107,50,22,82,302,0,0,81,3927,2087,6666
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",0,"*",26,8,"*",7,70,0,0,49,2109,1033,3304
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""",0,0,8,0,"*","*",18,0,0,19,749,462,1265
"New Hartford School District","=""0920011""","Bridges I","=""0929011""",0,0,0,0,"*",0,0,0,0,0,0,"*",17
"New Hartford School District","=""0920011""","Bridges II at Ann Antolini School","=""0920411""",0,0,0,0,0,0,0,0,0,0,"*",0,"*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""",0,0,26,0,"*","*",35,0,0,6,595,326,994
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","*","*",70,1643,811,165,454,0,0,42,912,347,4458
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","*",18,117,412,199,512,1302,0,"*",19,2004,899,5496
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","*",0,27,2187,994,390,1104,"*",0,17,146,28,4895
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","*","*",34,2206,979,261,998,0,0,17,675,192,5367
"New Haven School District","=""0930011""","Beecher School","=""0930311""",0,"*",60,2124,1122,159,680,"*",0,31,537,80,4798
"New Haven School District","=""0930011""","Benjamin Jepson Head Start","=""0933411""",0,0,0,"*",0,0,"*",0,0,0,"*",0,12
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",0,7,34,1071,578,471,1569,"*","*",40,1032,362,5171
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",0,"*",78,1390,683,356,902,0,0,"*",876,364,4673
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""",0,0,196,1322,482,443,1589,"*",0,"*",408,124,4576
"New Haven School District","=""0930011""","Bishop Woods Self Contained Autism","=""0937911""",0,0,0,"*",0,0,"*",0,0,0,0,0,11
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""",0,0,0,22,0,0,"*",0,0,"*",0,0,36
"New Haven School District","=""0930011""","Brennan Rogers School","=""0932111""",0,"*",18,2098,0,0,789,0,0,"*",209,0,3134
"New Haven School District","=""0930011""","Brennan Rogers Self Contained Autism","=""0937211""",0,0,0,10,0,0,8,0,0,"*","*",0,21
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","*","*",129,1814,995,309,704,0,0,14,258,161,4393
"New Haven School District","=""0930011""","Celentano Self Contained ID","=""0937411""",0,0,0,6,0,0,"*",0,0,0,"*",0,11
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""",0,0,13,132,73,1025,3021,"*",0,"*",85,10,4368
"New Haven School District","=""0930011""","Clarence Rogers School","=""0930511""","*",0,"*",0,299,85,0,0,0,0,0,27,417
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","*","*",20,1543,717,470,1885,"*",0,12,158,33,4843
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",0,0,32,798,390,1053,2858,0,0,8,237,65,5441
"New Haven School District","=""0930011""","Clinton Self Contained ID","=""0937811""",0,0,"*","*",0,0,6,0,0,0,0,0,10
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""",0,0,13,132,73,1025,3021,"*",0,"*",85,10,4368
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","*",21,49,2071,1013,744,1924,0,0,"*",321,139,6300
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",0,"*",118,2169,696,335,1175,0,0,"*",998,362,5868
"New Haven School District","=""0930011""","Cortlandt V.R. Creed Health and Sport Sciences High School","=""0936811""","*",0,10,968,451,101,319,0,0,"*",126,33,2013
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",13,21,94,2095,776,122,471,0,0,37,784,222,4635
"New Haven School District","=""0930011""","Domus Academy","=""0935611""",0,0,0,176,0,0,"*",0,0,0,"*",0,254
"New Haven School District","=""0930011""","Dr. Reginald Mayo Early Learning Center","=""0932711""",0,0,"*",325,0,0,104,0,0,"*",18,0,458
"New Haven School District","=""0930011""","Dwight Early Childhood Program","=""0938211""",0,0,"*",120,109,17,34,0,0,0,7,"*",293
"New Haven School District","=""0930011""","Early Learning Center","=""0938111""",0,0,"*",578,286,51,135,0,0,"*",19,10,1087
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",8,16,205,1381,934,582,1363,0,0,15,329,124,4957
"New Haven School District","=""0930011""","East Rock Self Contained MD","=""0937511""",0,0,0,"*",0,0,17,0,0,0,"*",0,29
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",0,"*",253,1375,119,45,560,0,0,"*",993,58,3436
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""","*",11,100,687,300,1373,4003,"*",0,13,400,51,6944
"New Haven School District","=""0930011""","Fair Haven Self Contained ID","=""0938711""",0,0,0,"*",0,0,0,0,0,0,"*",0,"*"
"New Haven School District","=""0930011""","Headstart","=""0938011""","*","*",17,716,370,877,1595,"*",0,10,97,15,3705
"New Haven School District","=""0930011""","Helene Grant HeadStart","=""0938311""","*","*",19,1087,751,299,471,0,0,14,77,28,2756
"New Haven School District","=""0930011""","Helene Grant Headstart","=""0938311""","*","*",19,1087,751,299,471,0,0,14,77,28,2756
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","*","*",31,778,468,263,746,"*",0,13,303,229,2834
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",0,0,10,794,289,941,2257,"*",0,"*",96,7,4402
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",0,18,327,2189,1098,607,1563,0,0,9,703,376,6890
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","*",0,10,968,451,101,319,0,0,"*",126,33,2013
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","*","*",53,4947,2567,435,1561,0,0,27,202,39,9853
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",0,0,90,644,322,1116,2322,0,0,17,600,104,5215
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""",6,10,9,431,313,1426,3115,"*",0,"*",114,56,5485
"New Haven School District","=""0930011""","Katherine Brennan School","=""0930411""","*",0,"*",0,454,102,0,0,0,0,0,18,576
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""",0,"*",18,2098,0,0,789,0,0,"*",209,0,3134
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","*",12,151,2934,1007,115,445,"*",0,19,462,144,5292
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""","*",0,24,1965,948,44,461,0,0,"*",79,10,3535
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","*","*",91,1709,238,219,1229,"*",0,25,796,124,4438
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",0,0,74,1088,321,139,963,0,0,7,480,38,3110
"New Haven School District","=""0930011""","NHPS Self Contained Autism","=""0934411""",0,0,0,17,0,0,15,0,0,"*","*",0,40
"New Haven School District","=""0930011""","NHPS Self Contained Intellectually Disabled","=""0935011""",0,0,"*",11,0,0,16,0,0,0,"*",0,30
"New Haven School District","=""0930011""","NHPS Self Contained Multi-Handicapped","=""0934511""",0,0,0,"*",0,0,22,0,0,0,"*",0,42
"New Haven School District","=""0930011""","Nathan Hale Self Contained ID","=""0937711""",0,0,0,"*",0,0,7,0,0,0,"*",0,10
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",0,0,34,1150,355,156,456,0,"*","*",247,107,2522
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""",0,0,0,118,0,0,113,0,0,0,6,0,237
"New Haven School District","=""0930011""","New Light High School","=""0932611""",0,0,0,66,0,0,31,0,0,"*","*",0,101
"New Haven School District","=""0930011""","Off-Campus Classroom Program (OCC)","=""0937311""",0,0,0,27,0,0,"*",0,0,0,"*",0,45
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0936511""",0,0,0,59,27,"*",37,0,0,0,10,"*",100
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""",0,0,"*",59,27,10,37,0,0,0,10,"*",100
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""",0,0,6,510,0,0,863,0,0,12,169,0,1560
"New Haven School District","=""0930011""","Riverside Education Academy","=""0936911""",0,0,0,533,187,"*",229,0,0,0,26,"*",659
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",0,0,"*",533,187,51,229,0,0,"*",26,"*",659
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","*",21,163,1519,750,703,1822,"*",0,16,883,192,6079
"New Haven School District","=""0930011""","Sheridan Communications and Technology Magnet School","=""0935311""","*",0,"*",0,237,82,0,0,0,0,0,109,444
"New Haven School District","=""0930011""","Sound School","=""0936711""",0,0,44,224,78,211,590,6,0,6,1469,689,3317
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","*","*",46,1241,183,244,1330,0,"*",27,204,24,3302
"New Haven School District","=""0930011""","Strong Self Contained Autism","=""0937611""",0,0,0,8,0,0,9,0,0,"*","*",0,21
"New Haven School District","=""0930011""","Timothy Dwight School","=""0931111""",0,0,"*",0,145,149,0,0,0,0,0,"*",298
"New Haven School District","=""0930011""","Truman School","=""0932911""","*",7,14,589,435,1252,2829,"*",0,15,69,34,5251
"New Haven School District","=""0930011""","Urban Youth Center Middle School","=""0935111""",0,0,0,0,37,"*",0,0,0,0,0,"*",51
"New Haven School District","=""0930011""","Urban Youth Center Middle School","=""0939011""",0,0,0,0,37,"*",0,0,0,0,0,"*",51
"New Haven School District","=""0930011""","Vincent E. Mauro Elementary Math, Science and Technology Magnet School","=""0932511""","*",0,"*",0,345,378,0,0,0,0,0,120,850
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""",0,7,21,993,370,193,410,0,0,18,216,96,2324
"New Haven School District","=""0930011""","West Rock Self Contained Autism","=""0938411""",0,0,0,6,0,0,"*",0,0,0,"*",0,11
"New Haven School District","=""0930011""","Wexler Grant Self Contained","=""0938611""",0,0,0,"*",0,0,"*",0,0,0,"*",0,"*"
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""",0,0,14,2277,1254,76,422,0,0,17,121,25,4206
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",9,11,289,3324,2185,2278,4907,6,0,25,1131,512,14677
"New Haven School District","=""0930011""","Wilbur Cross Self Contained MD","=""0938511""",0,0,0,11,0,0,10,0,0,0,0,0,21
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""","*",16,1067,436,291,63,189,"*",0,35,1570,584,4255
"New London School District","=""0950011""","Jennings School","=""0950311""","*",15,28,495,288,1033,2924,"*",0,171,209,127,5300
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",41,28,79,1086,641,878,2075,"*","*",192,506,268,5808
"New London School District","=""0950011""","Dual Language Arts Academy/Academia Bilingue de las Artes","=""0955211""",0,0,0,0,"*",52,0,0,0,0,0,"*",81
"New London School District","=""0950011""","Early Childhood Center at Harbor","=""0950611""",0,"*","*",74,0,0,274,0,0,39,63,0,463
"New London School District","=""0950011""","Harbor","=""0950611""",0,"*","*",74,0,0,274,0,0,39,63,0,463
"New London School District","=""0950011""","Harbor School","=""0950211""",35,"*",31,205,434,304,209,"*",0,36,132,225,1619
"New London School District","=""0950011""","Natha Hale Magnet Elementary School for the Performing &amp; Visual Arts","=""0950911""","*",43,78,711,354,315,1347,"*",0,287,621,227,4009
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""","*",43,78,711,354,315,1347,"*",0,287,621,227,4009
"New London School District","=""0950011""","New London Clinical Day Program","=""0959111""","*","*",0,23,21,27,31,0,0,"*",12,13,131
"New London School District","=""0950011""","New London High School","=""0956111""",55,61,176,1677,877,1059,2755,"*","*",281,1266,552,8769
"New London School District","=""0950011""","New London Visual and Performing Arts Magnet School","=""0951411""",0,"*","*",25,0,0,45,0,0,8,24,0,105
"New London School District","=""0950011""","Pre-Kindergarten at Winthrop","=""0950711""",0,0,0,0,0,0,"*",0,0,0,"*",0,"*"
"New London School District","=""0950011""","Science and Technology Magnet School of Southeastern Connecticut","=""0951311""",0,"*",11,112,0,0,190,"*",0,62,179,0,559
"New London School District","=""0950011""","Shoreline Academy","=""0950511""","*",0,14,43,69,47,27,0,0,"*",31,67,302
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""",7,12,70,782,248,388,1185,23,0,403,834,97,4049
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""","*","*",292,69,40,104,520,0,0,116,2293,1138,4577
"New Milford School District","=""0960011""","John Pettibone School","=""0960511""","*","*",203,52,45,108,381,0,0,103,1970,1164,4028
"New Milford School District","=""0960011""","John Pettibone School","=""0960711""",6,0,203,52,45,108,381,0,0,103,1970,1164,4028
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""",0,0,0,"*",0,"*","*",0,0,0,79,6,90
"New Milford School District","=""0960011""","New Milford High School","=""0966111""","*","*",538,214,83,278,871,"*",0,129,8429,4189,14735
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""",0,0,111,67,34,77,260,0,0,94,2821,1473,4937
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""","*","*",413,143,80,260,762,0,0,194,5653,2813,10329
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""",0,"*",299,123,"*",179,578,0,0,111,4541,2032,7903
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""","*","*",548,91,49,137,567,0,0,129,2084,993,4606
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""","*","*",212,129,72,85,463,0,0,142,1177,712,3001
"Newington School District","=""0940011""","John Paterson School","=""0940811""","*",0,397,190,99,127,424,"*",0,143,1976,1037,4400
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""","*","*",634,305,136,205,723,0,0,220,3152,1687,7075
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""","*","*",490,178,129,224,780,7,0,201,2677,1499,6197
"Newington School District","=""0940011""","Newington High School","=""0946111""",7,13,1147,488,236,379,1455,7,0,302,6474,3513,14021
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""","*","*",337,171,104,165,483,0,0,114,1569,789,3742
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""",0,0,138,"*",8,24,123,"*",0,44,2192,1155,3692
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""","*","*",87,"*",10,40,122,0,0,26,2031,1161,3485
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""",0,"*",151,46,"*",43,149,0,0,113,2537,1427,4491
"Newtown School District","=""0970011""","Newtown High School","=""0976111""","*","*",541,140,56,167,568,0,0,138,10797,4783,17199
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""","*","*",295,73,37,97,269,0,0,75,5285,2532,8665
"Newtown School District","=""0970011""","Newtown Preschool","=""0978011""",0,0,18,"*","*",10,16,0,0,7,424,185,665
"Newtown School District","=""0970011""","Newtown Preschool at RIS","=""0978111""",0,0,"*",0,0,"*",0,0,0,0,0,26,30
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""","*","*",287,82,35,91,267,0,0,68,4836,2450,8119
"Newtown School District","=""0970011""","STARR","=""0979011""",0,0,0,0,0,0,0,0,0,0,17,0,17
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""",0,"*",265,83,42,69,151,0,0,"*",2541,1705,4894
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",0,0,12,"*","*",8,21,0,0,10,776,430,1267
"Norfolk School District","=""0980011""","Bridges II","=""0989211""",0,0,0,0,0,0,0,0,0,0,"*","*",24
"Norfolk School District","=""0980011""","IEP Program","=""0989011""",0,0,"*",0,0,"*","*",0,0,0,"*","*",12
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""","*","*",97,65,15,26,138,0,0,23,2691,955,4023
"North Branford School District","=""0990011""","North Branford High School","=""0996111""","*",10,144,92,43,57,236,0,0,"*",3911,1978,6475
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""",8,12,121,85,43,73,139,0,0,0,3369,1638,5488
"North Branford School District","=""0990011""","School to Work Program","=""0999011""",0,0,0,"*",0,0,"*",0,0,0,11,0,17
"North Branford School District","=""0990011""","Stanley T. Williams School","=""0990511""","*",0,16,0,"*",18,0,0,0,0,0,719,769
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""",0,6,90,88,21,23,135,0,0,10,2867,1396,4636
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",0,"*",23,14,"*",46,223,0,0,56,1738,966,3079
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""","*","*",213,46,48,41,164,0,0,61,2043,962,3584
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""","*",6,371,93,92,52,184,"*",0,78,2041,998,3917
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""","*",0,208,54,28,42,170,0,0,"*",1945,1215,3684
"North Haven School District","=""1010011""","North Haven High School","=""1016111""","*",16,751,425,241,194,503,"*",0,167,6073,2984,11366
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""",0,7,542,173,110,131,306,0,0,136,4502,2289,8196
"North Haven School District","=""1010011""","North Haven Transition Partnership","=""1010111""",0,0,8,"*",0,0,"*",0,0,0,8,0,20
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""",0,0,299,97,53,47,175,0,0,101,2324,1066,4162
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",31,35,76,49,"*",31,119,"*",0,45,2331,1031,3773
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",17,"*",46,42,10,14,41,"*",0,23,1463,637,2303
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""","*",13,32,28,19,16,29,"*",0,21,937,496,1604
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""","*",30,781,2913,1536,1491,4530,"*",0,119,3416,1805,16645
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""",0,"*",216,506,274,683,2049,0,0,"*",759,328,4886
"Norwalk School District","=""1030011""","Center for Global Studies","=""1030511""",0,0,40,55,0,0,67,0,0,10,118,0,290
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""","*",0,282,551,255,155,516,"*",0,56,1015,517,3352
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""",0,0,246,447,205,296,867,"*",0,"*",1878,848,4798
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""",0,"*",236,564,311,264,905,0,0,"*",1465,715,4556
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""",12,8,607,725,383,737,2227,0,0,91,584,275,5649
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""","*","*",259,796,410,687,2169,"*",0,47,600,253,5226
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""","*","*",182,463,220,504,1487,"*",0,70,1244,598,4774
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""","*","*",224,404,165,324,1149,"*",0,51,1393,690,4408
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""",6,"*",279,747,252,408,1490,"*",0,31,1919,879,6015
"Norwalk School District","=""1030011""","Norwalk Early Childhood Center","=""1030111""",0,0,24,17,0,0,53,"*",0,"*",72,0,171
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""","*",16,621,2145,1009,1243,3617,"*",0,68,4586,2126,15442
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",0,0,"*",185,150,96,208,0,0,"*",63,53,764
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""",0,"*",378,1096,553,683,2043,"*",0,46,1077,647,6535
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""","*",0,142,619,314,409,1269,"*",0,28,1125,470,4380
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""","*","*",134,368,198,278,706,"*",0,63,1926,808,4487
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""","*",0,127,482,180,574,1978,"*",0,75,553,274,4254
"Norwalk School District","=""1030011""","Tracey School","=""1031411""","*","*",212,565,298,533,1405,0,0,78,534,348,3979
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",0,"*",254,970,498,714,1914,0,0,"*",1503,787,6694
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""","*",0,146,385,177,281,719,"*",0,50,968,456,3184
"Norwich Free Academy District","=""9010022""","Alternative Pathways to Success","=""9010322""",0,0,"*","*",0,0,"*",0,0,0,10,0,19
"Norwich Free Academy District","=""9010022""","LEAD (Life Skills, Education and Adult Development)","=""9010122""",0,0,0,"*",0,0,"*",0,0,0,6,0,12
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""",0,0,0,"*",0,0,"*",0,0,"*",11,0,19
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",109,292,1571,2201,973,779,2260,251,0,490,9567,5036,23529
"Norwich School District","=""1040011""","Transition Academy","=""1041011""",0,0,0,"*",0,0,"*",0,0,0,11,0,18
