"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"Trend"

"",,,,"Free/Reduced Lunch Eligibility",,,
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""",6792,"*","*",7342
"Hartford School District","=""0640011""","Rawson School","=""0641711""",5106,194,0,5300
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""",557,142,25,724
"Hartford School District","=""0640011""","Renzulli Gifted and Talented Academy","=""0644011""",557,142,25,724
"Hartford School District","=""0640011""","SAND School","=""0640111""",4138,118,0,4256
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""",2208,1318,143,3669
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""",693,473,31,1197
"Hartford School District","=""0640011""","STEM Magnet at Fisher School","=""0642511""",2208,1318,143,3669
"Hartford School District","=""0640011""","Sanchez School","=""0643011""",4700,209,0,4909
"Hartford School District","=""0640011""","Sarah J Rawson Middle Grades Academy","=""0645611""",390,0,0,390
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""",5106,194,0,5300
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""",3281,102,0,3383
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",5913,476,10,6399
"Hartford School District","=""0640011""","Twain School","=""0641811""",282,0,0,282
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",1372,2206,364,3942
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",1372,2206,364,3942
"Hartford School District","=""0640011""","Weaver High School","=""0646311""",2619,0,0,2619
"Hartford School District","=""0640011""","Webster Micro Society Magnet School","=""0642011""",3180,2610,505,6295
"Hartford School District","=""0640011""","West Middle School","=""0642111""",5622,180,0,5802
"Hartford School District","=""0640011""","Wish Museum School","=""0642211""",3783,121,0,3904
"Hartland School District","=""0650011""","Hartland School","=""0650111""",100,2025,17,2142
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""",156,3740,64,3960
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""",227,5433,135,5795
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",1680,1280,626,3586
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",678,2333,292,3303
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""",1167,739,252,2158
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",2566,2396,669,5631
"Kent School District","=""0680011""","Kent Center School","=""0680111""",242,2324,91,2657
"Kent School District","=""0680011""","LEAPSS","=""0680211""","*","*",0,"*"
"Killingly School District","=""0690011""","Goodyear Early Childhood Center","=""0698011""",283,679,59,1021
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""",34,"*","*",54
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""",1528,2548,357,4433
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",2179,5315,723,8217
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""",2569,4328,817,7714
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""",1933,2515,380,4828
"Killingly School District","=""0690011""","Sunrise Community School","=""0690411""","*",27,"*",47
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",1072,1105,223,2400
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""",456,339,90,885
"Learn","=""2450014""","Goodwin College Early Childhood Interdistrict Magnet School","=""2450314""",522,705,79,1306
"Learn","=""2450014""","LEARN ABA Program at Center School","=""2451214""","*","*",0,15
"Learn","=""2450014""","LEARN Haynes Elementary Intensive Program","=""2451114""",16,22,0,38
"Learn","=""2450014""","LEARN High School ABA at MS","=""2450614""","*","*",0,14
"Learn","=""2450014""","LEARN Kelly Middle School Intensive Program","=""2450914""","*","*","*",8
"Learn","=""2450014""","LEARN Ledyard RICHES Program","=""2450714""",0,8,0,8
"Learn","=""2450014""","LEARN SAILS Middle School Program","=""2450814""",12,"*","*",15
"Learn","=""2450014""","LEARN SAILS Program at Salem","=""2451014""",11,"*","*",20
"Learn","=""2450014""","LEARN STS 18-21 Year Old Program","=""2450414""",0,7,0,7
"Learn","=""2450014""","Learn ABA Program at Center School","=""2451214""","*","*",0,15
"Learn","=""2450014""","Learn Haynes Elementary Intensive Program","=""2451114""",16,22,0,38
"Learn","=""2450014""","Learn High School ABA at MS","=""2450614""","*","*",0,14
"Learn","=""2450014""","Learn Ledyard RICHES Program","=""2450714""",0,8,0,8
"Learn","=""2450014""","Learn Pathways Program","=""2450514""","*",7,"*",9
"Learn","=""2450014""","Learn SAILS Middle School Program","=""2450814""",12,"*","*",15
"Learn","=""2450014""","Learn SAILS Program at Salem","=""2451014""",11,"*","*",20
"Learn","=""2450014""","Learn STS 18-21 Year Old Program","=""2450414""",0,7,0,7
"Learn","=""2450014""","Learn Special Education","=""2459014""","*",193,"*",215
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",234,1001,120,1355
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""",1997,2864,469,5330
"Learn","=""2450014""","Riverside Magnet School at Goodwin College","=""2450314""",522,705,79,1306
"Learn","=""2450014""","The Friendship School","=""2450214""",2084,2672,303,5059
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",101,170,18,289
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""",564,3671,156,4391
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""",414,3111,156,3681
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",368,4143,131,4642
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""",220,1884,66,2170
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""",654,2719,130,3503
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""",318,2611,107,3036
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""",501,3508,112,4121
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",1172,7707,365,9244
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""",460,3247,142,3849
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",28,63,13,104
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",677,3743,209,4629
"Litchfield School District","=""0740011""","Center School","=""0740211""",243,2746,83,3072
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",328,4433,147,4908
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""",216,2187,76,2479
"Litchfield School District","=""0740011""","Litchfield Middle School","=""0746011""",47,282,6,335
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",325,11878,127,12330
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""",131,5099,76,5306
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""",152,2706,48,2906
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""",73,4456,29,4558
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""",48,2581,42,2671
"Madison School District","=""0760011""","Town Campus Learning Center","=""0769011""","*",329,"*",337
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""",136,5644,79,5859
"Manchester School District","=""0770011""","Nathan Hale School","=""0770911""",947,358,130,1435
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""",95,"*","*",147
"Manchester School District","=""0770011""","Bowers School","=""0770111""",1542,2318,338,4198
"Manchester School District","=""0770011""","Buckley School","=""0770311""",791,2608,237,3636
"Manchester School District","=""0770011""","Elementary Site 2","=""0771111""","*",0,0,"*"
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""",1788,1653,354,3795
"Manchester School District","=""0770011""","Highland Park School","=""0770411""",703,1669,96,2468
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""",3841,3854,772,8467
"Manchester School District","=""0770011""","Keeney School","=""0770611""",873,2563,224,3660
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",6515,9679,1484,17678
"Manchester School District","=""0770011""","Manchester Preschool - Site 2","=""0770811""","*","*",0,28
"Manchester School District","=""0770011""","Manchester Preschool Center","=""0778011""",1102,"*","*",1523
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",517,272,51,840
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""","*",56,"*",86
"Manchester School District","=""0770011""","Martin School","=""0771611""",948,1456,135,2539
"Manchester School District","=""0770011""","New Horizons","=""0770711""",46,"*","*",69
"Manchester School District","=""0770011""","Robertson School","=""0771011""",1560,1897,324,3781
"Manchester School District","=""0770011""","Verplanck School","=""0771211""",2314,1015,327,3656
"Manchester School District","=""0770011""","Waddell School","=""0771311""",1529,1545,384,3458
"Manchester School District","=""0770011""","Washington School","=""0771411""",2332,764,357,3453
"Mansfield School District","=""0780011""","Annie E. Vinton School","=""0780411""",416,2143,81,2640
"Mansfield School District","=""0780011""","Dorothy C. Goodwin School","=""0780211""",410,1571,92,2073
"Mansfield School District","=""0780011""","Mansfield Middle School School","=""0785111""",902,4432,261,5595
"Mansfield School District","=""0780011""","Southeast Elementary School","=""0780511""",491,1830,135,2456
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""",331,5852,100,6283
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""",3540,2213,467,6220
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""",2318,1617,376,4311
"Meriden School District","=""0800011""","Casimir Pulaski School","=""0801111""",4452,1323,566,6341
"Meriden School District","=""0800011""","Community Classroom Collaborative-Meriden School District","=""0800211""",15,"*","*",29
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",6201,5170,924,12295
"Meriden School District","=""0800011""","Hanover School","=""0800311""",2754,2550,410,5714
"Meriden School District","=""0800011""","Israel Putnam School","=""0800411""",3636,1687,414,5737
"Meriden School District","=""0800011""","John Barry School","=""0800511""",3993,746,322,5061
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""",4330,2537,586,7453
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",6268,3963,891,11122
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""",3514,1418,410,5342
"Meriden School District","=""0800011""","STARS-MS","=""0801511""",6,0,0,6
"Meriden School District","=""0800011""","STARS-Meriden School District","=""0800611""",50,25,6,81
"Meriden School District","=""0800011""","STEP-Meriden School District","=""0800911""",32,"*","*",38
"Meriden School District","=""0800011""","Steps-Meriden School District","=""0801211""",26,"*","*",36
"Meriden School District","=""0800011""","Success Academy","=""0801411""",23,"*","*",35
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""",2057,2225,293,4575
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""",70,"*","*",82
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""",4754,2525,720,7999
"Middletown School District","=""0830011""","Bielefield School","=""0830211""",1444,1541,217,3202
"Middletown School District","=""0830011""","DEAL Program","=""0839011""",32,27,6,65
"Middletown School District","=""0830011""","Evening Program - MHS","=""0831611""",28,"*","*",45
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""",1466,1730,182,3378
"Middletown School District","=""0830011""","ICM - Farm Hill","=""0830611""","*","*",0,12
"Middletown School District","=""0830011""","ICM - Lawrence","=""0830711""","*","*",0,12
"Middletown School District","=""0830011""","ICM - Macdonough","=""0831011""",7,"*","*",10
"Middletown School District","=""0830011""","ICM - Spencer","=""0832011""","*","*",0,14
"Middletown School District","=""0830011""","ICM - Wesley","=""0830811""","*",7,"*",14
"Middletown School District","=""0830011""","ICM- Woodrow Wilson Middle School","=""0830411""",8,7,0,15
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""",1270,1911,260,3441
"Middletown School District","=""0830011""","Lawrence School","=""0831311""",655,2294,193,3142
"Middletown School District","=""0830011""","MHS - Alternative Education Program 1","=""0831811""",18,"*","*",23
"Middletown School District","=""0830011""","MHS - Alternative Education Program 2","=""0831911""","*","*",0,25
"Middletown School District","=""0830011""","MHS- Alternative Education Program 3","=""0832211""","*","*",0,"*"
"Middletown School District","=""0830011""","MacDonough School","=""0830911""",1544,553,168,2265
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",4119,7856,892,12867
"Middletown School District","=""0830011""","Moody School","=""0831211""",635,2533,154,3322
"Middletown School District","=""0830011""","OASIS","=""0830311""","*","*",0,10
"Middletown School District","=""0830011""","STEM - Macdonough","=""0832111""","*",29,"*",44
"Middletown School District","=""0830011""","Snow School","=""0831111""",1310,2174,258,3742
"Middletown School District","=""0830011""","Spencer School","=""0830111""",1300,1766,271,3337
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""",33,83,0,116
"Middletown School District","=""0830011""","Virtual Learning Academy - MHS","=""0831711""",15,"*","*",28
"Middletown School District","=""0830011""","Wesley School","=""0831411""",956,2021,165,3142
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""",2417,4056,492,6965
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""",368,2464,123,2955
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""",571,4334,258,5163
"Milford School District","=""0840011""","Fifth Year Vocational Experience","=""0840411""","*",6,"*",8
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""",529,4953,218,5700
"Milford School District","=""0840011""","J. F. Kennedy School","=""0841911""",725,2967,188,3880
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",1792,7462,597,9851
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",1036,8348,418,9802
"Milford School District","=""0840011""","Live Oaks School","=""0841611""",340,2745,112,3197
"Milford School District","=""0840011""","Mathewson School","=""0841711""",389,3813,87,4289
"Milford School District","=""0840011""","Meadowside School","=""0840711""",496,3223,223,3942
"Milford School District","=""0840011""","Orange Avenue School","=""0840811""",442,3799,88,4329
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""",379,3248,155,3782
"Milford School District","=""0840011""","Post Grad Transitional Academy","=""0840611""","*","*",0,"*"
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""",767,2399,206,3372
"Milford School District","=""0840011""","Simon Lake School","=""0841411""",206,799,96,1101
"Milford School District","=""0840011""","The Academy","=""0840311""",66,"*","*",111
"Milford School District","=""0840011""","The Academy","=""0846411""","*",56,"*",111
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""",1152,3772,367,5291
"Monroe School District","=""0850011""","Chalk Hill School","=""0850611""",64,2050,58,2172
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""",213,5143,77,5433
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""",359,6963,189,7511
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""",19,19,0,38
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",538,11496,317,12351
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""",171,3433,85,3689
"Monroe School District","=""0850011""","REAL","=""0850411""",0,7,0,7
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""",201,4468,100,4769
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""",941,2417,300,3658
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""",1314,4259,557,6130
"Montville School District","=""0860011""","Mohegan School","=""0860111""",1049,2310,427,3786
"Montville School District","=""0860011""","Montville High School","=""0866111""",1375,5433,594,7402
"Montville School District","=""0860011""","Oakdale School","=""0860511""",542,3047,255,3844
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",93,136,16,245
"Montville School District","=""0860011""","Pre School Program","=""0860311""","*",115,"*",145
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""",1019,1158,184,2361
"Naugatuck School District","=""0880011""","Central Avenue Preschool","=""0888211""","*",140,"*",172
"Naugatuck School District","=""0880011""","Central Avenue School","=""0880111""",494,712,164,1370
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""",1985,3634,713,6332
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""",898,2074,351,3323
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""",17,"*","*",31
"Naugatuck School District","=""0880011""","Head Start","=""0888111""",803,280,41,1124
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""",1423,1794,408,3625
"Naugatuck School District","=""0880011""","Hillside Middle School","=""0885211""",238,561,113,912
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""",1167,1913,212,3292
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""",936,3187,363,4486
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",3729,8245,1183,13157
"Naugatuck School District","=""0880011""","Salem School","=""0880611""",1011,1241,285,2537
"Naugatuck School District","=""0880011""","Western School","=""0880711""",904,1617,189,2710
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""",2723,921,429,4073
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc. Family Academy","=""2800113""",2723,921,429,4073
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""",2723,921,429,4073
"New Britain School District","=""0890011""","Academic Extension Center","=""0899211""",21,"*","*",33
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",245,34,12,291
"New Britain School District","=""0890011""","Behavior Support","=""0891011""",17,"*","*",21
"New Britain School District","=""0890011""","Behavior Support Program","=""0899311""",8,"*","*",12
"New Britain School District","=""0890011""","CLIMB","=""0899411""",96,"*","*",137
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""",3673,951,405,5029
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""",5944,1606,608,8158
"New Britain School District","=""0890011""","Gaffney School","=""0890511""",3160,1861,418,5439
"New Britain School District","=""0890011""","Holmes School","=""0890611""",2528,1632,414,4574
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""",614,785,185,1584
"New Britain School District","=""0890011""","Jefferson School","=""0890711""",2929,1073,363,4365
"New Britain School District","=""0890011""","KEY Elementary","=""0891611""",69,"*","*",87
"New Britain School District","=""0890011""","KEY Middle","=""0891711""",21,"*","*",26
"New Britain School District","=""0890011""","Lincoln School","=""0890811""",4747,1554,479,6780
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",15967,8067,2088,26122
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",265,44,16,325
"New Britain School District","=""0890011""","Northend School","=""0890911""",2199,351,248,2798
"New Britain School District","=""0890011""","Preschool at Roosevelt","=""0890111""","*",209,"*",302
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""",5087,1169,516,6772
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""",2354,505,294,3153
"New Britain School District","=""0890011""","STEPS","=""0891811""",31,"*","*",36
"New Britain School District","=""0890011""","Satellite Careers Academy","=""0899511""",139,"*","*",157
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""",5110,1375,666,7151
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""",5326,831,478,6635
"New Britain School District","=""0890011""","Smith School","=""0891311""",4636,1183,627,6446
"New Britain School District","=""0890011""","Sunrise Intermediate","=""0890411""",19,0,0,19
"New Britain School District","=""0890011""","Sunrise Primary","=""0890211""","*","*",0,46
"New Britain School District","=""0890011""","Vance School","=""0891511""",3676,1187,511,5374
"New Canaan School District","=""0900011""","East School","=""0900411""",0,5417,0,5417
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",0,12691,0,12691
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""",0,12818,0,12818
"New Canaan School District","=""0900011""","South School","=""0900211""",0,5466,0,5466
"New Canaan School District","=""0900011""","West School","=""0900311""",0,5227,0,5227
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""","*",23,"*",30
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""",298,5398,102,5798
"New Fairfield School District","=""0910011""","Day Alternative Learning Program","=""0910411""","*",11,"*",14
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""",368,5347,155,5870
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",480,8878,231,9589
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""",450,6040,176,6666
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",176,3017,111,3304
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""",52,1203,10,1265
"New Hartford School District","=""0920011""","Bridges I","=""0929011""",0,"*","*",17
"New Hartford School District","=""0920011""","Bridges II at Ann Antolini School","=""0920411""",0,"*",0,"*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""",65,905,24,994
"New Haven School District","=""0930011""","Edgewood School","=""0931211""",2056,1978,424,4458
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",2413,2656,427,5496
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",3594,1054,247,4895
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""",3161,1933,273,5367
"New Haven School District","=""0930011""","Beecher School","=""0930311""",2854,1705,239,4798
"New Haven School District","=""0930011""","Benjamin Jepson Head Start","=""0933411""","*","*",0,12
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",2880,1879,412,5171
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",2586,1697,390,4673
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""",3023,1319,234,4576
"New Haven School District","=""0930011""","Bishop Woods Self Contained Autism","=""0937911""","*","*",0,11
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""",20,16,0,36
"New Haven School District","=""0930011""","Brennan Rogers School","=""0932111""",2295,749,90,3134
"New Haven School District","=""0930011""","Brennan Rogers Self Contained Autism","=""0937211""","*","*",0,21
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""",2922,1289,182,4393
"New Haven School District","=""0930011""","Celentano Self Contained ID","=""0937411""","*","*",0,11
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""",3145,991,232,4368
"New Haven School District","=""0930011""","Clarence Rogers School","=""0930511""",331,61,25,417
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""",3879,862,102,4843
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",4204,1085,152,5441
"New Haven School District","=""0930011""","Clinton Self Contained ID","=""0937811""","*","*",0,10
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""",3145,991,232,4368
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""",4211,1621,468,6300
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",2859,2426,583,5868
"New Haven School District","=""0930011""","Cortlandt V.R. Creed Health and Sport Sciences High School","=""0936811""",1153,631,229,2013
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",2540,1750,345,4635
"New Haven School District","=""0930011""","Domus Academy","=""0935611""",197,"*","*",254
"New Haven School District","=""0930011""","Dr. Reginald Mayo Early Learning Center","=""0932711""",25,433,0,458
"New Haven School District","=""0930011""","Dwight Early Childhood Program","=""0938211""","*",186,"*",293
"New Haven School District","=""0930011""","Early Learning Center","=""0938111""",666,400,21,1087
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",3341,1190,426,4957
"New Haven School District","=""0930011""","East Rock Self Contained MD","=""0937511""",20,9,0,29
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",980,2293,163,3436
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""",4835,1884,225,6944
"New Haven School District","=""0930011""","Fair Haven Self Contained ID","=""0938711""","*","*",0,"*"
"New Haven School District","=""0930011""","Headstart","=""0938011""",2240,1443,22,3705
"New Haven School District","=""0930011""","Helene Grant HeadStart","=""0938311""",2023,723,10,2756
"New Haven School District","=""0930011""","Helene Grant Headstart","=""0938311""",2023,723,10,2756
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",1706,850,278,2834
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",3367,943,92,4402
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",3550,2552,788,6890
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",1153,631,229,2013
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",6448,2882,523,9853
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",3309,1553,353,5215
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""",4082,1118,285,5485
"New Haven School District","=""0930011""","Katherine Brennan School","=""0930411""",456,88,32,576
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""",2295,749,90,3134
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",3546,1431,315,5292
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""",2553,902,80,3535
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""",2448,1604,386,4438
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",1549,1213,348,3110
"New Haven School District","=""0930011""","NHPS Self Contained Autism","=""0934411""",40,0,0,40
"New Haven School District","=""0930011""","NHPS Self Contained Intellectually Disabled","=""0935011""","*","*",0,30
"New Haven School District","=""0930011""","NHPS Self Contained Multi-Handicapped","=""0934511""","*","*",0,42
"New Haven School District","=""0930011""","Nathan Hale Self Contained ID","=""0937711""","*","*",0,10
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",1306,934,282,2522
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""",188,"*","*",237
"New Haven School District","=""0930011""","New Light High School","=""0932611""",79,"*","*",101
"New Haven School District","=""0930011""","Off-Campus Classroom Program (OCC)","=""0937311""",27,18,0,45
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0936511""",78,9,7,100
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""",78,"*","*",100
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""",1174,344,42,1560
"New Haven School District","=""0930011""","Riverside Education Academy","=""0936911""",538,82,40,659
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",538,82,40,659
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""",3741,2052,286,6079
"New Haven School District","=""0930011""","Sheridan Communications and Technology Magnet School","=""0935311""",284,111,49,444
"New Haven School District","=""0930011""","Sound School","=""0936711""",1007,2017,293,3317
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""",2020,1190,92,3302
"New Haven School District","=""0930011""","Strong Self Contained Autism","=""0937611""",9,12,0,21
"New Haven School District","=""0930011""","Timothy Dwight School","=""0931111""",248,37,13,298
"New Haven School District","=""0930011""","Truman School","=""0932911""",4070,1010,171,5251
"New Haven School District","=""0930011""","Urban Youth Center Middle School","=""0935111""",39,22,0,51
"New Haven School District","=""0930011""","Urban Youth Center Middle School","=""0939011""",39,"*","*",51
"New Haven School District","=""0930011""","Vincent E. Mauro Elementary Math, Science and Technology Magnet School","=""0932511""",566,178,106,850
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""",1584,543,197,2324
"New Haven School District","=""0930011""","West Rock Self Contained Autism","=""0938411""","*","*",0,11
"New Haven School District","=""0930011""","Wexler Grant Self Contained","=""0938611""","*","*",0,"*"
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""",3046,956,204,4206
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",9514,4427,736,14677
"New Haven School District","=""0930011""","Wilbur Cross Self Contained MD","=""0938511""",10,11,0,21
