"Student Counts by School and Year"
"All Districts, All Schools"
"Trend"

"",,,,"Year",,,,,,,,,,
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""",668,659,677,634,888,853,812,758,780,782,7511
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""",0,0,0,0,0,0,0,16,13,9,38
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",1402,1345,1302,1309,1272,1227,1188,1163,1092,1051,12351
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""",361,348,358,409,380,370,371,363,354,375,3689
"Monroe School District","=""0850011""","REAL","=""0850411""",0,0,0,0,0,0,0,"*","*",0,7
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""",513,489,450,511,485,503,474,467,430,447,4769
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""",419,396,364,383,363,364,354,344,342,329,3658
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""",713,643,659,642,638,597,576,552,551,559,6130
"Montville School District","=""0860011""","Mohegan School","=""0860111""",406,425,412,419,376,368,365,353,333,329,3786
"Montville School District","=""0860011""","Montville High School","=""0866111""",828,830,792,767,772,721,702,700,654,636,7402
"Montville School District","=""0860011""","Oakdale School","=""0860511""",470,460,441,433,394,373,386,309,297,281,3844
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",30,23,21,19,26,23,25,27,28,23,245
"Montville School District","=""0860011""","Pre School Program","=""0860311""",0,0,0,0,0,0,0,62,40,43,145
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""",228,227,227,202,194,247,239,246,272,279,2361
"Naugatuck School District","=""0880011""","Central Avenue Preschool","=""0888211""",0,0,0,31,20,20,16,24,30,31,172
"Naugatuck School District","=""0880011""","Central Avenue School","=""0880111""",293,305,284,252,236,0,0,0,0,0,1370
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""",507,472,471,771,709,703,679,680,675,665,6332
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""",400,407,388,330,284,252,289,346,312,315,3323
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""",0,0,0,0,0,0,0,0,11,20,31
"Naugatuck School District","=""0880011""","Head Start","=""0888111""",106,102,104,104,105,119,126,121,118,119,1124
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""",384,353,368,390,408,414,360,304,312,332,3625
"Naugatuck School District","=""0880011""","Hillside Middle School","=""0885211""",301,305,306,0,0,0,0,0,0,0,912
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""",339,310,320,335,339,353,326,337,310,323,3292
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""",435,455,459,376,359,521,509,475,450,447,4486
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",1410,1367,1434,1361,1344,1299,1267,1259,1198,1218,13157
"Naugatuck School District","=""0880011""","Salem School","=""0880611""",253,250,246,231,229,271,274,249,266,268,2537
"Naugatuck School District","=""0880011""","Western School","=""0880711""",262,262,274,277,292,280,261,265,281,256,2710
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""",362,358,360,360,361,399,402,473,499,499,4073
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc. Family Academy","=""2800113""",362,358,360,360,361,399,402,473,499,499,4073
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""",362,358,360,360,361,399,402,473,499,499,4073
"New Britain School District","=""0890011""","Academic Extension Center","=""0899211""",0,0,21,12,0,0,0,0,0,0,33
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",0,0,0,0,39,48,49,50,51,54,291
"New Britain School District","=""0890011""","Behavior Support","=""0891011""",0,0,0,0,0,0,0,0,11,10,21
"New Britain School District","=""0890011""","Behavior Support Program","=""0899311""",0,0,12,0,0,0,0,0,0,0,12
"New Britain School District","=""0890011""","CLIMB","=""0899411""",0,0,0,0,30,13,25,29,18,22,137
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""",580,438,475,455,528,564,501,528,467,493,5029
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""",657,795,794,897,923,901,779,771,791,850,8158
"New Britain School District","=""0890011""","Gaffney School","=""0890511""",434,490,522,518,563,579,593,569,578,593,5439
"New Britain School District","=""0890011""","Holmes School","=""0890611""",422,493,468,422,411,408,489,506,461,494,4574
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""",155,162,155,156,165,169,167,159,149,147,1584
"New Britain School District","=""0890011""","Jefferson School","=""0890711""",410,399,423,415,473,482,424,442,442,455,4365
"New Britain School District","=""0890011""","KEY Elementary","=""0891611""",0,0,0,0,0,0,0,0,44,43,87
"New Britain School District","=""0890011""","KEY Middle","=""0891711""",0,0,0,0,0,0,0,0,12,14,26
"New Britain School District","=""0890011""","Lincoln School","=""0890811""",656,621,611,699,649,754,708,725,688,669,6780
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",3130,2972,2759,2619,2516,2530,2481,2457,2460,2198,26122
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",0,0,36,32,31,47,40,50,38,51,325
"New Britain School District","=""0890011""","Northend School","=""0890911""",287,295,296,307,357,155,288,274,285,254,2798
"New Britain School District","=""0890011""","Preschool at Roosevelt","=""0890111""",0,0,0,0,0,0,0,0,137,165,302
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""",820,704,649,592,531,517,633,769,766,791,6772
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""",542,477,442,429,442,427,394,0,0,0,3153
"New Britain School District","=""0890011""","STEPS","=""0891811""",0,0,0,0,0,0,0,0,36,0,36
"New Britain School District","=""0890011""","Satellite Careers Academy","=""0899511""",0,0,0,0,0,0,0,0,0,157,157
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""",697,663,716,716,699,726,618,776,733,807,7151
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""",672,733,711,673,571,556,654,702,678,685,6635
"New Britain School District","=""0890011""","Smith School","=""0891311""",661,638,611,631,660,732,671,696,580,566,6446
"New Britain School District","=""0890011""","Sunrise Intermediate","=""0890411""",0,0,0,0,0,0,0,0,12,7,19
"New Britain School District","=""0890011""","Sunrise Primary","=""0890211""",0,0,0,0,0,0,0,0,22,24,46
"New Britain School District","=""0890011""","Vance School","=""0891511""",494,525,523,544,577,623,537,513,523,515,5374
"New Canaan School District","=""0900011""","East School","=""0900411""",542,547,539,516,522,565,530,566,543,547,5417
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",1223,1222,1287,1343,1310,1275,1264,1250,1251,1266,12691
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""",1305,1266,1218,1218,1232,1288,1314,1291,1327,1359,12818
"New Canaan School District","=""0900011""","South School","=""0900211""",520,535,541,561,586,554,535,547,542,545,5466
"New Canaan School District","=""0900011""","West School","=""0900311""",526,519,492,493,511,531,537,547,547,524,5227
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""",0,0,0,0,0,0,0,9,8,13,30
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""",664,664,649,602,588,535,549,544,501,502,5798
"New Fairfield School District","=""0910011""","Day Alternative Learning Program","=""0910411""",0,0,0,0,0,0,0,14,0,0,14
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""",699,668,637,610,593,599,560,526,490,488,5870
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",938,972,1020,974,1004,1010,990,933,904,844,9589
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""",743,748,723,732,684,654,626,629,587,540,6666
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",347,338,361,359,349,343,323,310,296,278,3304
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""",160,159,154,120,118,110,117,115,113,99,1265
"New Hartford School District","=""0920011""","Bridges I","=""0929011""","*",7,"*",0,0,0,0,0,0,0,17
"New Hartford School District","=""0920011""","Bridges II at Ann Antolini School","=""0920411""",0,0,0,0,0,0,0,"*",0,0,"*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""",106,116,110,129,115,112,104,75,61,66,994
"New Haven School District","=""0930011""","Edgewood School","=""0931211""",448,451,459,455,445,449,448,439,437,427,4458
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",562,555,533,555,554,557,554,552,524,550,5496
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",349,549,525,515,514,513,487,490,482,471,4895
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""",453,479,504,549,561,554,582,560,563,562,5367
"New Haven School District","=""0930011""","Beecher School","=""0930311""",409,492,478,468,470,486,485,502,505,503,4798
"New Haven School District","=""0930011""","Benjamin Jepson Head Start","=""0933411""",0,0,0,0,0,0,0,0,0,12,12
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",459,472,496,527,562,561,532,517,530,515,5171
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",488,458,473,444,489,488,470,459,456,448,4673
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""",298,353,447,489,497,516,505,497,481,493,4576
"New Haven School District","=""0930011""","Bishop Woods Self Contained Autism","=""0937911""",0,0,0,0,0,0,0,0,0,11,11
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""",0,0,0,0,0,0,0,20,16,0,36
"New Haven School District","=""0930011""","Brennan Rogers School","=""0932111""",0,0,0,361,344,405,482,508,492,542,3134
"New Haven School District","=""0930011""","Brennan Rogers Self Contained Autism","=""0937211""",0,0,0,0,0,0,0,0,0,21,21
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""",584,467,465,467,444,453,394,362,368,389,4393
"New Haven School District","=""0930011""","Celentano Self Contained ID","=""0937411""",0,0,0,0,0,0,0,0,0,11,11
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""",285,396,427,473,473,467,448,451,461,487,4368
"New Haven School District","=""0930011""","Clarence Rogers School","=""0930511""",135,132,150,0,0,0,0,0,0,0,417
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""",449,389,383,536,535,525,491,535,520,480,4843
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",512,546,455,548,562,567,557,599,577,518,5441
"New Haven School District","=""0930011""","Clinton Self Contained ID","=""0937811""",0,0,0,0,0,0,0,0,0,10,10
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""",285,396,427,473,473,467,448,451,461,487,4368
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""",642,629,635,608,601,625,638,640,637,645,6300
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",417,454,541,623,655,638,635,614,647,644,5868
"New Haven School District","=""0930011""","Cortlandt V.R. Creed Health and Sport Sciences High School","=""0936811""",204,192,192,212,209,197,208,183,194,222,2013
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",361,391,413,460,514,511,516,461,497,511,4635
"New Haven School District","=""0930011""","Domus Academy","=""0935611""",0,0,0,44,33,41,42,36,29,29,254
"New Haven School District","=""0930011""","Dr. Reginald Mayo Early Learning Center","=""0932711""",0,0,0,0,0,0,0,0,0,458,458
"New Haven School District","=""0930011""","Dwight Early Childhood Program","=""0938211""",40,43,47,39,48,46,30,0,0,0,293
"New Haven School District","=""0930011""","Early Learning Center","=""0938111""",125,107,118,115,121,117,119,142,123,0,1087
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",613,590,503,435,421,434,487,508,476,490,4957
"New Haven School District","=""0930011""","East Rock Self Contained MD","=""0937511""",0,0,0,0,0,0,0,0,0,29,29
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",0,80,158,226,320,387,489,571,604,601,3436
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""",546,561,619,639,690,705,759,786,765,874,6944
"New Haven School District","=""0930011""","Fair Haven Self Contained ID","=""0938711""",0,0,0,0,0,0,0,0,0,"*","*"
"New Haven School District","=""0930011""","Headstart","=""0938011""",414,413,441,402,386,334,357,371,367,220,3705
"New Haven School District","=""0930011""","Helene Grant HeadStart","=""0938311""",397,422,274,272,263,281,268,277,266,36,2756
"New Haven School District","=""0930011""","Helene Grant Headstart","=""0938311""",397,422,274,272,263,281,268,277,266,36,2756
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",329,311,327,307,273,241,262,282,251,251,2834
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",433,439,365,402,392,463,450,476,495,487,4402
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",741,709,699,669,703,698,683,675,665,648,6890
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",204,192,192,212,209,197,208,183,194,222,2013
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",1087,1015,948,969,980,976,981,1039,945,913,9853
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",489,530,532,527,541,508,513,522,528,525,5215
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""",633,580,588,536,527,537,514,508,525,537,5485
"New Haven School District","=""0930011""","Katherine Brennan School","=""0930411""",206,194,176,0,0,0,0,0,0,0,576
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""",0,0,0,361,344,405,482,508,492,542,3134
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",389,441,475,557,579,580,612,564,559,536,5292
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""",364,323,317,313,359,384,343,372,378,382,3535
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""",0,0,596,566,563,546,548,543,539,537,4438
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",173,144,184,296,339,384,389,391,403,407,3110
"New Haven School District","=""0930011""","NHPS Self Contained Autism","=""0934411""",0,0,0,0,0,0,0,0,40,0,40
"New Haven School District","=""0930011""","NHPS Self Contained Intellectually Disabled","=""0935011""",0,0,0,0,0,0,0,0,30,0,30
"New Haven School District","=""0930011""","NHPS Self Contained Multi-Handicapped","=""0934511""",0,0,0,0,0,0,0,0,42,0,42
"New Haven School District","=""0930011""","Nathan Hale Self Contained ID","=""0937711""",0,0,0,0,0,0,0,0,0,10,10
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",183,200,239,267,262,287,277,264,255,288,2522
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""",0,0,0,0,0,0,0,64,80,93,237
"New Haven School District","=""0930011""","New Light High School","=""0932611""",0,0,0,0,0,0,0,0,37,64,101
"New Haven School District","=""0930011""","Off-Campus Classroom Program (OCC)","=""0937311""",0,0,0,0,0,0,0,0,0,45,45
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0936511""",34,33,26,22,26,25,0,15,0,0,100
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""",34,33,26,22,26,25,"*",15,"*",0,100
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""",0,0,0,0,0,265,329,330,306,330,1560
"New Haven School District","=""0930011""","Riverside Education Academy","=""0936911""",180,158,190,162,128,113,104,117,80,86,659
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",180,158,190,162,128,113,104,117,80,86,659
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""",634,533,536,521,575,596,651,675,669,689,6079
"New Haven School District","=""0930011""","Sheridan Communications and Technology Magnet School","=""0935311""",249,195,0,0,0,0,0,0,0,0,444
"New Haven School District","=""0930011""","Sound School","=""0936711""",329,332,328,320,337,334,334,330,340,333,3317
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""",0,199,267,317,422,477,450,429,397,344,3302
"New Haven School District","=""0930011""","Strong Self Contained Autism","=""0937611""",0,0,0,0,0,0,0,0,0,21,21
"New Haven School District","=""0930011""","Timothy Dwight School","=""0931111""",298,0,0,0,0,0,0,0,0,0,298
"New Haven School District","=""0930011""","Truman School","=""0932911""",620,556,549,532,527,496,462,483,493,533,5251
"New Haven School District","=""0930011""","Urban Youth Center Middle School","=""0935111""",34,34,34,0,0,0,0,0,0,0,51
"New Haven School District","=""0930011""","Urban Youth Center Middle School","=""0939011""",34,34,34,0,0,0,0,0,0,0,51
"New Haven School District","=""0930011""","Vincent E. Mauro Elementary Math, Science and Technology Magnet School","=""0932511""",410,440,0,0,0,0,0,0,0,0,850
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""",207,226,230,246,245,226,222,272,241,209,2324
"New Haven School District","=""0930011""","West Rock Self Contained Autism","=""0938411""",0,0,0,0,0,0,0,0,0,11,11
"New Haven School District","=""0930011""","Wexler Grant Self Contained","=""0938611""",0,0,0,0,0,0,0,0,0,"*","*"
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""",448,452,461,375,398,410,400,402,425,435,4206
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",1795,1661,1620,1287,1239,1358,1421,1362,1446,1488,14677
"New Haven School District","=""0930011""","Wilbur Cross Self Contained MD","=""0938511""",0,0,0,0,0,0,0,0,0,21,21
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""",389,405,433,444,431,413,414,441,441,444,4255
"New London School District","=""0950011""","Jennings School","=""0950311""",352,573,544,554,529,530,588,537,559,534,5300
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",628,621,610,590,571,593,553,624,602,416,5808
"New London School District","=""0950011""","Dual Language Arts Academy/Academia Bilingue de las Artes","=""0955211""",31,50,0,0,0,0,0,0,0,0,81
"New London School District","=""0950011""","Early Childhood Center at Harbor","=""0950611""",0,0,0,0,0,0,0,124,115,224,463
"New London School District","=""0950011""","Harbor","=""0950611""",0,0,0,0,0,0,0,124,115,224,463
"New London School District","=""0950011""","Harbor School","=""0950211""",393,332,288,301,305,0,0,0,0,0,1619
"New London School District","=""0950011""","Natha Hale Magnet Elementary School for the Performing &amp; Visual Arts","=""0950911""",369,306,273,284,284,466,530,471,503,523,4009
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""",369,306,273,284,284,466,530,471,503,523,4009
"New London School District","=""0950011""","New London Clinical Day Program","=""0959111""",25,16,22,28,22,18,0,0,0,0,131
"New London School District","=""0950011""","New London High School","=""0956111""",798,871,935,983,934,933,881,886,963,585,8769
"New London School District","=""0950011""","New London Visual and Performing Arts Magnet School","=""0951411""",0,0,0,0,0,0,0,0,0,105,105
"New London School District","=""0950011""","Pre-Kindergarten at Winthrop","=""0950711""",0,0,0,0,0,0,0,0,0,"*","*"
"New London School District","=""0950011""","Science and Technology Magnet School of Southeastern Connecticut","=""0951311""",0,0,0,0,0,0,0,0,0,559,559
"New London School District","=""0950011""","Shoreline Academy","=""0950511""",0,91,103,108,0,0,0,0,0,0,302
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""",316,225,224,224,319,528,517,556,580,560,4049
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""",483,461,449,456,458,464,473,454,434,445,4577
"New Milford School District","=""0960011""","John Pettibone School","=""0960511""",487,470,449,457,447,442,430,409,434,445,4028
"New Milford School District","=""0960011""","John Pettibone School","=""0960711""",487,470,449,457,447,442,430,409,434,445,4028
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""",0,0,"*",9,"*",11,11,11,17,19,90
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",1591,1542,1566,1510,1511,1480,1426,1398,1345,1366,14735
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""",547,541,534,548,524,481,460,414,441,447,4937
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""",1119,1095,1086,1024,1035,1031,1053,1024,959,903,10329
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""",782,776,774,748,697,714,675,681,1031,1025,7903
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""",440,455,445,441,470,471,472,459,473,480,4606
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""",313,308,308,303,299,304,302,274,294,296,3001
"Newington School District","=""0940011""","John Paterson School","=""0940811""",455,471,490,476,459,449,427,418,384,371,4400
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""",758,751,728,706,678,705,700,687,674,688,7075
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""",666,681,633,622,590,577,594,615,620,599,6197
"Newington School District","=""0940011""","Newington High School","=""0946111""",1528,1465,1468,1485,1449,1422,1361,1308,1266,1269,14021
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""",388,379,395,392,408,394,364,344,331,347,3742
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""",418,403,420,416,384,361,349,321,320,300,3692
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""",443,430,375,369,342,339,303,314,297,273,3485
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""",531,516,495,480,476,451,418,391,368,365,4491
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",1719,1704,1731,1731,1740,1760,1713,1738,1679,1684,17199
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""",930,929,896,897,871,892,855,833,812,750,8665
"Newtown School District","=""0970011""","Newtown Preschool","=""0978011""",62,54,87,88,82,56,70,58,48,60,665
"Newtown School District","=""0970011""","Newtown Preschool at RIS","=""0978111""",0,30,0,0,0,0,0,0,0,0,30
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""",886,902,861,895,878,819,787,731,701,659,8119
"Newtown School District","=""0970011""","STARR","=""0979011""",0,0,0,0,"*","*","*","*","*",0,17
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""",639,633,625,575,521,454,395,359,337,356,4894
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",164,154,137,133,118,116,112,115,116,102,1267
"Norfolk School District","=""0980011""","Bridges II","=""0989211""",0,0,"*","*",6,"*","*",0,0,0,24
"Norfolk School District","=""0980011""","IEP Program","=""0989011""","*","*","*","*",0,0,0,0,0,0,12
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""",355,339,327,475,462,441,415,406,402,401,4023
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",730,701,686,688,649,636,610,619,579,577,6475
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""",570,622,609,609,573,536,508,507,492,462,5488
"North Branford School District","=""0990011""","School to Work Program","=""0999011""",0,0,0,0,0,"*","*","*","*","*",17
"North Branford School District","=""0990011""","Stanley T. Williams School","=""0990511""",268,250,251,0,0,0,0,0,0,0,769
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""",508,486,465,518,494,468,471,430,405,391,4636
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",359,338,328,318,308,315,295,280,260,278,3079
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""",373,353,396,400,393,377,340,332,302,318,3584
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""",437,426,393,371,387,394,379,384,377,369,3917
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""",461,478,415,386,364,365,337,314,288,276,3684
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",1240,1222,1181,1173,1186,1187,1123,1039,1000,1015,11366
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""",917,909,872,832,797,773,783,782,785,746,8196
"North Haven School District","=""1010011""","North Haven Transition Partnership","=""1010111""",0,0,0,0,0,0,0,"*",9,"*",20
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""",435,419,428,424,421,404,404,423,399,405,4162
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",373,381,383,371,384,385,378,381,366,371,3773
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",245,227,226,224,216,203,218,196,189,359,2303
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""",187,186,182,201,181,176,154,164,173,0,1604
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",1662,1708,1694,1695,1730,1658,1679,1675,1663,1481,16645
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""",402,435,483,508,539,520,528,522,493,456,4886
"Norwalk School District","=""1030011""","Center for Global Studies","=""1030511""",0,0,0,0,0,0,0,0,0,290,290
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""",356,338,348,326,310,328,323,333,348,342,3352
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""",464,466,481,486,474,503,494,502,480,448,4798
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""",448,452,460,466,488,456,444,452,444,446,4556
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""",494,518,539,561,584,579,581,588,611,594,5649
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""",484,472,483,508,497,548,572,566,559,537,5226
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""",466,449,457,485,509,484,494,497,486,447,4774
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""",397,405,437,463,468,462,455,460,455,406,4408
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""",506,533,588,632,613,610,579,620,677,657,6015
"Norwalk School District","=""1030011""","Norwalk Early Childhood Center","=""1030111""",0,0,0,0,0,0,0,0,0,171,171
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",1558,1515,1503,1496,1531,1539,1539,1575,1570,1616,15442
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",96,106,99,118,69,52,66,56,53,49,764
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""",642,685,686,667,609,611,632,645,666,692,6535
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""",425,412,400,409,440,445,429,459,476,485,4380
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""",424,444,468,473,454,461,451,444,443,425,4487
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""",374,356,337,355,428,470,478,486,498,472,4254
"Norwalk School District","=""1030011""","Tracey School","=""1031411""",413,433,401,394,401,394,385,389,382,387,3979
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",693,707,663,670,664,650,654,635,670,688,6694
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""",308,310,329,346,301,302,308,325,332,323,3184
"Norwich Free Academy District","=""9010022""","Alternative Pathways to Success","=""9010322""",0,0,0,0,0,0,0,0,12,7,19
"Norwich Free Academy District","=""9010022""","LEAD (Life Skills, Education and Adult Development)","=""9010122""",0,0,0,0,0,0,0,0,12,0,12
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""",0,0,0,0,0,0,0,0,11,8,19
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",2449,2488,2421,2381,2315,2264,2324,2317,2247,2323,23529
"Norwich School District","=""1040011""","Transition Academy","=""1041011""",0,0,0,0,0,0,0,0,0,18,18
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""",0,0,0,0,0,14,9,12,11,9,55
"Norwich School District","=""1040011""","ABA Autism Program","=""1040411""",0,0,0,0,0,0,0,0,16,20,36
"Norwich School District","=""1040011""","ABA Program @ Kelly","=""1041111""",0,0,0,0,0,0,0,0,0,6,6
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""",172,173,173,16,17,16,218,223,226,204,1438
"Norwich School District","=""1040011""","Case Street Early Learning Center at DTZ","=""1040211""",0,0,0,0,0,0,0,57,60,60,177
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""",44,47,47,37,44,36,32,0,0,0,287
