"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,"Students Reaching Health Standard (%)",,,,
"Park City Prep Charter School District","=""2830013""","All Grades","Push Up",54.1,54.3,65.6,66.9,46.1
"Park City Prep Charter School District","=""2830013""","All Grades","Sit and Reach",100.0,86.4,80.9,83.4,78.4
"Plainfield School District","=""1090011""","All Grades","All Tests - District",45.2,47.0,53.7,50.7,53.7
"Plainfield School District","=""1090011""","All Grades","Curl Up",86.8,89.9,86.6,89.7,87.7
"Plainfield School District","=""1090011""","All Grades","Mile Run",64.1,61.9,72.9,63.9,68.5
"Plainfield School District","=""1090011""","All Grades","Push Up",71.9,72.4,74.0,69.5,76.0
"Plainfield School District","=""1090011""","All Grades","Sit and Reach",75.1,80.9,82.5,81.5,83.5
"Plainville School District","=""1100011""","All Grades","All Tests - District",51.6,56.0,57.7,51.7,51.5
"Plainville School District","=""1100011""","All Grades","Curl Up",82.4,91.3,93.0,88.7,82.2
"Plainville School District","=""1100011""","All Grades","Mile Run",71.1,71.4,72.6,65.7,69.8
"Plainville School District","=""1100011""","All Grades","Push Up",71.2,77.4,79.4,72.2,75.1
"Plainville School District","=""1100011""","All Grades","Sit and Reach",83.2,83.4,81.5,78.4,76.4
"Plymouth School District","=""1110011""","All Grades","All Tests - District",58.5,63.0,50.7,55.9,57.0
"Plymouth School District","=""1110011""","All Grades","Curl Up",88.0,88.2,79.3,87.7,85.7
"Plymouth School District","=""1110011""","All Grades","Mile Run",78.1,78.2,69.1,74.1,67.0
"Plymouth School District","=""1110011""","All Grades","Push Up",70.9,72.5,68.1,74.3,69.8
"Plymouth School District","=""1110011""","All Grades","Sit and Reach",81.2,88.7,81.9,88.6,83.9
"Pomfret School District","=""1120011""","All Grades","All Tests - District",38.2,49.5,49.0,58.8,49.3
"Pomfret School District","=""1120011""","All Grades","Curl Up",64.7,76.9,82.6,81.8,83.6
"Pomfret School District","=""1120011""","All Grades","Mile Run",76.9,76.9,74.8,75.7,75.0
"Pomfret School District","=""1120011""","All Grades","Push Up",54.9,65.9,63.9,66.9,76.4
"Pomfret School District","=""1120011""","All Grades","Sit and Reach",74.6,81.3,67.7,84.5,71.4
"Portland School District","=""1130011""","All Grades","All Tests - District",32.5,39.9,42.1,43.7,46.5
"Portland School District","=""1130011""","All Grades","Curl Up",64.9,76.0,75.5,77.0,79.8
"Portland School District","=""1130011""","All Grades","Mile Run",70.2,72.3,73.9,73.9,71.4
"Portland School District","=""1130011""","All Grades","Push Up",62.5,68.6,69.5,62.5,72.4
"Portland School District","=""1130011""","All Grades","Sit and Reach",66.8,71.3,69.0,82.2,80.6
"Preston School District","=""1140011""","All Grades","All Tests - District",60.2,61.3,35.8,44.7,41.8
"Preston School District","=""1140011""","All Grades","Curl Up",94.5,89.5,62.4,89.3,60.0
"Preston School District","=""1140011""","All Grades","Mile Run",73.4,67.7,67.9,82.5,85.5
"Preston School District","=""1140011""","All Grades","Push Up",70.3,71.0,70.6,44.7,69.1
"Preston School District","=""1140011""","All Grades","Sit and Reach",76.6,80.6,66.1,93.2,88.2
"Putnam School District","=""1160011""","All Grades","All Tests - District",53.3,39.6,49.4,49.7,53.8
"Putnam School District","=""1160011""","All Grades","Curl Up",84.1,74.9,81.2,71.5,72.3
"Putnam School District","=""1160011""","All Grades","Mile Run",59.9,50.1,54.8,67.5,77.4
"Putnam School District","=""1160011""","All Grades","Push Up",68.9,66.1,72.1,68.4,70.9
"Putnam School District","=""1160011""","All Grades","Sit and Reach",85.3,76.1,83.9,80.5,86.3
"Redding School District","=""1170011""","All Grades","All Tests - District",71.8,76.0,81.7,76.3,74.6
"Redding School District","=""1170011""","All Grades","Curl Up",89.3,93.1,94.2,96.1,93.1
"Redding School District","=""1170011""","All Grades","Mile Run",89.5,86.0,97.2,89.6,90.4
"Redding School District","=""1170011""","All Grades","Push Up",88.5,88.0,90.8,85.8,88.9
"Redding School District","=""1170011""","All Grades","Sit and Reach",92.3,91.1,92.8,90.5,90.7
"Regional School District 01","=""2010012""","All Grades","All Tests - District",60.4,43.8,41.0,56.0,35.2
"Regional School District 01","=""2010012""","All Grades","Curl Up",73.0,46.9,58.0,70.0,83.5
"Regional School District 01","=""2010012""","All Grades","Mile Run",74.8,96.9,82.0,81.0,52.7
"Regional School District 01","=""2010012""","All Grades","Push Up",80.2,64.1,78.0,80.0,57.1
"Regional School District 01","=""2010012""","All Grades","Sit and Reach",90.1,84.4,92.0,94.0,71.4
"Regional School District 04","=""2040012""","All Grades","All Tests - District",49.4,56.6,46.3,51.8,57.3
"Regional School District 04","=""2040012""","All Grades","Curl Up",80.6,76.7,82.7,87.5,91.6
"Regional School District 04","=""2040012""","All Grades","Mile Run",87.3,87.3,80.7,75.1,86.0
"Regional School District 04","=""2040012""","All Grades","Push Up",72.2,72.3,69.0,70.5,72.0
"Regional School District 04","=""2040012""","All Grades","Sit and Reach",92.8,91.2,77.3,84.3,89.2
"Regional School District 05","=""2050012""","All Grades","All Tests - District",71.8,72.8,67.6,74.0,73.7
"Regional School District 05","=""2050012""","All Grades","Curl Up",93.3,96.4,85.8,94.9,89.7
"Regional School District 05","=""2050012""","All Grades","Mile Run",85.3,81.6,85.0,84.5,86.6
"Regional School District 05","=""2050012""","All Grades","Push Up",90.1,92.8,90.8,90.2,91.3
"Regional School District 05","=""2050012""","All Grades","Sit and Reach",89.8,92.2,89.7,93.9,92.7
"Regional School District 06","=""2060012""","All Grades","All Tests - District",57.3,41.5,41.7,46.5,43.2
"Regional School District 06","=""2060012""","All Grades","Curl Up",88.3,86.4,92.9,95.0,92.4
"Regional School District 06","=""2060012""","All Grades","Mile Run",73.9,67.0,61.2,64.7,67.4
"Regional School District 06","=""2060012""","All Grades","Push Up",79.7,80.6,85.3,89.2,87.1
"Regional School District 06","=""2060012""","All Grades","Sit and Reach",78.8,66.3,67.9,71.0,65.2
"Regional School District 07","=""2070012""","All Grades","All Tests - District",47.6,42.8,36.5,44.1,36.0
"Regional School District 07","=""2070012""","All Grades","Curl Up",91.6,82.2,78.4,78.5,70.0
"Regional School District 07","=""2070012""","All Grades","Mile Run",64.6,66.8,68.7,68.5,63.7
"Regional School District 07","=""2070012""","All Grades","Push Up",65.9,60.0,56.9,66.1,60.0
"Regional School District 07","=""2070012""","All Grades","Sit and Reach",77.6,85.2,71.8,80.6,79.3
"Regional School District 08","=""2080012""","All Grades","All Tests - District",70.4,63.1,59.3,61.9,65.6
"Regional School District 08","=""2080012""","All Grades","Curl Up",90.8,92.8,90.7,88.8,95.8
"Regional School District 08","=""2080012""","All Grades","Mile Run",84.8,80.7,74.9,74.8,80.2
"Regional School District 08","=""2080012""","All Grades","Push Up",90.0,81.9,82.7,79.0,86.8
"Regional School District 08","=""2080012""","All Grades","Sit and Reach",86.9,86.1,84.0,81.5,86.0
"Regional School District 10","=""2100012""","All Grades","All Tests - District",59.7,60.2,59.8,61.4,59.8
"Regional School District 10","=""2100012""","All Grades","Curl Up",92.5,90.7,90.1,93.1,93.0
"Regional School District 10","=""2100012""","All Grades","Mile Run",72.9,73.7,71.2,75.4,77.2
"Regional School District 10","=""2100012""","All Grades","Push Up",84.9,83.8,83.2,84.4,84.2
"Regional School District 10","=""2100012""","All Grades","Sit and Reach",83.7,85.2,81.3,80.5,83.7
"Regional School District 11","=""2110012""","All Grades","All Tests - District",60.7,63.2,65.8,68.4,58.8
"Regional School District 11","=""2110012""","All Grades","Curl Up",97.6,93.1,97.4,93.7,88.2
"Regional School District 11","=""2110012""","All Grades","Mile Run",67.9,71.3,73.7,70.9,82.4
"Regional School District 11","=""2110012""","All Grades","Push Up",82.1,73.6,81.6,75.9,66.7
"Regional School District 11","=""2110012""","All Grades","Sit and Reach",95.2,92.0,92.1,94.9,88.2
"Regional School District 12","=""2120012""","All Grades","All Tests - District",68.0,69.1,64.3,67.1,57.7
"Regional School District 12","=""2120012""","All Grades","Curl Up",91.4,91.7,93.2,87.9,94.9
"Regional School District 12","=""2120012""","All Grades","Mile Run",78.2,81.3,71.9,79.2,77.8
"Regional School District 12","=""2120012""","All Grades","Push Up",82.0,85.3,83.7,83.1,73.9
"Regional School District 12","=""2120012""","All Grades","Sit and Reach",89.5,91.0,83.3,86.0,88.9
"Regional School District 13","=""2130012""","All Grades","All Tests - District",57.6,60.0,60.6,60.7,61.2
"Regional School District 13","=""2130012""","All Grades","Curl Up",92.4,91.0,89.7,91.0,89.6
"Regional School District 13","=""2130012""","All Grades","Mile Run",77.0,83.4,86.0,83.8,85.4
"Regional School District 13","=""2130012""","All Grades","Push Up",79.0,82.0,78.8,79.4,79.4
"Regional School District 13","=""2130012""","All Grades","Sit and Reach",81.8,79.7,81.6,86.3,81.2
"Regional School District 14","=""2140012""","All Grades","All Tests - District",59.3,56.8,50.9,52.2,49.9
"Regional School District 14","=""2140012""","All Grades","Curl Up",92.9,93.3,90.5,82.8,81.5
"Regional School District 14","=""2140012""","All Grades","Mile Run",74.3,78.5,80.7,77.7,82.7
"Regional School District 14","=""2140012""","All Grades","Push Up",77.8,76.1,73.3,77.5,71.7
"Regional School District 14","=""2140012""","All Grades","Sit and Reach",80.2,78.7,78.2,82.3,76.4
"Regional School District 15","=""2150012""","All Grades","All Tests - District",57.5,55.4,55.5,60.1,61.0
"Regional School District 15","=""2150012""","All Grades","Curl Up",86.1,84.4,84.2,86.9,87.0
"Regional School District 15","=""2150012""","All Grades","Mile Run",77.6,75.2,78.1,77.4,74.7
"Regional School District 15","=""2150012""","All Grades","Push Up",80.9,79.5,78.1,81.6,82.8
"Regional School District 15","=""2150012""","All Grades","Sit and Reach",84.9,82.4,85.0,87.1,88.4
"Regional School District 16","=""2160012""","All Grades","All Tests - District",54.2,57.7,58.7,56.5,53.1
"Regional School District 16","=""2160012""","All Grades","Curl Up",88.3,89.8,85.2,90.7,84.4
"Regional School District 16","=""2160012""","All Grades","Mile Run",70.5,73.2,73.5,73.7,69.6
"Regional School District 16","=""2160012""","All Grades","Push Up",77.0,76.2,79.5,76.4,80.4
"Regional School District 16","=""2160012""","All Grades","Sit and Reach",85.1,84.2,86.7,85.9,78.7
"Regional School District 17","=""2170012""","All Grades","All Tests - District",68.3,64.7,64.1,68.8,69.4
"Regional School District 17","=""2170012""","All Grades","Curl Up",90.7,83.9,93.0,92.6,93.3
"Regional School District 17","=""2170012""","All Grades","Mile Run",81.9,80.1,85.0,81.0,87.3
"Regional School District 17","=""2170012""","All Grades","Push Up",83.9,80.3,83.6,87.3,84.0
"Regional School District 17","=""2170012""","All Grades","Sit and Reach",88.6,89.0,83.1,86.9,82.9
"Regional School District 18","=""2180012""","All Grades","All Tests - District",52.6,51.9,54.7,50.7,53.5
"Regional School District 18","=""2180012""","All Grades","Curl Up",90.2,91.3,95.7,92.6,97.2
"Regional School District 18","=""2180012""","All Grades","Mile Run",80.4,77.5,78.0,73.7,81.2
"Regional School District 18","=""2180012""","All Grades","Push Up",76.5,75.6,76.8,75.3,75.6
"Regional School District 18","=""2180012""","All Grades","Sit and Reach",77.4,73.7,81.0,78.8,68.6
"Regional School District 19","=""2190012""","All Grades","All Tests - District",62.8,55.4,46.0,52.2,62.2
"Regional School District 19","=""2190012""","All Grades","Curl Up",90.2,74.1,61.6,81.1,83.6
"Regional School District 19","=""2190012""","All Grades","Mile Run",67.9,60.9,86.4,63.6,73.3
"Regional School District 19","=""2190012""","All Grades","Push Up",85.0,73.8,82.3,78.9,82.4
"Regional School District 19","=""2190012""","All Grades","Sit and Reach",89.3,67.0,88.4,87.7,86.3
"Ridgefield School District","=""1180011""","All Grades","All Tests - District",63.7,62.0,60.6,62.6,64.7
"Ridgefield School District","=""1180011""","All Grades","Curl Up",93.3,90.5,93.9,92.6,94.4
"Ridgefield School District","=""1180011""","All Grades","Mile Run",81.0,79.4,78.1,82.5,82.5
"Ridgefield School District","=""1180011""","All Grades","Push Up",85.2,83.0,84.8,80.3,81.6
"Ridgefield School District","=""1180011""","All Grades","Sit and Reach",85.0,83.2,82.9,84.9,85.1
"Rocky Hill School District","=""1190011""","All Grades","All Tests - District",66.7,68.4,66.6,67.0,61.6
"Rocky Hill School District","=""1190011""","All Grades","Curl Up",83.6,89.3,91.7,88.9,88.6
"Rocky Hill School District","=""1190011""","All Grades","Mile Run",84.5,81.9,87.3,83.9,80.2
"Rocky Hill School District","=""1190011""","All Grades","Push Up",82.3,81.1,79.8,83.8,79.5
"Rocky Hill School District","=""1190011""","All Grades","Sit and Reach",92.2,92.4,93.7,89.7,89.3
"Salem School District","=""1210011""","All Grades","All Tests - District",50.0,56.5,25.2,49.7,58.5
"Salem School District","=""1210011""","All Grades","Curl Up",89.0,96.4,85.2,79.6,83.0
"Salem School District","=""1210011""","All Grades","Mile Run",68.0,76.1,71.1,62.6,73.6
"Salem School District","=""1210011""","All Grades","Push Up",64.0,65.2,60.0,54.4,61.3
"Salem School District","=""1210011""","All Grades","Sit and Reach",87.2,87.7,85.9,91.2,88.7
"Salisbury School District","=""1220011""","All Grades","All Tests - District",48.9,62.2,48.1,27.5,34.9
"Salisbury School District","=""1220011""","All Grades","Curl Up",72.8,73.5,63.2,75.4,69.9
"Salisbury School District","=""1220011""","All Grades","Mile Run",93.5,82.7,84.9,71.0,74.7
"Salisbury School District","=""1220011""","All Grades","Push Up",72.8,80.6,67.0,81.2,77.1
"Salisbury School District","=""1220011""","All Grades","Sit and Reach",85.9,91.8,87.7,42.0,51.8
"Scotland School District","=""1230011""","All Grades","All Tests - District",54.8,55.3,41.4,20.0,44.1
"Scotland School District","=""1230011""","All Grades","Curl Up",96.8,94.7,82.8,77.1,85.3
"Scotland School District","=""1230011""","All Grades","Mile Run",87.1,89.5,89.7,80.0,94.1
"Scotland School District","=""1230011""","All Grades","Push Up",61.3,57.9,48.3,45.7,44.1
"Scotland School District","=""1230011""","All Grades","Sit and Reach",87.1,92.1,86.2,85.7,88.2
"Seymour School District","=""1240011""","All Grades","All Tests - District",52.9,54.8,56.5,57.7,53.9
"Seymour School District","=""1240011""","All Grades","Curl Up",95.8,86.6,92.7,91.1,83.2
"Seymour School District","=""1240011""","All Grades","Mile Run",67.1,75.6,79.3,78.8,80.3
"Seymour School District","=""1240011""","All Grades","Push Up",68.3,64.6,72.2,73.4,74.4
"Seymour School District","=""1240011""","All Grades","Sit and Reach",83.9,78.6,74.9,76.2,71.5
"Sharon School District","=""1250011""","All Grades","All Tests - District",40.7,62.0,41.2,34.9,28.9
"Sharon School District","=""1250011""","All Grades","Curl Up",90.7,87.3,98.0,68.3,40.0
"Sharon School District","=""1250011""","All Grades","Mile Run",50.0,76.1,54.9,66.7,68.9
"Sharon School District","=""1250011""","All Grades","Push Up",57.4,71.8,54.9,65.1,68.9
"Sharon School District","=""1250011""","All Grades","Sit and Reach",77.8,87.3,92.2,84.1,51.1
"Shelton School District","=""1260011""","All Grades","All Tests - District",59.7,57.5,60.7,56.7,60.8
"Shelton School District","=""1260011""","All Grades","Curl Up",89.9,91.9,91.5,86.5,87.4
"Shelton School District","=""1260011""","All Grades","Mile Run",79.1,79.3,80.2,80.9,82.7
"Shelton School District","=""1260011""","All Grades","Push Up",78.0,79.3,77.9,73.5,74.4
"Shelton School District","=""1260011""","All Grades","Sit and Reach",83.9,84.2,86.3,81.3,88.2
"Sherman School District","=""1270011""","All Grades","All Tests - District",48.9,52.7,62.0,70.5,53.4
"Sherman School District","=""1270011""","All Grades","Curl Up",66.4,76.7,80.6,83.8,77.1
"Sherman School District","=""1270011""","All Grades","Mile Run",85.4,83.7,85.3,89.5,76.3
"Sherman School District","=""1270011""","All Grades","Push Up",70.8,79.1,82.9,85.7,68.6
"Sherman School District","=""1270011""","All Grades","Sit and Reach",84.7,82.9,90.7,87.6,82.2
"Side By Side Charter School District","=""2700013""","All Grades","All Tests - District",51.5,71.0,63.6,75.8,47.7
"Side By Side Charter School District","=""2700013""","All Grades","Curl Up",92.4,91.9,92.4,88.7,81.5
"Side By Side Charter School District","=""2700013""","All Grades","Mile Run",56.1,75.8,74.2,85.5,60.0
"Side By Side Charter School District","=""2700013""","All Grades","Push Up",83.3,91.9,77.3,88.7,73.8
"Side By Side Charter School District","=""2700013""","All Grades","Sit and Reach",90.9,95.2,92.4,95.2,90.8
"Simsbury School District","=""1280011""","All Grades","All Tests - District",67.8,63.8,63.6,58.3,57.5
"Simsbury School District","=""1280011""","All Grades","Curl Up",87.8,87.3,90.2,93.6,79.0
"Simsbury School District","=""1280011""","All Grades","Mile Run",82.9,84.5,80.5,73.7,83.1
"Simsbury School District","=""1280011""","All Grades","Push Up",84.8,82.8,84.3,84.7,81.3
"Simsbury School District","=""1280011""","All Grades","Sit and Reach",90.1,87.1,85.2,81.7,85.7
"Somers School District","=""1290011""","All Grades","All Tests - District",59.7,59.6,49.6,54.9,51.5
"Somers School District","=""1290011""","All Grades","Curl Up",81.8,83.0,65.4,74.8,80.3
"Somers School District","=""1290011""","All Grades","Mile Run",78.0,75.2,76.1,80.3,76.2
"Somers School District","=""1290011""","All Grades","Push Up",79.0,78.3,72.1,68.3,74.6
"Somers School District","=""1290011""","All Grades","Sit and Reach",86.6,86.2,81.6,87.1,89.1
"South Windsor School District","=""1320011""","All Grades","All Tests - District",47.1,57.1,55.9,52.4,56.4
"South Windsor School District","=""1320011""","All Grades","Curl Up",87.7,91.5,84.3,89.9,86.9
"South Windsor School District","=""1320011""","All Grades","Mile Run",75.5,79.5,80.1,78.1,82.6
"South Windsor School District","=""1320011""","All Grades","Push Up",74.3,82.4,78.7,79.0,81.4
"South Windsor School District","=""1320011""","All Grades","Sit and Reach",75.5,81.7,78.8,75.3,82.3
"Southington School District","=""1310011""","All Grades","All Tests - District",53.5,56.5,54.1,61.1,55.1
"Southington School District","=""1310011""","All Grades","Curl Up",84.2,86.2,82.9,87.2,85.3
"Southington School District","=""1310011""","All Grades","Mile Run",74.0,74.9,66.2,71.6,71.6
"Southington School District","=""1310011""","All Grades","Push Up",81.1,79.3,75.8,82.2,80.3
"Southington School District","=""1310011""","All Grades","Sit and Reach",85.9,84.7,83.1,87.4,82.6
"Sprague School District","=""1330011""","All Grades","All Tests - District",49.5,55.9,59.8,53.6,58.2
"Sprague School District","=""1330011""","All Grades","Curl Up",56.0,70.3,66.4,69.1,70.9
"Sprague School District","=""1330011""","All Grades","Mile Run",98.9,91.0,90.7,82.7,90.0
"Sprague School District","=""1330011""","All Grades","Push Up",81.3,65.8,72.9,71.8,73.6
"Sprague School District","=""1330011""","All Grades","Sit and Reach",98.9,87.4,82.2,87.3,85.5
"Stafford School District","=""1340011""","All Grades","All Tests - District",41.0,44.6,46.3,40.8,42.0
"Stafford School District","=""1340011""","All Grades","Curl Up",80.7,76.8,82.7,72.9,79.7
"Stafford School District","=""1340011""","All Grades","Mile Run",64.0,71.6,69.7,70.7,67.0
"Stafford School District","=""1340011""","All Grades","Push Up",56.5,58.4,63.8,54.0,56.4
"Stafford School District","=""1340011""","All Grades","Sit and Reach",81.7,82.5,81.8,81.2,80.0
"Stamford Academy District","=""2820013""","All Grades","All Tests - District","*","*",23.3,"*","*"
"Stamford Academy District","=""2820013""","All Grades","Curl Up",76.9,88.5,83.3,81.0,51.6
"Stamford Academy District","=""2820013""","All Grades","Mile Run","*","*",30.0,"*",32.3
"Stamford Academy District","=""2820013""","All Grades","Push Up",26.9,50.0,30.0,90.5,45.2
"Stamford Academy District","=""2820013""","All Grades","Sit and Reach",69.2,80.8,86.7,61.9,41.9
"Stamford School District","=""1350011""","All Grades","All Tests - District",36.0,40.8,38.7,46.3,36.1
"Stamford School District","=""1350011""","All Grades","Curl Up",84.7,84.7,81.9,77.9,78.5
"Stamford School District","=""1350011""","All Grades","Mile Run",49.8,56.6,57.0,90.3,68.4
"Stamford School District","=""1350011""","All Grades","Push Up",71.8,74.9,71.0,63.6,67.9
"Stamford School District","=""1350011""","All Grades","Sit and Reach",83.3,85.3,83.1,84.5,85.8
"Sterling School District","=""1360011""","All Grades","All Tests - District",79.6,74.2,74.2,57.9,77.0
"Sterling School District","=""1360011""","All Grades","Curl Up",96.1,93.1,93.1,78.0,97.0
"Sterling School District","=""1360011""","All Grades","Mile Run",94.1,88.1,88.1,88.1,90.4
"Sterling School District","=""1360011""","All Grades","Push Up",80.3,79.9,79.9,73.0,83.0
"Sterling School District","=""1360011""","All Grades","Sit and Reach",99.3,100.0,100.0,87.4,99.3
"Stonington School District","=""1370011""","All Grades","All Tests - District",67.6,66.3,65.7,65.3,63.0
"Stonington School District","=""1370011""","All Grades","Curl Up",94.5,90.8,91.6,92.9,93.3
"Stonington School District","=""1370011""","All Grades","Mile Run",88.0,87.9,84.9,81.2,84.8
"Stonington School District","=""1370011""","All Grades","Push Up",77.9,78.7,78.7,78.8,76.2
"Stonington School District","=""1370011""","All Grades","Sit and Reach",90.4,91.5,91.9,88.6,86.3
"Stratford School District","=""1380011""","All Grades","All Tests - District",53.8,55.1,64.2,60.2,57.0
"Stratford School District","=""1380011""","All Grades","Curl Up",90.2,91.7,90.6,88.8,85.3
"Stratford School District","=""1380011""","All Grades","Mile Run",63.4,65.4,76.2,78.2,75.1
"Stratford School District","=""1380011""","All Grades","Push Up",81.3,81.7,82.4,79.4,78.7
"Stratford School District","=""1380011""","All Grades","Sit and Reach",85.2,88.8,86.8,84.3,86.5
"Suffield School District","=""1390011""","All Grades","All Tests - District",57.1,44.3,50.1,49.9,47.0
"Suffield School District","=""1390011""","All Grades","Curl Up",81.9,74.1,78.6,80.9,80.4
"Suffield School District","=""1390011""","All Grades","Mile Run",80.7,79.6,83.1,75.5,81.1
"Suffield School District","=""1390011""","All Grades","Push Up",76.1,68.5,70.1,67.6,63.8
"Suffield School District","=""1390011""","All Grades","Sit and Reach",85.4,81.7,80.3,83.3,82.6
"The Bridge Academy District","=""2690013""","All Grades","All Tests - District",68.7,19.1,28.9,31.9,34.4
"The Bridge Academy District","=""2690013""","All Grades","Curl Up",91.6,46.8,62.9,73.4,86.0
"The Bridge Academy District","=""2690013""","All Grades","Mile Run",89.2,43.6,37.1,46.8,36.6
"The Bridge Academy District","=""2690013""","All Grades","Push Up",84.3,63.8,56.7,73.4,77.4
"The Bridge Academy District","=""2690013""","All Grades","Sit and Reach",81.9,72.3,77.3,88.3,97.8
"The Gilbert School District","=""9020022""","All Grades","All Tests - District",41.6,28.8,35.7,31.8,40.0
"The Gilbert School District","=""9020022""","All Grades","Curl Up",74.0,76.3,82.1,48.9,81.4
"The Gilbert School District","=""9020022""","All Grades","Mile Run",60.1,51.9,50.0,71.0,60.0
"The Gilbert School District","=""9020022""","All Grades","Push Up",65.9,58.8,61.3,63.6,67.6
"The Gilbert School District","=""9020022""","All Grades","Sit and Reach",71.1,75.6,66.1,76.1,71.0
"Thomaston School District","=""1400011""","All Grades","All Tests - District",51.9,49.1,49.2,42.0,37.5
"Thomaston School District","=""1400011""","All Grades","Curl Up",81.5,90.1,82.1,71.5,81.8
"Thomaston School District","=""1400011""","All Grades","Mile Run",82.8,85.7,77.5,76.8,80.2
"Thomaston School District","=""1400011""","All Grades","Push Up",59.7,65.2,61.8,53.6,45.5
"Thomaston School District","=""1400011""","All Grades","Sit and Reach",93.8,78.9,88.2,78.4,77.5
"Thompson School District","=""1410011""","All Grades","All Tests - District",33.6,31.8,42.3,42.3,43.1
"Thompson School District","=""1410011""","All Grades","Curl Up",75.4,79.8,63.7,79.2,82.3
"Thompson School District","=""1410011""","All Grades","Mile Run",52.0,56.1,65.7,60.9,63.2
"Thompson School District","=""1410011""","All Grades","Push Up",55.6,56.4,76.3,54.0,59.7
"Thompson School District","=""1410011""","All Grades","Sit and Reach",77.5,82.6,84.0,84.7,89.2
"Tolland School District","=""1420011""","All Grades","All Tests - District",56.0,62.6,60.2,58.6,58.2
"Tolland School District","=""1420011""","All Grades","Curl Up",96.0,95.5,97.0,96.2,94.1
"Tolland School District","=""1420011""","All Grades","Mile Run",76.8,82.6,80.4,78.1,78.4
"Tolland School District","=""1420011""","All Grades","Push Up",74.0,80.0,74.4,72.2,74.7
"Tolland School District","=""1420011""","All Grades","Sit and Reach",81.3,84.4,85.6,82.2,82.3
"Torrington School District","=""1430011""","All Grades","All Tests - District",46.2,34.3,44.2,40.0,42.6
"Torrington School District","=""1430011""","All Grades","Curl Up",84.8,56.1,64.3,85.3,72.6
"Torrington School District","=""1430011""","All Grades","Mile Run",60.4,71.7,77.5,55.8,68.9
"Torrington School District","=""1430011""","All Grades","Push Up",71.8,62.6,69.0,67.1,70.7
"Torrington School District","=""1430011""","All Grades","Sit and Reach",81.8,83.7,84.5,80.7,88.3
"Trailblazers Academy District","=""2780013""","All Grades","All Tests - District",73.0,73.7,39.0,39.0,29.9
"Trailblazers Academy District","=""2780013""","All Grades","Curl Up",76.6,79.7,77.0,77.0,88.5
"Trailblazers Academy District","=""2780013""","All Grades","Mile Run",76.6,82.2,62.0,62.0,52.9
"Trailblazers Academy District","=""2780013""","All Grades","Push Up",82.9,73.7,61.0,61.0,58.6
"Trailblazers Academy District","=""2780013""","All Grades","Sit and Reach",75.7,79.7,98.0,98.0,86.2
"Trumbull School District","=""1440011""","All Grades","All Tests - District",60.7,65.2,64.4,65.5,63.3
"Trumbull School District","=""1440011""","All Grades","Curl Up",90.7,91.1,89.9,87.3,88.3
"Trumbull School District","=""1440011""","All Grades","Mile Run",82.0,82.4,83.5,82.7,83.8
"Trumbull School District","=""1440011""","All Grades","Push Up",79.8,85.0,82.0,85.4,80.5
"Trumbull School District","=""1440011""","All Grades","Sit and Reach",82.9,86.5,88.2,87.7,85.8
"Union School District","=""1450011""","All Grades","All Tests - District",92.9,100.0,82.6,91.4,85.0
"Union School District","=""1450011""","All Grades","Curl Up",92.9,100.0,95.7,100.0,100.0
"Union School District","=""1450011""","All Grades","Mile Run",100.0,100.0,91.3,91.4,90.0
"Union School District","=""1450011""","All Grades","Push Up",100.0,100.0,100.0,100.0,100.0
"Union School District","=""1450011""","All Grades","Sit and Reach",100.0,100.0,95.7,100.0,95.0
"Vernon School District","=""1460011""","All Grades","All Tests - District",57.5,54.5,54.1,56.2,51.0
"Vernon School District","=""1460011""","All Grades","Curl Up",79.6,82.0,83.1,88.6,83.9
"Vernon School District","=""1460011""","All Grades","Mile Run",76.1,70.6,68.3,66.1,58.1
"Vernon School District","=""1460011""","All Grades","Push Up",79.8,80.7,77.8,78.0,76.2
"Vernon School District","=""1460011""","All Grades","Sit and Reach",89.6,90.6,89.4,91.9,84.0
"Voluntown School District","=""1470011""","All Grades","All Tests - District",43.0,75.0,66.7,58.6,49.4
"Voluntown School District","=""1470011""","All Grades","Curl Up",94.2,93.8,91.4,91.9,92.9
"Voluntown School District","=""1470011""","All Grades","Mile Run",47.7,96.3,82.7,79.8,55.3
"Voluntown School District","=""1470011""","All Grades","Push Up",82.6,78.8,76.5,81.8,82.4
"Voluntown School District","=""1470011""","All Grades","Sit and Reach",96.5,97.5,95.1,92.9,97.6
"Wallingford School District","=""1480011""","All Grades","All Tests - District",42.0,41.0,47.1,43.5,43.0
"Wallingford School District","=""1480011""","All Grades","Curl Up",83.2,86.9,83.0,81.2,87.4
"Wallingford School District","=""1480011""","All Grades","Mile Run",61.7,62.5,69.9,67.5,67.0
"Wallingford School District","=""1480011""","All Grades","Push Up",72.4,70.1,69.0,63.1,68.4
"Wallingford School District","=""1480011""","All Grades","Sit and Reach",80.7,72.9,79.8,79.8,77.1
"Waterbury School District","=""1510011""","All Grades","All Tests - District",41.8,43.2,41.6,45.0,44.0
"Waterbury School District","=""1510011""","All Grades","Curl Up",83.4,83.3,78.4,81.9,79.4
