"Chronic Absenteeism, 2013-14"
", All Schools, Race/Ethnicity"

"District","District Code","School","School Code","Race/Ethnicity","% Chronically Absent"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Black or African American","*"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Hispanic/Latino of any race",9.7
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Two or More Races","*"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","White",4.2
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","American Indian or Alaska Native","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Asian",0.0
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Black or African American","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Hispanic/Latino of any race","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Two or More Races","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","White",5.7
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","American Indian or Alaska Native","*"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Asian","*"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Black or African American","*"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Hispanic/Latino of any race","*"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Two or More Races","*"
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","White",2.4
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","American Indian or Alaska Native","*"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Asian","*"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Black or African American","*"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Hispanic/Latino of any race","*"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Two or More Races","*"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","White",1.7
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","American Indian or Alaska Native","*"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Asian","*"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Hispanic/Latino of any race","*"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Native Hawaiian or Other Pacific Islander","*"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Two or More Races","*"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","White",2.3
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","American Indian or Alaska Native","*"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Asian","*"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Black or African American","*"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Hispanic/Latino of any race","*"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Two or More Races","*"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","White",8.3
"Montville School District","=""0860011""","Mohegan School","=""0860111""","American Indian or Alaska Native","*"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Asian","*"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Black or African American","*"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Hispanic/Latino of any race","*"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Native Hawaiian or Other Pacific Islander","*"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Two or More Races","*"
"Montville School District","=""0860011""","Mohegan School","=""0860111""","White",7.3
"Montville School District","=""0860011""","Montville High School","=""0866111""","American Indian or Alaska Native","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""","Asian","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""","Black or African American","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""","Hispanic/Latino of any race","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""","Native Hawaiian or Other Pacific Islander","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""","Two or More Races",28.9
"Montville School District","=""0860011""","Montville High School","=""0866111""","White",8.1
"Montville School District","=""0860011""","Oakdale School","=""0860511""","American Indian or Alaska Native","*"
"Montville School District","=""0860011""","Oakdale School","=""0860511""","Asian","*"
"Montville School District","=""0860011""","Oakdale School","=""0860511""","Black or African American","*"
"Montville School District","=""0860011""","Oakdale School","=""0860511""","Hispanic/Latino of any race",0.0
"Montville School District","=""0860011""","Oakdale School","=""0860511""","Two or More Races","*"
"Montville School District","=""0860011""","Oakdale School","=""0860511""","White",3.8
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","American Indian or Alaska Native","*"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","Hispanic/Latino of any race","*"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","Two or More Races","*"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","White","*"
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","Asian","*"
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","Black or African American","*"
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","Hispanic/Latino of any race","*"
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","Two or More Races","*"
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","White",5.8
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","American Indian or Alaska Native","*"
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","Asian","*"
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","Black or African American",13.0
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","Hispanic/Latino of any race",14.5
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","Native Hawaiian or Other Pacific Islander","*"
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","Two or More Races","*"
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","White",12.4
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""","Asian","*"
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""","Black or African American","*"
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""","Hispanic/Latino of any race",16.4
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""","Two or More Races","*"
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""","White",6.1
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""","Asian","*"
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""","Black or African American",0.0
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""","Hispanic/Latino of any race","*"
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""","Two or More Races","*"
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""","White",5.9
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""","American Indian or Alaska Native","*"
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""","Asian","*"
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""","Black or African American","*"
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""","Hispanic/Latino of any race",8.8
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""","Two or More Races","*"
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""","White",6.0
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""","American Indian or Alaska Native","*"
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""","Asian","*"
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""","Black or African American","*"
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""","Hispanic/Latino of any race",13.9
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""","Two or More Races","*"
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""","White",6.3
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","American Indian or Alaska Native","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","Asian","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","Black or African American",23.7
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","Hispanic/Latino of any race",28.1
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","Native Hawaiian or Other Pacific Islander","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","Two or More Races",31.4
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","White",24.9
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","Asian","*"
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","Black or African American",0.0
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","Hispanic/Latino of any race",17.1
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","Native Hawaiian or Other Pacific Islander","*"
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","Two or More Races","*"
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","White",6.8
"Naugatuck School District","=""0880011""","Western School","=""0880711""","American Indian or Alaska Native","*"
"Naugatuck School District","=""0880011""","Western School","=""0880711""","Asian","*"
"Naugatuck School District","=""0880011""","Western School","=""0880711""","Black or African American","*"
"Naugatuck School District","=""0880011""","Western School","=""0880711""","Hispanic/Latino of any race",11.3
"Naugatuck School District","=""0880011""","Western School","=""0880711""","Two or More Races","*"
"Naugatuck School District","=""0880011""","Western School","=""0880711""","White","*"
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""","Black or African American",10.5
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""","Hispanic/Latino of any race","*"
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""","Two or More Races","*"
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""","White","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","Black or African American","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","Hispanic/Latino of any race",0.0
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","White","*"
"New Britain School District","=""0890011""","CLIMB","=""0899411""","Black or African American","*"
"New Britain School District","=""0890011""","CLIMB","=""0899411""","Hispanic/Latino of any race","*"
"New Britain School District","=""0890011""","CLIMB","=""0899411""","White","*"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","Asian","*"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","Black or African American",14.6
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","Hispanic/Latino of any race",15.2
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","Two or More Races","*"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","White",14.1
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","American Indian or Alaska Native","*"
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","Asian","*"
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","Black or African American","*"
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","Hispanic/Latino of any race",11.6
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","Two or More Races","*"
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","White","*"
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","Asian","*"
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","Black or African American","*"
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","Hispanic/Latino of any race",14.0
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","Two or More Races","*"
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","White",10.6
"New Britain School District","=""0890011""","Holmes School","=""0890611""","American Indian or Alaska Native","*"
"New Britain School District","=""0890011""","Holmes School","=""0890611""","Asian","*"
"New Britain School District","=""0890011""","Holmes School","=""0890611""","Black or African American",0.0
"New Britain School District","=""0890011""","Holmes School","=""0890611""","Hispanic/Latino of any race",14.1
"New Britain School District","=""0890011""","Holmes School","=""0890611""","Native Hawaiian or Other Pacific Islander","*"
"New Britain School District","=""0890011""","Holmes School","=""0890611""","Two or More Races","*"
"New Britain School District","=""0890011""","Holmes School","=""0890611""","White",4.5
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Asian","*"
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Black or African American","*"
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Hispanic/Latino of any race","*"
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Two or More Races","*"
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","White","*"
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","Asian","*"
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","Black or African American","*"
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","Hispanic/Latino of any race",9.5
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","Two or More Races","*"
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","White","*"
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","American Indian or Alaska Native","*"
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","Asian","*"
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","Black or African American",13.2
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","Hispanic/Latino of any race",19.1
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","Two or More Races","*"
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","White",5.5
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","American Indian or Alaska Native","*"
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Asian",20.0
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Black or African American",29.7
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Hispanic/Latino of any race",42.3
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Native Hawaiian or Other Pacific Islander","*"
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Two or More Races",33.3
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","White",27.1
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Black or African American","*"
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Hispanic/Latino of any race",0.0
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Two or More Races","*"
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","White","*"
"New Britain School District","=""0890011""","Northend School","=""0890911""","American Indian or Alaska Native","*"
"New Britain School District","=""0890011""","Northend School","=""0890911""","Asian","*"
"New Britain School District","=""0890011""","Northend School","=""0890911""","Black or African American","*"
"New Britain School District","=""0890011""","Northend School","=""0890911""","Hispanic/Latino of any race",12.8
"New Britain School District","=""0890011""","Northend School","=""0890911""","Two or More Races","*"
"New Britain School District","=""0890011""","Northend School","=""0890911""","White","*"
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","American Indian or Alaska Native","*"
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","Asian","*"
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","Black or African American",17.2
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","Hispanic/Latino of any race",26.8
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","Two or More Races","*"
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","White",15.7
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""","Asian","*"
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""","Black or African American",16.5
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""","Hispanic/Latino of any race",26.7
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""","Two or More Races","*"
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""","White","*"
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","Asian","*"
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","Black or African American",12.0
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","Hispanic/Latino of any race",19.8
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","Two or More Races","*"
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","White",17.4
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","Asian","*"
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","Black or African American",9.0
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","Hispanic/Latino of any race",19.2
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","Two or More Races","*"
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","White","*"
"New Britain School District","=""0890011""","Smith School","=""0891311""","American Indian or Alaska Native","*"
"New Britain School District","=""0890011""","Smith School","=""0891311""","Asian","*"
"New Britain School District","=""0890011""","Smith School","=""0891311""","Black or African American","*"
"New Britain School District","=""0890011""","Smith School","=""0891311""","Hispanic/Latino of any race",8.3
"New Britain School District","=""0890011""","Smith School","=""0891311""","Native Hawaiian or Other Pacific Islander","*"
"New Britain School District","=""0890011""","Smith School","=""0891311""","Two or More Races","*"
"New Britain School District","=""0890011""","Smith School","=""0891311""","White","*"
"New Britain School District","=""0890011""","Vance School","=""0891511""","Asian","*"
"New Britain School District","=""0890011""","Vance School","=""0891511""","Black or African American","*"
"New Britain School District","=""0890011""","Vance School","=""0891511""","Hispanic/Latino of any race",12.2
"New Britain School District","=""0890011""","Vance School","=""0891511""","Two or More Races","*"
"New Britain School District","=""0890011""","Vance School","=""0891511""","White",5.4
"New Canaan School District","=""0900011""","East School","=""0900411""","American Indian or Alaska Native","*"
"New Canaan School District","=""0900011""","East School","=""0900411""","Asian",0.0
"New Canaan School District","=""0900011""","East School","=""0900411""","Black or African American","*"
"New Canaan School District","=""0900011""","East School","=""0900411""","Hispanic/Latino of any race",0.0
"New Canaan School District","=""0900011""","East School","=""0900411""","Two or More Races","*"
"New Canaan School District","=""0900011""","East School","=""0900411""","White",4.5
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","American Indian or Alaska Native","*"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","Asian","*"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","Black or African American",0.0
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","Hispanic/Latino of any race",0.0
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","Native Hawaiian or Other Pacific Islander","*"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","Two or More Races","*"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","White",3.0
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","American Indian or Alaska Native","*"
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","Asian","*"
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","Black or African American","*"
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","Hispanic/Latino of any race","*"
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","Two or More Races",0.0
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","White",3.8
"New Canaan School District","=""0900011""","South School","=""0900211""","Asian",0.0
"New Canaan School District","=""0900011""","South School","=""0900211""","Black or African American","*"
"New Canaan School District","=""0900011""","South School","=""0900211""","Hispanic/Latino of any race",0.0
"New Canaan School District","=""0900011""","South School","=""0900211""","Two or More Races","*"
"New Canaan School District","=""0900011""","South School","=""0900211""","White","*"
"New Canaan School District","=""0900011""","West School","=""0900311""","American Indian or Alaska Native","*"
"New Canaan School District","=""0900011""","West School","=""0900311""","Asian","*"
"New Canaan School District","=""0900011""","West School","=""0900311""","Black or African American","*"
"New Canaan School District","=""0900011""","West School","=""0900311""","Hispanic/Latino of any race","*"
"New Canaan School District","=""0900011""","West School","=""0900311""","Two or More Races","*"
"New Canaan School District","=""0900011""","West School","=""0900311""","White","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","American Indian or Alaska Native","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","Asian","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","Black or African American","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","Hispanic/Latino of any race","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","Two or More Races","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","White",3.8
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","American Indian or Alaska Native","*"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","Asian","*"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","Black or African American","*"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","Hispanic/Latino of any race",0.0
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","Two or More Races","*"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","White","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Asian","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Black or African American","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Hispanic/Latino of any race","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Two or More Races","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","White",6.0
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","American Indian or Alaska Native","*"
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","Asian","*"
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","Black or African American","*"
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","Hispanic/Latino of any race","*"
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","Two or More Races","*"
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","White",4.1
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","Asian","*"
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","Black or African American","*"
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","Hispanic/Latino of any race","*"
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","Two or More Races","*"
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","White",5.1
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""","Asian","*"
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""","Hispanic/Latino of any race","*"
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""","Two or More Races","*"
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""","White","*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","Asian","*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","Hispanic/Latino of any race","*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","White","*"
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","American Indian or Alaska Native","*"
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Asian","*"
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Black or African American",11.8
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Hispanic/Latino of any race",9.0
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Two or More Races","*"
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","White",6.1
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","American Indian or Alaska Native","*"
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Asian","*"
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Black or African American","*"
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Hispanic/Latino of any race",18.2
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Native Hawaiian or Other Pacific Islander","*"
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Two or More Races","*"
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","White",12.5
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","Asian","*"
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","Black or African American",15.0
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","Hispanic/Latino of any race",22.6
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","White","*"
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Asian","*"
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Black or African American",14.6
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Hispanic/Latino of any race",14.8
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Two or More Races","*"
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","White","*"
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Asian","*"
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Black or African American",23.1
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Hispanic/Latino of any race","*"
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Two or More Races","*"
"New Haven School District","=""0930011""","Beecher School","=""0930311""","White",31.7
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","American Indian or Alaska Native","*"
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Asian","*"
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Black or African American",13.5
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Hispanic/Latino of any race",12.7
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Native Hawaiian or Other Pacific Islander","*"
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Two or More Races","*"
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","White",13.7
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Asian","*"
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Black or African American",10.9
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Hispanic/Latino of any race",14.2
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Two or More Races","*"
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","White",12.3
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Asian","*"
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Black or African American",23.6
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Hispanic/Latino of any race",27.2
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Native Hawaiian or Other Pacific Islander","*"
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","White",17.5
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Asian","*"
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Black or African American",12.6
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Hispanic/Latino of any race",15.1
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Two or More Races","*"
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","White",18.8
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""","Asian","*"
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""","Black or African American","*"
