"Chronic Absenteeism, Trend"
", All Schools, English Learner Status"

"",,,,,"% Chronically Absent",,,,
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Native Hawaiian or Other Pacific Islander","*","N/A","N/A","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Non-ELL",44.9,43.8,41.2,52.9,44.1
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Non-Special Education",45.7,42.9,39.1,50.2,42.1
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","School",47.6,44.2,41.3,52.1,44.7
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Special Education",54.8,49.5,51.0,64.9,56.7
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Two or More Races",44.9,46.4,"*","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Grade   9",49.0,49.6,46.8,54.5,47.8
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Grade 10",44.7,32.7,29.5,46.4,38.9
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Not Eligible For Lunch","N/A","*","N/A",38.4,21.7
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","White",30.0,"*",27.3,35.0,"*"
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","N/A"
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","American Indian or Alaska Native","*","*","*","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Asian","*","*","*","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Black or African American",44.3,53.1,36.4,51.6,52.0
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","ELL",42.3,48.1,52.1,46.4,37.4
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Eligible For Free Lunch",47.9,50.8,52.0,53.5,52.2
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Female",52.4,53.7,50.6,57.8,48.7
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Hispanic/Latino of any race",53.3,55.0,60.0,55.3,51.4
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Male",44.0,48.3,53.5,48.6,50.0
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Native Hawaiian or Other Pacific Islander","*","*","N/A","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Non-ELL",49.3,51.4,52.2,55.5,54.4
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Non-Special Education",48.9,54.6,54.5,53.5,49.0
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","School",47.9,50.7,52.2,52.9,49.4
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Special Education",41.7,35.9,42.3,48.7,53.3
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Two or More Races","*",30.3,51.5,"*","*"
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Grade 11",48.4,52.4,57.1,53.4,55.4
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Not Eligible For Lunch","N/A","*","*","*",29.7
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","White",30.0,36.4,"*",54.1,"*"
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Grade 12",47.5,48.9,46.6,52.4,43.5
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Kindergarten",64.2,47.7,48.5,41.8,27.3
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","American Indian or Alaska Native","*","*","*","*","*"
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Asian","*","*","*","*","*"
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Black or African American",43.9,31.6,24.2,22.2,25.0
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","ELL",55.9,49.0,31.4,32.9,34.6
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Eligible For Free Lunch",49.3,44.9,32.1,34.5,34.7
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Female",46.5,41.5,31.5,33.3,32.4
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Grade   1",49.4,47.1,26.0,28.8,36.5
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Grade   2",43.1,52.5,36.5,26.0,27.9
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Grade   3",39.4,36.5,37.1,45.1,29.2
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Grade   4",40.4,32.8,29.3,39.7,27.9
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Grade   5",33.3,42.4,16.9,27.6,40.0
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Grade   6",28.8,39.1,36.4,37.3,49.1
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Grade   7",79.7,50.0,36.5,33.9,37.9
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Grade   8",62.0,56.1,19.0,30.6,32.7
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Hispanic/Latino of any race",49.6,47.0,34.0,37.3,36.6
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Male",51.9,48.3,32.7,35.6,35.6
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Native Hawaiian or Other Pacific Islander","N/A","*","*","*","*"
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Non-ELL",43.9,41.0,32.7,36.1,33.8
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Non-Special Education",47.5,42.2,31.6,31.8,29.9
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","School",49.3,44.9,32.1,34.6,34.1
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Special Education",59.1,61.3,35.1,49.4,54.0
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Two or More Races","*","*","*","*","*"
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Not Eligible For Lunch","N/A","N/A","N/A",36.0,"*"
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","White","*","*","*","*","*"
"Hartford School District","=""0640011""","Burr School","=""0642311""","Kindergarten",26.3,17.4,35.7,30.4,35.8
"Hartford School District","=""0640011""","Burr School","=""0642311""","American Indian or Alaska Native","*","*","*","*","*"
"Hartford School District","=""0640011""","Burr School","=""0642311""","Asian","*","*","*","*","*"
"Hartford School District","=""0640011""","Burr School","=""0642311""","Black or African American",23.0,17.0,24.0,23.2,13.8
"Hartford School District","=""0640011""","Burr School","=""0642311""","ELL",27.3,19.6,32.9,27.1,28.0
"Hartford School District","=""0640011""","Burr School","=""0642311""","Eligible For Free Lunch",25.8,18.6,27.4,25.4,23.7
"Hartford School District","=""0640011""","Burr School","=""0642311""","Female",22.8,21.3,29.6,24.3,19.7
"Hartford School District","=""0640011""","Burr School","=""0642311""","Grade   1",27.5,25.2,37.8,17.2,22.4
"Hartford School District","=""0640011""","Burr School","=""0642311""","Grade   2",22.5,23.3,23.1,25.9,"*"
"Hartford School District","=""0640011""","Burr School","=""0642311""","Grade   3",27.8,20.5,16.0,23.2,15.0
"Hartford School District","=""0640011""","Burr School","=""0642311""","Grade   4",28.8,16.9,19.7,16.3,17.1
"Hartford School District","=""0640011""","Burr School","=""0642311""","Grade   5",23.3,19.2,20.7,31.3,10.8
"Hartford School District","=""0640011""","Burr School","=""0642311""","Grade   6",20.9,22.5,30.0,20.0,41.8
"Hartford School District","=""0640011""","Burr School","=""0642311""","Grade   7",21.0,"*",19.7,38.1,29.9
"Hartford School District","=""0640011""","Burr School","=""0642311""","Grade   8",32.4,15.9,44.4,27.3,29.6
"Hartford School District","=""0640011""","Burr School","=""0642311""","Hispanic/Latino of any race",27.2,19.6,29.9,27.2,25.3
"Hartford School District","=""0640011""","Burr School","=""0642311""","Male",28.5,16.3,25.5,26.0,25.7
"Hartford School District","=""0640011""","Burr School","=""0642311""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Hartford School District","=""0640011""","Burr School","=""0642311""","Non-ELL",25.1,18.2,24.8,24.3,20.6
"Hartford School District","=""0640011""","Burr School","=""0642311""","Non-Special Education",23.1,17.4,25.0,22.7,21.3
"Hartford School District","=""0640011""","Burr School","=""0642311""","School",25.8,18.6,27.4,25.2,23.0
"Hartford School District","=""0640011""","Burr School","=""0642311""","Special Education",39.0,24.0,39.0,37.5,31.9
"Hartford School District","=""0640011""","Burr School","=""0642311""","Two or More Races","*","*","*","*","*"
"Hartford School District","=""0640011""","Burr School","=""0642311""","Not Eligible For Lunch","N/A","N/A","N/A",21.6,"*"
"Hartford School District","=""0640011""","Burr School","=""0642311""","White",15.4,17.8,18.2,"*","*"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Black or African American","N/A","N/A","N/A","*","*"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","ELL","N/A","N/A","N/A","*","*"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Eligible For Free Lunch","N/A","N/A","N/A",26.9,50.0
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Female","N/A","N/A","N/A",32.3,41.0
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Hispanic/Latino of any race","N/A","N/A","N/A",31.8,40.7
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Male","N/A","N/A","N/A","*","*"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Non-ELL","N/A","N/A","N/A",27.5,35.3
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Non-Special Education","N/A","N/A","N/A",26.3,34.0
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","School","N/A","N/A","N/A",31.0,34.0
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Special Education","N/A","N/A","N/A","*","*"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Two or More Races","N/A","N/A","N/A","*","N/A"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Grade 11","N/A","N/A","N/A",30.8,33.3
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","White","N/A","N/A","N/A","*","*"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Grade 12","N/A","N/A","N/A","*",34.5
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Kindergarten","*","*","*",0.0,0.0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","American Indian or Alaska Native","N/A","N/A","N/A","*","N/A"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Asian","*","*","*","*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Black or African American","*",3.4,11.1,3.8,3.5
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","ELL","*","*","*",0.0,"*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Eligible For Free Lunch","*",6.9,14.6,5.0,6.3
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Female","*",4.3,12.3,5.8,3.4
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Grade   1","*","*","*","*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Grade   2","*",0.0,"*","*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Grade   3",0.0,"*",0.0,0.0,"*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Grade   4",0.0,0.0,"*",0.0,"*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Grade   5","*",0.0,0.0,0.0,"*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Grade   6",0.0,"*","*","*",0.0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Grade   7",0.0,"*","*",0.0,0.0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Grade   8",0.0,"*","*","*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Hispanic/Latino of any race",0.0,"*",16.3,7.2,9.4
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Male","*",2.6,11.5,3.2,6.3
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Native Hawaiian or Other Pacific Islander","N/A","*","*","N/A","N/A"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Non-ELL","*",3.6,11.8,4.7,4.4
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Non-Special Education","*",3.4,11.3,4.5,4.4
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","School","*",3.5,11.9,4.5,4.9
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Special Education","*","*",16.2,"*",8.5
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Two or More Races",0.0,0.0,"*",0.0,"*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Grade   9","*","*",16.7,"*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Grade 10",0.0,"*",37.0,"*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Grade 11",0.0,"*",28.0,"*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Not Eligible For Lunch",0.0,"*",7.5,"*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","White",0.0,5.0,10.3,"*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Grade 12","*","*",32.1,16.3,24.0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Eligible For Reduced Lunch","*","*",17.2,9.2,"*"
"Hartford School District","=""0640011""","Clark School","=""0642411""","Kindergarten",51.1,44.0,41.7,48.8,30.8
"Hartford School District","=""0640011""","Clark School","=""0642411""","American Indian or Alaska Native","N/A","*","N/A","N/A","*"
"Hartford School District","=""0640011""","Clark School","=""0642411""","Asian","*","*","*","N/A","*"
"Hartford School District","=""0640011""","Clark School","=""0642411""","Black or African American",38.2,38.8,36.1,34.2,24.7
"Hartford School District","=""0640011""","Clark School","=""0642411""","ELL",44.1,61.5,45.6,46.5,40.8
"Hartford School District","=""0640011""","Clark School","=""0642411""","Eligible For Free Lunch",40.0,46.1,37.7,39.0,29.6
"Hartford School District","=""0640011""","Clark School","=""0642411""","Female",38.0,45.5,34.3,39.0,32.8
"Hartford School District","=""0640011""","Clark School","=""0642411""","Grade   1",45.5,63.8,39.6,18.2,43.2
"Hartford School District","=""0640011""","Clark School","=""0642411""","Grade   2",42.2,47.4,45.7,42.3,25.8
"Hartford School District","=""0640011""","Clark School","=""0642411""","Grade   3",36.7,35.9,38.3,42.2,"*"
"Hartford School District","=""0640011""","Clark School","=""0642411""","Grade   4",35.7,33.3,31.6,29.3,25.0
"Hartford School District","=""0640011""","Clark School","=""0642411""","Grade   5",30.6,36.6,20.5,48.3,30.3
"Hartford School District","=""0640011""","Clark School","=""0642411""","Grade   6",26.9,45.9,52.0,30.6,30.0
"Hartford School District","=""0640011""","Clark School","=""0642411""","Grade   7",48.4,45.2,"*","*",30.0
"Hartford School District","=""0640011""","Clark School","=""0642411""","Grade   8",35.0,65.5,50.0,50.0,"*"
"Hartford School District","=""0640011""","Clark School","=""0642411""","Hispanic/Latino of any race",41.1,53.4,40.4,42.4,31.6
"Hartford School District","=""0640011""","Clark School","=""0642411""","Male",42.0,46.7,41.4,38.0,25.4
"Hartford School District","=""0640011""","Clark School","=""0642411""","Native Hawaiian or Other Pacific Islander","N/A","*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Clark School","=""0642411""","Non-ELL",39.1,42.9,36.2,35.9,24.7
"Hartford School District","=""0640011""","Clark School","=""0642411""","Non-Special Education",40.4,44.8,33.6,36.1,26.1
"Hartford School District","=""0640011""","Clark School","=""0642411""","School",40.0,46.1,37.7,38.5,29.4
"Hartford School District","=""0640011""","Clark School","=""0642411""","Special Education",38.4,51.4,52.6,51.1,43.5
"Hartford School District","=""0640011""","Clark School","=""0642411""","Two or More Races","*","*","*","*","*"
"Hartford School District","=""0640011""","Clark School","=""0642411""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Hartford School District","=""0640011""","Clark School","=""0642411""","White","*","*","*","*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","American Indian or Alaska Native","*","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Asian","*",0.0,"*","*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Black or African American","*","*",4.4,5.9,5.8
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","ELL","*","*",0.0,"*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Eligible For Free Lunch",4.3,2.8,6.3,12.3,12.5
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Female",3.7,4.0,6.0,7.7,7.4
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Grade   6",0.0,"*","*",11.2,"*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Grade   7","*","*","*","*",7.5
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Grade   8","*","*","*","*",5.7
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Hispanic/Latino of any race",4.9,3.2,5.3,11.3,12.4
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Male",2.5,"*",2.8,7.8,8.6
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Non-ELL",3.3,3.1,4.8,7.4,7.9
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Non-Special Education",3.1,2.7,4.4,6.5,6.2
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","School",3.2,3.1,4.6,7.7,7.9
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Special Education","*","*","*",17.6,21.1
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Two or More Races","*","*",0.0,"*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Grade   9","*","*",10.4,8.6,7.2
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Grade 10",6.3,"*",6.3,12.1,6.3
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Grade 11","*","*","*",8.2,10.3
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Not Eligible For Lunch",2.7,3.7,3.9,4.3,4.2
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","White",3.8,4.9,5.6,7.7,6.2
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Grade 12",7.3,"*","*",11.0,14.6
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Eligible For Reduced Lunch","*",0.0,"*","*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","American Indian or Alaska Native","*","*","*","*","N/A"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Asian","*","*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Black or African American",48.6,63.6,53.7,54.3,61.9
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","ELL",63.6,66.7,65.1,50.0,64.0
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Eligible For Free Lunch",56.0,68.7,58.1,58.0,68.5
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Female",55.0,68.6,60.2,54.8,67.2
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Hispanic/Latino of any race",67.0,75.2,63.5,58.2,67.4
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Male",57.0,69.1,56.6,57.4,62.0
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Native Hawaiian or Other Pacific Islander","*","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Non-ELL",54.9,69.2,57.0,57.6,64.6
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Non-Special Education",52.5,68.4,57.5,56.2,64.6
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","School",56.0,68.9,58.2,56.2,64.5
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Special Education",66.2,70.6,60.7,56.4,64.1
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Two or More Races","*","*","*","*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Grade   9",63.9,67.5,56.9,54.5,61.6
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Grade 10",50.8,73.1,52.3,56.3,53.3
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Grade 11",52.3,71.2,60.8,52.5,75.0
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Not Eligible For Lunch","N/A","*","N/A","*",31.0
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","White","*","*","*","*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Grade 12",50.0,64.2,64.1,61.5,66.7
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Eligible For Reduced Lunch","N/A","*","*","*","*"
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Kindergarten",16.3,22.2,30.0,32.2,22.5
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","American Indian or Alaska Native","*","*","*","*","*"
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Asian","*","*","*","*","*"
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Black or African American",14.1,14.3,21.3,29.0,18.9
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","ELL",22.8,15.7,26.6,21.7,19.1
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Eligible For Free Lunch",18.3,16.1,22.5,22.3,20.6
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Female",18.9,16.8,25.9,19.6,18.2
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Grade   1",23.2,13.3,22.2,23.2,23.1
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Grade   2",26.6,"*",21.0,23.5,16.2
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Grade   3",16.9,10.4,14.6,11.3,13.3
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Grade   4","*",16.7,7.7,9.1,9.0
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Grade   5",12.0,14.8,20.0,15.5,13.2
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Grade   6","*",11.9,28.6,23.8,23.1
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Grade   7",25.7,21.6,32.8,26.7,33.9
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Grade   8",31.9,24.0,33.9,35.1,30.2
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Hispanic/Latino of any race",24.3,21.5,27.7,28.0,24.7
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Male",17.8,15.3,19.4,24.1,21.0
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Native Hawaiian or Other Pacific Islander","N/A","N/A","*","*","*"
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Non-ELL",17.2,16.2,21.3,22.0,19.8
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Non-Special Education",15.7,13.3,20.5,18.2,17.5
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","School",18.3,16.1,22.5,21.9,19.6
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Special Education",36.5,37.3,38.2,46.0,33.3
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Two or More Races","*",14.9,"*","*","*"
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Not Eligible For Lunch","N/A","*","N/A",16.3,"*"
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","White",5.6,"*",12.2,8.1,4.8
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Asian","*","*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Black or African American","*","*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","ELL","*","*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Eligible For Free Lunch",19.0,"*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Female",16.2,0.0,"N/A","N/A","N/A"
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Grade   7",14.0,"N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Grade   8",21.9,"*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Hispanic/Latino of any race",17.9,"*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Male",21.2,"*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Non-ELL",22.0,"*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Non-Special Education",17.6,"*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","School",19.0,"*","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Special Education",23.5,"*","N/A","N/A","N/A"
