"Chronic Absenteeism, 2014-15"
", All Schools, Gender"

"District","District Code","School","School Code","Gender","% Chronically Absent"
"New Britain School District","=""0890011""","Holmes School","=""0890611""","Male",10.1
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Female","*"
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Male","*"
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","Female",6.4
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","Male",5.5
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","Female",14.3
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","Male",16.2
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Female",42.6
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Male",36.3
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Female",0.0
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Male",0.0
"New Britain School District","=""0890011""","Northend School","=""0890911""","Female",15.3
"New Britain School District","=""0890011""","Northend School","=""0890911""","Male",18.8
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","Female",23.2
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","Male",26.1
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","Female",19.0
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","Male",24.5
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","Female",16.9
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","Male",15.8
"New Britain School District","=""0890011""","Smith School","=""0891311""","Female",11.0
"New Britain School District","=""0890011""","Smith School","=""0891311""","Male",11.2
"New Britain School District","=""0890011""","Vance School","=""0891511""","Female",10.4
"New Britain School District","=""0890011""","Vance School","=""0891511""","Male",11.2
"New Canaan School District","=""0900011""","East School","=""0900411""","Female","*"
"New Canaan School District","=""0900011""","East School","=""0900411""","Male","*"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","Female",4.8
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","Male",3.9
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","Female",2.2
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","Male",3.7
"New Canaan School District","=""0900011""","South School","=""0900211""","Female","*"
"New Canaan School District","=""0900011""","South School","=""0900211""","Male","*"
"New Canaan School District","=""0900011""","West School","=""0900311""","Female",2.3
"New Canaan School District","=""0900011""","West School","=""0900311""","Male",2.7
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""","Female","*"
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""","Male","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","Female","*"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","Male","*"
"New Fairfield School District","=""0910011""","Day Alternative Learning Program","=""0910411""","Female","*"
"New Fairfield School District","=""0910011""","Day Alternative Learning Program","=""0910411""","Male","*"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","Female","*"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","Male","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Female",1.9
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Male",1.6
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","Female",4.1
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","Male",4.9
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","Female","*"
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","Male","*"
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""","Female",0.0
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""","Male","*"
"New Hartford School District","=""0920011""","Bridges II at Ann Antolini School","=""0920411""","Female","*"
"New Hartford School District","=""0920011""","Bridges II at Ann Antolini School","=""0920411""","Male","*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","Female","*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","Male","*"
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Female",8.5
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Male",5.8
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Female",13.2
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Male",16.7
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","Female",25.1
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","Male",32.8
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Female",11.3
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Male",16.5
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Female",22.4
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Male",25.9
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Female",10.8
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Male",14.8
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Female",12.8
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Male",15.5
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Female",22.4
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Male",25.9
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","Female","*"
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","Male","*"
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Female",28.4
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Male",28.2
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","Female",41.4
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","Male",33.2
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""","Female",23.7
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""","Male",22.8
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""","Female",14.7
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""","Male",19.2
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","Female",15.5
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","Male",19.8
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","Female",24.1
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","Male",24.1
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""","Female",7.7
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""","Male",8.7
"New Haven School District","=""0930011""","Domus Academy","=""0935611""","Female","*"
"New Haven School District","=""0930011""","Domus Academy","=""0935611""","Male","*"
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""","Female",24.0
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""","Male",24.1
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","Female",12.7
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","Male",12.2
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""","Female",28.0
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""","Male",24.0
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","Female",45.8
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","Male",36.7
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""","Female",23.8
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""","Male",25.8
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","Female",25.3
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","Male",25.3
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","Female",42.9
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","Male",44.4
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","Female",45.0
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","Male",44.2
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""","Female",15.2
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""","Male",12.5
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""","Female",24.5
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""","Male",25.5
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""","Female",25.2
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""","Male",24.6
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","Female",16.9
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","Male",20.2
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""","Female",29.6
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""","Male",30.4
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","Female",18.3
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","Male",17.9
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","Female",24.7
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","Male",27.1
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","Female",12.7
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","Male",19.3
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""","Female",96.9
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""","Male",93.1
"New Haven School District","=""0930011""","New Light High School","=""0932611""","Female","*"
"New Haven School District","=""0930011""","New Light High School","=""0932611""","Male","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","Female","*"
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""","Female",21.3
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""","Male",24.8
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","Female",69.8
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","Male",50.0
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","Female",18.2
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","Male",15.5
"New Haven School District","=""0930011""","Sound School","=""0936711""","Female",20.7
"New Haven School District","=""0930011""","Sound School","=""0936711""","Male",18.1
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Female",27.7
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Male",29.1
"New Haven School District","=""0930011""","Truman School","=""0932911""","Female",18.9
"New Haven School District","=""0930011""","Truman School","=""0932911""","Male",22.0
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""","Female",37.4
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""","Male",25.6
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""","Female",31.4
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""","Male",33.3
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""","Female",48.0
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""","Male",53.1
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""","Female",12.9
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""","Male",9.9
"New London School District","=""0950011""","Jennings School","=""0950311""","Female",18.2
"New London School District","=""0950011""","Jennings School","=""0950311""","Male",21.1
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""","Female",14.6
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""","Male",17.3
"New London School District","=""0950011""","Early Childhood Center at Harbor","=""0950611""","Female",31.7
"New London School District","=""0950011""","Early Childhood Center at Harbor","=""0950611""","Male",20.8
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""","Female",16.7
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""","Male",15.3
"New London School District","=""0950011""","New London High School","=""0956111""","Female",20.3
"New London School District","=""0950011""","New London High School","=""0956111""","Male",15.6
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""","Female",21.1
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""","Male",20.2
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""","Female",4.6
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""","Male",9.2
"New Milford School District","=""0960011""","John Pettibone School","=""0960711""","Female","*"
"New Milford School District","=""0960011""","John Pettibone School","=""0960711""","Male","*"
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""","Female","*"
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""","Male","*"
"New Milford School District","=""0960011""","New Milford High School","=""0966111""","Female",10.6
"New Milford School District","=""0960011""","New Milford High School","=""0966111""","Male",9.7
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""","Female",3.7
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""","Male",4.9
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""","Female",3.5
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""","Male",3.2
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""","Female",5.8
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""","Male",6.2
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""","Female","*"
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""","Male","*"
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""","Female","*"
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""","Male","*"
"Newington School District","=""0940011""","John Paterson School","=""0940811""","Female",6.3
"Newington School District","=""0940011""","John Paterson School","=""0940811""","Male",4.9
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""","Female","*"
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""","Male","*"
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""","Female",2.7
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""","Male",2.5
"Newington School District","=""0940011""","Newington High School","=""0946111""","Female",12.5
"Newington School District","=""0940011""","Newington High School","=""0946111""","Male",13.8
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""","Female","*"
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""","Male","*"
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""","Female","*"
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""","Male","*"
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""","Female","*"
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""","Male","*"
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""","Female","*"
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""","Male","*"
"Newtown School District","=""0970011""","Newtown High School","=""0976111""","Female",3.8
"Newtown School District","=""0970011""","Newtown High School","=""0976111""","Male",3.8
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""","Female",7.0
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""","Male",6.0
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""","Female","*"
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""","Male","*"
"Newtown School District","=""0970011""","STARR","=""0979011""","Female","*"
"Newtown School District","=""0970011""","STARR","=""0979011""","Male","*"
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""","Female",3.6
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""","Male",4.1
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""","Female",0.0
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""","Male","*"
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""","Female","*"
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""","Male","*"
"North Branford School District","=""0990011""","North Branford High School","=""0996111""","Female",3.4
"North Branford School District","=""0990011""","North Branford High School","=""0996111""","Male",5.9
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""","Female",4.3
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""","Male",5.2
"North Branford School District","=""0990011""","School to Work Program","=""0999011""","Male","*"
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""","Female","*"
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""","Male","*"
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""","Female","*"
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""","Male","*"
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""","Female",5.5
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""","Male",5.4
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""","Female",4.5
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""","Male",6.7
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""","Female","*"
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""","Male","*"
"North Haven School District","=""1010011""","North Haven High School","=""1016111""","Female",43.8
"North Haven School District","=""1010011""","North Haven High School","=""1016111""","Male",40.1
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""","Female",11.1
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""","Male",9.1
"North Haven School District","=""1010011""","North Haven Transition Partnership","=""1010111""","Female","*"
"North Haven School District","=""1010011""","North Haven Transition Partnership","=""1010111""","Male","*"
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""","Female","*"
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""","Male","*"
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""","Female",0.0
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""","Male",0.0
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""","Female","*"
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""","Male","*"
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""","Female","*"
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""","Male","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""","Female",9.4
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""","Male",7.7
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""","Female",8.5
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""","Male",5.0
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""","Female","*"
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""","Male","*"
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""","Female",4.7
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""","Male",3.6
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""","Female",7.0
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""","Male",6.6
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""","Female",10.8
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""","Male",14.4
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""","Female",7.5
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""","Male",7.5
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""","Female",4.1
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""","Male",4.8
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""","Female",4.6
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""","Male",3.2
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""","Female",5.0
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""","Male",11.9
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""","Female",9.8
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""","Male",8.0
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""","Female",41.2
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""","Male",45.9
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""","Female",10.9
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""","Male",13.6
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""","Female",5.6
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""","Male",7.4
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""","Female",7.1
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""","Male",6.6
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""","Female",13.6
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""","Male",7.3
"Norwalk School District","=""1030011""","Tracey School","=""1031411""","Female",10.8
"Norwalk School District","=""1030011""","Tracey School","=""1031411""","Male",7.4
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""","Female",7.8
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""","Male",8.3
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""","Female",4.8
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""","Male",5.8
"Norwich Free Academy District","=""9010022""","LEAD (Life Skills, Education and Adult Development)","=""9010122""","Female","*"
"Norwich Free Academy District","=""9010022""","LEAD (Life Skills, Education and Adult Development)","=""9010122""","Male","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""","Female",16.5
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""","Male",14.0
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""","Female","*"
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""","Male","*"
"Norwich School District","=""1040011""","Hickory Street School","=""1049011""","Female","*"
"Norwich School District","=""1040011""","Hickory Street School","=""1049011""","Male","*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""","Female",10.6
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""","Male",8.2
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""","Female",15.7
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""","Male",13.5
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""","Female",10.1
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""","Male",13.9
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""","Female",11.2
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""","Male",9.7
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""","Female",9.8
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""","Male",15.7
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""","Female",7.3
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""","Male",9.1
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""","Female",9.6
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""","Male",14.9
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""","Female",13.0
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""","Male",8.6
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""","Female",10.1
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""","Male",17.6
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""","Female",9.4
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""","Male",5.3
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""","Female","*"
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""","Male","*"
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""","Female","*"
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""","Male","*"
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""","Female",31.0
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""","Male",28.1
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""","Female","*"
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""","Male","*"
"Orange School District","=""1070011""","Peck Place School","=""1070511""","Female","*"
"Orange School District","=""1070011""","Peck Place School","=""1070511""","Male","*"
"Orange School District","=""1070011""","Race Brook School","=""1070311""","Female","*"
"Orange School District","=""1070011""","Race Brook School","=""1070311""","Male","*"
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""","Female","*"
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""","Male","*"
"Oxford School District","=""1080011""","Great Oak School","=""1085111""","Female",8.3
"Oxford School District","=""1080011""","Great Oak School","=""1085111""","Male",4.7
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""","Female",2.4
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""","Male",2.6
"Oxford School District","=""1080011""","Oxford High School","=""1086011""","Female",17.3
"Oxford School District","=""1080011""","Oxford High School","=""1086011""","Male",12.5
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""","Female","*"
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""","Male","*"
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""","Female",6.3
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""","Male",9.8
"Path Academy District","=""2930013""","Path Academy","=""2930113""","Female",84.0
"Path Academy District","=""2930013""","Path Academy","=""2930113""","Male",81.8
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""","Female",3.5
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""","Male",5.0
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""","Female",4.0
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""","Male",8.6
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""","Female",16.0
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""","Male",17.9
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""","Female",6.3
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""","Male",4.7
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""","Female",7.8
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""","Male",10.1
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""","Female","*"
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""","Male","*"
"Plainville School District","=""1100011""","Linden Street School","=""1100211""","Female",10.6
"Plainville School District","=""1100011""","Linden Street School","=""1100211""","Male",7.5
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""","Female","*"
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""","Male","*"
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""","Female",9.5
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""","Male",12.5
"Plainville School District","=""1100011""","Plainville High School","=""1106111""","Female",7.5
"Plainville School District","=""1100011""","Plainville High School","=""1106111""","Male",8.7
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""","Female",12.1
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""","Male",7.0
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""","Female",8.3
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""","Male",8.4
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""","Female","*"
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""","Male","*"
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""","Female",7.6
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""","Male",10.8
