"Chronic Absenteeism, Trend"
"State of Connecticut, All Schools, Gender"

"",,,,"% Chronically Absent",,,,
"Naugatuck School District","Hillside Intermediate School","=""0880411""","Female",11.2,17.2,5.5,8.6,6.6
"Naugatuck School District","Hillside Intermediate School","=""0880411""","Male",10.6,8.4,6.9,13.7,6.4
"Naugatuck School District","Hop Brook Elementary School","=""0880511""","Female",10.3,15.5,"*",7.1,6.8
"Naugatuck School District","Hop Brook Elementary School","=""0880511""","Male",7.9,10.2,"*",6.9,9.2
"Naugatuck School District","Maple Hill School","=""0880311""","Female",6.7,"*",7.1,4.9,5.5
"Naugatuck School District","Maple Hill School","=""0880311""","Male",10.1,"*",7.1,4.6,4.0
"Naugatuck School District","Naugatuck High School","=""0886111""","Female",19.9,22.3,23.9,13.8,20.7
"Naugatuck School District","Naugatuck High School","=""0886111""","Male",20.1,23.4,26.6,18.7,16.1
"Naugatuck School District","Salem School","=""0880611""","Female",9.3,6.0,10.6,11.6,10.3
"Naugatuck School District","Salem School","=""0880611""","Male",7.9,9.9,10.0,13.8,7.9
"Naugatuck School District","Western School","=""0880711""","Female",7.0,9.2,5.4,6.1,8.1
"Naugatuck School District","Western School","=""0880711""","Male",6.4,6.3,5.3,7.1,4.4
"Naugatuck School District","Genesis Academy","=""0880911""","Female","N/A","N/A","N/A","N/A","*"
"Naugatuck School District","Genesis Academy","=""0880911""","Male","N/A","N/A","N/A","N/A","*"
"New Beginnings Inc., Family Academy District","New Beginnings Inc., Family Academy","=""2800113""","Female",6.9,10.7,9.1,"N/A","N/A"
"New Beginnings Inc., Family Academy District","New Beginnings Inc., Family Academy","=""2800113""","Male",9.6,7.8,10.5,"N/A","N/A"
"New Beginnings Inc., Family Academy District","New Beginnings Inc Family Academy","=""2800113""","Female","N/A","N/A","N/A",17.3,9.8
"New Beginnings Inc., Family Academy District","New Beginnings Inc Family Academy","=""2800113""","Male","N/A","N/A","N/A",16.8,5.0
"New Britain School District","Hartford Detention Center","=""3480315""","Male","N/A","N/A","N/A","N/A","*"
"New Britain School District","Alternative Center School","=""0899111""","Female",72.0,"*",0.0,"*",63.6
"New Britain School District","Alternative Center School","=""0899111""","Male",66.7,"*",0.0,"*",75.0
"New Britain School District","CLIMB","=""0899411""","Female","*","*","*","*","*"
"New Britain School District","CLIMB","=""0899411""","Male","*","*","*","*","*"
"New Britain School District","Chamberlain  Elementary School","=""0890311""","Female",31.7,27.2,12.8,11.3,10.0
"New Britain School District","Chamberlain  Elementary School","=""0890311""","Male",30.7,25.8,17.3,17.0,11.6
"New Britain School District","Frank J. DiLoreto School","=""0891111""","Female",28.7,10.2,12.0,6.7,8.3
"New Britain School District","Frank J. DiLoreto School","=""0891111""","Male",22.5,9.2,10.7,7.2,8.4
"New Britain School District","Gaffney School","=""0890511""","Female",28.9,22.4,14.1,13.0,6.0
"New Britain School District","Gaffney School","=""0890511""","Male",18.2,19.8,11.5,13.0,6.7
"New Britain School District","Holmes School","=""0890611""","Female",14.9,10.7,10.7,11.5,12.0
"New Britain School District","Holmes School","=""0890611""","Male",18.2,12.3,5.9,10.1,9.5
"New Britain School District","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Female","*","*","*","*","*"
"New Britain School District","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Male","*","*","*","*","*"
"New Britain School District","Jefferson School","=""0890711""","Female",16.5,7.5,5.7,6.4,3.7
"New Britain School District","Jefferson School","=""0890711""","Male",14.1,10.7,6.9,5.5,4.4
"New Britain School District","Lincoln School","=""0890811""","Female",15.2,11.9,12.7,14.3,13.3
"New Britain School District","Lincoln School","=""0890811""","Male",21.5,14.6,17.3,16.2,12.9
"New Britain School District","New Britain High School","=""0896111""","Female",45.7,45.4,38.5,42.6,33.5
"New Britain School District","New Britain High School","=""0896111""","Male",42.9,41.0,34.1,36.3,33.0
"New Britain School District","New Britain Transition Center","=""0899011""","Female",75.0,"*","*",0.0,"*"
"New Britain School District","New Britain Transition Center","=""0899011""","Male",36.2,"*","*",0.0,"*"
"New Britain School District","Northend School","=""0890911""","Female",8.6,"*",7.5,15.3,6.8
"New Britain School District","Northend School","=""0890911""","Male",14.0,"*",15.0,18.8,11.9
"New Britain School District","Pulaski Middle School","=""0895311""","Female",32.4,19.3,24.9,23.2,17.0
"New Britain School District","Pulaski Middle School","=""0895311""","Male",24.8,16.4,20.2,26.1,18.0
"New Britain School District","Roosevelt Middle School","=""0895111""","Female",25.9,75.5,26.4,"N/A","N/A"
"New Britain School District","Roosevelt Middle School","=""0895111""","Male",25.2,70.4,20.8,"N/A","N/A"
"New Britain School District","Slade Middle School","=""0895211""","Female",21.9,17.6,16.0,19.0,20.2
"New Britain School District","Slade Middle School","=""0895211""","Male",15.9,14.8,19.9,24.5,20.8
"New Britain School District","Smalley Academy","=""0891211""","Female",22.5,19.5,16.8,16.9,17.2
"New Britain School District","Smalley Academy","=""0891211""","Male",26.8,27.7,15.7,15.8,16.7
"New Britain School District","Smith School","=""0891311""","Female",14.2,11.6,6.9,11.0,4.3
"New Britain School District","Smith School","=""0891311""","Male",19.2,14.5,7.3,11.2,5.6
"New Britain School District","Vance School","=""0891511""","Female",12.0,10.2,10.3,10.4,10.0
"New Britain School District","Vance School","=""0891511""","Male",12.6,9.8,10.1,11.2,10.5
"New Britain School District","Behavior Support","=""0891011""","Female","N/A","N/A","N/A","N/A","*"
"New Britain School District","Behavior Support","=""0891011""","Male","N/A","N/A","N/A","N/A","*"
"New Britain School District","KEY Elementary","=""0891611""","Female","N/A","N/A","N/A","N/A","*"
"New Britain School District","KEY Elementary","=""0891611""","Male","N/A","N/A","N/A","N/A","*"
"New Britain School District","Steps","=""0891811""","Female","N/A","N/A","N/A","N/A","*"
"New Britain School District","Steps","=""0891811""","Male","N/A","N/A","N/A","N/A","*"
"New Britain School District","Sunrise Primary","=""0890211""","Female","N/A","N/A","N/A","N/A","*"
"New Britain School District","Sunrise Primary","=""0890211""","Male","N/A","N/A","N/A","N/A","*"
"New Britain School District","KEY Middle","=""0891711""","Male","N/A","N/A","N/A","N/A","*"
"New Britain School District","Sunrise Intermediate","=""0890411""","Male","N/A","N/A","N/A","N/A","*"
"New Canaan School District","East School","=""0900411""","Female",2.9,4.1,4.1,"*","*"
"New Canaan School District","East School","=""0900411""","Male",2.4,4.4,3.4,"*","*"
"New Canaan School District","New Canaan High School","=""0906111""","Female",22.6,3.9,3.2,4.8,4.8
"New Canaan School District","New Canaan High School","=""0906111""","Male",19.0,1.4,2.8,3.9,1.9
"New Canaan School District","Saxe Middle School","=""0905111""","Female",4.4,3.9,2.9,2.2,1.2
"New Canaan School District","Saxe Middle School","=""0905111""","Male",4.2,5.8,4.4,3.7,2.9
"New Canaan School District","South School","=""0900211""","Female","*",5.5,0.0,"*","*"
"New Canaan School District","South School","=""0900211""","Male","*",5.0,"*","*","*"
"New Canaan School District","West School","=""0900311""","Female",5.1,7.0,"*",2.3,"*"
"New Canaan School District","West School","=""0900311""","Male",3.7,4.8,0.0,2.7,"*"
"New Fairfield School District","Consolidated School","=""0910111""","Female",5.3,3.2,3.9,"*","*"
"New Fairfield School District","Consolidated School","=""0910111""","Male",7.3,5.1,4.5,"*","*"
"New Fairfield School District","Meeting House Hill School","=""0910211""","Female",2.6,2.8,"*","*","*"
"New Fairfield School District","Meeting House Hill School","=""0910211""","Male",2.8,3.6,"*","*","*"
"New Fairfield School District","New Fairfield High School","=""0916111""","Female",11.8,7.8,7.6,1.9,3.2
"New Fairfield School District","New Fairfield High School","=""0916111""","Male",10.4,7.4,4.8,1.6,2.0
"New Fairfield School District","New Fairfield Middle School","=""0915211""","Female",7.0,7.6,4.0,4.1,3.8
"New Fairfield School District","New Fairfield Middle School","=""0915211""","Male",10.5,6.8,5.3,4.9,5.8
"New Fairfield School District","Alternative Learning Center","=""0910311""","Female","N/A","N/A","N/A","*","*"
"New Fairfield School District","Alternative Learning Center","=""0910311""","Male","N/A","N/A","N/A","*","*"
"New Fairfield School District","Day Alternative Learning Program","=""0910411""","Female","N/A","N/A","N/A","*","N/A"
"New Fairfield School District","Day Alternative Learning Program","=""0910411""","Male","N/A","N/A","N/A","*","N/A"
"New Hartford School District","Ann Antolini School","=""0920311""","Female",6.0,5.1,7.1,"*","*"
"New Hartford School District","Ann Antolini School","=""0920311""","Male",4.1,4.1,4.0,"*","*"
"New Hartford School District","Bakerville Consolidated School","=""0920111""","Female","*","*","*",0.0,"*"
"New Hartford School District","Bakerville Consolidated School","=""0920111""","Male","*","*","*","*","*"
"New Hartford School District","New Hartford Elementary School","=""0920211""","Female","*","*","*","*",0.0
"New Hartford School District","New Hartford Elementary School","=""0920211""","Male","*",0.0,"*","*","*"
"New Hartford School District","Bridges II at Ann Antolini School","=""0920411""","Female","N/A","N/A","N/A","*","N/A"
"New Hartford School District","Bridges II at Ann Antolini School","=""0920411""","Male","N/A","N/A","N/A","*","N/A"
"New Haven School District","Edgewood School","=""0931211""","Female",3.6,6.0,11.3,8.5,10.4
"New Haven School District","Edgewood School","=""0931211""","Male",3.2,3.1,8.4,5.8,7.0
"New Haven School District","Nathan Hale School","=""0931411""","Female",6.9,12.1,11.5,13.2,10.0
"New Haven School District","Nathan Hale School","=""0931411""","Male",12.8,11.6,15.7,16.7,9.5
"New Haven School District","Augusta Lewis Troup School","=""0931511""","Female",14.9,7.7,16.0,25.1,26.8
"New Haven School District","Augusta Lewis Troup School","=""0931511""","Male",24.3,14.1,21.4,32.8,31.9
"New Haven School District","Barnard Environmental Magnet School","=""0930211""","Female",9.5,6.5,10.9,11.3,15.1
"New Haven School District","Barnard Environmental Magnet School","=""0930211""","Male",6.8,6.6,18.6,16.5,17.4
"New Haven School District","Beecher School","=""0930311""","Female",18.2,10.7,22.7,22.4,21.8
"New Haven School District","Beecher School","=""0930311""","Male",15.6,15.0,25.0,25.9,23.1
"New Haven School District","Benjamin Jepson Magnet School","=""0931811""","Female",7.2,6.4,10.5,10.8,9.4
"New Haven School District","Benjamin Jepson Magnet School","=""0931811""","Male",11.6,8.6,15.1,14.8,10.0
"New Haven School District","Betsy Ross Arts Magnet School","=""0935511""","Female",13.8,7.8,11.8,12.8,14.1
"New Haven School District","Betsy Ross Arts Magnet School","=""0935511""","Male",8.2,8.9,12.3,15.5,13.1
"New Haven School District","Bishop Woods School","=""0934311""","Female",14.3,10.8,23.6,22.4,11.8
"New Haven School District","Bishop Woods School","=""0934311""","Male",21.7,8.5,23.4,25.9,11.7
"New Haven School District","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Female",32.3,10.1,15.6,28.4,18.4
"New Haven School District","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Male",34.9,10.4,11.6,28.2,16.9
"New Haven School District","Christopher Columbus Academy","=""0934111""","Female",12.5,7.9,9.2,"N/A","N/A"
"New Haven School District","Christopher Columbus Academy","=""0934111""","Male",11.4,8.1,18.9,"N/A","N/A"
"New Haven School District","Clemente Leadership Academy","=""0934211""","Female",25.5,26.4,41.8,41.4,22.4
"New Haven School District","Clemente Leadership Academy","=""0934211""","Male",29.9,22.1,33.1,33.2,20.7
"New Haven School District","Clinton Avenue School","=""0930611""","Female",17.9,14.6,29.6,23.7,18.0
"New Haven School District","Clinton Avenue School","=""0930611""","Male",22.3,15.9,29.2,22.8,19.3
"New Haven School District","Conte/West Hills Magnet School","=""0933111""","Female",4.9,5.3,11.8,15.5,15.0
"New Haven School District","Conte/West Hills Magnet School","=""0933111""","Male",6.2,8.0,16.3,19.8,13.5
"New Haven School District","Cooperative High School","=""0936411""","Female",26.5,16.2,27.3,24.1,14.9
"New Haven School District","Cooperative High School","=""0936411""","Male",15.5,11.4,26.4,24.1,10.0
"New Haven School District","Davis 21st Century Magnet Elementary School","=""0930911""","Female",5.5,6.0,7.9,7.7,4.6
"New Haven School District","Davis 21st Century Magnet Elementary School","=""0930911""","Male",7.3,5.4,15.0,8.7,8.0
"New Haven School District","Domus Academy","=""0935611""","Female","*","*","*","*","*"
"New Haven School District","Domus Academy","=""0935611""","Male","*","*","*","*","*"
"New Haven School District","East Rock Community Magnet School","=""0934611""","Female",15.4,12.2,23.0,24.0,20.1
"New Haven School District","East Rock Community Magnet School","=""0934611""","Male",18.3,13.6,20.4,24.1,13.7
"New Haven School District","Engineering - Science University Magnet School","=""0931711""","Female",6.7,"*",16.6,12.7,12.7
"New Haven School District","Engineering - Science University Magnet School","=""0931711""","Male",3.8,"*",10.1,12.2,14.0
"New Haven School District","Fair Haven School","=""0931611""","Female",16.0,12.5,20.9,28.0,18.6
"New Haven School District","Fair Haven School","=""0931611""","Male",17.5,15.6,23.0,24.0,18.7
"New Haven School District","High School In The Community","=""0936611""","Female",39.7,28.9,38.2,45.8,36.3
"New Haven School District","High School In The Community","=""0936611""","Male",40.4,30.1,34.1,36.7,28.3
"New Haven School District","Hill Central Music Academy","=""0930711""","Female",29.2,10.6,30.3,23.8,20.9
"New Haven School District","Hill Central Music Academy","=""0930711""","Male",22.9,13.6,26.5,25.8,18.6
"New Haven School District","Hill Regional Career High School","=""0936311""","Female",19.4,14.1,23.4,25.3,20.6
"New Haven School District","Hill Regional Career High School","=""0936311""","Male",14.6,12.6,19.8,25.3,21.7
"New Haven School District","Hyde School of Health, Science and Sports Medicine","=""0936811""","Female",19.1,25.6,42.9,42.9,36.5
"New Haven School District","Hyde School of Health, Science and Sports Medicine","=""0936811""","Male",24.0,17.8,36.4,44.4,34.7
"New Haven School District","James Hillhouse High School","=""0936211""","Female",37.4,30.9,48.2,45.0,39.6
"New Haven School District","James Hillhouse High School","=""0936211""","Male",42.2,34.8,43.0,44.2,38.4
"New Haven School District","John C. Daniels","=""0931311""","Female",7.3,8.5,15.9,15.2,12.1
"New Haven School District","John C. Daniels","=""0931311""","Male",9.5,8.6,12.8,12.5,11.7
"New Haven School District","John S. Martinez School","=""0930811""","Female",16.6,9.4,25.0,24.5,13.6
"New Haven School District","John S. Martinez School","=""0930811""","Male",11.7,7.3,22.4,25.5,10.0
"New Haven School District","Katherine Brennan/Clarence Rogers School","=""0932111""","Female",16.5,12.8,21.2,25.2,20.2
"New Haven School District","Katherine Brennan/Clarence Rogers School","=""0932111""","Male",9.4,11.1,21.3,24.6,18.4
"New Haven School District","King/Robinson Magnet School","=""0933011""","Female",7.9,11.8,18.9,16.9,10.2
"New Haven School District","King/Robinson Magnet School","=""0933011""","Male",13.8,13.2,21.1,20.2,16.2
"New Haven School District","Lincoln-Bassett School","=""0932011""","Female",16.9,15.3,27.3,29.6,19.2
"New Haven School District","Lincoln-Bassett School","=""0932011""","Male",27.2,23.1,32.2,30.4,19.8
"New Haven School District","Mauro-Sheridan Magnet School","=""0931911""","Female",6.3,5.7,12.4,18.3,11.6
"New Haven School District","Mauro-Sheridan Magnet School","=""0931911""","Male",9.0,8.9,14.5,17.9,10.2
"New Haven School District","Metropolitan Business Academy","=""0936011""","Female",17.4,24.5,33.8,24.7,20.9
"New Haven School District","Metropolitan Business Academy","=""0936011""","Male",19.1,19.6,27.4,27.1,21.9
"New Haven School District","New Haven Academy","=""0937011""","Female",17.3,29.4,44.1,12.7,25.7
"New Haven School District","New Haven Academy","=""0937011""","Male",21.4,18.3,50.0,19.3,17.5
"New Haven School District","Polly T. McCabe Center","=""0939211""","Female",94.4,83.3,"*","*","*"
"New Haven School District","Riverside Education Academy","=""0939111""","Female",72.5,67.4,87.0,69.8,82.5
"New Haven School District","Riverside Education Academy","=""0939111""","Male",62.2,52.1,72.1,50.0,69.2
"New Haven School District","Ross/Woodward School","=""0931011""","Female",9.8,8.2,13.6,18.2,14.6
"New Haven School District","Ross/Woodward School","=""0931011""","Male",10.0,4.7,12.4,15.5,10.6
"New Haven School District","Sound School","=""0936711""","Female",15.4,15.8,17.8,20.7,17.0
"New Haven School District","Sound School","=""0936711""","Male",8.2,17.7,15.1,18.1,8.8
"New Haven School District","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Female",29.7,12.2,29.3,27.7,19.1
"New Haven School District","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Male",29.5,15.0,32.0,29.1,19.2
"New Haven School District","Truman School","=""0932911""","Female",20.4,12.2,20.4,18.9,15.1
"New Haven School District","Truman School","=""0932911""","Male",25.4,18.1,22.0,22.0,18.5
"New Haven School District","West Rock Authors Academy","=""0934911""","Female",12.9,13.1,32.6,37.4,17.0
"New Haven School District","West Rock Authors Academy","=""0934911""","Male",9.2,6.0,28.0,25.6,25.2
"New Haven School District","Wexler/Grant Community School","=""0933211""","Female",15.1,10.7,29.3,31.4,17.8
"New Haven School District","Wexler/Grant Community School","=""0933211""","Male",17.7,15.0,29.9,33.3,22.1
"New Haven School District","Wilbur Cross High School","=""0936111""","Female",53.8,50.0,43.1,48.0,42.1
"New Haven School District","Wilbur Cross High School","=""0936111""","Male",56.7,54.7,52.1,53.1,41.0
"New Haven School District","Worthington Hooker School","=""0933811""","Female",3.0,5.4,7.5,12.9,4.2
"New Haven School District","Worthington Hooker School","=""0933811""","Male",7.7,4.5,11.1,9.9,7.5
"New Haven School District","Quinnipiac Real World Math STEM School","=""0933511""","Female","N/A",10.7,28.6,21.3,12.7
"New Haven School District","Quinnipiac Real World Math STEM School","=""0933511""","Male","N/A",9.6,30.4,24.8,9.2
"New Haven School District","Blake Street Leadership Academy (STEP)","=""0932411""","Female","N/A","N/A","N/A","*","*"
"New Haven School District","Blake Street Leadership Academy (STEP)","=""0932411""","Male","N/A","N/A","N/A","*","*"
"New Haven School District","Columbus Family Academy","=""0934111""","Female","N/A","N/A","N/A",14.7,6.1
"New Haven School District","Columbus Family Academy","=""0934111""","Male","N/A","N/A","N/A",19.2,13.6
"New Haven School District","New Horizons High School","=""0932211""","Female","N/A","N/A","N/A",96.9,89.3
"New Haven School District","New Horizons High School","=""0932211""","Male","N/A","N/A","N/A",93.1,88.7
"New Haven School District","New Light High School","=""0932611""","Female","N/A","N/A","N/A","*",85.0
"New Haven School District","New Light High School","=""0932611""","Male","N/A","N/A","N/A","*",69.8
"New Haven School District","NHPS Self Contained Autism","=""0934411""","Female","N/A","N/A","N/A","N/A","*"
"New Haven School District","NHPS Self Contained Autism","=""0934411""","Male","N/A","N/A","N/A","N/A","*"
"New Haven School District","NHPS Self Contained Intellectually Disabled","=""0935011""","Female","N/A","N/A","N/A","N/A","*"
"New Haven School District","NHPS Self Contained Intellectually Disabled","=""0935011""","Male","N/A","N/A","N/A","N/A","*"
"New Haven School District","NHPS Self Contained Multi-Handicapped","=""0934511""","Female","N/A","N/A","N/A","N/A","*"
"New Haven School District","NHPS Self Contained Multi-Handicapped","=""0934511""","Male","N/A","N/A","N/A","N/A","*"
"New Haven School District","Off-Campus Classroom Program (OCC)","=""0937311""","Female","N/A","N/A","N/A","N/A","*"
"New Haven School District","Off-Campus Classroom Program (OCC)","=""0937311""","Male","N/A","N/A","N/A","N/A","*"
"New London School District","Jennings School","=""0950311""","Female",24.7,17.4,19.3,18.2,19.0
"New London School District","Jennings School","=""0950311""","Male",21.3,16.7,21.7,21.1,15.6
"New London School District","Bennie Dover Jackson Middle School","=""0955111""","Female",18.4,11.8,12.5,14.6,14.1
"New London School District","Bennie Dover Jackson Middle School","=""0955111""","Male",26.1,15.0,13.3,17.3,12.2
"New London School District","Harbor School","=""0950211""","Female",16.3,"N/A","N/A","N/A","N/A"
"New London School District","Harbor School","=""0950211""","Male",17.5,"N/A","N/A","N/A","N/A"
"New London School District","Nathan Hale Arts Magnet School","=""0950911""","Female",19.0,20.0,6.1,16.7,16.6
"New London School District","Nathan Hale Arts Magnet School","=""0950911""","Male",21.4,20.0,4.0,15.3,14.7
"New London School District","New London Clinical Day Program","=""0959111""","Female","*","*","N/A","N/A","N/A"
"New London School District","New London Clinical Day Program","=""0959111""","Male","*","*","N/A","N/A","N/A"
"New London School District","New London High School","=""0956111""","Female",28.6,19.4,23.1,20.3,17.3
"New London School District","New London High School","=""0956111""","Male",25.8,20.6,25.3,15.6,17.5
"New London School District","Winthrop STEM Elementary Magnet School","=""0950811""","Female",42.0,23.2,39.0,21.1,16.5
"New London School District","Winthrop STEM Elementary Magnet School","=""0950811""","Male",43.5,20.8,38.9,20.2,13.3
"New London School District","Early Childhood Center at Harbor","=""0950611""","Female","N/A","N/A","N/A",31.7,30.8
"New London School District","Early Childhood Center at Harbor","=""0950611""","Male","N/A","N/A","N/A",20.8,23.7
"New Milford School District","Hill And Plain School","=""0960511""","Female",5.3,3.2,5.7,4.6,4.2
"New Milford School District","Hill And Plain School","=""0960511""","Male",8.0,9.1,6.7,9.2,6.6
"New Milford School District","John Pettibone School","=""0960711""","Female",8.0,3.2,"*","*","N/A"
"New Milford School District","John Pettibone School","=""0960711""","Male",7.3,5.1,"*","*","N/A"
"New Milford School District","Litchfield Hills Transition Center","=""0969011""","Female","*","*","*","*","*"
"New Milford School District","Litchfield Hills Transition Center","=""0969011""","Male","*","*","*","*","*"
"New Milford School District","New Milford High School","=""0966111""","Female",18.2,14.7,16.9,10.6,7.9
"New Milford School District","New Milford High School","=""0966111""","Male",15.9,15.2,14.1,9.7,8.3
"New Milford School District","Northville Elementary School","=""0960811""","Female",8.1,4.7,6.6,3.7,5.0
"New Milford School District","Northville Elementary School","=""0960811""","Male",9.2,4.5,5.6,4.9,7.5
"New Milford School District","Sarah Noble Intermediate School","=""0960911""","Female",4.5,6.0,3.3,3.5,3.4
"New Milford School District","Sarah Noble Intermediate School","=""0960911""","Male",6.3,7.4,6.3,3.2,3.0
"New Milford School District","Schaghticoke Middle School","=""0965211""","Female",7.8,10.3,7.0,5.8,5.5
"New Milford School District","Schaghticoke Middle School","=""0965211""","Male",10.2,9.5,8.2,6.2,3.6
"Newington School District","Anna Reynolds School","=""0940611""","Female",3.1,0.0,"*","*","*"
"Newington School District","Anna Reynolds School","=""0940611""","Male",4.7,"*","*","*","*"
"Newington School District","Elizabeth Green School","=""0940211""","Female","*","*","*","*","*"
"Newington School District","Elizabeth Green School","=""0940211""","Male","*","*","*","*","*"
"Newington School District","John Paterson School","=""0940811""","Female","*","*",3.1,6.3,"*"
"Newington School District","John Paterson School","=""0940811""","Male","*","*",3.3,4.9,"*"
"Newington School District","John Wallace Middle School","=""0945311""","Female",4.1,2.5,2.2,"*","*"
"Newington School District","John Wallace Middle School","=""0945311""","Male",5.2,3.1,3.7,"*","*"
"Newington School District","Martin Kellogg Middle School","=""0945111""","Female",5.3,3.7,5.4,2.7,2.3
"Newington School District","Martin Kellogg Middle School","=""0945111""","Male",4.5,2.8,3.3,2.5,2.5
"Newington School District","Newington High School","=""0946111""","Female",4.9,5.6,14.1,12.5,9.4
"Newington School District","Newington High School","=""0946111""","Male",6.2,7.5,14.3,13.8,10.7
"Newington School District","Ruth Chaffee School","=""0940711""","Female",6.2,"*","*","*","*"
"Newington School District","Ruth Chaffee School","=""0940711""","Male",3.0,"*","*","*","*"
"Newtown School District","Hawley Elementary School","=""0970111""","Female","*","*","*","*","*"
"Newtown School District","Hawley Elementary School","=""0970111""","Male","*","*","*","*","*"
"Newtown School District","Head O'Meadow Elementary School","=""0970411""","Female","*",6.8,"*","*",5.6
"Newtown School District","Head O'Meadow Elementary School","=""0970411""","Male","*",5.5,"*","*",3.8
"Newtown School District","Middle Gate Elementary School","=""0970311""","Female",3.2,4.3,4.3,"*","*"
"Newtown School District","Middle Gate Elementary School","=""0970311""","Male",2.7,6.8,5.3,"*","*"
"Newtown School District","Newtown High School","=""0976111""","Female",2.1,3.7,2.8,3.8,5.4
"Newtown School District","Newtown High School","=""0976111""","Male",1.1,2.6,2.7,3.8,5.2
"Newtown School District","Newtown Middle School","=""0975111""","Female",3.2,6.8,8.1,7.0,6.6
"Newtown School District","Newtown Middle School","=""0975111""","Male",5.2,9.8,6.1,6.0,4.9
"Newtown School District","Reed Intermediate School","=""0970511""","Female",3.6,3.7,2.9,"*",3.4
"Newtown School District","Reed Intermediate School","=""0970511""","Male",1.8,6.1,4.5,"*",2.6
"Newtown School District","STARR","=""0979011""","Female","*","*","*","*","*"
"Newtown School District","STARR","=""0979011""","Male","*","*","*","*","*"
"Newtown School District","Sandy Hook Elementary School","=""0970211""","Female","*",5.9,7.5,3.6,"*"
"Newtown School District","Sandy Hook Elementary School","=""0970211""","Male","*",3.7,4.9,4.1,"*"
"Norfolk School District","Botelle Elementary School","=""0980111""","Female","*","*","*",0.0,"*"
"Norfolk School District","Botelle Elementary School","=""0980111""","Male","*","*","*","*",0.0
"Norfolk School District","Bridges II","=""0989211""","Female","*","*","*","N/A","N/A"
"Norfolk School District","Bridges II","=""0989211""","Male","*","*","*","N/A","N/A"
"North Branford School District","Jerome Harrison School","=""0990411""","Female",3.8,4.5,"*","*","*"
"North Branford School District","Jerome Harrison School","=""0990411""","Male",6.0,3.4,"*","*","*"
"North Branford School District","North Branford High School","=""0996111""","Female",46.9,38.9,8.1,3.4,9.2
"North Branford School District","North Branford High School","=""0996111""","Male",34.5,31.7,6.7,5.9,8.3
"North Branford School District","North Branford Intermediate School","=""0995111""","Female",6.2,6.1,4.6,4.3,3.8
"North Branford School District","North Branford Intermediate School","=""0995111""","Male",4.0,7.1,6.0,5.2,3.1
"North Branford School District","Totoket Valley Elementary School","=""0990611""","Female","*",3.2,"*","*",3.3
"North Branford School District","Totoket Valley Elementary School","=""0990611""","Male","*",2.6,"*","*",3.7
"North Branford School District","School to Work Program","=""0999011""","Female","N/A","*","*","N/A","*"
"North Branford School District","School to Work Program","=""0999011""","Male","N/A","*","*","*","*"
"North Canaan School District","North Canaan Elementary School","=""1000111""","Female",11.7,13.0,7.9,"*",5.6
"North Canaan School District","North Canaan Elementary School","=""1000111""","Male",14.1,16.8,4.3,"*",5.7
"North Haven School District","Clintonville Elementary School","=""1010811""","Female","*",6.5,3.9,5.5,"*"
"North Haven School District","Clintonville Elementary School","=""1010811""","Male","*",7.9,6.9,5.4,"*"
"North Haven School District","Green Acres Elementary School","=""1010711""","Female","*",6.3,5.5,4.5,"*"
"North Haven School District","Green Acres Elementary School","=""1010711""","Male","*",4.3,5.7,6.7,"*"
"North Haven School District","Montowese Elementary School","=""1010211""","Female","*",3.1,"*","*","*"
"North Haven School District","Montowese Elementary School","=""1010211""","Male","*",5.8,"*","*","*"
"North Haven School District","North Haven High School","=""1016111""","Female",13.7,17.3,13.3,43.8,1.6
"North Haven School District","North Haven High School","=""1016111""","Male",11.4,16.0,15.3,40.1,3.0
"North Haven School District","North Haven Middle School","=""1015211""","Female",5.0,7.0,7.0,11.1,7.7
"North Haven School District","North Haven Middle School","=""1015211""","Male",8.5,7.5,7.5,9.1,8.3
"North Haven School District","Ridge Road Elementary School","=""1010311""","Female",4.1,6.5,4.5,"*",3.8
"North Haven School District","Ridge Road Elementary School","=""1010311""","Male",4.8,4.4,4.9,"*",3.0
"North Haven School District","North Haven Transition Partnership","=""1010111""","Female","N/A","N/A","N/A","*","*"
"North Haven School District","North Haven Transition Partnership","=""1010111""","Male","N/A","N/A","N/A","*","*"
"North Stonington School District","North Stonington Elementary School","=""1020111""","Female","*",6.0,0.0,0.0,3.7
"North Stonington School District","North Stonington Elementary School","=""1020111""","Male","*",3.9,0.0,0.0,3.4
"North Stonington School District","Wheeler High School","=""1026111""","Female",14.6,21.7,19.3,"*","*"
"North Stonington School District","Wheeler High School","=""1026111""","Male",18.9,18.4,15.5,"*","*"
"North Stonington School District","Wheeler Middle School","=""1025111""","Female",8.9,14.3,"*","*","*"
"North Stonington School District","Wheeler Middle School","=""1025111""","Male",12.9,12.7,"*","*","*"
"Norwalk School District","Brien McMahon High School","=""1036211""","Female",15.7,14.6,14.8,9.4,16.2
"Norwalk School District","Brien McMahon High School","=""1036211""","Male",19.1,14.5,12.3,7.7,15.2
