"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, All Students"

"Organization","School","School Code","% Chronically Absent"
"Regional School District 16","Laurel Ledge School","=""2160112""",11.3
"Regional School District 16","Long River Middle School","=""2165112""",6.1
"Regional School District 16","Prospect Elementary School","=""2160512""",2.8
"Regional School District 16","Woodland Regional High School","=""2166012""",9.4
"Regional School District 17","Haddam Elementary School","=""2170112""",3.6
"Regional School District 17","Burr District Elementary School","=""2170212""","*"
"Regional School District 17","Killingworth Elementary School","=""2170312""","*"
"Regional School District 17","Haddam-Killingworth High School","=""2176112""",8.2
"Regional School District 17","Haddam-Killingworth Middle School","=""2175112""",2.3
"Regional School District 18","Alternative Program","=""2180412""","*"
"Regional School District 18","Lyme Consolidated School","=""2180112""",5.0
"Regional School District 18","Mile Creek School","=""2180212""",4.5
"Regional School District 18","Lyme-Old Lyme Middle School","=""2185112""",4.6
"Regional School District 18","Lyme-Old Lyme High School","=""2186112""",9.9
"Regional School District 19","STAAR Program","=""2190312""","*"
"Regional School District 19","PM Panthers","=""2190212""",54.5
"Regional School District 19","E.O. Smith High School at the Depot Campus","=""2190112""",36.0
"Regional School District 19","E. O. Smith High School","=""2196112""",7.5
"Ridgefield School District","District Program BMES","=""1180111""","*"
"Ridgefield School District","District Program ERMS","=""1181011""","*"
"Ridgefield School District","District Program SES","=""1180911""","*"
"Ridgefield School District","Ridgefield 18-21 Transition Program","=""1189011""","*"
"Ridgefield School District","District Program RES","=""1180711""","*"
"Ridgefield School District","Alternative High School","=""1188011""","*"
"Ridgefield School District","Barlow Mountain Elementary School","=""1180811""","*"
"Ridgefield School District","Veterans Park Elementary School","=""1180211""",2.0
"Ridgefield School District","Farmingville Elementary School","=""1180411""","*"
"Ridgefield School District","Ridgebury Elementary School","=""1180311""",2.3
"Ridgefield School District","Scotland Elementary School","=""1180511""","*"
"Ridgefield School District","Branchville Elementary School","=""1180611""",1.8
"Ridgefield School District","Scotts Ridge Middle School","=""1185211""",3.8
"Ridgefield School District","East Ridge Middle School","=""1185111""",2.5
"Ridgefield School District","Ridgefield High School","=""1186111""",8.5
"Rocky Hill School District","Alternative Learning Program","=""1190111""","*"
"Rocky Hill School District","Pathways","=""1190311""","*"
"Rocky Hill School District","Myrtle H. Stevens School","=""1190411""",7.1
"Rocky Hill School District","Albert D. Griswold Middle School","=""1195111""",6.7
"Rocky Hill School District","West Hill School","=""1190511""",10.2
"Rocky Hill School District","Rocky Hill High School","=""1196111""",8.0
"Salem School District","Salem Elementary School","=""1210111""",4.8
"Salisbury School District","Salisbury Central School","=""1220111""",4.4
"Scotland School District","Scotland Elementary School","=""1230111""","*"
"Seymour School District","Bungay School","=""1240111""",4.8
"Seymour School District","Chatfield-LoPresti School","=""1240211""",6.8
"Seymour School District","Seymour Middle School","=""1245111""",9.0
"Seymour School District","Seymour High School","=""1246111""",11.8
"Sharon School District","Sharon Center School","=""1250111""",5.2
"Shelton School District","Mohegan School","=""1260911""",3.1
"Shelton School District","Life Skills","=""1260311""","*"
"Shelton School District","Alternative Learning Center 1","=""1260211""","*"
"Shelton School District","Work Experience","=""1260711""","*"
"Shelton School District","Sunnyside School","=""1260611""",4.4
"Shelton School District","Booth Hill School","=""1261011""",5.4
"Shelton School District","Long Hill School","=""1260811""",11.8
"Shelton School District","Elizabeth Shelton School","=""1260511""",5.8
"Shelton School District","Perry Hill Elementary School","=""1261111""",7.7
"Shelton School District","Intermediate School","=""1265111""",9.4
"Shelton School District","Shelton High School","=""1266111""",26.5
"Sherman School District","Sherman School","=""1270111""",5.8
"Side By Side Charter School District","Side By Side Charter School","=""2700113""",4.2
"Simsbury School District","Farmington Valley Transition Academy","=""1280211""",22.6
"Simsbury School District","Tariffville School","=""1280311""",2.9
"Simsbury School District","Central School","=""1280111""","*"
"Simsbury School District","Latimer Lane School","=""1280611""",2.4
"Simsbury School District","Tootin' Hills School","=""1280411""",2.1
"Simsbury School District","Squadron Line School","=""1280711""",2.3
"Simsbury School District","Henry James Memorial School","=""1285111""",5.0
"Simsbury School District","Simsbury High School","=""1286111""",7.4
"Somers School District","Aspire","=""1290511""","*"
"Somers School District","Mabelle B. Avery Middle School","=""1295111""",16.0
"Somers School District","Somers High School","=""1296111""",15.0
"Somers School District","Somers Elementary School","=""1290411""",3.0
"South Windsor School District","Pleasant Valley School","=""1320211""",1.9
"South Windsor School District","Project Worth Young Adult Academy","=""1329011""","*"
"South Windsor School District","Wapping Elementary School","=""1320411""",4.0
"South Windsor School District","Philip R. Smith School","=""1320111""","*"
"South Windsor School District","Eli Terry School","=""1320711""",2.2
"South Windsor School District","Orchard Hill School","=""1320611""",4.1
"South Windsor School District","Timothy Edwards School","=""1325111""",2.9
"South Windsor School District","South Windsor High School","=""1326211""",5.4
"Southington School District","John F. Kennedy Middle School","=""1315311""",5.6
"Southington School District","Achieve","=""1311711""","*"
"Southington School District","Therapeutic Educational Alternative Model (TEAM)","=""1311611""","*"
"Southington School District","Therapeutic Educational Setting (TEP)","=""1311211""","*"
"Southington School District","Language Based Classroom","=""1310411""","*"
"Southington School District","EASE","=""1310511""","*"
"Southington School District","Language Based Classroom, Multihandicapped","=""1311811""","*"
"Southington School District","Alta","=""1310111""",75.0
"Southington School District","South End Elementary School","=""1310711""",6.4
"Southington School District","Plantsville Elementary School","=""1310611""",3.1
"Southington School District","Strong Elementary School","=""1310811""",4.4
"Southington School District","Flanders Elementary School","=""1311311""",4.0
"Southington School District","Urbin T. Kelley School","=""1311411""","*"
"Southington School District","Hatton Elementary School","=""1310211""",2.5
"Southington School District","Thalberg Elementary School","=""1310911""",3.0
"Southington School District","Derynoski Elementary School","=""1311511""",4.7
"Southington School District","Joseph A. Depaolo Middle School","=""1315111""",5.6
"Southington School District","Southington High School","=""1316211""",8.3
"Sprague School District","Sayles School","=""1330111""",7.7
"Stafford School District","Stafford Tutoring Program","=""1340211""","*"
"Stafford School District","Staffordville School","=""1340311""",7.4
"Stafford School District","West Stafford School","=""1340411""",9.6
"Stafford School District","Stafford Middle School","=""1345211""",6.0
"Stafford School District","Stafford High School","=""1346111""",10.9
"Stafford School District","Stafford Elementary School","=""1340611""",5.2
"Stamford Academy District","Stamford Academy","=""2826013""",99.3
"Stamford Charter School for Excellence District","Stamford Charter School for Excellence","=""2960113""",8.2
"Stamford School District","Individuals Achieving Independence","=""1350211""","*"
"Stamford School District","Alternate Routes To Success","=""1350411""",20.5
"Stamford School District","Dolan School","=""1355311""",22.8
"Stamford School District","Cloonan School","=""1355611""",39.9
"Stamford School District","K. T. Murphy School","=""1350511""",4.5
"Stamford School District","Hart School","=""1352211""",5.9
"Stamford School District","Julia A. Stark School","=""1351211""",7.8
"Stamford School District","Turn of River School","=""1355511""",26.5
"Stamford School District","Roxbury School","=""1350911""",11.7
"Stamford School District","Newfield School","=""1350611""",6.6
"Stamford School District","Davenport Ridge School","=""1352011""",7.0
"Stamford School District","Springdale School","=""1351111""",3.8
"Stamford School District","Northeast School","=""1351811""",5.9
"Stamford School District","The Academy of Information Technology","=""1356411""",7.0
"Stamford School District","Toquam Magnet School","=""1351911""",9.5
"Stamford School District","Stillmeadow School","=""1352111""",11.2
"Stamford School District","Scofield Middle School","=""1355711""",5.5
"Stamford School District","Westover School","=""1351411""",4.2
"Stamford School District","Rogers International School","=""1350811""",10.2
"Stamford School District","Rippowam Middle School","=""1355811""",10.0
"Stamford School District","Stamford High School","=""1356111""",11.6
"Stamford School District","Westhill High School","=""1356311""",16.5
"Sterling School District","Sterling Community School","=""1360311""",8.0
"Stonington School District","Community Classroom","=""1370811""","*"
"Stonington School District","SAILS","=""1370711""","*"
"Stonington School District","West Broad Street School","=""1370411""",8.2
"Stonington School District","West Vine Street School","=""1370611""",16.2
"Stonington School District","Pawcatuck Middle School","=""1375111""",4.5
"Stonington School District","Deans Mill School","=""1370511""",3.1
"Stonington School District","Mystic Middle School","=""1375211""",9.7
"Stonington School District","Stonington High School","=""1376111""",3.3
"Stratford School District","Eli Whitney School","=""1381311""",7.3
"Stratford School District","ABA Whitney","=""1382411""","*"
"Stratford School District","ABA Second Hill Lane","=""1380611""","*"
"Stratford School District","ABA Nichols","=""1382511""","*"
"Stratford School District","Steps K-2 Nichols","=""1382611""","*"
"Stratford School District","DLC Whitney","=""1382311""","*"
"Stratford School District","Middle School STEPS 7-8","=""1381911""","*"
"Stratford School District","Franklin STEPS K-2","=""1382111""","*"
"Stratford School District","IPP Classroom - Johnson","=""1381111""","*"
"Stratford School District","Middle School Sails","=""1381811""","*"
"Stratford School District","High School STEPS 9-12","=""1382011""","*"
"Stratford School District","High School Sails","=""1380711""","*"
"Stratford School District","Johnson House STEPS 3-6","=""1381211""","*"
"Stratford School District","Strive-Stratford","=""1389011""","*"
"Stratford School District","ALPHA","=""1380511""",74.4
"Stratford School District","Straford Academy - Victoria Soto School","=""1382211""",6.4
"Stratford School District","Franklin School","=""1380411""",6.6
"Stratford School District","Lordship School","=""1380811""",8.2
"Stratford School District","Wilcoxson School","=""1381411""",3.7
"Stratford School District","Stratford Academy - Johnson House","=""1381511""",3.7
"Stratford School District","Nichols School","=""1380911""",6.4
"Stratford School District","Chapel School","=""1380311""",7.8
"Stratford School District","David Wooster Middle School","=""1385211""",14.6
"Stratford School District","Harry B. Flood Middle School","=""1385311""",11.5
"Stratford School District","Second Hill Lane School","=""1381011""",6.1
"Stratford School District","Stratford High School","=""1386111""",23.3
"Stratford School District","Bunnell High School","=""1386211""",14.8
"Suffield School District","A. Ward Spaulding School","=""1390411""",5.3
"Suffield School District","McAlister Intermediate School","=""1390311""",3.0
"Suffield School District","Suffield Middle School","=""1395111""",3.7
"Suffield School District","Suffield High School","=""1396111""",9.7
"The Bridge Academy District","The Bridge Academy","=""2696113""",8.6
"The Gilbert School District","The Gilbert School","=""9026122""",4.9
"Thomaston School District","Black Rock School","=""1400111""",5.0
"Thomaston School District","Thomaston Center School","=""1400211""",4.6
"Thomaston School District","Thomaston High School","=""1406211""",9.0
"Thompson School District","District Autism Program","=""1410211""","*"
"Thompson School District","Tourtellotte Memorial High School","=""1416111""",18.1
"Thompson School District","Thompson Middle School","=""1415111""",5.0
"Thompson School District","Mary R. Fisher Elementary School","=""1410111""",2.2
"Tolland School District","TALC","=""1420311""","*"
"Tolland School District","Birch Grove Primary School","=""1420111""",3.9
"Tolland School District","Tolland Intermediate School","=""1420211""",1.5
"Tolland School District","Tolland Middle School","=""1425111""",4.2
"Tolland School District","Tolland High School","=""1426111""",7.8
"Torrington School District","East School","=""1430111""",3.7
"Torrington School District","ABC / Forbes School","=""1431511""","*"
"Torrington School District","Torringford / ABC","=""1432411""","*"
"Torrington School District","Migeon Academy","=""1431411""","*"
"Torrington School District","Southwest School","=""1430811""",7.1
"Torrington School District","Forbes School","=""1430211""",6.9
"Torrington School District","Vogel-Wetmore School","=""1431311""",5.3
"Torrington School District","Torringford School","=""1430911""",4.7
"Torrington School District","Torrington High School","=""1436111""",15.6
"Torrington School District","Torrington Middle School","=""1435111""",12.0
"Trailblazers Academy District","Trailblazers Academy","=""2785113""",18.6
"Trumbull School District","Booth Hill School","=""1440111""",2.8
"Trumbull School District","Trumbull Alternative School","=""1440211""","*"
"Trumbull School District","REACH","=""1440511""","*"
"Trumbull School District","Jane Ryan School","=""1440411""",3.6
"Trumbull School District","Tashua School","=""1440911""",2.7
"Trumbull School District","Daniels Farm School","=""1440811""",1.7
"Trumbull School District","Middlebrook School","=""1440311""",6.8
"Trumbull School District","Frenchtown Elementary School","=""1441011""",2.0
"Trumbull School District","Hillcrest Middle School","=""1445211""",7.2
"Trumbull School District","Madison Middle School","=""1445111""",6.6
"Trumbull School District","Trumbull High School","=""1446111""",5.1
"Unified School District #1","New Haven Correctional Center","=""3360915""","*"
"Unified School District #1","Northern Correctional Institution","=""3362615""","*"
"Unified School District #1","Willard/Cybulski Correctional Institution","=""3361515""","*"
"Unified School District #1","Bridgeport Correctional Center","=""3360115""","*"
"Unified School District #1","Enfield Correctional Institution","=""3360415""","*"
"Unified School District #1","Hartford Correctional Center","=""3360615""","*"
"Unified School District #1","Robinson Correctional Institution","=""3361315""","*"
"Unified School District #1","MacDougall/Walker Correctional Institution","=""3362215""","*"
"Unified School District #1","Osborn Correctional Institution","=""3361215""","*"
"Unified School District #1","Garner Correctional Institution","=""3361915""","*"
"Unified School District #1","Cheshire Correctional Institution","=""3360315""","*"
"Unified School District #1","York Correctional Institution","=""3362515""","*"
"Unified School District #1","Corrigan/Radgowski Correctional Institution","=""3362415""","*"
"Unified School District #1","Manson Youth Institution","=""3361115""",39.9
"Unified School District #2","Virtual Academy","=""3470215""","*"
"Unified School District #2","Children's Place School","=""3470115""","*"
"Unified School District #2","Walter G. Cady School","=""3476715""","*"
"Unified School District #2","Riverview School","=""3470315""","*"
"Union School District","Union Elementary School","=""1450111""","*"
"Vernon School District","Northeast School","=""1460311""",5.8
"Vernon School District","Next Step Program (AACBP)","=""1469011""","*"
"Vernon School District","Loveland Hill School","=""1460511""","*"
"Vernon School District","Lake Street School","=""1460111""",3.0
"Vernon School District","Maple Street School","=""1460211""",8.2
"Vernon School District","Skinner Road School","=""1461011""",10.4
"Vernon School District","Center Road School","=""1461411""",3.5
"Vernon School District","Vernon Center Middle School","=""1465111""",7.9
"Vernon School District","Rockville High School","=""1466111""",18.4
"Voluntown School District","Voluntown Elementary School","=""1470111""","*"
"Wallingford School District","Highland School","=""1480211""",4.0
"Wallingford School District","Harvest Park","=""1489211""","*"
"Wallingford School District","Multi-Vocational Life Skills Program","=""1489111""","*"
"Wallingford School District","A.R.T.S. Academy","=""1489011""","*"
"Wallingford School District","Education Enhancement Program","=""1480511""",35.0
"Wallingford School District","Cook Hill School","=""1481011""",4.5
"Wallingford School District","Parker Farms School","=""1480311""",2.2
"Wallingford School District","Moses Y. Beach School","=""1480111""",3.0
"Wallingford School District","Evarts C. Stevens School","=""1480911""",1.9
"Wallingford School District","Yalesville School","=""1480811""","*"
"Wallingford School District","Pond Hill School","=""1481211""",2.4
"Wallingford School District","Rock Hill School","=""1480411""",4.5
"Wallingford School District","James H. Moran Middle School","=""1485311""",4.2
"Wallingford School District","Dag Hammarskjold Middle School","=""1485211""",5.6
"Wallingford School District","Mark T. Sheehan High School","=""1486211""",6.7
"Wallingford School District","Lyman Hall High School","=""1486111""",6.9
"Waterbury School District","SAGE","=""3480415""","*"
"Waterbury School District","Bridgeport Detention Center","=""3480115""","*"
"Waterbury School District","West Side Middle School","=""1515211""",19.8
"Waterbury School District","Washington School","=""1512311""",13.0
"Waterbury School District","Excel III","=""1513911""","*"
"Waterbury School District","Duggan CBL","=""1513611""","*"
"Waterbury School District","Crosby Autism","=""1514511""","*"
"Waterbury School District","Michael F. Wallace Autism","=""1512911""","*"
"Waterbury School District","North End ESC","=""1511811""","*"
"Waterbury School District","Carrington ESC","=""1511911""","*"
"Waterbury School District","Crosby NVCC (Waterbury Transition Learning Center)","=""1514011""","*"
"Waterbury School District","Wilby ESC","=""1511711""","*"
"Waterbury School District","Woodrow Wilson BDLC","=""1511211""",42.9
"Waterbury School District","B.W. Tinker BDLC","=""1510411""",27.3
"Waterbury School District","Bunker Hill BDLC","=""1510111""",25.0
"Waterbury School District","Reed ESC","=""1512411""",50.0
"Waterbury School District","Margaret M. Generali Autism","=""1513511""","*"
"Waterbury School District","State Street School","=""1519011""",81.0
"Waterbury School District","Hopeville Bilingual","=""1514211""",11.8
"Waterbury School District","Chase Bilingual","=""1514111""",9.5
"Waterbury School District","Enlightenment School","=""1519111""",95.1
"Waterbury School District","Bucks Hill Bilingual","=""1514311""",12.0
"Waterbury School District","Regan School","=""1512811""",4.5
"Waterbury School District","Wendell L. Cross School","=""1510811""",4.1
"Waterbury School District","Waterbury Arts Magnet School (Middle)","=""1515011""",6.5
"Waterbury School District","Hopeville School","=""1511311""",13.7
"Waterbury School District","Woodrow Wilson School","=""1513211""",10.3
"Waterbury School District","Walsh School","=""1512211""",12.9
"Waterbury School District","Reed School","=""1513411""",10.0
"Waterbury School District","Bucks Hill School","=""1510511""",11.9
"Waterbury School District","Duggan School","=""1511611""",9.6
"Waterbury School District","Sprague School","=""1512011""",6.2
"Waterbury School District","Gilmartin School","=""1512611""",9.3
"Waterbury School District","Waterbury Arts Magnet School (High)","=""1516011""",10.5
"Waterbury School District","Bunker Hill School","=""1510611""",10.7
"Waterbury School District","Carrington School","=""1512711""",6.4
"Waterbury School District","Maloney Interdistrict Magnet School","=""1513111""",3.1
"Waterbury School District","Driggs School","=""1510911""",20.6
"Waterbury School District","F. J. Kingsbury School","=""1511411""",7.1
"Waterbury School District","Rotella Interdistrict Magnet School","=""1513311""",2.2
"Waterbury School District","Margaret M. Generali Elementary School","=""1511111""",5.3
"Waterbury School District","B. W. Tinker School","=""1512111""",7.4
"Waterbury School District","Waterbury Career Academy","=""1516711""",5.2
"Waterbury School District","H. S. Chase School","=""1510711""",4.9
"Waterbury School District","North End Middle School","=""1515311""",19.5
"Waterbury School District","Wilby High School","=""1516311""",34.2
"Waterbury School District","Crosby High School","=""1516211""",32.0
"Waterbury School District","Michael F. Wallace Middle School","=""1515111""",15.4
"Waterbury School District","John F. Kennedy High School","=""1516411""",30.9
"Waterford School District","Autism Class","=""1521111""","*"
"Waterford School District","Waterford High School Tutor Center","=""1521211""","*"
"Waterford School District","Avery Point Transition Program","=""1520311""","*"
"Waterford School District","Great Neck Elementary School","=""1520211""","*"
"Waterford School District","Quaker Hill Elementary School","=""1520711""",5.2
"Waterford School District","Oswegatchie Elementary School","=""1520611""",1.6
"Waterford School District","Clark Lane Middle School","=""1525111""",5.8
"Waterford School District","Waterford High School","=""1526111""",8.7
"Watertown School District","Fletcher W. Judson School","=""1530311""",3.4
"Watertown School District","Polk School","=""1530411""",5.2
"Watertown School District","John Trumbull Primary School","=""1530211""",5.7
"Watertown School District","Swift Middle School","=""1535111""",5.5
"Watertown School District","Watertown High School","=""1536111""",13.5
"West Hartford School District","Smith School","=""1551711""",8.5
"West Hartford School District","Achieve","=""1559111""","*"
"West Hartford School District","REACH","=""1557311""",42.9
"West Hartford School District","Braeburn Learning Center","=""1559311""","*"
"West Hartford School District","Norfeldt Learning Center","=""1559411""","*"
"West Hartford School District","Wolcott Learning Center","=""1559611""","*"
"West Hartford School District","Whiting Lane Learning Center","=""1559511""","*"
"West Hartford School District","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""","*"
"West Hartford School District","Strive-West Hartford","=""1559211""",68.8
"West Hartford School District","Morley School","=""1550911""",4.1
"West Hartford School District","Charter Oak International Academy","=""1550511""",4.3
"West Hartford School District","Braeburn School","=""1550211""",1.7
"West Hartford School District","Whiting Lane School","=""1551311""",7.9
"West Hartford School District","Norfeldt School","=""1551011""",2.0
"West Hartford School District","Aiken School","=""1551611""",2.3
"West Hartford School District","Bristow Middle School","=""1555311""",1.9
"West Hartford School District","Webster Hill School","=""1551211""",8.1
"West Hartford School District","Bugbee School","=""1550411""","*"
"West Hartford School District","Wolcott School","=""1551511""",3.8
"West Hartford School District","Duffy School","=""1550611""",1.8
"West Hartford School District","Sedgwick Middle School","=""1555211""",6.1
"West Hartford School District","King Philip Middle School","=""1555111""",4.1
"West Hartford School District","Hall High School","=""1556211""",6.1
"West Hartford School District","Conard High School","=""1556111""",5.8
"West Haven School District","Washington School","=""1561211""",11.2
"West Haven School District","Life Skills","=""1560111""","*"
"West Haven School District","ASD Lab","=""1561111""","*"
"West Haven School District","Blended (Molloy)","=""1560511""",64.0
"West Haven School District","PACE","=""1560211""",64.3
"West Haven School District","Blended","=""1560711""",14.9
"West Haven School District","Edith E. Mackrille School","=""1560611""",2.5
"West Haven School District","Alma E. Pagels School","=""1560811""",10.9
"West Haven School District","Seth G. Haley School","=""1560411""",8.4
"West Haven School District","Forest School","=""1560311""",7.8
"West Haven School District","Savin Rock Community School","=""1561411""",8.5
"West Haven School District","Harry M. Bailey Middle School","=""1565111""",14.3
"West Haven School District","Carrigan 5/6 Intermediate School","=""1565311""",11.0
"West Haven School District","West Haven High School","=""1566111""",11.1
"Westbrook School District","Daisy Ingraham School","=""1540211""",3.1
"Westbrook School District","Westbrook Middle School","=""1545111""","*"
"Westbrook School District","Westbrook High School","=""1546111""",7.7
"Weston School District","Hurlbutt Elementary School","=""1570111""",3.7
"Weston School District","Weston Intermediate School","=""1570211""",3.0
"Weston School District","Weston Middle School","=""1575111""",3.6
"Weston School District","Weston High School","=""1576111""",5.3
"Westport School District","Green's Farms Segregated","=""1580211""","*"
"Westport School District","King's Highway Segregated","=""1580611""","*"
"Westport School District","CES Segregated","=""1580111""","*"
"Westport School District","Coleytown Elementary School","=""1580311""","*"
"Westport School District","Green's Farms School","=""1580411""",4.1
"Westport School District","King's Highway Elementary School","=""1580511""",2.0
"Westport School District","Coleytown Middle School","=""1585311""",3.5
"Westport School District","Saugatuck Elementary School","=""1580811""",1.5
"Westport School District","Long Lots School","=""1580711""","*"
"Westport School District","Bedford Middle School","=""1585111""",4.2
"Westport School District","Staples High School","=""1586111""",2.0
"Wethersfield School District","Samuel B. Webb Elementary School","=""1591211""","*"
"Wethersfield School District","Charles Wright School","=""1591011""",1.8
"Wethersfield School District","Alfred W. Hanmer School","=""1590811""",2.5
"Wethersfield School District","Emerson-Williams School","=""1590211""",2.1
"Wethersfield School District","Highcrest School","=""1591111""",2.3
"Wethersfield School District","Silas Deane Middle School","=""1595211""",3.3
"Wethersfield School District","Wethersfield High School","=""1596111""",5.7
"Willington School District","Center School","=""1600111""","*"
"Willington School District","Hall Memorial School","=""1605111""",7.4
"Wilton School District","Middlebrook School","=""1615211""",2.2
"Wilton School District","Wilton-Westport Evening School","=""1610111""","*"
"Wilton School District","Miller-Driscoll School","=""1610511""",1.8
"Wilton School District","Cider Mill School","=""1610711""",1.3
"Wilton School District","Wilton High School","=""1616111""",9.1
"Winchester School District","Batcheller Early Education Center","=""1620411""",12.2
"Winchester School District","Pearson Middle School","=""1625111""",4.1
"Winchester School District","Mary P. Hinsdale School","=""1620211""",3.9
"Windham School District","Sweeney Medically Fragile Program","=""1630911""","*"
"Windham School District","North Windham ASD Program","=""1630811""","*"
"Windham School District","W. B. Sweeney School","=""1630611""",14.5
"Windham School District","Windham Center School","=""1630511""",17.7
"Windham School District","Natchaug School","=""1630111""",13.8
"Windham School District","North Windham School","=""1630311""",10.2
"Windham School District","Charles H. Barrows STEM Academy","=""1630411""",4.8
"Windham School District","Windham High School","=""1636111""",31.8
"Windham School District","Windham Middle School","=""1635111""",16.4
"Windsor Locks School District","North Street School","=""1650111""",8.4
"Windsor Locks School District","RISE Transition Academy","=""1650211""","*"
"Windsor Locks School District","Pine Meadow Academy","=""1650611""",71.8
"Windsor Locks School District","Windsor Locks Middle School","=""1655111""",10.7
"Windsor Locks School District","South Elementary School","=""1650411""",6.1
"Windsor Locks School District","Windsor Locks High School","=""1656111""",15.6
"Windsor School District","Plato Credit Recovery","=""1640611""","*"
"Windsor School District","Expulsion","=""1640411""","*"
"Windsor School District","Spark","=""1640311""","*"
"Windsor School District","Community Based Transition Academy","=""1640211""","*"
"Windsor School District","Poquonock Elementary School","=""1640511""",10.0
"Windsor School District","Clover Street School","=""1640111""",3.4
"Windsor School District","Oliver Ellsworth School","=""1640911""",4.4
"Windsor School District","John F. Kennedy School","=""1640811""",4.0
"Windsor School District","Sage Park Middle School","=""1645311""",8.2
"Windsor School District","Windsor High School","=""1646111""",12.2
"Wolcott School District","ABC Classroom","=""1660311""","*"
"Wolcott School District","Phoenix Program","=""1660411""","*"
"Wolcott School District","Alcott School","=""1660611""","*"
"Wolcott School District","Frisbie School","=""1660211""","*"
"Wolcott School District","Wakelee School","=""1660511""",1.8
"Wolcott School District","Tyrrell Middle School","=""1665111""",1.3
"Wolcott School District","Wolcott High School","=""1666111""",6.2
"Woodbridge School District","Beecher Road School","=""1670311""",4.7
"Woodstock Academy District","Woodstock Academy","=""9036122""",6.3
"Woodstock School District","Woodstock Elementary School","=""1690211""",2.7
"Woodstock School District","Woodstock Middle School","=""1695111""",1.6

