"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, Grade"

"Organization","School","School Code","Grade","% Chronically Absent"
"Manchester School District","Elementary Site 2","=""0771111""","Grade   1","*"
"Manchester School District","Elementary Site 2","=""0771111""","Grade   2","*"
"Manchester School District","Elementary Site 2","=""0771111""","Grade   3","*"
"Manchester School District","Elisabeth M. Bennet Academy","=""0771711""","Grade   5","*"
"Manchester School District","Elisabeth M. Bennet Academy","=""0771711""","Grade   6","*"
"Manchester School District","Illing Middle School","=""0775311""","Grade   6","*"
"Manchester School District","Illing Middle School","=""0775311""","Grade   7",10.8
"Manchester School District","Illing Middle School","=""0775311""","Grade   8","*"
"Manchester School District","Bentley Alternative Education Program","=""0770211""","Grade   7","*"
"Manchester School District","Bentley Alternative Education Program","=""0770211""","Grade   8","*"
"Manchester School District","Bentley Alternative Education Program","=""0770211""","Grade   9","*"
"Manchester School District","Bentley Alternative Education Program","=""0770211""","Grade 10","*"
"Manchester School District","Bentley Alternative Education Program","=""0770211""","Grade 11","*"
"Manchester School District","Bentley Alternative Education Program","=""0770211""","Grade 12","*"
"Manchester School District","Manchester Regional Academy","=""0779011""","Grade   7","*"
"Manchester School District","Manchester Regional Academy","=""0779011""","Grade   8","*"
"Manchester School District","Manchester Regional Academy","=""0779011""","Grade   9","*"
"Manchester School District","Manchester Regional Academy","=""0779011""","Grade 10","*"
"Manchester School District","Manchester Regional Academy","=""0779011""","Grade 11","*"
"Manchester School District","Manchester Regional Academy","=""0779011""","Grade 12","*"
"Manchester School District","New Horizons","=""0770711""","Grade   7","*"
"Manchester School District","New Horizons","=""0770711""","Grade   8","*"
"Manchester School District","New Horizons","=""0770711""","Grade   9","*"
"Manchester School District","New Horizons","=""0770711""","Grade 10","*"
"Manchester School District","New Horizons","=""0770711""","Grade 11","*"
"Manchester School District","New Horizons","=""0770711""","Grade 12","*"
"Manchester School District","Manchester High School","=""0776111""","Grade   9",18.1
"Manchester School District","Manchester High School","=""0776111""","Grade 10",23.2
"Manchester School District","Manchester High School","=""0776111""","Grade 11",27.7
"Manchester School District","Manchester High School","=""0776111""","Grade 12",29.7
"Manchester School District","Manchester Transition Center","=""0779111""","Grade 12","*"
"Mansfield School District","Annie E. Vinton School","=""0780411""","Kindergarten","*"
"Mansfield School District","Annie E. Vinton School","=""0780411""","Grade   1","*"
"Mansfield School District","Annie E. Vinton School","=""0780411""","Grade   2","*"
"Mansfield School District","Annie E. Vinton School","=""0780411""","Grade   3",0.0
"Mansfield School District","Annie E. Vinton School","=""0780411""","Grade   4","*"
"Mansfield School District","Dorothy C. Goodwin School","=""0780211""","Kindergarten","*"
"Mansfield School District","Dorothy C. Goodwin School","=""0780211""","Grade   1","*"
"Mansfield School District","Dorothy C. Goodwin School","=""0780211""","Grade   2","*"
"Mansfield School District","Dorothy C. Goodwin School","=""0780211""","Grade   3","*"
"Mansfield School District","Dorothy C. Goodwin School","=""0780211""","Grade   4","*"
"Mansfield School District","Southeast Elementary School","=""0780511""","Kindergarten","*"
"Mansfield School District","Southeast Elementary School","=""0780511""","Grade   1","*"
"Mansfield School District","Southeast Elementary School","=""0780511""","Grade   2","*"
"Mansfield School District","Southeast Elementary School","=""0780511""","Grade   3","*"
"Mansfield School District","Southeast Elementary School","=""0780511""","Grade   4","*"
"Mansfield School District","Mansfield Middle School School","=""0785111""","Grade   5","*"
"Mansfield School District","Mansfield Middle School School","=""0785111""","Grade   6","*"
"Mansfield School District","Mansfield Middle School School","=""0785111""","Grade   7",6.9
"Mansfield School District","Mansfield Middle School School","=""0785111""","Grade   8",6.6
"Marlborough School District","Elmer Thienes-Mary Hall Elementary School","=""0790111""","Kindergarten","*"
"Marlborough School District","Elmer Thienes-Mary Hall Elementary School","=""0790111""","Grade   1","*"
"Marlborough School District","Elmer Thienes-Mary Hall Elementary School","=""0790111""","Grade   2","*"
"Marlborough School District","Elmer Thienes-Mary Hall Elementary School","=""0790111""","Grade   3","*"
"Marlborough School District","Elmer Thienes-Mary Hall Elementary School","=""0790111""","Grade   4","*"
"Marlborough School District","Elmer Thienes-Mary Hall Elementary School","=""0790111""","Grade   5","*"
"Marlborough School District","Elmer Thienes-Mary Hall Elementary School","=""0790111""","Grade   6","*"
"Meriden School District","Nathan Hale School","=""0800711""","Kindergarten",9.9
"Meriden School District","Nathan Hale School","=""0800711""","Grade   1",6.8
"Meriden School District","Nathan Hale School","=""0800711""","Grade   2",8.8
"Meriden School District","Nathan Hale School","=""0800711""","Grade   3",6.8
"Meriden School District","Nathan Hale School","=""0800711""","Grade   4",7.4
"Meriden School District","Nathan Hale School","=""0800711""","Grade   5",6.4
"Meriden School District","Benjamin Franklin School","=""0800111""","Kindergarten","*"
"Meriden School District","Benjamin Franklin School","=""0800111""","Grade   1","*"
"Meriden School District","Benjamin Franklin School","=""0800111""","Grade   2","*"
"Meriden School District","Benjamin Franklin School","=""0800111""","Grade   3",10.3
"Meriden School District","Benjamin Franklin School","=""0800111""","Grade   4","*"
"Meriden School District","Benjamin Franklin School","=""0800111""","Grade   5","*"
"Meriden School District","Hanover School","=""0800311""","Kindergarten",12.4
"Meriden School District","Hanover School","=""0800311""","Grade   1","*"
"Meriden School District","Hanover School","=""0800311""","Grade   2","*"
"Meriden School District","Hanover School","=""0800311""","Grade   3","*"
"Meriden School District","Hanover School","=""0800311""","Grade   4","*"
"Meriden School District","Hanover School","=""0800311""","Grade   5","*"
"Meriden School District","Israel Putnam School","=""0800411""","Kindergarten",13.8
"Meriden School District","Israel Putnam School","=""0800411""","Grade   1",10.5
"Meriden School District","Israel Putnam School","=""0800411""","Grade   2",6.8
"Meriden School District","Israel Putnam School","=""0800411""","Grade   3",5.8
"Meriden School District","Israel Putnam School","=""0800411""","Grade   4",9.8
"Meriden School District","Israel Putnam School","=""0800411""","Grade   5",9.0
"Meriden School District","John Barry School","=""0800511""","Kindergarten",9.8
"Meriden School District","John Barry School","=""0800511""","Grade   1",7.4
"Meriden School District","John Barry School","=""0800511""","Grade   2",11.3
"Meriden School District","John Barry School","=""0800511""","Grade   3",8.5
"Meriden School District","John Barry School","=""0800511""","Grade   4",8.5
"Meriden School District","John Barry School","=""0800511""","Grade   5",9.7
"Meriden School District","Roger Sherman School","=""0800811""","Kindergarten",25.3
"Meriden School District","Roger Sherman School","=""0800811""","Grade   1",12.8
"Meriden School District","Roger Sherman School","=""0800811""","Grade   2","*"
"Meriden School District","Roger Sherman School","=""0800811""","Grade   3",10.6
"Meriden School District","Roger Sherman School","=""0800811""","Grade   4",10.0
"Meriden School District","Roger Sherman School","=""0800811""","Grade   5","*"
"Meriden School District","STARS-Meriden School District","=""0800611""","Kindergarten","*"
"Meriden School District","STARS-Meriden School District","=""0800611""","Grade   1","*"
"Meriden School District","STARS-Meriden School District","=""0800611""","Grade   2","*"
"Meriden School District","STARS-Meriden School District","=""0800611""","Grade   3","*"
"Meriden School District","STARS-Meriden School District","=""0800611""","Grade   4","*"
"Meriden School District","STARS-Meriden School District","=""0800611""","Grade   5","*"
"Meriden School District","STEP-Meriden School District","=""0800911""","Kindergarten","*"
"Meriden School District","STEP-Meriden School District","=""0800911""","Grade   1","*"
"Meriden School District","STEP-Meriden School District","=""0800911""","Grade   2","*"
"Meriden School District","STEP-Meriden School District","=""0800911""","Grade   3","*"
"Meriden School District","STEP-Meriden School District","=""0800911""","Grade   4","*"
"Meriden School District","STEP-Meriden School District","=""0800911""","Grade   5","*"
"Meriden School District","Thomas Hooker School","=""0801011""","Kindergarten","*"
"Meriden School District","Thomas Hooker School","=""0801011""","Grade   1",8.3
"Meriden School District","Thomas Hooker School","=""0801011""","Grade   2",0.0
"Meriden School District","Thomas Hooker School","=""0801011""","Grade   3","*"
"Meriden School District","Thomas Hooker School","=""0801011""","Grade   4","*"
"Meriden School District","Thomas Hooker School","=""0801011""","Grade   5","*"
"Meriden School District","Casimir Pulaski School","=""0801111""","Grade   1",10.4
"Meriden School District","Casimir Pulaski School","=""0801111""","Grade   2",7.8
"Meriden School District","Casimir Pulaski School","=""0801111""","Grade   3","*"
"Meriden School District","Casimir Pulaski School","=""0801111""","Grade   4",5.4
"Meriden School District","Casimir Pulaski School","=""0801111""","Grade   5","*"
"Meriden School District","Lincoln Middle School","=""0805211""","Grade   6",12.7
"Meriden School District","Lincoln Middle School","=""0805211""","Grade   7",10.1
"Meriden School District","Lincoln Middle School","=""0805211""","Grade   8",12.2
"Meriden School District","Steps-Meriden School District","=""0801211""","Grade   6","*"
"Meriden School District","Steps-Meriden School District","=""0801211""","Grade   7","*"
"Meriden School District","Steps-Meriden School District","=""0801211""","Grade   8","*"
"Meriden School District","Washington Middle School","=""0805411""","Grade   6",13.2
"Meriden School District","Washington Middle School","=""0805411""","Grade   7",15.0
"Meriden School District","Washington Middle School","=""0805411""","Grade   8",22.0
"Meriden School District","Venture Academy-Meriden School District","=""0801311""","Grade   8","*"
"Meriden School District","Venture Academy-Meriden School District","=""0801311""","Grade   9",95.7
"Meriden School District","Venture Academy-Meriden School District","=""0801311""","Grade 10","*"
"Meriden School District","Venture Academy-Meriden School District","=""0801311""","Grade 11","*"
"Meriden School District","Venture Academy-Meriden School District","=""0801311""","Grade 12","*"
"Meriden School District","Francis T. Maloney High School","=""0806111""","Grade   9",20.6
"Meriden School District","Francis T. Maloney High School","=""0806111""","Grade 10",15.2
"Meriden School District","Francis T. Maloney High School","=""0806111""","Grade 11",10.8
"Meriden School District","Francis T. Maloney High School","=""0806111""","Grade 12",16.7
"Meriden School District","Orville H. Platt High School","=""0806211""","Grade   9",19.3
"Meriden School District","Orville H. Platt High School","=""0806211""","Grade 10",21.1
"Meriden School District","Orville H. Platt High School","=""0806211""","Grade 11",16.1
"Meriden School District","Orville H. Platt High School","=""0806211""","Grade 12",19.5
"Meriden School District","Success Academy","=""0801411""","Grade   9","*"
"Meriden School District","Success Academy","=""0801411""","Grade 10","*"
"Meriden School District","Success Academy","=""0801411""","Grade 11","*"
"Meriden School District","Success Academy","=""0801411""","Grade 12","*"
"Meriden School District","Community Classroom Collaborative-Meriden School District","=""0800211""","Grade 12","*"
"Middletown School District","Bielefield School","=""0830211""","Kindergarten",0.0
"Middletown School District","Bielefield School","=""0830211""","Grade   1","*"
"Middletown School District","Bielefield School","=""0830211""","Grade   2","*"
"Middletown School District","Bielefield School","=""0830211""","Grade   3","*"
"Middletown School District","Bielefield School","=""0830211""","Grade   4","*"
"Middletown School District","Bielefield School","=""0830211""","Grade   5","*"
"Middletown School District","Farm Hill School","=""0830511""","Kindergarten","*"
"Middletown School District","Farm Hill School","=""0830511""","Grade   1","*"
"Middletown School District","Farm Hill School","=""0830511""","Grade   2","*"
"Middletown School District","Farm Hill School","=""0830511""","Grade   3","*"
"Middletown School District","Farm Hill School","=""0830511""","Grade   4","*"
"Middletown School District","Farm Hill School","=""0830511""","Grade   5","*"
"Middletown School District","ICM - Farm Hill","=""0830611""","Kindergarten","*"
"Middletown School District","ICM - Farm Hill","=""0830611""","Grade   1","*"
"Middletown School District","Lawrence School","=""0831311""","Kindergarten","*"
"Middletown School District","Lawrence School","=""0831311""","Grade   1","*"
"Middletown School District","Lawrence School","=""0831311""","Grade   2","*"
"Middletown School District","Lawrence School","=""0831311""","Grade   3",0.0
"Middletown School District","Lawrence School","=""0831311""","Grade   4",0.0
"Middletown School District","Lawrence School","=""0831311""","Grade   5",0.0
"Middletown School District","MacDonough School","=""0830911""","Kindergarten","*"
"Middletown School District","MacDonough School","=""0830911""","Grade   1","*"
"Middletown School District","MacDonough School","=""0830911""","Grade   2","*"
"Middletown School District","MacDonough School","=""0830911""","Grade   3",0.0
"Middletown School District","MacDonough School","=""0830911""","Grade   4","*"
"Middletown School District","MacDonough School","=""0830911""","Grade   5","*"
"Middletown School District","Moody School","=""0831211""","Kindergarten","*"
"Middletown School District","Moody School","=""0831211""","Grade   1",0.0
"Middletown School District","Moody School","=""0831211""","Grade   2",0.0
"Middletown School District","Moody School","=""0831211""","Grade   3",0.0
"Middletown School District","Moody School","=""0831211""","Grade   4",0.0
"Middletown School District","Moody School","=""0831211""","Grade   5",0.0
"Middletown School District","Snow School","=""0831111""","Kindergarten",0.0
"Middletown School District","Snow School","=""0831111""","Grade   1","*"
"Middletown School District","Snow School","=""0831111""","Grade   2","*"
"Middletown School District","Snow School","=""0831111""","Grade   3","*"
"Middletown School District","Snow School","=""0831111""","Grade   4","*"
"Middletown School District","Snow School","=""0831111""","Grade   5","*"
"Middletown School District","Spencer School","=""0830111""","Kindergarten","*"
"Middletown School District","Spencer School","=""0830111""","Grade   1",0.0
"Middletown School District","Spencer School","=""0830111""","Grade   2","*"
"Middletown School District","Spencer School","=""0830111""","Grade   3","*"
"Middletown School District","Spencer School","=""0830111""","Grade   4",0.0
"Middletown School District","Spencer School","=""0830111""","Grade   5","*"
"Middletown School District","Wesley School","=""0831411""","Kindergarten","*"
"Middletown School District","Wesley School","=""0831411""","Grade   1","*"
"Middletown School District","Wesley School","=""0831411""","Grade   2","*"
"Middletown School District","Wesley School","=""0831411""","Grade   3","*"
"Middletown School District","Wesley School","=""0831411""","Grade   4","*"
"Middletown School District","Wesley School","=""0831411""","Grade   5","*"
"Middletown School District","ICM - Wesley","=""0830811""","Grade   1","*"
"Middletown School District","ICM - Wesley","=""0830811""","Grade   2","*"
"Middletown School District","ICM - Wesley","=""0830811""","Grade   3","*"
"Middletown School District","ICM - Wesley","=""0830811""","Grade   4","*"
"Middletown School District","ICM - Wesley","=""0830811""","Grade   5","*"
"Middletown School District","ICM - Lawrence","=""0830711""","Grade   2","*"
"Middletown School District","ICM - Lawrence","=""0830711""","Grade   5","*"
"Middletown School District","ICM - Spencer","=""0832011""","Grade   3","*"
"Middletown School District","ICM - Spencer","=""0832011""","Grade   4","*"
"Middletown School District","ICM - Spencer","=""0832011""","Grade   5","*"
"Middletown School District","STEM - Macdonough","=""0832111""","Grade   4","*"
"Middletown School District","STEM - Macdonough","=""0832111""","Grade   5","*"
"Middletown School District","Keigwin Middle School","=""0831511""","Grade   6",10.1
"Middletown School District","OASIS","=""0830311""","Grade   6","*"
"Middletown School District","OASIS","=""0830311""","Grade   7","*"
"Middletown School District","OASIS","=""0830311""","Grade   8","*"
"Middletown School District","ICM- Woodrow Wilson Middle School","=""0830411""","Grade   7","*"
"Middletown School District","ICM- Woodrow Wilson Middle School","=""0830411""","Grade   8","*"
"Middletown School District","Woodrow Wilson Middle School","=""0835411""","Grade   7",7.7
"Middletown School District","Woodrow Wilson Middle School","=""0835411""","Grade   8",4.5
"Middletown School District","MHS - Alternative Education Program 1","=""0831811""","Grade   9","*"
"Middletown School District","MHS - Alternative Education Program 1","=""0831811""","Grade 10","*"
"Middletown School District","MHS - Alternative Education Program 1","=""0831811""","Grade 12","*"
"Middletown School District","MHS - Alternative Education Program 2","=""0831911""","Grade   9","*"
"Middletown School District","MHS - Alternative Education Program 2","=""0831911""","Grade 11","*"
"Middletown School District","MHS - Alternative Education Program 2","=""0831911""","Grade 12","*"
"Middletown School District","MHS- Alternative Education Program 3","=""0832211""","Grade   9","*"
"Middletown School District","MHS- Alternative Education Program 3","=""0832211""","Grade 10","*"
"Middletown School District","MHS- Alternative Education Program 3","=""0832211""","Grade 11","*"
"Middletown School District","MHS- Alternative Education Program 3","=""0832211""","Grade 12","*"
"Middletown School District","Middletown High School","=""0836211""","Grade   9",15.8
"Middletown School District","Middletown High School","=""0836211""","Grade 10",10.6
"Middletown School District","Middletown High School","=""0836211""","Grade 11",12.8
"Middletown School District","Middletown High School","=""0836211""","Grade 12",20.4
"Middletown School District","Transition to Life Center","=""0839111""","Grade   9","*"
"Middletown School District","Transition to Life Center","=""0839111""","Grade 11","*"
"Middletown School District","Transition to Life Center","=""0839111""","Grade 12",52.2
"Middletown School District","Virtual Learning Academy - MHS","=""0831711""","Grade   9","*"
"Middletown School District","Virtual Learning Academy - MHS","=""0831711""","Grade 10","*"
"Middletown School District","Virtual Learning Academy - MHS","=""0831711""","Grade 11","*"
"Middletown School District","Virtual Learning Academy - MHS","=""0831711""","Grade 12","*"
"Middletown School District","Evening Program - MHS","=""0831611""","Grade 10","*"
"Middletown School District","Evening Program - MHS","=""0831611""","Grade 11","*"
"Middletown School District","Evening Program - MHS","=""0831611""","Grade 12","*"
"Milford School District","Calf Pen Meadow School","=""0840111""","Kindergarten","*"
"Milford School District","Calf Pen Meadow School","=""0840111""","Grade   1","*"
"Milford School District","Calf Pen Meadow School","=""0840111""","Grade   2",0.0
"Milford School District","Calf Pen Meadow School","=""0840111""","Grade   3","*"
"Milford School District","Calf Pen Meadow School","=""0840111""","Grade   4",0.0
"Milford School District","Calf Pen Meadow School","=""0840111""","Grade   5",0.0
"Milford School District","J. F. Kennedy School","=""0841911""","Kindergarten","*"
"Milford School District","J. F. Kennedy School","=""0841911""","Grade   1","*"
"Milford School District","J. F. Kennedy School","=""0841911""","Grade   2",0.0
"Milford School District","J. F. Kennedy School","=""0841911""","Grade   3","*"
"Milford School District","J. F. Kennedy School","=""0841911""","Grade   4",0.0
"Milford School District","J. F. Kennedy School","=""0841911""","Grade   5","*"
"Milford School District","Live Oaks School","=""0841611""","Kindergarten","*"
"Milford School District","Live Oaks School","=""0841611""","Grade   1","*"
"Milford School District","Live Oaks School","=""0841611""","Grade   2","*"
"Milford School District","Live Oaks School","=""0841611""","Grade   3","*"
"Milford School District","Live Oaks School","=""0841611""","Grade   4",0.0
"Milford School District","Live Oaks School","=""0841611""","Grade   5","*"
"Milford School District","Mathewson School","=""0841711""","Kindergarten","*"
"Milford School District","Mathewson School","=""0841711""","Grade   1","*"
"Milford School District","Mathewson School","=""0841711""","Grade   2","*"
"Milford School District","Mathewson School","=""0841711""","Grade   3","*"
"Milford School District","Mathewson School","=""0841711""","Grade   4",0.0
"Milford School District","Mathewson School","=""0841711""","Grade   5","*"
"Milford School District","Meadowside School","=""0840711""","Kindergarten","*"
"Milford School District","Meadowside School","=""0840711""","Grade   1",11.8
"Milford School District","Meadowside School","=""0840711""","Grade   2","*"
"Milford School District","Meadowside School","=""0840711""","Grade   3","*"
"Milford School District","Meadowside School","=""0840711""","Grade   4","*"
"Milford School District","Meadowside School","=""0840711""","Grade   5","*"
"Milford School District","Orange Avenue School","=""0840811""","Kindergarten","*"
"Milford School District","Orange Avenue School","=""0840811""","Grade   1",0.0
"Milford School District","Orange Avenue School","=""0840811""","Grade   2",0.0
"Milford School District","Orange Avenue School","=""0840811""","Grade   3","*"
"Milford School District","Orange Avenue School","=""0840811""","Grade   4","*"
"Milford School District","Orange Avenue School","=""0840811""","Grade   5","*"
"Milford School District","Orchard Hills School","=""0841811""","Kindergarten","*"
"Milford School District","Orchard Hills School","=""0841811""","Grade   1",0.0
"Milford School District","Orchard Hills School","=""0841811""","Grade   2","*"
"Milford School District","Orchard Hills School","=""0841811""","Grade   3","*"
"Milford School District","Orchard Hills School","=""0841811""","Grade   4","*"
"Milford School District","Orchard Hills School","=""0841811""","Grade   5","*"
"Milford School District","Pumpkin Delight School","=""0841011""","Kindergarten","*"
"Milford School District","Pumpkin Delight School","=""0841011""","Grade   1","*"
"Milford School District","Pumpkin Delight School","=""0841011""","Grade   2",14.3
"Milford School District","Pumpkin Delight School","=""0841011""","Grade   3","*"
"Milford School District","Pumpkin Delight School","=""0841011""","Grade   4","*"
"Milford School District","Pumpkin Delight School","=""0841011""","Grade   5","*"
"Milford School District","East Shore Middle School","=""0845111""","Grade   6","*"
"Milford School District","East Shore Middle School","=""0845111""","Grade   7","*"
"Milford School District","East Shore Middle School","=""0845111""","Grade   8",5.7
"Milford School District","Harborside Middle School","=""0845211""","Grade   6","*"
"Milford School District","Harborside Middle School","=""0845211""","Grade   7","*"
"Milford School District","Harborside Middle School","=""0845211""","Grade   8",6.3
"Milford School District","West Shore Middle School","=""0845311""","Grade   6",9.0
"Milford School District","West Shore Middle School","=""0845311""","Grade   7",4.2
"Milford School District","West Shore Middle School","=""0845311""","Grade   8",8.9
"Milford School District","Jonathan Law High School","=""0846211""","Grade   9",7.9
"Milford School District","Jonathan Law High School","=""0846211""","Grade 10",10.9
"Milford School District","Jonathan Law High School","=""0846211""","Grade 11",10.2
"Milford School District","Jonathan Law High School","=""0846211""","Grade 12",24.1
"Milford School District","Joseph A. Foran High School","=""0846311""","Grade   9",4.4
"Milford School District","Joseph A. Foran High School","=""0846311""","Grade 10",7.6
"Milford School District","Joseph A. Foran High School","=""0846311""","Grade 11",10.0
"Milford School District","Joseph A. Foran High School","=""0846311""","Grade 12",15.9
"Milford School District","The Academy","=""0840311""","Grade   9","*"
"Milford School District","The Academy","=""0840311""","Grade 10","*"
"Milford School District","The Academy","=""0840311""","Grade 11",72.7
"Milford School District","The Academy","=""0840311""","Grade 12","*"
"Monroe School District","Fawn Hollow Elementary School","=""0850511""","Kindergarten","*"
"Monroe School District","Fawn Hollow Elementary School","=""0850511""","Grade   1",0.0
"Monroe School District","Fawn Hollow Elementary School","=""0850511""","Grade   2","*"
"Monroe School District","Fawn Hollow Elementary School","=""0850511""","Grade   3","*"
"Monroe School District","Fawn Hollow Elementary School","=""0850511""","Grade   4","*"
"Monroe School District","Fawn Hollow Elementary School","=""0850511""","Grade   5","*"
"Monroe School District","Monroe Elementary School","=""0850111""","Kindergarten",0.0
"Monroe School District","Monroe Elementary School","=""0850111""","Grade   1",0.0
"Monroe School District","Monroe Elementary School","=""0850111""","Grade   2",0.0
"Monroe School District","Monroe Elementary School","=""0850111""","Grade   3",0.0
"Monroe School District","Monroe Elementary School","=""0850111""","Grade   4",0.0
"Monroe School District","Monroe Elementary School","=""0850111""","Grade   5",0.0
"Monroe School District","Stepney Elementary School","=""0850311""","Kindergarten","*"
"Monroe School District","Stepney Elementary School","=""0850311""","Grade   1","*"
"Monroe School District","Stepney Elementary School","=""0850311""","Grade   2","*"
"Monroe School District","Stepney Elementary School","=""0850311""","Grade   3","*"
"Monroe School District","Stepney Elementary School","=""0850311""","Grade   4",0.0
"Monroe School District","Stepney Elementary School","=""0850311""","Grade   5","*"
"Monroe School District","Jockey Hollow School","=""0855211""","Grade   6",2.2
"Monroe School District","Jockey Hollow School","=""0855211""","Grade   7",3.9
"Monroe School District","Jockey Hollow School","=""0855211""","Grade   8",5.5
"Monroe School District","Masuk Alternative Program","=""0850211""","Grade   9","*"
"Monroe School District","Masuk Alternative Program","=""0850211""","Grade 10","*"
"Monroe School District","Masuk Alternative Program","=""0850211""","Grade 11","*"
"Monroe School District","Masuk Alternative Program","=""0850211""","Grade 12","*"
"Monroe School District","Masuk High School","=""0856111""","Grade   9","*"
"Monroe School District","Masuk High School","=""0856111""","Grade 10","*"
"Monroe School District","Masuk High School","=""0856111""","Grade 11",3.3
"Monroe School District","Masuk High School","=""0856111""","Grade 12",3.2
"Montville School District","Dr. Charles E. Murphy School","=""0860711""","Kindergarten","*"
"Montville School District","Dr. Charles E. Murphy School","=""0860711""","Grade   1",0.0
"Montville School District","Dr. Charles E. Murphy School","=""0860711""","Grade   2","*"
"Montville School District","Dr. Charles E. Murphy School","=""0860711""","Grade   3","*"
"Montville School District","Dr. Charles E. Murphy School","=""0860711""","Grade   4","*"
"Montville School District","Dr. Charles E. Murphy School","=""0860711""","Grade   5","*"
"Montville School District","Mohegan School","=""0860111""","Kindergarten","*"
"Montville School District","Mohegan School","=""0860111""","Grade   1",0.0
"Montville School District","Mohegan School","=""0860111""","Grade   2","*"
"Montville School District","Mohegan School","=""0860111""","Grade   3","*"
"Montville School District","Mohegan School","=""0860111""","Grade   4",0.0
"Montville School District","Mohegan School","=""0860111""","Grade   5","*"
"Montville School District","Oakdale School","=""0860511""","Kindergarten","*"
"Montville School District","Oakdale School","=""0860511""","Grade   1","*"
"Montville School District","Oakdale School","=""0860511""","Grade   2",0.0
"Montville School District","Oakdale School","=""0860511""","Grade   3","*"
"Montville School District","Oakdale School","=""0860511""","Grade   4","*"
"Montville School District","Oakdale School","=""0860511""","Grade   5","*"
"Montville School District","Leonard J. Tyl Middle School","=""0865111""","Grade   6",4.7
"Montville School District","Leonard J. Tyl Middle School","=""0865111""","Grade   7",3.4
"Montville School District","Leonard J. Tyl Middle School","=""0865111""","Grade   8",11.6
"Montville School District","Montville High School","=""0866111""","Grade   9",9.0
"Montville School District","Montville High School","=""0866111""","Grade 10",5.5
"Montville School District","Montville High School","=""0866111""","Grade 11",12.7
"Montville School District","Montville High School","=""0866111""","Grade 12",12.2
"Montville School District","Palmer Academy","=""0869011""","Grade   9","*"
"Montville School District","Palmer Academy","=""0869011""","Grade 10","*"
"Montville School District","Palmer Academy","=""0869011""","Grade 11","*"
"Montville School District","Palmer Academy","=""0869011""","Grade 12","*"
"Naugatuck School District","Andrew Avenue School","=""0880811""","Kindergarten",13.8
"Naugatuck School District","Andrew Avenue School","=""0880811""","Grade   1","*"
"Naugatuck School District","Andrew Avenue School","=""0880811""","Grade   2","*"
"Naugatuck School District","Andrew Avenue School","=""0880811""","Grade   3","*"
"Naugatuck School District","Andrew Avenue School","=""0880811""","Grade   4","*"
"Naugatuck School District","Hop Brook Elementary School","=""0880511""","Kindergarten",12.5
"Naugatuck School District","Hop Brook Elementary School","=""0880511""","Grade   1",11.6
"Naugatuck School District","Hop Brook Elementary School","=""0880511""","Grade   2","*"
"Naugatuck School District","Hop Brook Elementary School","=""0880511""","Grade   3","*"
"Naugatuck School District","Hop Brook Elementary School","=""0880511""","Grade   4","*"
"Naugatuck School District","Maple Hill School","=""0880311""","Kindergarten","*"
"Naugatuck School District","Maple Hill School","=""0880311""","Grade   1","*"
"Naugatuck School District","Maple Hill School","=""0880311""","Grade   2",6.8
"Naugatuck School District","Maple Hill School","=""0880311""","Grade   3","*"
"Naugatuck School District","Maple Hill School","=""0880311""","Grade   4","*"
"Naugatuck School District","Salem School","=""0880611""","Kindergarten","*"
"Naugatuck School District","Salem School","=""0880611""","Grade   1","*"
"Naugatuck School District","Salem School","=""0880611""","Grade   2","*"
"Naugatuck School District","Salem School","=""0880611""","Grade   3",16.7
"Naugatuck School District","Salem School","=""0880611""","Grade   4","*"
"Naugatuck School District","Western School","=""0880711""","Kindergarten",12.1
"Naugatuck School District","Western School","=""0880711""","Grade   1","*"
"Naugatuck School District","Western School","=""0880711""","Grade   2","*"
"Naugatuck School District","Western School","=""0880711""","Grade   3","*"
"Naugatuck School District","Western School","=""0880711""","Grade   4","*"
"Naugatuck School District","Cross Street Intermediate School","=""0880211""","Grade   5",6.0
"Naugatuck School District","Cross Street Intermediate School","=""0880211""","Grade   6",10.5
"Naugatuck School District","Hillside Intermediate School","=""0880411""","Grade   5",6.4
"Naugatuck School District","Hillside Intermediate School","=""0880411""","Grade   6",6.5
"Naugatuck School District","City Hill Middle School","=""0885111""","Grade   7",12.0
"Naugatuck School District","City Hill Middle School","=""0885111""","Grade   8",11.4
"Naugatuck School District","Genesis Academy","=""0880911""","Grade   9","*"
"Naugatuck School District","Genesis Academy","=""0880911""","Grade 10","*"
"Naugatuck School District","Genesis Academy","=""0880911""","Grade 11","*"
"Naugatuck School District","Naugatuck High School","=""0886111""","Grade   9",9.1
"Naugatuck School District","Naugatuck High School","=""0886111""","Grade 10",19.6
"Naugatuck School District","Naugatuck High School","=""0886111""","Grade 11",20.8
"Naugatuck School District","Naugatuck High School","=""0886111""","Grade 12",22.4
"New Beginnings Inc., Family Academy District","New Beginnings Inc Family Academy","=""2800113""","Kindergarten",9.2
"New Beginnings Inc., Family Academy District","New Beginnings Inc Family Academy","=""2800113""","Grade   1","*"
"New Beginnings Inc., Family Academy District","New Beginnings Inc Family Academy","=""2800113""","Grade   2","*"
"New Beginnings Inc., Family Academy District","New Beginnings Inc Family Academy","=""2800113""","Grade   3","*"
