"Chronic Absenteeism, 2011-12"
"State of Connecticut, All Schools, English Learner Status"

"Organization","School","School Code","English Learner Status","% Chronically Absent"
"Integrated Day Charter School District","Integrated Day Charter School","=""2640113""","Non-ELL","*"
"Interdistrict School for Arts and Comm District","Interdistrict School For Arts And Communication","=""2655113""","ELL","*"
"Interdistrict School for Arts and Comm District","Interdistrict School For Arts And Communication","=""2655113""","Non-ELL","*"
"Jumoke Academy District","Jumoke Academy","=""2610113""","ELL","*"
"Jumoke Academy District","Jumoke Academy","=""2610113""","Non-ELL","*"
"Kent School District","Kent Center School","=""0680111""","Non-ELL",6.8
"Killingly School District","Killingly Central School","=""0690111""","ELL","*"
"Killingly School District","Killingly Central School","=""0690111""","Non-ELL","*"
"Killingly School District","Killingly High School","=""0696111""","ELL","*"
"Killingly School District","Killingly High School","=""0696111""","Non-ELL","*"
"Killingly School District","Killingly Intermediate School","=""0695211""","ELL","*"
"Killingly School District","Killingly Intermediate School","=""0695211""","Non-ELL","*"
"Killingly School District","Killingly Memorial School","=""0690311""","ELL",0.0
"Killingly School District","Killingly Memorial School","=""0690311""","Non-ELL",5.7
"Learn","Dual Language & Arts Magnet Middle School","=""2455014""","ELL",50.0
"Learn","Dual Language & Arts Magnet Middle School","=""2455014""","Non-ELL",55.7
"Learn","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","ELL","*"
"Learn","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","Non-ELL","*"
"Learn","Regional Multicultural Magnet School","=""2450114""","ELL",9.9
"Learn","Regional Multicultural Magnet School","=""2450114""","Non-ELL",3.7
"Learn","The Friendship School","=""2450214""","ELL","*"
"Learn","The Friendship School","=""2450214""","Non-ELL","*"
"Learn","Connecticut River Academy","=""2456014""","Non-ELL",22.9
"Learn","Learn Special Education","=""2459014""","Non-ELL",20.7
"Lebanon School District","Lyman Memorial High School","=""0716211""","ELL","*"
"Lebanon School District","Lyman Memorial High School","=""0716211""","Non-ELL","*"
"Lebanon School District","Lebanon Elementary School","=""0710111""","Non-ELL",4.4
"Lebanon School District","Lebanon Middle School","=""0715111""","Non-ELL",5.2
"Ledyard School District","Gales Ferry School","=""0720211""","ELL","*"
"Ledyard School District","Gales Ferry School","=""0720211""","Non-ELL","*"
"Ledyard School District","Gallup Hill School","=""0720411""","ELL","*"
"Ledyard School District","Gallup Hill School","=""0720411""","Non-ELL","*"
"Ledyard School District","Juliet W. Long School","=""0720311""","ELL","*"
"Ledyard School District","Juliet W. Long School","=""0720311""","Non-ELL","*"
"Ledyard School District","Ledyard Center School","=""0720111""","ELL","*"
"Ledyard School District","Ledyard Center School","=""0720111""","Non-ELL","*"
"Ledyard School District","Ledyard High School","=""0726111""","ELL","*"
"Ledyard School District","Ledyard High School","=""0726111""","Non-ELL","*"
"Ledyard School District","Ledyard Middle School","=""0725111""","ELL","*"
"Ledyard School District","Ledyard Middle School","=""0725111""","Non-ELL","*"
"Lisbon School District","Lisbon Central School","=""0730111""","ELL","*"
"Lisbon School District","Lisbon Central School","=""0730111""","Non-ELL","*"
"Lisbon School District","Community Connection - The Big Picture High School","=""0736011""","Non-ELL",24.0
"Litchfield School District","Center School","=""0740211""","Non-ELL",4.0
"Litchfield School District","Litchfield High School","=""0746111""","ELL","*"
"Litchfield School District","Litchfield High School","=""0746111""","Non-ELL","*"
"Litchfield School District","Litchfield Intermediate School","=""0740311""","Non-ELL",5.0
"Madison School District","Daniel Hand High School","=""0766111""","ELL","*"
"Madison School District","Daniel Hand High School","=""0766111""","Non-ELL","*"
"Madison School District","Dr. Robert H. Brown Middle School","=""0760611""","ELL","*"
"Madison School District","Dr. Robert H. Brown Middle School","=""0760611""","Non-ELL","*"
"Madison School District","Island Avenue Elementary School","=""0760211""","ELL","*"
"Madison School District","Island Avenue Elementary School","=""0760211""","Non-ELL","*"
"Madison School District","J. Milton Jeffrey Elementary School","=""0760111""","ELL","*"
"Madison School District","J. Milton Jeffrey Elementary School","=""0760111""","Non-ELL","*"
"Madison School District","Walter C. Polson Upper Middle School","=""0765211""","ELL","*"
"Madison School District","Walter C. Polson Upper Middle School","=""0765211""","Non-ELL","*"
"Madison School District","Kathleen H. Ryerson Elementary School","=""0760311""","Non-ELL",2.4
"Manchester School District","Nathan Hale School","=""0770911""","ELL","*"
"Manchester School District","Nathan Hale School","=""0770911""","Non-ELL",21.4
"Manchester School District","Bowers School","=""0770111""","ELL","*"
"Manchester School District","Bowers School","=""0770111""","Non-ELL","*"
"Manchester School District","Buckley School","=""0770311""","ELL","*"
"Manchester School District","Buckley School","=""0770311""","Non-ELL","*"
"Manchester School District","Elisabeth M. Bennet Academy","=""0771711""","ELL","*"
"Manchester School District","Elisabeth M. Bennet Academy","=""0771711""","Non-ELL","*"
"Manchester School District","Illing Middle School","=""0775311""","ELL",20.0
"Manchester School District","Illing Middle School","=""0775311""","Non-ELL",11.6
"Manchester School District","Keeney School","=""0770611""","ELL","*"
"Manchester School District","Keeney School","=""0770611""","Non-ELL","*"
"Manchester School District","Manchester High School","=""0776111""","ELL",43.4
"Manchester School District","Manchester High School","=""0776111""","Non-ELL",47.5
"Manchester School District","Manchester Regional Academy","=""0779011""","ELL","*"
"Manchester School District","Manchester Regional Academy","=""0779011""","Non-ELL","*"
"Manchester School District","Martin School","=""0771611""","ELL","*"
"Manchester School District","Martin School","=""0771611""","Non-ELL","*"
"Manchester School District","Robertson School","=""0771011""","ELL",18.8
"Manchester School District","Robertson School","=""0771011""","Non-ELL",10.8
"Manchester School District","Verplanck School","=""0771211""","ELL",22.5
"Manchester School District","Verplanck School","=""0771211""","Non-ELL",9.1
"Manchester School District","Waddell School","=""0771311""","ELL","*"
"Manchester School District","Waddell School","=""0771311""","Non-ELL","*"
"Manchester School District","Washington School","=""0771411""","ELL","*"
"Manchester School District","Washington School","=""0771411""","Non-ELL",8.4
"Manchester School District","Manchester Transition Center","=""0779111""","Non-ELL","*"
"Mansfield School District","Annie E. Vinton School","=""0780411""","ELL","*"
"Mansfield School District","Annie E. Vinton School","=""0780411""","Non-ELL","*"
"Mansfield School District","Dorothy C. Goodwin School","=""0780211""","ELL","*"
"Mansfield School District","Dorothy C. Goodwin School","=""0780211""","Non-ELL","*"
"Mansfield School District","Mansfield Middle School School","=""0785111""","ELL","*"
"Mansfield School District","Mansfield Middle School School","=""0785111""","Non-ELL","*"
"Mansfield School District","Southeast Elementary School","=""0780511""","ELL","*"
"Mansfield School District","Southeast Elementary School","=""0780511""","Non-ELL","*"
"Marlborough School District","Elmer Thienes-Mary Hall Elementary School","=""0790111""","ELL","*"
"Marlborough School District","Elmer Thienes-Mary Hall Elementary School","=""0790111""","Non-ELL","*"
"Meriden School District","Nathan Hale School","=""0800711""","ELL",14.8
"Meriden School District","Nathan Hale School","=""0800711""","Non-ELL",10.5
"Meriden School District","Benjamin Franklin School","=""0800111""","ELL","*"
"Meriden School District","Benjamin Franklin School","=""0800111""","Non-ELL","*"
"Meriden School District","Casimir Pulaski School","=""0801111""","ELL","*"
"Meriden School District","Casimir Pulaski School","=""0801111""","Non-ELL","*"
"Meriden School District","Francis T. Maloney High School","=""0806111""","ELL",18.2
"Meriden School District","Francis T. Maloney High School","=""0806111""","Non-ELL",11.1
"Meriden School District","Hanover School","=""0800311""","ELL",15.9
"Meriden School District","Hanover School","=""0800311""","Non-ELL",9.1
"Meriden School District","Israel Putnam School","=""0800411""","ELL",20.3
"Meriden School District","Israel Putnam School","=""0800411""","Non-ELL",12.2
"Meriden School District","John Barry School","=""0800511""","ELL",13.0
"Meriden School District","John Barry School","=""0800511""","Non-ELL",12.2
"Meriden School District","Lincoln Middle School","=""0805211""","ELL",30.0
"Meriden School District","Lincoln Middle School","=""0805211""","Non-ELL",16.7
"Meriden School District","Orville H. Platt High School","=""0806211""","ELL",15.3
"Meriden School District","Orville H. Platt High School","=""0806211""","Non-ELL",13.2
"Meriden School District","Roger Sherman School","=""0800811""","ELL","*"
"Meriden School District","Roger Sherman School","=""0800811""","Non-ELL","*"
"Meriden School District","Thomas Hooker School","=""0801011""","ELL",16.2
"Meriden School District","Thomas Hooker School","=""0801011""","Non-ELL",2.1
"Meriden School District","Washington Middle School","=""0805411""","ELL",28.6
"Meriden School District","Washington Middle School","=""0805411""","Non-ELL",9.9
"Middletown School District","Bielefield School","=""0830211""","ELL","*"
"Middletown School District","Bielefield School","=""0830211""","Non-ELL","*"
"Middletown School District","Farm Hill School","=""0830511""","ELL","*"
"Middletown School District","Farm Hill School","=""0830511""","Non-ELL","*"
"Middletown School District","Keigwin Middle School","=""0831511""","ELL","*"
"Middletown School District","Keigwin Middle School","=""0831511""","Non-ELL","*"
"Middletown School District","Lawrence School","=""0831311""","ELL","*"
"Middletown School District","Lawrence School","=""0831311""","Non-ELL","*"
"Middletown School District","MacDonough School","=""0830911""","ELL","*"
"Middletown School District","MacDonough School","=""0830911""","Non-ELL","*"
"Middletown School District","Middletown High School","=""0836211""","ELL","*"
"Middletown School District","Middletown High School","=""0836211""","Non-ELL","*"
"Middletown School District","Moody School","=""0831211""","ELL","*"
"Middletown School District","Moody School","=""0831211""","Non-ELL","*"
"Middletown School District","Snow School","=""0831111""","ELL","*"
"Middletown School District","Snow School","=""0831111""","Non-ELL","*"
"Middletown School District","Spencer School","=""0830111""","ELL","*"
"Middletown School District","Spencer School","=""0830111""","Non-ELL","*"
"Middletown School District","Wesley School","=""0831411""","ELL","*"
"Middletown School District","Wesley School","=""0831411""","Non-ELL","*"
"Middletown School District","Woodrow Wilson Middle School","=""0835411""","ELL","*"
"Middletown School District","Woodrow Wilson Middle School","=""0835411""","Non-ELL","*"
"Middletown School District","Transition to Life Center","=""0839111""","Non-ELL","*"
"Milford School District","Calf Pen Meadow School","=""0840111""","ELL","*"
"Milford School District","Calf Pen Meadow School","=""0840111""","Non-ELL","*"
"Milford School District","East Shore Middle School","=""0845111""","ELL","*"
"Milford School District","East Shore Middle School","=""0845111""","Non-ELL","*"
"Milford School District","Harborside Middle School","=""0845211""","ELL","*"
"Milford School District","Harborside Middle School","=""0845211""","Non-ELL","*"
"Milford School District","J. F. Kennedy School","=""0841911""","ELL","*"
"Milford School District","J. F. Kennedy School","=""0841911""","Non-ELL","*"
"Milford School District","Jonathan Law High School","=""0846211""","ELL","*"
"Milford School District","Jonathan Law High School","=""0846211""","Non-ELL","*"
"Milford School District","Joseph A. Foran High School","=""0846311""","ELL","*"
"Milford School District","Joseph A. Foran High School","=""0846311""","Non-ELL","*"
"Milford School District","Live Oaks School","=""0841611""","ELL","*"
"Milford School District","Live Oaks School","=""0841611""","Non-ELL","*"
"Milford School District","Mathewson School","=""0841711""","ELL","*"
"Milford School District","Mathewson School","=""0841711""","Non-ELL","*"
"Milford School District","Meadowside School","=""0840711""","ELL","*"
"Milford School District","Meadowside School","=""0840711""","Non-ELL","*"
"Milford School District","Orange Avenue School","=""0840811""","ELL","*"
"Milford School District","Orange Avenue School","=""0840811""","Non-ELL","*"
"Milford School District","Orchard Hills School","=""0841811""","ELL","*"
"Milford School District","Orchard Hills School","=""0841811""","Non-ELL","*"
"Milford School District","Pumpkin Delight School","=""0841011""","ELL","*"
"Milford School District","Pumpkin Delight School","=""0841011""","Non-ELL","*"
"Milford School District","West Shore Middle School","=""0845311""","ELL","*"
"Milford School District","West Shore Middle School","=""0845311""","Non-ELL","*"
"Monroe School District","Fawn Hollow Elementary School","=""0850511""","ELL","*"
"Monroe School District","Fawn Hollow Elementary School","=""0850511""","Non-ELL","*"
"Monroe School District","Jockey Hollow School","=""0855211""","ELL","*"
"Monroe School District","Jockey Hollow School","=""0855211""","Non-ELL","*"
"Monroe School District","Masuk High School","=""0856111""","ELL","*"
"Monroe School District","Masuk High School","=""0856111""","Non-ELL","*"
"Monroe School District","Monroe Elementary School","=""0850111""","ELL","*"
"Monroe School District","Monroe Elementary School","=""0850111""","Non-ELL","*"
"Monroe School District","Stepney Elementary School","=""0850311""","ELL","*"
"Monroe School District","Stepney Elementary School","=""0850311""","Non-ELL","*"
"Montville School District","Dr. Charles E. Murphy School","=""0860711""","ELL","*"
"Montville School District","Dr. Charles E. Murphy School","=""0860711""","Non-ELL","*"
"Montville School District","Leonard J. Tyl Middle School","=""0865111""","ELL","*"
"Montville School District","Leonard J. Tyl Middle School","=""0865111""","Non-ELL","*"
"Montville School District","Mohegan School","=""0860111""","ELL","*"
"Montville School District","Mohegan School","=""0860111""","Non-ELL",6.2
"Montville School District","Montville High School","=""0866111""","ELL",0.0
"Montville School District","Montville High School","=""0866111""","Non-ELL",11.4
"Montville School District","Oakdale School","=""0860511""","ELL","*"
"Montville School District","Oakdale School","=""0860511""","Non-ELL","*"
"Montville School District","Palmer Academy","=""0869011""","Non-ELL",56.5
"Naugatuck School District","Andrew Avenue School","=""0880811""","ELL","*"
"Naugatuck School District","Andrew Avenue School","=""0880811""","Non-ELL","*"
"Naugatuck School District","Central Avenue School","=""0880111""","ELL","*"
"Naugatuck School District","Central Avenue School","=""0880111""","Non-ELL","*"
"Naugatuck School District","City Hill Middle School","=""0885111""","ELL","*"
"Naugatuck School District","City Hill Middle School","=""0885111""","Non-ELL","*"
"Naugatuck School District","Cross Street Intermediate School","=""0880211""","ELL","*"
"Naugatuck School District","Cross Street Intermediate School","=""0880211""","Non-ELL","*"
"Naugatuck School District","Hillside Intermediate School","=""0880411""","ELL","*"
"Naugatuck School District","Hillside Intermediate School","=""0880411""","Non-ELL","*"
"Naugatuck School District","Hop Brook Elementary School","=""0880511""","ELL","*"
"Naugatuck School District","Hop Brook Elementary School","=""0880511""","Non-ELL","*"
"Naugatuck School District","Maple Hill School","=""0880311""","ELL","*"
"Naugatuck School District","Maple Hill School","=""0880311""","Non-ELL","*"
"Naugatuck School District","Naugatuck High School","=""0886111""","ELL",26.7
"Naugatuck School District","Naugatuck High School","=""0886111""","Non-ELL",19.9
"Naugatuck School District","Salem School","=""0880611""","ELL","*"
"Naugatuck School District","Salem School","=""0880611""","Non-ELL","*"
"Naugatuck School District","Western School","=""0880711""","ELL","*"
"Naugatuck School District","Western School","=""0880711""","Non-ELL","*"
"New Beginnings Inc., Family Academy District","New Beginnings Inc., Family Academy","=""2800113""","Non-ELL",8.1
"New Britain School District","Alternative Center School","=""0899111""","ELL","*"
"New Britain School District","Alternative Center School","=""0899111""","Non-ELL","*"
"New Britain School District","CLIMB","=""0899411""","ELL","*"
"New Britain School District","CLIMB","=""0899411""","Non-ELL","*"
"New Britain School District","Chamberlain  Elementary School","=""0890311""","ELL",29.3
"New Britain School District","Chamberlain  Elementary School","=""0890311""","Non-ELL",31.4
"New Britain School District","Frank J. DiLoreto School","=""0891111""","ELL",31.0
"New Britain School District","Frank J. DiLoreto School","=""0891111""","Non-ELL",19.9
"New Britain School District","Gaffney School","=""0890511""","ELL","*"
"New Britain School District","Gaffney School","=""0890511""","Non-ELL","*"
"New Britain School District","Holmes School","=""0890611""","ELL","*"
"New Britain School District","Holmes School","=""0890611""","Non-ELL","*"
"New Britain School District","Jefferson School","=""0890711""","ELL",10.2
"New Britain School District","Jefferson School","=""0890711""","Non-ELL",16.9
"New Britain School District","Lincoln School","=""0890811""","ELL",32.4
"New Britain School District","Lincoln School","=""0890811""","Non-ELL",12.6
"New Britain School District","New Britain High School","=""0896111""","ELL",56.5
"New Britain School District","New Britain High School","=""0896111""","Non-ELL",41.9
"New Britain School District","New Britain Transition Center","=""0899011""","ELL","*"
"New Britain School District","New Britain Transition Center","=""0899011""","Non-ELL","*"
"New Britain School District","Northend School","=""0890911""","ELL","*"
"New Britain School District","Northend School","=""0890911""","Non-ELL","*"
"New Britain School District","Pulaski Middle School","=""0895311""","ELL",36.4
"New Britain School District","Pulaski Middle School","=""0895311""","Non-ELL",24.9
"New Britain School District","Roosevelt Middle School","=""0895111""","ELL",32.0
"New Britain School District","Roosevelt Middle School","=""0895111""","Non-ELL",24.8
"New Britain School District","Slade Middle School","=""0895211""","ELL",18.8
"New Britain School District","Slade Middle School","=""0895211""","Non-ELL",18.8
"New Britain School District","Smalley Academy","=""0891211""","ELL",32.0
"New Britain School District","Smalley Academy","=""0891211""","Non-ELL",24.1
"New Britain School District","Smith School","=""0891311""","ELL","*"
"New Britain School District","Smith School","=""0891311""","Non-ELL",16.9
"New Britain School District","Vance School","=""0891511""","ELL",25.9
"New Britain School District","Vance School","=""0891511""","Non-ELL",11.7
"New Britain School District","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Non-ELL",5.4
"New Canaan School District","East School","=""0900411""","ELL","*"
"New Canaan School District","East School","=""0900411""","Non-ELL",2.7
"New Canaan School District","New Canaan High School","=""0906111""","ELL","*"
"New Canaan School District","New Canaan High School","=""0906111""","Non-ELL","*"
"New Canaan School District","Saxe Middle School","=""0905111""","ELL","*"
"New Canaan School District","Saxe Middle School","=""0905111""","Non-ELL","*"
"New Canaan School District","South School","=""0900211""","ELL","*"
"New Canaan School District","South School","=""0900211""","Non-ELL","*"
"New Canaan School District","West School","=""0900311""","ELL","*"
"New Canaan School District","West School","=""0900311""","Non-ELL","*"
"New Fairfield School District","Consolidated School","=""0910111""","ELL","*"
"New Fairfield School District","Consolidated School","=""0910111""","Non-ELL","*"
"New Fairfield School District","Meeting House Hill School","=""0910211""","ELL","*"
"New Fairfield School District","Meeting House Hill School","=""0910211""","Non-ELL","*"
"New Fairfield School District","New Fairfield High School","=""0916111""","ELL","*"
"New Fairfield School District","New Fairfield High School","=""0916111""","Non-ELL","*"
"New Fairfield School District","New Fairfield Middle School","=""0915211""","ELL","*"
"New Fairfield School District","New Fairfield Middle School","=""0915211""","Non-ELL","*"
"New Hartford School District","Ann Antolini School","=""0920311""","ELL","*"
"New Hartford School District","Ann Antolini School","=""0920311""","Non-ELL","*"
"New Hartford School District","Bakerville Consolidated School","=""0920111""","Non-ELL",6.8
"New Hartford School District","New Hartford Elementary School","=""0920211""","Non-ELL","*"
"New Haven School District","Edgewood School","=""0931211""","ELL","*"
"New Haven School District","Edgewood School","=""0931211""","Non-ELL",3.2
"New Haven School District","Nathan Hale School","=""0931411""","ELL","*"
"New Haven School District","Nathan Hale School","=""0931411""","Non-ELL",10.0
"New Haven School District","Augusta Lewis Troup School","=""0931511""","ELL",16.4
"New Haven School District","Augusta Lewis Troup School","=""0931511""","Non-ELL",20.3
"New Haven School District","Barnard Environmental Magnet School","=""0930211""","ELL","*"
"New Haven School District","Barnard Environmental Magnet School","=""0930211""","Non-ELL","*"
"New Haven School District","Beecher School","=""0930311""","ELL","*"
"New Haven School District","Beecher School","=""0930311""","Non-ELL","*"
"New Haven School District","Benjamin Jepson Magnet School","=""0931811""","ELL","*"
"New Haven School District","Benjamin Jepson Magnet School","=""0931811""","Non-ELL","*"
"New Haven School District","Betsy Ross Arts Magnet School","=""0935511""","ELL","*"
"New Haven School District","Betsy Ross Arts Magnet School","=""0935511""","Non-ELL","*"
"New Haven School District","Bishop Woods School","=""0934311""","ELL",22.7
"New Haven School District","Bishop Woods School","=""0934311""","Non-ELL",17.5
"New Haven School District","Celentano BioTech, Health and Medical Magnet School","=""0934811""","ELL",30.4
"New Haven School District","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Non-ELL",34.0
"New Haven School District","Christopher Columbus Academy","=""0934111""","ELL",11.7
"New Haven School District","Christopher Columbus Academy","=""0934111""","Non-ELL",12.3
"New Haven School District","Clemente Leadership Academy","=""0934211""","ELL",24.7
"New Haven School District","Clemente Leadership Academy","=""0934211""","Non-ELL",28.3
"New Haven School District","Clinton Avenue School","=""0930611""","ELL",13.5
"New Haven School District","Clinton Avenue School","=""0930611""","Non-ELL",23.0
"New Haven School District","Conte/West Hills Magnet School","=""0933111""","ELL","*"
"New Haven School District","Conte/West Hills Magnet School","=""0933111""","Non-ELL","*"
"New Haven School District","Cooperative High School","=""0936411""","ELL","*"
"New Haven School District","Cooperative High School","=""0936411""","Non-ELL","*"
"New Haven School District","Davis 21st Century Magnet Elementary School","=""0930911""","ELL","*"
"New Haven School District","Davis 21st Century Magnet Elementary School","=""0930911""","Non-ELL","*"
"New Haven School District","Domus Academy","=""0935611""","ELL","*"
"New Haven School District","Domus Academy","=""0935611""","Non-ELL","*"
"New Haven School District","East Rock Community Magnet School","=""0934611""","ELL",20.0
"New Haven School District","East Rock Community Magnet School","=""0934611""","Non-ELL",16.5
"New Haven School District","Engineering - Science University Magnet School","=""0931711""","ELL","*"
"New Haven School District","Engineering - Science University Magnet School","=""0931711""","Non-ELL","*"
"New Haven School District","Fair Haven School","=""0931611""","ELL",15.1
"New Haven School District","Fair Haven School","=""0931611""","Non-ELL",18.9
"New Haven School District","High School In The Community","=""0936611""","ELL","*"
"New Haven School District","High School In The Community","=""0936611""","Non-ELL","*"
"New Haven School District","Hill Central Music Academy","=""0930711""","ELL",23.6
"New Haven School District","Hill Central Music Academy","=""0930711""","Non-ELL",28.1
"New Haven School District","Hill Regional Career High School","=""0936311""","ELL",25.0
"New Haven School District","Hill Regional Career High School","=""0936311""","Non-ELL",17.1
"New Haven School District","Hyde School of Health, Science and Sports Medicine","=""0936811""","ELL","*"
"New Haven School District","Hyde School of Health, Science and Sports Medicine","=""0936811""","Non-ELL","*"
"New Haven School District","James Hillhouse High School","=""0936211""","ELL",34.4
"New Haven School District","James Hillhouse High School","=""0936211""","Non-ELL",40.4
"New Haven School District","John C. Daniels","=""0931311""","ELL",16.7
"New Haven School District","John C. Daniels","=""0931311""","Non-ELL",5.5
"New Haven School District","John S. Martinez School","=""0930811""","ELL",11.0
"New Haven School District","John S. Martinez School","=""0930811""","Non-ELL",16.0
"New Haven School District","Katherine Brennan/Clarence Rogers School","=""0932111""","ELL","*"
"New Haven School District","Katherine Brennan/Clarence Rogers School","=""0932111""","Non-ELL","*"
"New Haven School District","King/Robinson Magnet School","=""0933011""","ELL","*"
"New Haven School District","King/Robinson Magnet School","=""0933011""","Non-ELL","*"
"New Haven School District","Lincoln-Bassett School","=""0932011""","ELL",27.3
"New Haven School District","Lincoln-Bassett School","=""0932011""","Non-ELL",21.9
"New Haven School District","Mauro-Sheridan Magnet School","=""0931911""","ELL",12.5
"New Haven School District","Mauro-Sheridan Magnet School","=""0931911""","Non-ELL",7.4
"New Haven School District","Metropolitan Business Academy","=""0936011""","ELL","*"
"New Haven School District","Metropolitan Business Academy","=""0936011""","Non-ELL","*"
"New Haven School District","New Haven Academy","=""0937011""","ELL","*"
"New Haven School District","New Haven Academy","=""0937011""","Non-ELL","*"
"New Haven School District","Polly T. McCabe Center","=""0939211""","ELL","*"
"New Haven School District","Polly T. McCabe Center","=""0939211""","Non-ELL","*"
"New Haven School District","Riverside Education Academy","=""0939111""","ELL","*"
"New Haven School District","Riverside Education Academy","=""0939111""","Non-ELL","*"
"New Haven School District","Ross/Woodward School","=""0931011""","ELL","*"
"New Haven School District","Ross/Woodward School","=""0931011""","Non-ELL","*"
"New Haven School District","Sound School","=""0936711""","ELL","*"
"New Haven School District","Sound School","=""0936711""","Non-ELL","*"
"New Haven School District","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","ELL",22.0
"New Haven School District","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Non-ELL",32.5
"New Haven School District","Truman School","=""0932911""","ELL",21.1
"New Haven School District","Truman School","=""0932911""","Non-ELL",24.4
"New Haven School District","West Rock Authors Academy","=""0934911""","ELL","*"
"New Haven School District","West Rock Authors Academy","=""0934911""","Non-ELL","*"
"New Haven School District","Wexler/Grant Community School","=""0933211""","ELL","*"
"New Haven School District","Wexler/Grant Community School","=""0933211""","Non-ELL","*"
"New Haven School District","Wilbur Cross High School","=""0936111""","ELL",58.2
"New Haven School District","Wilbur Cross High School","=""0936111""","Non-ELL",54.7
"New Haven School District","Worthington Hooker School","=""0933811""","ELL","*"
"New Haven School District","Worthington Hooker School","=""0933811""","Non-ELL","*"
"New London School District","Jennings School","=""0950311""","ELL","*"
"New London School District","Jennings School","=""0950311""","Non-ELL",21.7
"New London School District","Bennie Dover Jackson Middle School","=""0955111""","ELL",26.0
"New London School District","Bennie Dover Jackson Middle School","=""0955111""","Non-ELL",21.7
"New London School District","Harbor School","=""0950211""","ELL","*"
"New London School District","Harbor School","=""0950211""","Non-ELL","*"
"New London School District","Nathan Hale Arts Magnet School","=""0950911""","ELL",20.0
"New London School District","Nathan Hale Arts Magnet School","=""0950911""","Non-ELL",20.4
"New London School District","New London Clinical Day Program","=""0959111""","ELL","*"
"New London School District","New London Clinical Day Program","=""0959111""","Non-ELL","*"
"New London School District","New London High School","=""0956111""","ELL",28.2
"New London School District","New London High School","=""0956111""","Non-ELL",26.8
"New London School District","Winthrop STEM Elementary Magnet School","=""0950811""","ELL",45.5
"New London School District","Winthrop STEM Elementary Magnet School","=""0950811""","Non-ELL",42.4
"New Milford School District","Hill And Plain School","=""0960511""","ELL","*"
"New Milford School District","Hill And Plain School","=""0960511""","Non-ELL","*"
"New Milford School District","John Pettibone School","=""0960711""","ELL","*"
"New Milford School District","John Pettibone School","=""0960711""","Non-ELL","*"
"New Milford School District","New Milford High School","=""0966111""","ELL","*"
"New Milford School District","New Milford High School","=""0966111""","Non-ELL","*"
"New Milford School District","Northville Elementary School","=""0960811""","ELL","*"
"New Milford School District","Northville Elementary School","=""0960811""","Non-ELL","*"
"New Milford School District","Sarah Noble Intermediate School","=""0960911""","ELL",0.0
"New Milford School District","Sarah Noble Intermediate School","=""0960911""","Non-ELL",5.6
"New Milford School District","Schaghticoke Middle School","=""0965211""","ELL","*"
"New Milford School District","Schaghticoke Middle School","=""0965211""","Non-ELL","*"
"New Milford School District","Litchfield Hills Transition Center","=""0969011""","Non-ELL","*"
"Newington School District","Anna Reynolds School","=""0940611""","ELL","*"
"Newington School District","Anna Reynolds School","=""0940611""","Non-ELL","*"
"Newington School District","Elizabeth Green School","=""0940211""","ELL","*"
"Newington School District","Elizabeth Green School","=""0940211""","Non-ELL","*"
"Newington School District","John Paterson School","=""0940811""","ELL",0.0
"Newington School District","John Paterson School","=""0940811""","Non-ELL",3.2
"Newington School District","John Wallace Middle School","=""0945311""","ELL","*"
"Newington School District","John Wallace Middle School","=""0945311""","Non-ELL","*"
"Newington School District","Martin Kellogg Middle School","=""0945111""","ELL","*"
"Newington School District","Martin Kellogg Middle School","=""0945111""","Non-ELL","*"
"Newington School District","Newington High School","=""0946111""","ELL",0.0
"Newington School District","Newington High School","=""0946111""","Non-ELL",5.7
"Newington School District","Ruth Chaffee School","=""0940711""","ELL","*"
"Newington School District","Ruth Chaffee School","=""0940711""","Non-ELL","*"
"Newtown School District","Hawley Elementary School","=""0970111""","ELL","*"
"Newtown School District","Hawley Elementary School","=""0970111""","Non-ELL","*"
"Newtown School District","Head O'Meadow Elementary School","=""0970411""","ELL","*"
"Newtown School District","Head O'Meadow Elementary School","=""0970411""","Non-ELL","*"
"Newtown School District","Middle Gate Elementary School","=""0970311""","ELL","*"
"Newtown School District","Middle Gate Elementary School","=""0970311""","Non-ELL","*"
"Newtown School District","Newtown High School","=""0976111""","ELL","*"
"Newtown School District","Newtown High School","=""0976111""","Non-ELL","*"
"Newtown School District","Newtown Middle School","=""0975111""","ELL","*"
"Newtown School District","Newtown Middle School","=""0975111""","Non-ELL","*"
"Newtown School District","Reed Intermediate School","=""0970511""","ELL","*"
"Newtown School District","Reed Intermediate School","=""0970511""","Non-ELL","*"
"Newtown School District","STARR","=""0979011""","Non-ELL","*"
"Newtown School District","Sandy Hook Elementary School","=""0970211""","Non-ELL",2.2
"Norfolk School District","Botelle Elementary School","=""0980111""","Non-ELL",11.3
"Norfolk School District","Bridges II","=""0989211""","Non-ELL","*"
"North Branford School District","Jerome Harrison School","=""0990411""","ELL","*"
"North Branford School District","Jerome Harrison School","=""0990411""","Non-ELL","*"
