"Chronic Absenteeism, 2013-14"
"State of Connecticut, All Schools, Race/Ethnicity"

"Organization","School","School Code","Race/Ethnicity","% Chronically Absent"
"New Hartford School District","Ann Antolini School","=""0920311""","Asian","*"
"New Hartford School District","Ann Antolini School","=""0920311""","Black or African American","*"
"New Hartford School District","Ann Antolini School","=""0920311""","Hispanic/Latino of any race","*"
"New Hartford School District","Ann Antolini School","=""0920311""","Two or More Races","*"
"New Hartford School District","Ann Antolini School","=""0920311""","White",5.1
"New Hartford School District","Bakerville Consolidated School","=""0920111""","Asian","*"
"New Hartford School District","Bakerville Consolidated School","=""0920111""","Hispanic/Latino of any race","*"
"New Hartford School District","Bakerville Consolidated School","=""0920111""","Two or More Races","*"
"New Hartford School District","Bakerville Consolidated School","=""0920111""","White","*"
"New Hartford School District","New Hartford Elementary School","=""0920211""","Asian","*"
"New Hartford School District","New Hartford Elementary School","=""0920211""","Hispanic/Latino of any race","*"
"New Hartford School District","New Hartford Elementary School","=""0920211""","White","*"
"New Haven School District","Edgewood School","=""0931211""","American Indian or Alaska Native","*"
"New Haven School District","Edgewood School","=""0931211""","Asian","*"
"New Haven School District","Edgewood School","=""0931211""","Black or African American",11.8
"New Haven School District","Edgewood School","=""0931211""","Hispanic/Latino of any race",9.0
"New Haven School District","Edgewood School","=""0931211""","Two or More Races","*"
"New Haven School District","Edgewood School","=""0931211""","White",6.1
"New Haven School District","Nathan Hale School","=""0931411""","American Indian or Alaska Native","*"
"New Haven School District","Nathan Hale School","=""0931411""","Asian","*"
"New Haven School District","Nathan Hale School","=""0931411""","Black or African American","*"
"New Haven School District","Nathan Hale School","=""0931411""","Hispanic/Latino of any race",18.2
"New Haven School District","Nathan Hale School","=""0931411""","Native Hawaiian or Other Pacific Islander","*"
"New Haven School District","Nathan Hale School","=""0931411""","Two or More Races","*"
"New Haven School District","Nathan Hale School","=""0931411""","White",12.5
"New Haven School District","Benjamin Jepson Magnet School","=""0931811""","American Indian or Alaska Native","*"
"New Haven School District","Benjamin Jepson Magnet School","=""0931811""","Asian","*"
"New Haven School District","Benjamin Jepson Magnet School","=""0931811""","Black or African American",13.5
"New Haven School District","Benjamin Jepson Magnet School","=""0931811""","Hispanic/Latino of any race",12.7
"New Haven School District","Benjamin Jepson Magnet School","=""0931811""","Native Hawaiian or Other Pacific Islander","*"
"New Haven School District","Benjamin Jepson Magnet School","=""0931811""","Two or More Races","*"
"New Haven School District","Benjamin Jepson Magnet School","=""0931811""","White",13.7
"New Haven School District","Conte/West Hills Magnet School","=""0933111""","American Indian or Alaska Native","*"
"New Haven School District","Conte/West Hills Magnet School","=""0933111""","Asian","*"
"New Haven School District","Conte/West Hills Magnet School","=""0933111""","Black or African American",15.8
"New Haven School District","Conte/West Hills Magnet School","=""0933111""","Hispanic/Latino of any race",13.1
"New Haven School District","Conte/West Hills Magnet School","=""0933111""","Two or More Races","*"
"New Haven School District","Conte/West Hills Magnet School","=""0933111""","White","*"
"New Haven School District","Cooperative High School","=""0936411""","American Indian or Alaska Native","*"
"New Haven School District","Cooperative High School","=""0936411""","Asian","*"
"New Haven School District","Cooperative High School","=""0936411""","Black or African American",29.6
"New Haven School District","Cooperative High School","=""0936411""","Hispanic/Latino of any race",27.3
"New Haven School District","Cooperative High School","=""0936411""","White","*"
"New Haven School District","Davis 21st Century Magnet Elementary School","=""0930911""","American Indian or Alaska Native","*"
"New Haven School District","Davis 21st Century Magnet Elementary School","=""0930911""","Asian","*"
"New Haven School District","Davis 21st Century Magnet Elementary School","=""0930911""","Black or African American",13.3
"New Haven School District","Davis 21st Century Magnet Elementary School","=""0930911""","Hispanic/Latino of any race","*"
"New Haven School District","Davis 21st Century Magnet Elementary School","=""0930911""","Two or More Races","*"
"New Haven School District","Davis 21st Century Magnet Elementary School","=""0930911""","White",6.7
"New Haven School District","Engineering - Science University Magnet School","=""0931711""","American Indian or Alaska Native","*"
"New Haven School District","Engineering - Science University Magnet School","=""0931711""","Asian","*"
"New Haven School District","Engineering - Science University Magnet School","=""0931711""","Black or African American",15.2
"New Haven School District","Engineering - Science University Magnet School","=""0931711""","Hispanic/Latino of any race",14.8
"New Haven School District","Engineering - Science University Magnet School","=""0931711""","Two or More Races","*"
"New Haven School District","Engineering - Science University Magnet School","=""0931711""","White",6.7
"New Haven School District","Fair Haven School","=""0931611""","American Indian or Alaska Native","*"
"New Haven School District","Fair Haven School","=""0931611""","Asian","*"
"New Haven School District","Fair Haven School","=""0931611""","Black or African American",13.0
"New Haven School District","Fair Haven School","=""0931611""","Hispanic/Latino of any race",24.7
"New Haven School District","Fair Haven School","=""0931611""","Two or More Races","*"
"New Haven School District","Fair Haven School","=""0931611""","White",13.7
"New Haven School District","Hill Regional Career High School","=""0936311""","American Indian or Alaska Native","*"
"New Haven School District","Hill Regional Career High School","=""0936311""","Asian","*"
"New Haven School District","Hill Regional Career High School","=""0936311""","Black or African American",18.1
"New Haven School District","Hill Regional Career High School","=""0936311""","Hispanic/Latino of any race",31.3
"New Haven School District","Hill Regional Career High School","=""0936311""","Two or More Races","*"
"New Haven School District","Hill Regional Career High School","=""0936311""","White","*"
"New Haven School District","James Hillhouse High School","=""0936211""","American Indian or Alaska Native","*"
"New Haven School District","James Hillhouse High School","=""0936211""","Asian","*"
"New Haven School District","James Hillhouse High School","=""0936211""","Black or African American",43.6
"New Haven School District","James Hillhouse High School","=""0936211""","Hispanic/Latino of any race",55.3
"New Haven School District","James Hillhouse High School","=""0936211""","Two or More Races","*"
"New Haven School District","James Hillhouse High School","=""0936211""","White",30.8
"New Haven School District","John S. Martinez School","=""0930811""","American Indian or Alaska Native","*"
"New Haven School District","John S. Martinez School","=""0930811""","Asian","*"
"New Haven School District","John S. Martinez School","=""0930811""","Black or African American","*"
"New Haven School District","John S. Martinez School","=""0930811""","Hispanic/Latino of any race",22.8
"New Haven School District","John S. Martinez School","=""0930811""","White","*"
"New Haven School District","King/Robinson Magnet School","=""0933011""","American Indian or Alaska Native","*"
"New Haven School District","King/Robinson Magnet School","=""0933011""","Asian","*"
"New Haven School District","King/Robinson Magnet School","=""0933011""","Black or African American",20.9
"New Haven School District","King/Robinson Magnet School","=""0933011""","Hispanic/Latino of any race",20.3
"New Haven School District","King/Robinson Magnet School","=""0933011""","Two or More Races","*"
"New Haven School District","King/Robinson Magnet School","=""0933011""","White","*"
"New Haven School District","Mauro-Sheridan Magnet School","=""0931911""","American Indian or Alaska Native","*"
"New Haven School District","Mauro-Sheridan Magnet School","=""0931911""","Asian","*"
"New Haven School District","Mauro-Sheridan Magnet School","=""0931911""","Black or African American",12.1
"New Haven School District","Mauro-Sheridan Magnet School","=""0931911""","Hispanic/Latino of any race",16.1
"New Haven School District","Mauro-Sheridan Magnet School","=""0931911""","Two or More Races","*"
"New Haven School District","Mauro-Sheridan Magnet School","=""0931911""","White","*"
"New Haven School District","Ross/Woodward School","=""0931011""","American Indian or Alaska Native","*"
"New Haven School District","Ross/Woodward School","=""0931011""","Asian",0.0
"New Haven School District","Ross/Woodward School","=""0931011""","Black or African American",17.8
"New Haven School District","Ross/Woodward School","=""0931011""","Hispanic/Latino of any race",12.7
"New Haven School District","Ross/Woodward School","=""0931011""","Two or More Races","*"
"New Haven School District","Ross/Woodward School","=""0931011""","White",7.5
"New Haven School District","Truman School","=""0932911""","American Indian or Alaska Native","*"
"New Haven School District","Truman School","=""0932911""","Asian","*"
"New Haven School District","Truman School","=""0932911""","Black or African American","*"
"New Haven School District","Truman School","=""0932911""","Hispanic/Latino of any race",23.1
"New Haven School District","Truman School","=""0932911""","Two or More Races","*"
"New Haven School District","Truman School","=""0932911""","White","*"
"New Haven School District","West Rock Authors Academy","=""0934911""","American Indian or Alaska Native","*"
"New Haven School District","West Rock Authors Academy","=""0934911""","Asian","*"
"New Haven School District","West Rock Authors Academy","=""0934911""","Black or African American",31.3
"New Haven School District","West Rock Authors Academy","=""0934911""","Hispanic/Latino of any race",29.4
"New Haven School District","West Rock Authors Academy","=""0934911""","Two or More Races","*"
"New Haven School District","West Rock Authors Academy","=""0934911""","White","*"
"New Haven School District","Worthington Hooker School","=""0933811""","American Indian or Alaska Native","*"
"New Haven School District","Worthington Hooker School","=""0933811""","Asian",9.6
"New Haven School District","Worthington Hooker School","=""0933811""","Black or African American","*"
"New Haven School District","Worthington Hooker School","=""0933811""","Hispanic/Latino of any race","*"
"New Haven School District","Worthington Hooker School","=""0933811""","Two or More Races","*"
"New Haven School District","Worthington Hooker School","=""0933811""","White",10.0
"New Haven School District","Augusta Lewis Troup School","=""0931511""","Asian","*"
"New Haven School District","Augusta Lewis Troup School","=""0931511""","Black or African American",15.0
"New Haven School District","Augusta Lewis Troup School","=""0931511""","Hispanic/Latino of any race",22.6
"New Haven School District","Augusta Lewis Troup School","=""0931511""","White","*"
"New Haven School District","Barnard Environmental Magnet School","=""0930211""","Asian","*"
"New Haven School District","Barnard Environmental Magnet School","=""0930211""","Black or African American",14.6
"New Haven School District","Barnard Environmental Magnet School","=""0930211""","Hispanic/Latino of any race",14.8
"New Haven School District","Barnard Environmental Magnet School","=""0930211""","Two or More Races","*"
"New Haven School District","Barnard Environmental Magnet School","=""0930211""","White","*"
"New Haven School District","Beecher School","=""0930311""","Asian","*"
"New Haven School District","Beecher School","=""0930311""","Black or African American",23.1
"New Haven School District","Beecher School","=""0930311""","Hispanic/Latino of any race","*"
"New Haven School District","Beecher School","=""0930311""","Two or More Races","*"
"New Haven School District","Beecher School","=""0930311""","White",31.7
"New Haven School District","Betsy Ross Arts Magnet School","=""0935511""","Asian","*"
"New Haven School District","Betsy Ross Arts Magnet School","=""0935511""","Black or African American",10.9
"New Haven School District","Betsy Ross Arts Magnet School","=""0935511""","Hispanic/Latino of any race",14.2
"New Haven School District","Betsy Ross Arts Magnet School","=""0935511""","Two or More Races","*"
"New Haven School District","Betsy Ross Arts Magnet School","=""0935511""","White",12.3
"New Haven School District","Bishop Woods School","=""0934311""","Asian","*"
"New Haven School District","Bishop Woods School","=""0934311""","Black or African American",23.6
"New Haven School District","Bishop Woods School","=""0934311""","Hispanic/Latino of any race",27.2
"New Haven School District","Bishop Woods School","=""0934311""","Native Hawaiian or Other Pacific Islander","*"
"New Haven School District","Bishop Woods School","=""0934311""","White",17.5
"New Haven School District","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Asian","*"
"New Haven School District","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Black or African American",12.6
"New Haven School District","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Hispanic/Latino of any race",15.1
"New Haven School District","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Two or More Races","*"
"New Haven School District","Celentano BioTech, Health and Medical Magnet School","=""0934811""","White",18.8
"New Haven School District","Christopher Columbus Academy","=""0934111""","Asian","*"
"New Haven School District","Christopher Columbus Academy","=""0934111""","Black or African American","*"
"New Haven School District","Christopher Columbus Academy","=""0934111""","Hispanic/Latino of any race",14.6
"New Haven School District","Christopher Columbus Academy","=""0934111""","Two or More Races","*"
"New Haven School District","Christopher Columbus Academy","=""0934111""","White","*"
"New Haven School District","Clemente Leadership Academy","=""0934211""","Asian","*"
"New Haven School District","Clemente Leadership Academy","=""0934211""","Black or African American",30.1
"New Haven School District","Clemente Leadership Academy","=""0934211""","Hispanic/Latino of any race",42.9
"New Haven School District","Clemente Leadership Academy","=""0934211""","Two or More Races","*"
"New Haven School District","Clemente Leadership Academy","=""0934211""","White",38.5
"New Haven School District","Clinton Avenue School","=""0930611""","Asian","*"
"New Haven School District","Clinton Avenue School","=""0930611""","Black or African American",33.3
"New Haven School District","Clinton Avenue School","=""0930611""","Hispanic/Latino of any race",29.9
"New Haven School District","Clinton Avenue School","=""0930611""","Two or More Races","*"
"New Haven School District","Clinton Avenue School","=""0930611""","White",15.4
"New Haven School District","East Rock Community Magnet School","=""0934611""","Asian","*"
"New Haven School District","East Rock Community Magnet School","=""0934611""","Black or African American",21.7
"New Haven School District","East Rock Community Magnet School","=""0934611""","Hispanic/Latino of any race",23.9
"New Haven School District","East Rock Community Magnet School","=""0934611""","Two or More Races","*"
"New Haven School District","East Rock Community Magnet School","=""0934611""","White","*"
"New Haven School District","High School In The Community","=""0936611""","Asian","*"
"New Haven School District","High School In The Community","=""0936611""","Black or African American",43.4
"New Haven School District","High School In The Community","=""0936611""","Hispanic/Latino of any race","*"
"New Haven School District","High School In The Community","=""0936611""","White","*"
"New Haven School District","Hill Central Music Academy","=""0930711""","Asian","*"
"New Haven School District","Hill Central Music Academy","=""0930711""","Black or African American","*"
"New Haven School District","Hill Central Music Academy","=""0930711""","Hispanic/Latino of any race",29.9
"New Haven School District","Hill Central Music Academy","=""0930711""","Two or More Races","*"
"New Haven School District","Hill Central Music Academy","=""0930711""","White","*"
"New Haven School District","Hyde School of Health, Science and Sports Medicine","=""0936811""","Asian","*"
"New Haven School District","Hyde School of Health, Science and Sports Medicine","=""0936811""","Black or African American",38.0
"New Haven School District","Hyde School of Health, Science and Sports Medicine","=""0936811""","Hispanic/Latino of any race",37.1
"New Haven School District","Hyde School of Health, Science and Sports Medicine","=""0936811""","White","*"
"New Haven School District","John C. Daniels","=""0931311""","Asian","*"
"New Haven School District","John C. Daniels","=""0931311""","Black or African American",19.2
"New Haven School District","John C. Daniels","=""0931311""","Hispanic/Latino of any race",14.7
"New Haven School District","John C. Daniels","=""0931311""","White","*"
"New Haven School District","Katherine Brennan/Clarence Rogers School","=""0932111""","Asian","*"
"New Haven School District","Katherine Brennan/Clarence Rogers School","=""0932111""","Black or African American",18.8
"New Haven School District","Katherine Brennan/Clarence Rogers School","=""0932111""","Hispanic/Latino of any race",28.2
"New Haven School District","Katherine Brennan/Clarence Rogers School","=""0932111""","Two or More Races","*"
"New Haven School District","Katherine Brennan/Clarence Rogers School","=""0932111""","White","*"
"New Haven School District","Lincoln-Bassett School","=""0932011""","Asian","*"
"New Haven School District","Lincoln-Bassett School","=""0932011""","Black or African American",27.6
"New Haven School District","Lincoln-Bassett School","=""0932011""","Hispanic/Latino of any race",42.0
"New Haven School District","Lincoln-Bassett School","=""0932011""","Two or More Races","*"
"New Haven School District","Lincoln-Bassett School","=""0932011""","White","*"
"New Haven School District","Metropolitan Business Academy","=""0936011""","Asian","*"
"New Haven School District","Metropolitan Business Academy","=""0936011""","Black or African American",34.4
"New Haven School District","Metropolitan Business Academy","=""0936011""","Hispanic/Latino of any race",35.9
"New Haven School District","Metropolitan Business Academy","=""0936011""","White","*"
"New Haven School District","New Haven Academy","=""0937011""","Asian","*"
"New Haven School District","New Haven Academy","=""0937011""","Black or African American",49.0
"New Haven School District","New Haven Academy","=""0937011""","Hispanic/Latino of any race",48.6
"New Haven School District","New Haven Academy","=""0937011""","Two or More Races","*"
"New Haven School District","New Haven Academy","=""0937011""","White","*"
"New Haven School District","Quinnipiac Real World Math STEM School","=""0933511""","Asian","*"
"New Haven School District","Quinnipiac Real World Math STEM School","=""0933511""","Black or African American",27.0
"New Haven School District","Quinnipiac Real World Math STEM School","=""0933511""","Hispanic/Latino of any race",30.4
"New Haven School District","Quinnipiac Real World Math STEM School","=""0933511""","Two or More Races","*"
"New Haven School District","Quinnipiac Real World Math STEM School","=""0933511""","White",28.6
"New Haven School District","Sound School","=""0936711""","Asian","*"
"New Haven School District","Sound School","=""0936711""","Black or African American","*"
"New Haven School District","Sound School","=""0936711""","Hispanic/Latino of any race",24.4
"New Haven School District","Sound School","=""0936711""","Native Hawaiian or Other Pacific Islander","*"
"New Haven School District","Sound School","=""0936711""","Two or More Races","*"
"New Haven School District","Sound School","=""0936711""","White",14.4
"New Haven School District","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Asian","*"
"New Haven School District","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Black or African American",28.3
"New Haven School District","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Hispanic/Latino of any race",35.5
"New Haven School District","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Two or More Races","*"
"New Haven School District","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","White","*"
"New Haven School District","Wexler/Grant Community School","=""0933211""","Asian","*"
"New Haven School District","Wexler/Grant Community School","=""0933211""","Black or African American",30.1
"New Haven School District","Wexler/Grant Community School","=""0933211""","Hispanic/Latino of any race","*"
"New Haven School District","Wexler/Grant Community School","=""0933211""","Two or More Races","*"
"New Haven School District","Wexler/Grant Community School","=""0933211""","White","*"
"New Haven School District","Wilbur Cross High School","=""0936111""","Asian","*"
"New Haven School District","Wilbur Cross High School","=""0936111""","Black or African American",47.8
"New Haven School District","Wilbur Cross High School","=""0936111""","Hispanic/Latino of any race",50.6
"New Haven School District","Wilbur Cross High School","=""0936111""","Native Hawaiian or Other Pacific Islander","*"
"New Haven School District","Wilbur Cross High School","=""0936111""","Two or More Races","*"
"New Haven School District","Wilbur Cross High School","=""0936111""","White",38.7
"New Haven School District","Domus Academy","=""0935611""","Black or African American","*"
"New Haven School District","Domus Academy","=""0935611""","Hispanic/Latino of any race","*"
"New Haven School District","Polly T. McCabe Center","=""0939211""","Black or African American","*"
"New Haven School District","Polly T. McCabe Center","=""0939211""","Hispanic/Latino of any race","*"
"New Haven School District","Polly T. McCabe Center","=""0939211""","White","*"
"New Haven School District","Riverside Education Academy","=""0939111""","Black or African American",78.1
"New Haven School District","Riverside Education Academy","=""0939111""","Hispanic/Latino of any race","*"
"New Haven School District","Riverside Education Academy","=""0939111""","White","*"
"New London School District","Jennings School","=""0950311""","American Indian or Alaska Native","*"
"New London School District","Jennings School","=""0950311""","Asian","*"
"New London School District","Jennings School","=""0950311""","Black or African American",27.6
"New London School District","Jennings School","=""0950311""","Hispanic/Latino of any race",19.0
"New London School District","Jennings School","=""0950311""","Two or More Races",30.8
"New London School District","Jennings School","=""0950311""","White","*"
"New London School District","Bennie Dover Jackson Middle School","=""0955111""","American Indian or Alaska Native","*"
"New London School District","Bennie Dover Jackson Middle School","=""0955111""","Asian","*"
"New London School District","Bennie Dover Jackson Middle School","=""0955111""","Black or African American",10.1
"New London School District","Bennie Dover Jackson Middle School","=""0955111""","Hispanic/Latino of any race",12.2
"New London School District","Bennie Dover Jackson Middle School","=""0955111""","Native Hawaiian or Other Pacific Islander","*"
"New London School District","Bennie Dover Jackson Middle School","=""0955111""","Two or More Races",25.0
"New London School District","Bennie Dover Jackson Middle School","=""0955111""","White",20.0
"New London School District","Nathan Hale Arts Magnet School","=""0950911""","American Indian or Alaska Native","*"
"New London School District","Nathan Hale Arts Magnet School","=""0950911""","Asian","*"
"New London School District","Nathan Hale Arts Magnet School","=""0950911""","Black or African American","*"
"New London School District","Nathan Hale Arts Magnet School","=""0950911""","Hispanic/Latino of any race",4.6
"New London School District","Nathan Hale Arts Magnet School","=""0950911""","Two or More Races","*"
"New London School District","Nathan Hale Arts Magnet School","=""0950911""","White",6.3
"New London School District","New London High School","=""0956111""","American Indian or Alaska Native","*"
"New London School District","New London High School","=""0956111""","Asian","*"
"New London School District","New London High School","=""0956111""","Black or African American",23.0
"New London School District","New London High School","=""0956111""","Hispanic/Latino of any race",29.6
"New London School District","New London High School","=""0956111""","Native Hawaiian or Other Pacific Islander","*"
"New London School District","New London High School","=""0956111""","Two or More Races",13.6
"New London School District","New London High School","=""0956111""","White",20.1
"New London School District","Winthrop STEM Elementary Magnet School","=""0950811""","Asian","*"
"New London School District","Winthrop STEM Elementary Magnet School","=""0950811""","Black or African American",34.4
"New London School District","Winthrop STEM Elementary Magnet School","=""0950811""","Hispanic/Latino of any race",39.2
"New London School District","Winthrop STEM Elementary Magnet School","=""0950811""","Native Hawaiian or Other Pacific Islander","*"
"New London School District","Winthrop STEM Elementary Magnet School","=""0950811""","Two or More Races",46.6
"New London School District","Winthrop STEM Elementary Magnet School","=""0950811""","White",38.5
"New Milford School District","Hill And Plain School","=""0960511""","American Indian or Alaska Native","*"
"New Milford School District","Hill And Plain School","=""0960511""","Asian","*"
"New Milford School District","Hill And Plain School","=""0960511""","Black or African American","*"
"New Milford School District","Hill And Plain School","=""0960511""","Hispanic/Latino of any race",12.6
"New Milford School District","Hill And Plain School","=""0960511""","Two or More Races","*"
"New Milford School District","Hill And Plain School","=""0960511""","White",3.6
"New Milford School District","Schaghticoke Middle School","=""0965211""","American Indian or Alaska Native","*"
"New Milford School District","Schaghticoke Middle School","=""0965211""","Asian",0.0
"New Milford School District","Schaghticoke Middle School","=""0965211""","Black or African American","*"
"New Milford School District","Schaghticoke Middle School","=""0965211""","Hispanic/Latino of any race",10.3
"New Milford School District","Schaghticoke Middle School","=""0965211""","Two or More Races","*"
"New Milford School District","Schaghticoke Middle School","=""0965211""","White",7.4
"New Milford School District","John Pettibone School","=""0960711""","Asian","*"
"New Milford School District","John Pettibone School","=""0960711""","Black or African American","*"
"New Milford School District","John Pettibone School","=""0960711""","Hispanic/Latino of any race","*"
"New Milford School District","John Pettibone School","=""0960711""","Two or More Races","*"
"New Milford School District","John Pettibone School","=""0960711""","White","*"
"New Milford School District","New Milford High School","=""0966111""","Asian","*"
"New Milford School District","New Milford High School","=""0966111""","Black or African American","*"
"New Milford School District","New Milford High School","=""0966111""","Hispanic/Latino of any race",21.0
"New Milford School District","New Milford High School","=""0966111""","Two or More Races","*"
"New Milford School District","New Milford High School","=""0966111""","White",15.3
"New Milford School District","Northville Elementary School","=""0960811""","Asian","*"
"New Milford School District","Northville Elementary School","=""0960811""","Black or African American","*"
"New Milford School District","Northville Elementary School","=""0960811""","Hispanic/Latino of any race","*"
"New Milford School District","Northville Elementary School","=""0960811""","Two or More Races","*"
"New Milford School District","Northville Elementary School","=""0960811""","White","*"
"New Milford School District","Sarah Noble Intermediate School","=""0960911""","Asian",0.0
"New Milford School District","Sarah Noble Intermediate School","=""0960911""","Black or African American","*"
"New Milford School District","Sarah Noble Intermediate School","=""0960911""","Hispanic/Latino of any race",6.3
"New Milford School District","Sarah Noble Intermediate School","=""0960911""","Two or More Races","*"
"New Milford School District","Sarah Noble Intermediate School","=""0960911""","White",4.8
"New Milford School District","Litchfield Hills Transition Center","=""0969011""","White","*"
"Newington School District","Anna Reynolds School","=""0940611""","American Indian or Alaska Native","*"
"Newington School District","Anna Reynolds School","=""0940611""","Asian",0.0
"Newington School District","Anna Reynolds School","=""0940611""","Black or African American","*"
"Newington School District","Anna Reynolds School","=""0940611""","Hispanic/Latino of any race","*"
"Newington School District","Anna Reynolds School","=""0940611""","Two or More Races","*"
"Newington School District","Anna Reynolds School","=""0940611""","White",2.2
"Newington School District","John Wallace Middle School","=""0945311""","American Indian or Alaska Native","*"
"Newington School District","John Wallace Middle School","=""0945311""","Asian","*"
"Newington School District","John Wallace Middle School","=""0945311""","Black or African American","*"
"Newington School District","John Wallace Middle School","=""0945311""","Hispanic/Latino of any race","*"
"Newington School District","John Wallace Middle School","=""0945311""","Two or More Races","*"
"Newington School District","John Wallace Middle School","=""0945311""","White",3.1
"Newington School District","Martin Kellogg Middle School","=""0945111""","American Indian or Alaska Native","*"
"Newington School District","Martin Kellogg Middle School","=""0945111""","Asian","*"
"Newington School District","Martin Kellogg Middle School","=""0945111""","Black or African American",0.0
"Newington School District","Martin Kellogg Middle School","=""0945111""","Hispanic/Latino of any race",5.9
"Newington School District","Martin Kellogg Middle School","=""0945111""","Native Hawaiian or Other Pacific Islander","*"
"Newington School District","Martin Kellogg Middle School","=""0945111""","Two or More Races","*"
"Newington School District","Martin Kellogg Middle School","=""0945111""","White",4.5
"Newington School District","Newington High School","=""0946111""","American Indian or Alaska Native","*"
"Newington School District","Newington High School","=""0946111""","Asian",9.2
"Newington School District","Newington High School","=""0946111""","Black or African American",15.6
"Newington School District","Newington High School","=""0946111""","Hispanic/Latino of any race",16.9
"Newington School District","Newington High School","=""0946111""","Native Hawaiian or Other Pacific Islander","*"
"Newington School District","Newington High School","=""0946111""","Two or More Races","*"
"Newington School District","Newington High School","=""0946111""","White",14.2
"Newington School District","Elizabeth Green School","=""0940211""","Asian",0.0
"Newington School District","Elizabeth Green School","=""0940211""","Black or African American","*"
"Newington School District","Elizabeth Green School","=""0940211""","Hispanic/Latino of any race","*"
"Newington School District","Elizabeth Green School","=""0940211""","Two or More Races","*"
"Newington School District","Elizabeth Green School","=""0940211""","White","*"
"Newington School District","John Paterson School","=""0940811""","Asian","*"
"Newington School District","John Paterson School","=""0940811""","Black or African American","*"
"Newington School District","John Paterson School","=""0940811""","Hispanic/Latino of any race",11.9
"Newington School District","John Paterson School","=""0940811""","Two or More Races","*"
"Newington School District","John Paterson School","=""0940811""","White","*"
"Newington School District","Ruth Chaffee School","=""0940711""","Asian",0.0
"Newington School District","Ruth Chaffee School","=""0940711""","Black or African American","*"
"Newington School District","Ruth Chaffee School","=""0940711""","Hispanic/Latino of any race","*"
"Newington School District","Ruth Chaffee School","=""0940711""","Two or More Races","*"
"Newington School District","Ruth Chaffee School","=""0940711""","White","*"
"Newtown School District","Newtown High School","=""0976111""","American Indian or Alaska Native","*"
"Newtown School District","Newtown High School","=""0976111""","Asian","*"
"Newtown School District","Newtown High School","=""0976111""","Black or African American","*"
"Newtown School District","Newtown High School","=""0976111""","Hispanic/Latino of any race","*"
"Newtown School District","Newtown High School","=""0976111""","Two or More Races",0.0
"Newtown School District","Newtown High School","=""0976111""","White",2.6
"Newtown School District","Hawley Elementary School","=""0970111""","Asian","*"
"Newtown School District","Hawley Elementary School","=""0970111""","Hispanic/Latino of any race","*"
"Newtown School District","Hawley Elementary School","=""0970111""","Two or More Races","*"
"Newtown School District","Hawley Elementary School","=""0970111""","White",2.6
"Newtown School District","Head O'Meadow Elementary School","=""0970411""","Asian","*"
"Newtown School District","Head O'Meadow Elementary School","=""0970411""","Black or African American","*"
"Newtown School District","Head O'Meadow Elementary School","=""0970411""","Hispanic/Latino of any race","*"
"Newtown School District","Head O'Meadow Elementary School","=""0970411""","Two or More Races","*"
"Newtown School District","Head O'Meadow Elementary School","=""0970411""","White",2.9
"Newtown School District","Middle Gate Elementary School","=""0970311""","Asian","*"
"Newtown School District","Middle Gate Elementary School","=""0970311""","Black or African American","*"
"Newtown School District","Middle Gate Elementary School","=""0970311""","Hispanic/Latino of any race","*"
"Newtown School District","Middle Gate Elementary School","=""0970311""","Two or More Races","*"
"Newtown School District","Middle Gate Elementary School","=""0970311""","White","*"
"Newtown School District","Newtown Middle School","=""0975111""","Asian","*"
"Newtown School District","Newtown Middle School","=""0975111""","Black or African American","*"
"Newtown School District","Newtown Middle School","=""0975111""","Hispanic/Latino of any race","*"
"Newtown School District","Newtown Middle School","=""0975111""","Two or More Races","*"
"Newtown School District","Newtown Middle School","=""0975111""","White",7.4
"Newtown School District","Reed Intermediate School","=""0970511""","Asian",0.0
"Newtown School District","Reed Intermediate School","=""0970511""","Black or African American","*"
"Newtown School District","Reed Intermediate School","=""0970511""","Hispanic/Latino of any race","*"
"Newtown School District","Reed Intermediate School","=""0970511""","Two or More Races","*"
"Newtown School District","Reed Intermediate School","=""0970511""","White","*"
"Newtown School District","Sandy Hook Elementary School","=""0970211""","Asian","*"
"Newtown School District","Sandy Hook Elementary School","=""0970211""","Black or African American","*"
"Newtown School District","Sandy Hook Elementary School","=""0970211""","Hispanic/Latino of any race",27.3
"Newtown School District","Sandy Hook Elementary School","=""0970211""","Two or More Races","*"
"Newtown School District","Sandy Hook Elementary School","=""0970211""","White",5.2
"Newtown School District","STARR","=""0979011""","White","*"
"Norfolk School District","Botelle Elementary School","=""0980111""","Hispanic/Latino of any race","*"
"Norfolk School District","Botelle Elementary School","=""0980111""","White","*"
"Norfolk School District","Bridges II","=""0989211""","White","*"
"North Branford School District","North Branford High School","=""0996111""","American Indian or Alaska Native","*"
"North Branford School District","North Branford High School","=""0996111""","Asian","*"
