"Chronic Absenteeism, 2012-13"
", All Schools, Grade"

"District","District Code","School","School Code","Grade","% Chronically Absent"
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Grade   6",43.3
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Grade   7",42.1
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Grade   8",35.1
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Kindergarten",15.8
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Grade   1","*"
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Grade   2","*"
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Grade   3","*"
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Grade   4","*"
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Grade   5","*"
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Grade   6","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Kindergarten","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Grade   1","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Grade   2","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Grade   3",0.0
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Grade   4","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Grade   5","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Grade   6","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Grade   7",13.6
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Grade   8",24.4
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Grade   9","*"
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Grade 10",77.3
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Grade 11","*"
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Grade 12",42.3
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Kindergarten",35.5
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Grade   1",12.2
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Grade   2",17.1
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Grade   3",10.9
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Grade   4",18.4
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Grade   5",13.2
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Grade   9",18.6
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Grade 10",11.8
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Grade 11",16.2
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Grade 12",14.7
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Kindergarten","*"
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Grade   1",11.1
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Grade   2","*"
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Grade   3","*"
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Grade   4",0.0
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Grade   5","*"
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Grade   6",10.0
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Grade   7",23.9
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Grade   8",25.4
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Grade   9",17.5
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Kindergarten","*"
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Grade   4","*"
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Grade   5","*"
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Grade   6","*"
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Grade   7","*"
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Grade   8","*"
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Grade   9","*"
"Hartford School District","=""0640011""","SAND School","=""0640111""","Kindergarten",44.9
"Hartford School District","=""0640011""","SAND School","=""0640111""","Grade   1",36.2
"Hartford School District","=""0640011""","SAND School","=""0640111""","Grade   2",43.9
"Hartford School District","=""0640011""","SAND School","=""0640111""","Grade   3",36.2
"Hartford School District","=""0640011""","SAND School","=""0640111""","Grade   4",35.4
"Hartford School District","=""0640011""","SAND School","=""0640111""","Grade   5",30.8
"Hartford School District","=""0640011""","SAND School","=""0640111""","Grade   6",44.7
"Hartford School District","=""0640011""","SAND School","=""0640111""","Grade   7",48.0
"Hartford School District","=""0640011""","SAND School","=""0640111""","Grade   8",35.7
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Kindergarten","*"
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Grade   1","*"
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Grade   2","*"
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Grade   3",0.0
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Grade   4",0.0
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Grade   5","*"
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Grade   6","*"
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Grade   7",0.0
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Grade   8","*"
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""","Grade   4",24.7
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Kindergarten",42.7
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Grade   1",26.4
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Grade   2",20.8
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Grade   3",24.6
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Grade   4",19.7
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Grade   5",27.5
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Kindergarten",17.7
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Grade   1",20.0
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Grade   2",10.6
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Grade   3",12.9
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Grade   4",17.6
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Grade   5","*"
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Grade   6",13.3
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Grade   7",20.3
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Grade   8","*"
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Kindergarten",51.1
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Grade   1",41.7
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Grade   2",41.4
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Grade   3",25.7
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Grade   4","*"
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Grade   5","*"
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Grade   6",40.7
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Grade   7",0.0
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Grade   8","*"
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Grade   6",8.3
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Grade   7",8.7
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Grade   8",12.0
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Grade   9",20.2
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Grade 10",19.3
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Grade 11",11.0
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Grade 12",29.2
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Grade   9",14.0
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Grade 10","*"
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Grade 11","*"
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Grade 12",10.6
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Kindergarten",28.8
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Grade   1",8.3
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Grade   2",19.7
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Grade   3",20.0
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Grade   4",14.5
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Grade   5",14.0
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Grade   6",29.4
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Grade   7",32.7
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Grade   8",15.1
"Hartland School District","=""0650011""","Hartland School","=""0650111""","Kindergarten","*"
"Hartland School District","=""0650011""","Hartland School","=""0650111""","Grade   1","*"
"Hartland School District","=""0650011""","Hartland School","=""0650111""","Grade   2","*"
"Hartland School District","=""0650011""","Hartland School","=""0650111""","Grade   3","*"
"Hartland School District","=""0650011""","Hartland School","=""0650111""","Grade   4",0.0
"Hartland School District","=""0650011""","Hartland School","=""0650111""","Grade   5","*"
"Hartland School District","=""0650011""","Hartland School","=""0650111""","Grade   6",0.0
"Hartland School District","=""0650011""","Hartland School","=""0650111""","Grade   7","*"
"Hartland School District","=""0650011""","Hartland School","=""0650111""","Grade   8","*"
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""","Kindergarten",6.5
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""","Grade   1","*"
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""","Grade   2","*"
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""","Grade   2","*"
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""","Grade   3","*"
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""","Grade   4","*"
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""","Grade   5","*"
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""","Grade   6",6.5
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","Kindergarten","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","Grade   1","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","Grade   2","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","Grade   3",0.0
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","Grade   4","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","Grade   5","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","Grade   6","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","Grade   7","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","Grade   8","*"
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","Kindergarten",21.9
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","Grade   1","*"
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","Grade   2","*"
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","Grade   3","*"
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","Grade   4","*"
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","Grade   5","*"
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","Grade   6","*"
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","Grade   7",0.0
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""","Grade   8","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""","Grade   6",12.3
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""","Grade   7","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""","Grade   8","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","Kindergarten","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","Grade   1","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","Grade   2","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","Grade   3","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","Grade   4","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","Grade   5","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","Grade   6",9.0
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","Grade   7","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","Grade   8",11.1
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","Grade   9","*"
"Kent School District","=""0680011""","Kent Center School","=""0680111""","Kindergarten","*"
"Kent School District","=""0680011""","Kent Center School","=""0680111""","Grade   1","*"
"Kent School District","=""0680011""","Kent Center School","=""0680111""","Grade   2","*"
"Kent School District","=""0680011""","Kent Center School","=""0680111""","Grade   3",0.0
"Kent School District","=""0680011""","Kent Center School","=""0680111""","Grade   4","*"
"Kent School District","=""0680011""","Kent Center School","=""0680111""","Grade   5",0.0
"Kent School District","=""0680011""","Kent Center School","=""0680111""","Grade   6","*"
"Kent School District","=""0680011""","Kent Center School","=""0680111""","Grade   7",0.0
"Kent School District","=""0680011""","Kent Center School","=""0680111""","Grade   8","*"
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""","Kindergarten",12.2
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""","Grade   1",9.9
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""","Grade   2",11.6
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""","Grade   3",19.6
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""","Grade   4",18.8
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","Grade   9",26.7
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","Grade 10",19.5
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","Grade 11",16.9
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","Grade 12",25.5
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""","Grade   5",9.7
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""","Grade   6",9.8
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""","Grade   7",14.1
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""","Grade   8",13.8
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""","Kindergarten",19.1
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""","Grade   1",15.3
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""","Grade   2",6.8
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""","Grade   3",9.6
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""","Grade   4",7.0
"Learn","=""2450014""","Connecticut River Academy","=""2456014""","Grade   9",32.3
"Learn","=""2450014""","Connecticut River Academy","=""2456014""","Grade 10",28.7
"Learn","=""2450014""","Connecticut River Academy","=""2456014""","Grade 11",39.4
"Learn","=""2450014""","Connecticut River Academy","=""2456014""","Grade 12",71.4
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""","Grade   6","*"
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""","Grade   7","*"
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""","Grade   8",21.2
"Learn","=""2450014""","Learn Special Education","=""2459014""","Grade   1","*"
"Learn","=""2450014""","Learn Special Education","=""2459014""","Grade   2","*"
"Learn","=""2450014""","Learn Special Education","=""2459014""","Grade   3","*"
"Learn","=""2450014""","Learn Special Education","=""2459014""","Grade   4","*"
"Learn","=""2450014""","Learn Special Education","=""2459014""","Grade   5","*"
"Learn","=""2450014""","Learn Special Education","=""2459014""","Grade   6","*"
"Learn","=""2450014""","Learn Special Education","=""2459014""","Grade   7","*"
"Learn","=""2450014""","Learn Special Education","=""2459014""","Grade   9","*"
"Learn","=""2450014""","Learn Special Education","=""2459014""","Grade 10","*"
"Learn","=""2450014""","Learn Special Education","=""2459014""","Grade 12","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","Grade   9","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","Grade 10",18.8
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","Grade 11","*"
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""","Kindergarten",55.3
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""","Grade   1",41.1
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""","Grade   2",44.7
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""","Grade   3",35.3
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""","Grade   4",30.5
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""","Grade   5",31.6
"Learn","=""2450014""","The Friendship School","=""2450214""","Kindergarten",24.2
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""","Grade 11","*"
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""","Grade 12","*"
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""","Kindergarten",11.0
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""","Grade   1",8.0
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""","Grade   2","*"
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""","Grade   3","*"
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""","Grade   4",6.8
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""","Grade   5","*"
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""","Grade   6",7.4
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""","Grade   7","*"
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""","Grade   8",8.0
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","Grade   9",9.7
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","Grade 10",23.2
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","Grade 11",23.5
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","Grade 12",45.1
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""","Kindergarten","*"
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""","Grade   1",23.7
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""","Grade   2","*"
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""","Kindergarten",11.8
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""","Grade   1","*"
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""","Grade   2","*"
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""","Grade   3","*"
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""","Grade   4","*"
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""","Grade   5","*"
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""","Grade   6","*"
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""","Grade   3","*"
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""","Grade   4",12.3
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""","Grade   5",13.6
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""","Grade   6","*"
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""","Kindergarten","*"
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""","Grade   1",12.7
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""","Grade   2","*"
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""","Grade   3","*"
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""","Grade   4","*"
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""","Grade   5","*"
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""","Grade   6",12.5
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","Grade   9",5.3
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","Grade 10",4.8
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","Grade 11",8.5
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","Grade 12",10.8
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""","Grade   7",5.2
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""","Grade   8",6.8
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""","Grade 10","*"
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""","Grade 11","*"
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""","Grade 12","*"
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""","Kindergarten","*"
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""","Grade   1","*"
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""","Grade   2","*"
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""","Grade   3","*"
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""","Grade   4","*"
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""","Grade   5",0.0
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""","Grade   6","*"
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""","Grade   7","*"
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""","Grade   8",11.9
"Litchfield School District","=""0740011""","Center School","=""0740211""","Kindergarten",12.5
"Litchfield School District","=""0740011""","Center School","=""0740211""","Grade   1","*"
"Litchfield School District","=""0740011""","Center School","=""0740211""","Grade   2","*"
"Litchfield School District","=""0740011""","Center School","=""0740211""","Grade   3",7.9
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","Grade   7",12.1
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","Grade   8",10.3
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","Grade   9",7.8
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","Grade 10","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","Grade 11","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","Grade 12",10.3
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""","Grade   4","*"
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""","Grade   5","*"
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""","Grade   6",7.5
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","Grade   9","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","Grade 10",2.6
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","Grade 11","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","Grade 12",4.4
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""","Grade   5",3.3
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""","Grade   6",6.1
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""","Grade   1","*"
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""","Grade   2","*"
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""","Grade   3","*"
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""","Grade   4","*"
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""","Kindergarten",6.6
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""","Grade   1","*"
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""","Grade   2","*"
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""","Grade   3","*"
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""","Grade   4","*"
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""","Grade   1",0.0
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""","Grade   2","*"
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""","Grade   3","*"
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""","Grade   4","*"
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""","Grade   7",6.4
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""","Grade   8",5.1
"Manchester School District","=""0770011""","Bowers School","=""0770111""","Kindergarten",17.6
"Manchester School District","=""0770011""","Bowers School","=""0770111""","Grade   1","*"
"Manchester School District","=""0770011""","Bowers School","=""0770111""","Grade   2",11.1
"Manchester School District","=""0770011""","Bowers School","=""0770111""","Grade   3","*"
"Manchester School District","=""0770011""","Bowers School","=""0770111""","Grade   4",8.7
"Manchester School District","=""0770011""","Bowers School","=""0770111""","Grade   5","*"
"Manchester School District","=""0770011""","Buckley School","=""0770311""","Kindergarten","*"
"Manchester School District","=""0770011""","Buckley School","=""0770311""","Grade   1","*"
"Manchester School District","=""0770011""","Buckley School","=""0770311""","Grade   2","*"
"Manchester School District","=""0770011""","Buckley School","=""0770311""","Grade   3","*"
"Manchester School District","=""0770011""","Buckley School","=""0770311""","Grade   4",13.6
"Manchester School District","=""0770011""","Buckley School","=""0770311""","Grade   5","*"
"Manchester School District","=""0770011""","Buckley School","=""0770311""","Grade   6","*"
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""","Grade   5","*"
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""","Grade   6","*"
"Manchester School District","=""0770011""","Highland Park School","=""0770411""","Kindergarten",16.3
"Manchester School District","=""0770011""","Highland Park School","=""0770411""","Grade   1","*"
"Manchester School District","=""0770011""","Highland Park School","=""0770411""","Grade   2","*"
"Manchester School District","=""0770011""","Highland Park School","=""0770411""","Grade   3","*"
"Manchester School District","=""0770011""","Highland Park School","=""0770411""","Grade   4","*"
"Manchester School District","=""0770011""","Highland Park School","=""0770411""","Grade   5","*"
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""","Grade   7",11.8
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""","Grade   8",14.5
"Manchester School District","=""0770011""","Keeney School","=""0770611""","Kindergarten",16.4
