"Chronic Absenteeism, 2011-12"
", All Schools, Special Education Status"

"District","District Code","School","School Code","Special Education Status","% Chronically Absent"
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""","Special Education",26.8
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""","Non-Special Education",13.3
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""","Special Education",11.6
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","Non-Special Education",10.5
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","Special Education",14.3
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""","Non-Special Education",21.3
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""","Special Education",30.6
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","Non-Special Education",7.0
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","Special Education",16.3
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","Non-Special Education","*"
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","Special Education","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","Non-Special Education",17.5
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","Special Education",32.1
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","Non-Special Education","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","Special Education","*"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","Non-Special Education",65.3
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","Special Education",70.0
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","Non-Special Education","*"
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","Special Education","*"
"New Haven School District","=""0930011""","Sound School","=""0936711""","Non-Special Education",10.5
"New Haven School District","=""0930011""","Sound School","=""0936711""","Special Education",17.8
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Non-Special Education",28.6
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Special Education",41.9
"New Haven School District","=""0930011""","Truman School","=""0932911""","Non-Special Education",21.3
"New Haven School District","=""0930011""","Truman School","=""0932911""","Special Education",34.5
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""","Non-Special Education","*"
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""","Special Education","*"
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""","Non-Special Education",15.3
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""","Special Education",25.6
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""","Non-Special Education",54.2
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""","Special Education",62.0
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""","Non-Special Education",6.0
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""","Special Education",0.0
"New London School District","=""0950011""","Jennings School","=""0950311""","Non-Special Education",23.7
"New London School District","=""0950011""","Jennings School","=""0950311""","Special Education",18.2
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""","Non-Special Education",18.9
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""","Special Education",42.4
"New London School District","=""0950011""","Harbor School","=""0950211""","Non-Special Education",15.6
"New London School District","=""0950011""","Harbor School","=""0950211""","Special Education",23.1
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""","Non-Special Education",19.2
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""","Special Education",26.1
"New London School District","=""0950011""","New London Clinical Day Program","=""0959111""","Special Education",76.2
"New London School District","=""0950011""","New London High School","=""0956111""","Non-Special Education",25.6
"New London School District","=""0950011""","New London High School","=""0956111""","Special Education",34.0
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""","Non-Special Education",39.3
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""","Special Education",54.8
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""","Non-Special Education",6.2
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""","Special Education",11.5
"New Milford School District","=""0960011""","John Pettibone School","=""0960711""","Non-Special Education","*"
"New Milford School District","=""0960011""","John Pettibone School","=""0960711""","Special Education","*"
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""","Special Education","*"
"New Milford School District","=""0960011""","New Milford High School","=""0966111""","Non-Special Education",14.4
"New Milford School District","=""0960011""","New Milford High School","=""0966111""","Special Education",39.5
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""","Non-Special Education",7.8
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""","Special Education",17.0
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""","Non-Special Education",4.9
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""","Special Education",8.3
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""","Non-Special Education",7.4
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""","Special Education",19.0
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""","Non-Special Education","*"
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""","Special Education","*"
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""","Non-Special Education","*"
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""","Special Education","*"
"Newington School District","=""0940011""","John Paterson School","=""0940811""","Non-Special Education",1.9
"Newington School District","=""0940011""","John Paterson School","=""0940811""","Special Education",9.7
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""","Non-Special Education",4.3
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""","Special Education",7.2
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""","Non-Special Education",3.7
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""","Special Education",13.2
"Newington School District","=""0940011""","Newington High School","=""0946111""","Non-Special Education",4.4
"Newington School District","=""0940011""","Newington High School","=""0946111""","Special Education",15.1
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""","Non-Special Education","*"
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""","Special Education","*"
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""","Non-Special Education","*"
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""","Special Education","*"
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""","Non-Special Education","*"
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""","Special Education","*"
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""","Non-Special Education","*"
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""","Special Education","*"
"Newtown School District","=""0970011""","Newtown High School","=""0976111""","Non-Special Education",1.4
"Newtown School District","=""0970011""","Newtown High School","=""0976111""","Special Education",5.6
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""","Non-Special Education",3.5
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""","Special Education",15.0
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""","Non-Special Education","*"
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""","Special Education","*"
"Newtown School District","=""0970011""","STARR","=""0979011""","Special Education","*"
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""","Non-Special Education","*"
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""","Special Education","*"
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""","Non-Special Education","*"
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""","Special Education","*"
"Norfolk School District","=""0980011""","Bridges II","=""0989211""","Special Education","*"
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""","Non-Special Education","*"
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""","Special Education","*"
"North Branford School District","=""0990011""","North Branford High School","=""0996111""","Non-Special Education",40.3
"North Branford School District","=""0990011""","North Branford High School","=""0996111""","Special Education",45.5
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""","Non-Special Education",4.8
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""","Special Education",7.1
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""","Non-Special Education","*"
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""","Special Education","*"
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""","Non-Special Education","*"
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""","Special Education","*"
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""","Non-Special Education","*"
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""","Special Education","*"
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""","Non-Special Education","*"
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""","Special Education","*"
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""","Non-Special Education","*"
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""","Special Education","*"
"North Haven School District","=""1010011""","North Haven High School","=""1016111""","Non-Special Education",11.8
"North Haven School District","=""1010011""","North Haven High School","=""1016111""","Special Education",21.5
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""","Non-Special Education",5.8
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""","Special Education",16.7
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""","Non-Special Education","*"
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""","Special Education","*"
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""","Non-Special Education","*"
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""","Special Education","*"
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""","Non-Special Education","*"
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""","Special Education","*"
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""","Non-Special Education","*"
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""","Special Education","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""","Non-Special Education",16.4
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""","Special Education",26.5
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""","Non-Special Education","*"
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""","Special Education","*"
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""","Non-Special Education","*"
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""","Special Education","*"
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""","Non-Special Education","*"
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""","Special Education","*"
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""","Non-Special Education","*"
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""","Special Education","*"
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""","Non-Special Education",6.1
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""","Special Education",16.7
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""","Non-Special Education","*"
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""","Special Education","*"
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""","Non-Special Education",6.2
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""","Special Education",13.0
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""","Non-Special Education",2.3
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""","Special Education",0.0
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""","Non-Special Education",10.9
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""","Special Education",21.8
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""","Non-Special Education",17.7
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""","Special Education",30.2
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""","Non-Special Education","*"
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""","Special Education","*"
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""","Non-Special Education",17.7
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""","Special Education",24.6
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""","Non-Special Education",11.6
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""","Special Education",23.3
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""","Non-Special Education","*"
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""","Special Education","*"
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""","Non-Special Education",7.8
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""","Special Education",15.6
"Norwalk School District","=""1030011""","Tracey School","=""1031411""","Non-Special Education","*"
"Norwalk School District","=""1030011""","Tracey School","=""1031411""","Special Education","*"
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""","Non-Special Education",12.0
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""","Special Education",18.1
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""","Non-Special Education","*"
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""","Special Education","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""","Non-Special Education",9.6
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""","Special Education",18.8
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""","Special Education",51.3
"Norwich School District","=""1040011""","Hickory Street School","=""1049011""","Special Education","*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""","Non-Special Education",8.7
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""","Special Education",23.6
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""","Non-Special Education",12.3
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""","Special Education",27.1
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""","Non-Special Education",14.4
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""","Special Education",19.1
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""","Non-Special Education",10.3
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""","Special Education",19.6
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""","Non-Special Education",9.3
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""","Special Education",18.1
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""","Non-Special Education","*"
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""","Special Education","*"
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""","Non-Special Education",3.9
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""","Special Education",23.5
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""","Non-Special Education",16.2
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""","Special Education",31.8
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""","Non-Special Education","*"
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""","Special Education","*"
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""","Non-Special Education",13.4
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""","Special Education",21.1
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""","Non-Special Education","*"
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""","Special Education","*"
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""","Non-Special Education","*"
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""","Special Education","*"
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""","Non-Special Education",4.2
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""","Special Education",13.4
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""","Non-Special Education",35.1
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""","Special Education",31.8
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""","Non-Special Education","*"
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""","Special Education","*"
"Orange School District","=""1070011""","Peck Place School","=""1070511""","Non-Special Education","*"
"Orange School District","=""1070011""","Peck Place School","=""1070511""","Special Education","*"
"Orange School District","=""1070011""","Race Brook School","=""1070311""","Non-Special Education","*"
"Orange School District","=""1070011""","Race Brook School","=""1070311""","Special Education","*"
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""","Non-Special Education","*"
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""","Special Education","*"
"Oxford School District","=""1080011""","Great Oak School","=""1085111""","Non-Special Education",5.4
"Oxford School District","=""1080011""","Great Oak School","=""1085111""","Special Education",18.2
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""","Non-Special Education","*"
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""","Special Education","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""","Non-Special Education","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""","Special Education","*"
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""","Non-Special Education",2.9
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""","Special Education",0.0
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""","Non-Special Education",7.3
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""","Special Education",26.1
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""","Non-Special Education",7.3
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""","Special Education",28.0
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""","Non-Special Education",7.7
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""","Special Education",15.5
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""","Non-Special Education",17.1
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""","Special Education",37.1
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""","Non-Special Education",6.6
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""","Special Education",17.6
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""","Non-Special Education","*"
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""","Special Education","*"
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""","Non-Special Education","*"
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""","Special Education","*"
"Plainville School District","=""1100011""","Linden Street School","=""1100211""","Non-Special Education",6.7
"Plainville School District","=""1100011""","Linden Street School","=""1100211""","Special Education",19.0
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""","Non-Special Education",4.6
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""","Special Education",0.0
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""","Non-Special Education","*"
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""","Special Education","*"
"Plainville School District","=""1100011""","Plainville High School","=""1106111""","Non-Special Education",18.2
"Plainville School District","=""1100011""","Plainville High School","=""1106111""","Special Education",41.7
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""","Non-Special Education",5.5
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""","Special Education",15.6
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""","Non-Special Education",10.1
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""","Special Education",15.4
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""","Non-Special Education",5.9
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""","Special Education",17.0
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""","Non-Special Education",5.9
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""","Special Education",24.6
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""","Non-Special Education","*"
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""","Special Education","*"
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""","Non-Special Education",4.5
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""","Special Education",0.0
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""","Non-Special Education","*"
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""","Special Education","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""","Non-Special Education",7.1
"Portland School District","=""1130011""","Portland High School","=""1136111""","Special Education",23.1
"Portland School District","=""1130011""","Portland Middle School","=""1135111""","Non-Special Education","*"
"Portland School District","=""1130011""","Portland Middle School","=""1135111""","Special Education","*"
"Portland School District","=""1130011""","Valley View School","=""1130211""","Non-Special Education","*"
"Portland School District","=""1130011""","Valley View School","=""1130211""","Special Education",0.0
"Preston School District","=""1140011""","Preston Plains School","=""1145111""","Non-Special Education",0.0
"Preston School District","=""1140011""","Preston Plains School","=""1145111""","Special Education",0.0
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""","Non-Special Education","*"
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""","Special Education",0.0
"Putnam School District","=""1160011""","Helping Hands","=""1169011""","Special Education","*"
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""","Non-Special Education",7.6
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""","Special Education",14.3
"Putnam School District","=""1160011""","Putnam High School","=""1166111""","Non-Special Education",21.9
"Putnam School District","=""1160011""","Putnam High School","=""1166111""","Special Education",22.0
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""","Non-Special Education",6.9
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""","Special Education",19.0
"Redding School District","=""1170011""","John Read Middle School","=""1175111""","Non-Special Education",5.5
"Redding School District","=""1170011""","John Read Middle School","=""1175111""","Special Education",12.3
"Redding School District","=""1170011""","Redding Elementary School","=""1170111""","Non-Special Education","*"
"Redding School District","=""1170011""","Redding Elementary School","=""1170111""","Special Education","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""","Non-Special Education",6.0
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""","Special Education",11.3
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""","Non-Special Education","*"
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""","Special Education","*"
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""","Non-Special Education",7.7
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""","Special Education",15.4
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""","Non-Special Education",5.0
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""","Special Education",18.6
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""","Non-Special Education","*"
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""","Special Education","*"
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""","Non-Special Education",9.8
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""","Special Education",13.8
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""","Non-Special Education","*"
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""","Special Education","*"
"Regional School District 06","=""2060012""","James Morris School","=""2060212""","Non-Special Education","*"
"Regional School District 06","=""2060012""","James Morris School","=""2060212""","Special Education","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""","Non-Special Education",2.7
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""","Special Education",14.5
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""","Non-Special Education","*"
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""","Special Education","*"
"Regional School District 07","=""2070012""","AIM","=""2079112""","Special Education","*"
"Regional School District 07","=""2070012""","FLEX","=""2079012""","Non-Special Education","*"
"Regional School District 07","=""2070012""","FLEX","=""2079012""","Special Education","*"
"Regional School District 07","=""2070012""","Intensive Learning Program","=""2079412""","Non-Special Education","*"
"Regional School District 07","=""2070012""","Intensive Learning Program","=""2079412""","Special Education","*"
"Regional School District 07","=""2070012""","LINKS","=""2079212""","Special Education","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""","Non-Special Education",23.3
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""","Special Education",30.2
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""","Non-Special Education","*"
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""","Special Education","*"
"Regional School District 07","=""2070012""","STEP","=""2079312""","Non-Special Education","*"
"Regional School District 07","=""2070012""","STEP","=""2079312""","Special Education","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""","Non-Special Education",14.4
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""","Special Education",25.4
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""","Non-Special Education",14.1
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""","Special Education",27.3
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""","Non-Special Education",13.3
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""","Special Education",21.7
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""","Non-Special Education","*"
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""","Special Education","*"
"Regional School District 10","=""2100012""","Harwinton Consolidated School","=""2100312""","Non-Special Education","*"
"Regional School District 10","=""2100012""","Harwinton Consolidated School","=""2100312""","Special Education","*"
"Regional School District 10","=""2100012""","Lake Garda Elementary School","=""2100212""","Non-Special Education",0.0
"Regional School District 10","=""2100012""","Lake Garda Elementary School","=""2100212""","Special Education",0.0
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""","Non-Special Education",23.1
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""","Special Education",21.2
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""","Non-Special Education","*"
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""","Special Education","*"
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""","Non-Special Education","*"
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""","Special Education","*"
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""","Non-Special Education",10.3
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""","Special Education",14.3
"Regional School District 12","=""2120012""","Shepaug Valley Middle School","=""2125112""","Non-Special Education","*"
"Regional School District 12","=""2120012""","Shepaug Valley Middle School","=""2125112""","Special Education","*"
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""","Non-Special Education","*"
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""","Special Education","*"
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""","Non-Special Education","*"
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""","Special Education","*"
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""","Non-Special Education",4.8
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""","Special Education",20.5
"Regional School District 13","=""2130012""","Francis E. Korn School","=""2130212""","Non-Special Education","*"
"Regional School District 13","=""2130012""","Francis E. Korn School","=""2130212""","Special Education","*"
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""","Non-Special Education","*"
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""","Special Education","*"
"Regional School District 13","=""2130012""","Frederick Brewster School","=""2130112""","Non-Special Education","*"
"Regional School District 13","=""2130012""","Frederick Brewster School","=""2130112""","Special Education","*"
