"Per Pupil Expenditures, Trend"
"All Districts"

"",,"Year",,,,
,="Total Expenditures",15582,15902,16734,17360,18201
="Regional School District 07",="Instructional Staff and Services",7920,8297,8501,8675,9446
,="Instructional Supplies and Equipment",338,341,345,496,405
,="Instruction and Educational Media Services",197,207,212,224,202
,="Student Support Services",636,651,677,698,742
,="Administration and Support Services",1458,1536,1677,1786,2069
,="Plant Operation and Management",1886,1852,1885,1907,1985
,="Transportation",1217,1379,1347,1412,1583
,="Other",385,380,429,414,468
,="Total Expenditures",14608,15209,15444,15947,17391
="Regional School District 08",="Instructional Staff and Services",7436,7725,7758,8187,8164
,="Instructional Supplies and Equipment",83,108,106,117,133
,="Instruction and Educational Media Services",530,531,576,381,498
,="Student Support Services",647,677,680,864,1157
,="Administration and Support Services",1044,1039,1108,1482,1596
,="Plant Operation and Management",1166,1148,1211,1438,1630
,="Transportation",695,664,668,739,756
,="Other",185,195,205,290,330
,="Total Expenditures",12321,12399,12574,13525,14479
="Regional School District 09",="Instructional Staff and Services",12716,12642,12394,12277,12927
,="Instructional Supplies and Equipment",411,416,352,330,348
,="Instruction and Educational Media Services",414,391,463,420,448
,="Student Support Services",136,135,130,127,141
,="Administration and Support Services",1609,1624,1691,1718,1688
,="Plant Operation and Management",2133,2048,2302,2164,1996
,="Transportation",833,918,1124,1160,1104
,="Other",6,2,1,0,0
,="Total Expenditures",19538,19277,19522,19269,19731
="Regional School District 10",="Instructional Staff and Services",6799,7369,7510,7844,8074
,="Instructional Supplies and Equipment",218,241,225,287,283
,="Instruction and Educational Media Services",734,783,824,857,962
,="Student Support Services",777,847,899,822,852
,="Administration and Support Services",1041,1133,1224,1276,1338
,="Plant Operation and Management",1227,1306,1390,1478,1629
,="Transportation",803,842,837,842,930
,="Other",0,0,0,0,0
,="Total Expenditures",12010,12939,13341,13813,14402
="Regional School District 11",="Instructional Staff and Services",10436,8620,9341,9178,10048
,="Instructional Supplies and Equipment",527,349,275,264,285
,="Instruction and Educational Media Services",402,372,391,396,424
,="Student Support Services",1294,1374,1461,1415,1428
,="Administration and Support Services",3322,3659,3703,3500,3667
,="Plant Operation and Management",2339,2720,2256,3222,2416
,="Transportation",1158,1070,1335,1287,1361
,="Other",816,751,767,716,826
,="Total Expenditures",20166,19565,19865,20042,20501
="Regional School District 12",="Instructional Staff and Services",11887,12201,12407,12547,13095
,="Instructional Supplies and Equipment",558,648,963,1108,945
,="Instruction and Educational Media Services",875,993,1069,1269,1225
,="Student Support Services",1775,1850,2125,2355,2300
,="Administration and Support Services",1989,2145,2454,2775,3025
,="Plant Operation and Management",2195,2630,2794,3387,4381
,="Transportation",1525,1586,1661,1811,2032
,="Other",428,470,486,514,599
,="Total Expenditures",21720,22820,24481,27099,28917
="Regional School District 13",="Instructional Staff and Services",8284,9106,9446,9985,10301
,="Instructional Supplies and Equipment",194,175,174,217,203
,="Instruction and Educational Media Services",476,457,483,475,583
,="Student Support Services",1942,1462,1581,1660,1688
,="Administration and Support Services",1620,1850,1964,2211,2404
,="Plant Operation and Management",1692,1562,1804,1923,1854
,="Transportation",820,841,851,856,961
,="Other",307,297,307,354,322
,="Total Expenditures",15605,15861,16832,17968,18583
="Regional School District 14",="Instructional Staff and Services",7143,7799,8256,8304,8807
,="Instructional Supplies and Equipment",282,225,263,278,272
,="Instruction and Educational Media Services",584,725,745,871,906
,="Student Support Services",1346,1407,1298,1466,1584
,="Administration and Support Services",1316,1334,1353,1580,1728
,="Plant Operation and Management",1521,1400,1765,1939,2254
,="Transportation",907,973,982,1105,1155
,="Other",369,387,436,421,439
,="Total Expenditures",14350,15135,16021,16931,18082
="Regional School District 15",="Instructional Staff and Services",7715,8047,8429,8904,9403
,="Instructional Supplies and Equipment",147,146,116,123,118
,="Instruction and Educational Media Services",409,286,359,310,376
,="Student Support Services",1230,1262,1299,1287,1482
,="Administration and Support Services",1293,1360,1491,1508,1679
,="Plant Operation and Management",1496,1597,1546,1498,1619
,="Transportation",791,884,953,964,1042
,="Other",298,324,344,321,340
,="Total Expenditures",13587,14190,14824,15260,16431
="Regional School District 16",="Instructional Staff and Services",7840,7461,7531,7541,7787
,="Instructional Supplies and Equipment",232,195,204,205,277
,="Instruction and Educational Media Services",756,719,783,907,868
,="Student Support Services",923,903,917,1019,970
,="Administration and Support Services",1512,1655,1667,1859,1835
,="Plant Operation and Management",1361,1267,1338,1360,2291
,="Transportation",896,912,953,1004,1028
,="Other",187,200,221,284,247
,="Total Expenditures",13939,13592,13921,14496,15598
="Regional School District 17",="Instructional Staff and Services",8163,8344,8428,8660,9386
,="Instructional Supplies and Equipment",269,162,266,241,228
,="Instruction and Educational Media Services",247,252,264,286,332
,="Student Support Services",740,793,762,776,897
,="Administration and Support Services",1488,1629,1789,1791,1946
,="Plant Operation and Management",1823,1963,2059,2183,2187
,="Transportation",1209,1274,1405,1451,1440
,="Other",243,276,282,298,337
,="Total Expenditures",14492,15254,15619,16175,17220
="Regional School District 18",="Instructional Staff and Services",8806,9141,9234,9517,10033
,="Instructional Supplies and Equipment",321,276,308,324,272
,="Instruction and Educational Media Services",964,929,954,894,1122
,="Student Support Services",1363,1410,1437,1429,1494
,="Administration and Support Services",1939,2078,2157,2204,2334
,="Plant Operation and Management",2728,2742,2687,2962,3256
,="Transportation",771,842,811,874,883
,="Other",350,388,419,383,435
,="Total Expenditures",17768,18323,18297,18844,19910
="Regional School District 19",="Instructional Staff and Services",8928,8808,8916,9080,9671
,="Instructional Supplies and Equipment",217,394,355,547,532
,="Instruction and Educational Media Services",254,263,297,345,255
,="Student Support Services",991,949,942,974,1012
,="Administration and Support Services",1790,1800,1901,2015,2230
,="Plant Operation and Management",1267,1259,1286,1298,1439
,="Transportation",1097,1198,1237,1364,1307
,="Other",598,629,610,644,691
,="Total Expenditures",15980,15840,16000,16486,17351
="Ridgefield School District",="Instructional Staff and Services",8984,9164,9514,9566,9858
,="Instructional Supplies and Equipment",202,221,188,194,192
,="Instruction and Educational Media Services",757,822,858,971,1072
,="Student Support Services",732,749,799,807,923
,="Administration and Support Services",1164,1298,1221,1271,1322
,="Plant Operation and Management",1621,1477,1596,1773,1823
,="Transportation",823,891,937,848,888
,="Other",163,116,174,234,261
,="Total Expenditures",15065,15243,16004,16329,17130
="Rocky Hill School District",="Instructional Staff and Services",7888,8187,8470,8953,9318
,="Instructional Supplies and Equipment",230,200,206,261,283
,="Instruction and Educational Media Services",786,764,902,1109,955
,="Student Support Services",808,916,922,979,959
,="Administration and Support Services",1015,1041,1102,1154,1200
,="Plant Operation and Management",1524,1504,1630,1996,1902
,="Transportation",489,517,554,588,547
,="Other",0,0,0,0,0
,="Total Expenditures",12984,13231,13713,14668,14847
="Salem School District",="Instructional Staff and Services",9418,8673,9609,9218,7655
,="Instructional Supplies and Equipment",603,981,443,470,110
,="Instruction and Educational Media Services",77,101,95,54,244
,="Student Support Services",304,421,382,304,2527
,="Administration and Support Services",2419,2413,2412,2600,2496
,="Plant Operation and Management",1710,1862,1961,5010,3478
,="Transportation",984,1052,1198,1343,1291
,="Other",0,0,0,0,0
,="Total Expenditures",16436,16839,17751,20807,20291
="Salisbury School District",="Instructional Staff and Services",12025,11895,12150,13246,14193
,="Instructional Supplies and Equipment",277,242,206,422,300
,="Instruction and Educational Media Services",688,531,533,796,720
,="Student Support Services",758,961,971,1037,745
,="Administration and Support Services",1699,1796,1875,1984,2165
,="Plant Operation and Management",2992,2931,2312,3128,3575
,="Transportation",983,1024,1105,1232,1363
,="Other",0,10,7,6,27
,="Total Expenditures",20277,20483,20212,23220,24526
="Scotland School District",="Instructional Staff and Services",10653,11122,11617,11274,11457
,="Instructional Supplies and Equipment",515,901,439,472,361
,="Instruction and Educational Media Services",438,420,320,967,838
,="Student Support Services",1193,1250,1160,1276,1321
,="Administration and Support Services",2030,2383,2976,2604,2867
,="Plant Operation and Management",1541,1518,2299,2212,2743
,="Transportation",551,615,678,683,645
,="Other",221,219,189,154,155
,="Total Expenditures",17578,19055,20333,19700,20373
="Seymour School District",="Instructional Staff and Services",6781,7214,7366,7529,7800
,="Instructional Supplies and Equipment",215,305,318,327,164
,="Instruction and Educational Media Services",303,388,425,342,408
,="Student Support Services",804,903,945,979,1024
,="Administration and Support Services",1751,1928,1970,1863,1902
,="Plant Operation and Management",1645,1699,1429,1553,1665
,="Transportation",522,605,635,719,787
,="Other",148,186,197,189,212
,="Total Expenditures",12179,13216,13377,13712,14362
="Sharon School District",="Instructional Staff and Services",12946,13508,13383,14265,15406
,="Instructional Supplies and Equipment",455,380,396,527,542
,="Instruction and Educational Media Services",275,472,432,526,485
,="Student Support Services",1679,1767,1889,1919,1698
,="Administration and Support Services",2796,2990,3041,3617,3813
,="Plant Operation and Management",2794,2490,3377,3917,3210
,="Transportation",950,1171,1313,1364,1481
,="Other",63,65,114,134,248
,="Total Expenditures",22966,23521,24424,27350,27682
="Shelton School District",="Instructional Staff and Services",7043,7181,7676,8611,8711
,="Instructional Supplies and Equipment",285,230,204,171,348
,="Instruction and Educational Media Services",400,325,215,277,300
,="Student Support Services",1068,1110,867,432,553
,="Administration and Support Services",1294,1311,1416,1430,1482
,="Plant Operation and Management",1348,1404,1560,1601,1602
,="Transportation",665,777,760,748,694
,="Other",78,103,151,149,151
,="Total Expenditures",12379,12617,12969,13503,13793
="Sherman School District",="Instructional Staff and Services",10707,10975,11536,11551,12645
,="Instructional Supplies and Equipment",375,95,226,250,358
,="Instruction and Educational Media Services",699,674,715,972,1194
,="Student Support Services",130,132,140,144,158
,="Administration and Support Services",1384,1432,1513,1603,1667
,="Plant Operation and Management",1323,1371,1327,1724,1901
,="Transportation",736,765,789,852,890
,="Other",93,100,101,108,132
,="Total Expenditures",14473,14068,17169,18025,19992
="Side By Side Charter School District",="Instructional Staff and Services",6496,6544,6759,6692,6492
,="Instructional Supplies and Equipment",107,447,175,256,354
,="Instruction and Educational Media Services",29,47,57,51,21
,="Student Support Services",1503,1679,1640,1447,1200
,="Administration and Support Services",1721,1855,1954,2448,2505
,="Plant Operation and Management",1183,1151,1154,1210,1327
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",0,0,0,0,0
,="Total Expenditures",11040,11722,11739,12104,11899
="Simsbury School District",="Instructional Staff and Services",7941,8384,8633,9252,9262
,="Instructional Supplies and Equipment",242,224,202,190,217
,="Instruction and Educational Media Services",831,771,909,917,913
,="Student Support Services",989,924,1012,1066,1177
,="Administration and Support Services",1105,1186,1256,1333,1386
,="Plant Operation and Management",1417,1491,1484,1633,1689
,="Transportation",490,571,566,634,651
,="Other",145,125,164,165,178
,="Total Expenditures",13221,13769,14256,15234,15527
="Somers School District",="Instructional Staff and Services",7700,7621,7689,8372,8671
,="Instructional Supplies and Equipment",227,258,352,309,332
,="Instruction and Educational Media Services",270,284,301,318,328
,="Student Support Services",782,780,849,877,983
,="Administration and Support Services",1214,1238,1251,1352,1350
,="Plant Operation and Management",1116,1227,1290,1438,1607
,="Transportation",648,643,633,678,658
,="Other",162,170,187,185,206
,="Total Expenditures",12689,12788,13151,14025,14533
="South Windsor School District",="Instructional Staff and Services",8148,8639,8608,9129,9424
,="Instructional Supplies and Equipment",342,349,369,514,388
,="Instruction and Educational Media Services",484,617,653,643,676
,="Student Support Services",1014,1099,1133,1197,1261
,="Administration and Support Services",1450,1578,1559,1644,1766
,="Plant Operation and Management",1412,1459,1558,1595,1509
,="Transportation",707,730,733,762,788
,="Other",250,362,431,422,430
,="Total Expenditures",14144,15168,15462,16061,16401
="Southington School District",="Instructional Staff and Services",7580,7752,7794,8023,8360
,="Instructional Supplies and Equipment",262,153,207,192,188
,="Instruction and Educational Media Services",134,140,204,218,209
,="Student Support Services",848,911,902,976,1030
,="Administration and Support Services",1308,1310,1408,1441,1495
,="Plant Operation and Management",1067,1091,1115,1195,1239
,="Transportation",486,530,537,538,556
,="Other",113,118,119,130,134
,="Total Expenditures",12284,12500,12763,13193,13580
="Sprague School District",="Instructional Staff and Services",8547,7978,7646,9208,9198
,="Instructional Supplies and Equipment",544,529,583,548,429
,="Instruction and Educational Media Services",138,99,152,227,80
,="Student Support Services",577,578,548,279,273
,="Administration and Support Services",1939,1988,2087,1391,1516
,="Plant Operation and Management",1284,1181,1252,1360,1129
,="Transportation",824,1026,950,949,992
,="Other",65,0,0,0,0
,="Total Expenditures",14015,14299,13772,14370,13885
="Stafford School District",="Instructional Staff and Services",7922,8219,8845,9756,9696
,="Instructional Supplies and Equipment",213,209,275,291,297
,="Instruction and Educational Media Services",221,340,386,707,356
,="Student Support Services",985,1035,1110,1098,1143
,="Administration and Support Services",1440,1521,1715,1899,2020
,="Plant Operation and Management",1567,1537,1735,1918,2349
,="Transportation",1055,1110,1271,1195,1272
,="Other",43,39,39,54,91
,="Total Expenditures",14051,14518,15741,17219,17335
="Stamford Academy District",="Instructional Staff and Services",10096,8565,8392,6629,7448
,="Instructional Supplies and Equipment",613,179,176,74,201
,="Instruction and Educational Media Services",0,0,0,0,0
,="Student Support Services",4522,4269,3879,3556,3312
,="Administration and Support Services",7014,8025,9051,8583,9012
,="Plant Operation and Management",1217,237,230,265,245
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",584,559,513,587,546
,="Total Expenditures",24521,22103,22761,20133,21182
="Stamford School District",="Instructional Staff and Services",9371,9573,9482,9955,9943
,="Instructional Supplies and Equipment",297,239,282,276,171
,="Instruction and Educational Media Services",1066,886,942,859,1078
,="Student Support Services",1051,1065,1028,1052,1049
,="Administration and Support Services",1889,1907,1967,2103,2151
,="Plant Operation and Management",1461,1395,1454,1522,1520
,="Transportation",787,815,794,787,843
,="Other",0,0,0,0,0
,="Total Expenditures",16448,16472,16566,17242,17585
="Sterling School District",="Instructional Staff and Services",7702,7667,7775,7848,6912
,="Instructional Supplies and Equipment",238,402,188,106,397
,="Instruction and Educational Media Services",547,390,528,444,593
,="Student Support Services",361,350,334,365,390
,="Administration and Support Services",1044,1095,1117,1247,1319
,="Plant Operation and Management",1096,1035,1071,1014,1098
,="Transportation",979,921,760,1018,1010
,="Other",50,63,89,62,55
,="Total Expenditures",15238,14943,12912,13197,12783
="Stonington School District",="Instructional Staff and Services",7426,7887,8141,8480,8744
,="Instructional Supplies and Equipment",139,114,109,53,85
,="Instruction and Educational Media Services",568,567,616,684,772
,="Student Support Services",772,848,864,949,879
,="Administration and Support Services",1081,1101,1311,1652,1950
,="Plant Operation and Management",1563,1540,1597,1562,1789
,="Transportation",816,884,1009,987,978
,="Other",172,185,190,207,206
,="Total Expenditures",13192,13776,14455,15178,16029
="Stratford School District",="Instructional Staff and Services",7830,7747,7982,7819,8487
,="Instructional Supplies and Equipment",203,134,119,147,127
,="Instruction and Educational Media Services",411,426,345,400,393
,="Student Support Services",1310,1356,1372,1430,1500
,="Administration and Support Services",1212,1261,1314,1377,1457
,="Plant Operation and Management",1224,1258,1228,1275,1368
,="Transportation",602,647,641,643,691
,="Other",197,215,221,224,250
,="Total Expenditures",13522,13570,13744,13683,14630
="Suffield School District",="Instructional Staff and Services",7900,7853,8575,8371,8747
,="Instructional Supplies and Equipment",249,248,349,518,366
,="Instruction and Educational Media Services",90,99,113,170,186
,="Student Support Services",744,831,865,968,1051
,="Administration and Support Services",1611,1730,1372,1669,1813
,="Plant Operation and Management",862,1065,876,1052,1220
,="Transportation",504,601,615,670,623
,="Other",54,7,195,206,218
,="Total Expenditures",12681,13068,13495,14114,14643
="The Bridge Academy District",="Instructional Staff and Services",7092,7136,7389,7827,8296
,="Instructional Supplies and Equipment",527,248,431,655,402
,="Instruction and Educational Media Services",133,73,121,140,107
,="Student Support Services",880,866,1078,1117,1229
,="Administration and Support Services",912,1132,1369,1331,1449
,="Plant Operation and Management",713,874,909,891,872
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",441,340,420,472,542
,="Total Expenditures",10815,10712,11745,12443,12903
="Thomaston School District",="Instructional Staff and Services",7855,8500,8573,8929,8840
,="Instructional Supplies and Equipment",255,291,372,327,286
,="Instruction and Educational Media Services",21,26,24,28,33
,="Student Support Services",544,681,787,835,1003
,="Administration and Support Services",1633,1750,1943,2031,2367
,="Plant Operation and Management",1466,1479,1466,3598,1921
,="Transportation",740,757,835,904,1032
,="Other",228,284,306,212,211
,="Total Expenditures",12140,12867,13402,15459,14516
="Thompson School District",="Instructional Staff and Services",6442,6914,7172,8244,8039
,="Instructional Supplies and Equipment",175,128,121,177,168
,="Instruction and Educational Media Services",163,156,156,160,290
,="Student Support Services",936,1084,1209,1181,1287
,="Administration and Support Services",1983,2053,2097,1643,1869
,="Plant Operation and Management",1613,1636,1678,2193,2221
,="Transportation",627,807,595,858,965
,="Other",260,255,240,45,15
,="Total Expenditures",13236,14166,14623,15641,16145
="Tolland School District",="Instructional Staff and Services",7028,7422,7696,8065,8511
,="Instructional Supplies and Equipment",113,138,158,202,225
,="Instruction and Educational Media Services",467,505,546,569,569
,="Student Support Services",486,510,548,541,557
,="Administration and Support Services",1100,1184,1272,1407,1455
,="Plant Operation and Management",1137,1100,1190,1542,1355
,="Transportation",630,732,758,823,863
,="Other",9,24,38,42,48
,="Total Expenditures",11525,12273,12900,13733,14205
="Torrington School District",="Instructional Staff and Services",8767,8960,9251,9799,10039
,="Instructional Supplies and Equipment",164,138,139,352,127
,="Instruction and Educational Media Services",245,421,607,372,332
,="Student Support Services",792,807,873,932,1140
,="Administration and Support Services",1201,1152,1258,1545,1791
,="Plant Operation and Management",1300,1358,1368,1470,1394
,="Transportation",845,868,825,935,985
,="Other",110,115,119,133,149
,="Total Expenditures",14296,14515,15159,16286,16675
="Trailblazers Academy District",="Instructional Staff and Services",9274,9321,8859,8379,9788
,="Instructional Supplies and Equipment",448,106,104,223,193
,="Instruction and Educational Media Services",0,0,0,0,0
,="Student Support Services",2859,3119,2968,3250,4120
,="Administration and Support Services",12312,10833,11765,11932,16986
,="Plant Operation and Management",1509,1066,1337,2188,2499
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",712,815,789,761,869
,="Total Expenditures",27331,25341,25859,26759,34512
="Trumbull School District",="Instructional Staff and Services",7654,7583,8003,8408,8810
,="Instructional Supplies and Equipment",115,222,241,173,225
,="Instruction and Educational Media Services",400,443,564,636,703
,="Student Support Services",931,1007,1067,1220,1205
,="Administration and Support Services",1464,1503,1552,1673,1671
,="Plant Operation and Management",1313,1293,1314,1351,1211
,="Transportation",649,708,685,702,705
,="Other",111,117,155,62,182
,="Total Expenditures",12989,13403,14138,14688,15187
="Union School District",="Instructional Staff and Services",8384,8666,9687,9706,12221
,="Instructional Supplies and Equipment",545,609,387,813,787
,="Instruction and Educational Media Services",33,60,77,80,242
,="Student Support Services",781,908,710,578,491
,="Administration and Support Services",2577,2712,3443,3330,3228
,="Plant Operation and Management",1658,2029,1985,1689,1732
,="Transportation",1788,2112,1343,1363,1418
,="Other",0,0,0,0,0
,="Total Expenditures",14708,15854,15556,14848,21172
="Vernon School District",="Instructional Staff and Services",8073,8117,8567,9370,9606
,="Instructional Supplies and Equipment",383,169,107,164,309
,="Instruction and Educational Media Services",761,681,731,710,808
,="Student Support Services",919,934,1047,1059,1044
,="Administration and Support Services",1127,1157,1245,1404,1548
,="Plant Operation and Management",1557,1282,1259,1460,1556
,="Transportation",620,650,658,634,723
,="Other",154,152,157,160,163
,="Total Expenditures",13803,13224,13664,14491,15118
="Voluntown School District",="Instructional Staff and Services",8344,7975,8530,8941,8760
,="Instructional Supplies and Equipment",321,438,330,389,349
,="Instruction and Educational Media Services",245,321,242,273,425
,="Student Support Services",1485,1265,1653,1865,1720
,="Administration and Support Services",1990,2003,1956,2327,2239
,="Plant Operation and Management",1294,1280,1298,1478,1324
,="Transportation",841,839,985,932,908
,="Other",141,140,141,196,194
,="Total Expenditures",16004,15560,16250,17303,17136
="Wallingford School District",="Instructional Staff and Services",7802,8316,8311,8877,9098
,="Instructional Supplies and Equipment",91,91,620,175,103
,="Instruction and Educational Media Services",394,366,464,566,516
,="Student Support Services",890,938,960,990,989
,="Administration and Support Services",1815,1762,2178,2069,2187
,="Plant Operation and Management",1316,2039,1328,3036,1482
,="Transportation",882,959,990,1052,1077
,="Other",201,215,240,254,290
,="Total Expenditures",13744,15013,15361,17245,16060
="Waterbury School District",="Instructional Staff and Services",7743,7979,7935,8499,9041
,="Instructional Supplies and Equipment",236,237,231,374,266
,="Instruction and Educational Media Services",1945,1776,1614,1302,1113
,="Student Support Services",682,743,739,560,463
,="Administration and Support Services",1290,1231,1286,1293,1323
,="Plant Operation and Management",1232,1156,1132,1152,1185
,="Transportation",628,628,621,645,691
,="Other",455,516,537,525,541
,="Total Expenditures",14483,14535,14349,14594,14870
="Waterford School District",="Instructional Staff and Services",9012,9864,10382,10722,10742
,="Instructional Supplies and Equipment",451,380,322,305,370
,="Instruction and Educational Media Services",183,176,177,193,213
,="Student Support Services",961,1049,1136,1177,1227
,="Administration and Support Services",1464,1566,1685,1756,1777
,="Plant Operation and Management",1650,1705,1839,1843,1959
,="Transportation",821,811,855,848,850
,="Other",270,307,332,348,351
,="Total Expenditures",14132,14937,15571,15878,16306
="Watertown School District",="Instructional Staff and Services",6623,7228,7750,7333,8053
,="Instructional Supplies and Equipment",160,240,116,161,142
,="Instruction and Educational Media Services",132,223,220,225,261
,="Student Support Services",788,694,600,918,947
,="Administration and Support Services",1374,1577,1616,2180,1791
,="Plant Operation and Management",1351,1361,1517,1810,1773
,="Transportation",603,687,730,841,766
,="Other",144,15,2,16,0
,="Total Expenditures",11691,12441,13234,13776,14476
="West Hartford School District",="Instructional Staff and Services",7693,7848,8214,8417,8846
,="Instructional Supplies and Equipment",219,170,172,176,258
,="Instruction and Educational Media Services",672,714,736,802,718
,="Student Support Services",890,916,953,992,1054
,="Administration and Support Services",1555,1629,1688,1770,1876
,="Plant Operation and Management",1195,1267,1332,1360,1403
,="Transportation",538,575,593,634,675
,="Other",117,122,127,131,142
,="Total Expenditures",13140,13494,13996,14394,15041
="West Haven School District",="Instructional Staff and Services",8095,7840,8065,8203,8381
,="Instructional Supplies and Equipment",235,241,248,261,273
,="Instruction and Educational Media Services",435,391,425,423,446
,="Student Support Services",778,654,718,727,761
,="Administration and Support Services",1105,934,977,1021,1068
,="Plant Operation and Management",2534,2320,2468,2567,2648
,="Transportation",541,599,630,675,726
,="Other",263,269,275,285,296
,="Total Expenditures",12938,12291,12689,13013,13592
="Westbrook School District",="Instructional Staff and Services",9326,10233,11535,11870,13197
,="Instructional Supplies and Equipment",570,344,596,1347,540
,="Instruction and Educational Media Services",290,332,311,396,401
,="Student Support Services",831,558,327,343,388
,="Administration and Support Services",1576,1537,1782,1834,2026
,="Plant Operation and Management",1717,1624,1861,1988,2238
,="Transportation",397,593,642,736,654
,="Other",426,438,541,688,660
,="Total Expenditures",15325,15984,18081,19847,20527
="Weston School District",="Instructional Staff and Services",10185,10669,10729,10644,11513
,="Instructional Supplies and Equipment",143,173,154,177,193
,="Instruction and Educational Media Services",1441,1454,1605,1597,1395
,="Student Support Services",1107,1211,1358,1402,1324
,="Administration and Support Services",1465,1474,1558,1561,1616
,="Plant Operation and Management",2323,2136,2394,2576,2411
,="Transportation",678,674,671,695,703
,="Other",393,444,504,524,422
,="Total Expenditures",18299,18728,19452,19919,20482
="Westport School District",="Instructional Staff and Services",9962,10417,10916,11155,11420
,="Instructional Supplies and Equipment",453,492,488,600,638
,="Instruction and Educational Media Services",702,560,610,539,534
,="Student Support Services",1298,1461,1518,1696,1781
,="Administration and Support Services",1765,1866,1829,1837,1966
,="Plant Operation and Management",2164,1801,1800,2023,2321
,="Transportation",701,730,746,778,838
,="Other",253,265,246,285,295
,="Total Expenditures",17826,18097,18619,19320,20217
="Wethersfield School District",="Instructional Staff and Services",8198,8295,7281,7673,9090
,="Instructional Supplies and Equipment",182,593,408,412,559
,="Instruction and Educational Media Services",273,284,296,365,284
,="Student Support Services",836,867,2355,2142,1017
,="Administration and Support Services",1153,1234,1135,1176,1352
,="Plant Operation and Management",1741,1271,1343,1313,1616
,="Transportation",586,630,569,646,729
,="Other",169,177,176,187,150
,="Total Expenditures",13610,13759,13961,14297,14977
="Willington School District",="Instructional Staff and Services",9555,9711,10278,10994,11312
,="Instructional Supplies and Equipment",213,446,484,402,293
,="Instruction and Educational Media Services",488,514,569,663,661
,="Student Support Services",840,903,903,982,1075
,="Administration and Support Services",1998,2032,2087,2246,2528
,="Plant Operation and Management",1252,1338,1483,1674,1834
,="Transportation",556,608,624,719,763
,="Other",0,0,3,3,3
,="Total Expenditures",15619,16246,16912,18351,18903
="Wilton School District",="Instructional Staff and Services",9689,10199,10456,10651,11133
,="Instructional Supplies and Equipment",210,273,208,202,218
,="Instruction and Educational Media Services",687,731,721,688,727
,="Student Support Services",1457,1597,1642,1747,1933
,="Administration and Support Services",1592,1684,1777,1887,1950
,="Plant Operation and Management",1508,1456,1546,1589,1555
,="Transportation",740,819,766,783,886
,="Other",0,0,0,0,0
,="Total Expenditures",16428,17297,17699,18348,19253
="Winchester School District",="Instructional Staff and Services",8076,9749,12151,N/A,N/A
,"Instructional Supplies and Equipment",19,82,53,N/A,N/A
,"Instruction and Educational Media Services",167,348,249,N/A,N/A
,"Student Support Services",1542,2076,1964,N/A,N/A
,"Administration and Support Services",1485,2421,2175,N/A,N/A
,"Plant Operation and Management",1132,1489,1029,N/A,N/A
,"Transportation",674,900,1037,N/A,N/A
,"Other",3,0,0,N/A,N/A
,"Total Expenditures",14496,17277,18619,N/A,N/A
"Windham School District","Instructional Staff and Services",9585,9638,9746,9848,10285
,="Instructional Supplies and Equipment",242,450,292,488,445
,="Instruction and Educational Media Services",248,411,192,472,441
,="Student Support Services",942,1021,937,1368,1621
,="Administration and Support Services",943,1552,1769,1900,1886
,="Plant Operation and Management",1266,1297,1260,1361,2181
,="Transportation",778,798,809,827,1023
,="Other",164,183,186,23,28
,="Total Expenditures",14934,16053,16097,16849,18678
="Windsor Locks School District",="Instructional Staff and Services",9445,9423,9794,10522,11087
,="Instructional Supplies and Equipment",256,250,269,702,716
,="Instruction and Educational Media Services",572,670,646,844,816
,="Student Support Services",982,929,956,963,1137
,="Administration and Support Services",1566,1541,1631,1900,2039
,="Plant Operation and Management",1985,1865,2501,2403,2202
,="Transportation",619,679,674,742,732
,="Other",252,247,268,308,316
,="Total Expenditures",15502,15594,16661,17774,18420
="Windsor School District",="Instructional Staff and Services",9116,9800,9937,12436,11550
,="Instructional Supplies and Equipment",348,381,297,536,314
,="Instruction and Educational Media Services",657,698,787,278,913
,="Student Support Services",1433,1460,1493,600,1598
,="Administration and Support Services",1999,2109,2064,1970,2435
,="Plant Operation and Management",1709,1754,1725,1577,1646
,="Transportation",973,978,1040,1087,1149
,="Other",157,185,188,223,205
,="Total Expenditures",15778,16456,16569,17380,18195
="Wolcott School District",="Instructional Staff and Services",7694,7924,7925,8425,8951
,="Instructional Supplies and Equipment",210,223,243,229,274
,="Instruction and Educational Media Services",193,250,250,359,305
,="Student Support Services",402,448,489,523,587
,="Administration and Support Services",1187,1272,1351,1386,1604
,="Plant Operation and Management",1401,1446,1597,1523,1548
,="Transportation",619,692,749,720,787
,="Other",275,275,270,291,321
,="Total Expenditures",11512,11955,12381,12885,13821
="Woodbridge School District",="Instructional Staff and Services",10884,11208,11283,10829,10904
,="Instructional Supplies and Equipment",698,401,476,533,394
,="Instruction and Educational Media Services",89,55,98,125,90
,="Student Support Services",213,201,207,253,233
,="Administration and Support Services",2332,2354,2587,2829,2718
,="Plant Operation and Management",1314,1779,1707,1870,1235
,="Transportation",333,357,362,372,383
,="Other",0,0,0,0,0
,="Total Expenditures",16399,16980,17244,17301,16488
="Woodstock School District",="Instructional Staff and Services",7169,7762,7941,7887,8171
,="Instructional Supplies and Equipment",279,225,164,320,194
