"Classes Taught by High Quality Teachers, 2014-15"
"All Districts, All Schools"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,,,"Percent of Classes Taught byHighly Qualified Teachers"
"Portland School District",="1130011","Valley View School",="1130211","Middle",100.0
"Preston School District",="1140011","Preston Plains School",="1145111","Middle",100.0
"Preston School District",="1140011","Preston Veterans' Memorial School",="1140411","Middle",100.0
"Putnam School District",="1160011","Helping Hands",="1169011","High",100.0
"Putnam School District",="1160011","Putnam Elementary School",="1160311","High",100.0
"Putnam School District",="1160011","Putnam High School",="1166111","Middle",100.0
"Putnam School District",="1160011","Putnam Middle School",="1165111","Middle",95.1
"Redding School District",="1170011","John Read Middle School",="1175111","Low",97.3
"Redding School District",="1170011","Redding Elementary School",="1170111","Low",100.0
"Regional School District 01",="2010012","Housatonic Valley Regional High School",="2016112","Middle",100.0
"Regional School District 04",="2040012","John Winthrop Middle School",="2045112","Low",100.0
"Regional School District 04",="2040012","Valley Regional High School",="2046112","Low",100.0
"Regional School District 05",="2050012","Amity Middle School: Bethany",="2055112","Low",100.0
"Regional School District 05",="2050012","Amity Middle School: Orange",="2055212","Low",100.0
"Regional School District 05",="2050012","Amity Regional High School",="2056112","Low",98.4
"Regional School District 06",="2060012","Goshen Center School",="2060112","Low",100.0
"Regional School District 06",="2060012","James Morris School",="2060212","Low",100.0
"Regional School District 06",="2060012","Wamogo Regional High School",="2066112","Middle",100.0
"Regional School District 06",="2060012","Warren Elementary School",="2060312","Middle",100.0
"Regional School District 07",="2070012","AIM",="2079112","Middle",100.0
"Regional School District 07",="2070012","FLEX",="2079012","Middle",100.0
"Regional School District 07",="2070012","Links",="2079212","Middle",100.0
"Regional School District 07",="2070012","Northwestern Regional High School",="2076112","Low",100.0
"Regional School District 07",="2070012","Northwestern Regional Middle School",="2075112","Low",100.0
"Regional School District 07",="2070012","STEP",="2079312","Low",100.0
"Regional School District 08",="2080012","RHAM High School",="2086112","Low",100.0
"Regional School District 08",="2080012","RHAM Middle School",="2085112","Low",100.0
"Regional School District 09",="2090012","Joel Barlow High School",="2096112","Low",100.0
"Regional School District 10",="2100012","Har-Bur Middle School",="2105112","Low",100.0
"Regional School District 10",="2100012","Harwinton Consolidated School",="2100312","Low",100.0
"Regional School District 10",="2100012","Lake Garda Elementary School",="2100212","Low",95.5
"Regional School District 10",="2100012","Lewis S. Mills High School",="2106112","Low",99.2
"Regional School District 11",="2110012","Parish Hill High School",="2116112","Middle",96.0
"Regional School District 12",="2120012","Booth Free School",="2120212","Low",100.0
"Regional School District 12",="2120012","Shepaug Valley School",="2120312","Low",97.7
"Regional School District 12",="2120012","The Burnham School",="2120112","Low",100.0
"Regional School District 12",="2120012","Washington Primary School",="2120412","Low",100.0
"Regional School District 13",="2130012","Coginchaug Regional High School",="2136112","Low",100.0
"Regional School District 13",="2130012","Francis E. Korn School",="2130212","Low",100.0
"Regional School District 13",="2130012","Frank Ward Strong School",="2135112","Low",100.0
"Regional School District 13",="2130012","Frederick Brewster School",="2130112","Low",100.0
"Regional School District 13",="2130012","John Lyman School",="2130512","Low",100.0
"Regional School District 13",="2130012","Middlefield Memorial School",="2130412","Low",100.0
"Regional School District 13",="2130012","Middlesex Transition Academy",="2130312","Low",100.0
"Regional School District 14",="2140012","Bethlehem Elementary School",="2140112","Low",100.0
"Regional School District 14",="2140012","Mitchell Elementary School",="2140212","Low",100.0
"Regional School District 14",="2140012","Nonnewaug High School",="2146112","Low",98.0
"Regional School District 14",="2140012","Woodbury Middle School",="2145112","Low",100.0
"Regional School District 15",="2150012","Gainfield Elementary School",="2150412","Low",100.0
"Regional School District 15",="2150012","Long Meadow Elementary School",="2150712","Low",100.0
"Regional School District 15",="2150012","MIJ Program",="2150112","Middle",100.0
"Regional School District 15",="2150012","Memorial Middle School",="2155212","Low",100.0
"Regional School District 15",="2150012","Middlebury Elementary School",="2150612","Low",100.0
"Regional School District 15",="2150012","Pomperaug Regional High School",="2156212","Low",98.7
"Regional School District 15",="2150012","Pomperaug School",="2150512","Low",100.0
"Regional School District 15",="2150012","Rochambeau Middle School",="2155112","Low",100.0
"Regional School District 16",="2160012","Algonquin School",="2160312","Middle",100.0
"Regional School District 16",="2160012","Community School",="2160212","Middle",100.0
"Regional School District 16",="2160012","Laurel Ledge School",="2160112","Middle",100.0
"Regional School District 16",="2160012","Long River Middle School",="2165112","Middle",100.0
"Regional School District 16",="2160012","Woodland Regional High School",="2166012","Middle",100.0
"Regional School District 17",="2170012","Burr District Elementary School",="2170212","Low",100.0
"Regional School District 17",="2170012","Haddam Elementary School",="2170112","Low",100.0
"Regional School District 17",="2170012","Haddam-Killingworth High School",="2176112","Low",100.0
"Regional School District 17",="2170012","Haddam-Killingworth Middle School",="2175112","Low",100.0
"Regional School District 17",="2170012","Killingworth Elementary School",="2170312","Low",100.0
"Regional School District 18",="2180012","Center School",="2180312","Low",100.0
"Regional School District 18",="2180012","Lyme Consolidated School",="2180112","Low",100.0
"Regional School District 18",="2180012","Lyme-Old Lyme High School",="2186112","Low",100.0
"Regional School District 18",="2180012","Lyme-Old Lyme Middle School",="2185112","Low",100.0
"Regional School District 18",="2180012","Mile Creek School",="2180212","Low",100.0
"Regional School District 19",="2190012","E. O. Smith High School",="2196112","Middle",100.0
"Ridgefield School District",="1180011","Barlow Mountain Elementary School",="1180811","Low",100.0
"Ridgefield School District",="1180011","Branchville Elementary School",="1180611","Low",100.0
"Ridgefield School District",="1180011","East Ridge Middle School",="1185111","Low",100.0
"Ridgefield School District",="1180011","Farmingville Elementary School",="1180411","Low",100.0
"Ridgefield School District",="1180011","Ridgebury Elementary School",="1180311","Low",100.0
"Ridgefield School District",="1180011","Ridgefield High School",="1186111","Low",100.0
"Ridgefield School District",="1180011","Scotland Elementary School",="1180511","Low",98.1
"Ridgefield School District",="1180011","Scotts Ridge Middle School",="1185211","Low",100.0
"Ridgefield School District",="1180011","Veterans Park Elementary School",="1180211","Low",100.0
"Rocky Hill School District",="1190011","Albert D. Griswold Middle School",="1195111","Middle",100.0
"Rocky Hill School District",="1190011","Myrtle H. Stevens School",="1190411","Middle",100.0
"Rocky Hill School District",="1190011","Rocky Hill High School",="1196111","Middle",100.0
"Rocky Hill School District",="1190011","West Hill School",="1190511","Low",100.0
"Salem School District",="1210011","Salem Elementary School",="1210111","Middle",100.0
"Salisbury School District",="1220011","Salisbury Central School",="1220111","Low",100.0
"Scotland School District",="1230011","Scotland Elementary School",="1230111","Middle",100.0
"Seymour School District",="1240011","Bungay School",="1240111","Middle",100.0
"Seymour School District",="1240011","Chatfield-LoPresti School",="1240211","Middle",100.0
"Seymour School District",="1240011","Seymour High School",="1246111","Middle",100.0
"Seymour School District",="1240011","Seymour Middle School",="1245111","Middle",100.0
"Sharon School District",="1250011","Sharon Center School",="1250111","Middle",100.0
"Shelton School District",="1260011","Mohegan School",="1260911","Low",100.0
"Shelton School District",="1260011","Booth Hill School",="1261011","Low",100.0
"Shelton School District",="1260011","Elizabeth Shelton School",="1260511","Middle",100.0
"Shelton School District",="1260011","Intermediate School",="1265111","Middle",100.0
"Shelton School District",="1260011","Long Hill School",="1260811","Middle",100.0
"Shelton School District",="1260011","Perry Hill Elementary School",="1261111","Middle",100.0
"Shelton School District",="1260011","Shelton High School",="1266111","Middle",100.0
"Shelton School District",="1260011","Sunnyside School",="1260611","Middle",100.0
"Sherman School District",="1270011","Sherman School",="1270111","Low",100.0
"Side By Side Charter School District",="2700013","Side By Side Charter School",="2700113","Middle",100.0
"Simsbury School District",="1280011","Central School",="1280111","Low",98.2
"Simsbury School District",="1280011","Henry James Memorial School",="1285111","Low",100.0
"Simsbury School District",="1280011","Latimer Lane School",="1280611","Low",100.0
"Simsbury School District",="1280011","Simsbury High School",="1286111","Low",100.0
"Simsbury School District",="1280011","Squadron Line School",="1280711","Low",100.0
"Simsbury School District",="1280011","Tariffville School",="1280311","Middle",100.0
"Simsbury School District",="1280011","Tootin' Hills School",="1280411","Low",100.0
"Somers School District",="1290011","Mabelle B. Avery Middle School",="1295111","Low",100.0
"Somers School District",="1290011","Somers Elementary School",="1290411","Low",100.0
"Somers School District",="1290011","Somers High School",="1296111","Low",100.0
"South Windsor School District",="1320011","Pleasant Valley School",="1320211","Middle",100.0
"South Windsor School District",="1320011","Eli Terry School",="1320711","Middle",100.0
"South Windsor School District",="1320011","Orchard Hill School",="1320611","Middle",100.0
"South Windsor School District",="1320011","Philip R. Smith School",="1320111","Low",100.0
"South Windsor School District",="1320011","Project Worth Young Adult Academy",="1329011","Low",100.0
"South Windsor School District",="1320011","South Windsor High School",="1326211","Low",100.0
"South Windsor School District",="1320011","Timothy Edwards School",="1325111","Middle",100.0
"South Windsor School District",="1320011","Wapping Elementary School",="1320411","Middle",100.0
"Southington School District",="1310011","John F. Kennedy Middle School",="1315311","Low",100.0
"Southington School District",="1310011","Alta",="1310111","Middle",100.0
"Southington School District",="1310011","Derynoski Elementary School",="1311511","Middle",100.0
"Southington School District",="1310011","Flanders Elementary School",="1311311","Middle",100.0
"Southington School District",="1310011","Hatton Elementary School",="1310211","Middle",100.0
"Southington School District",="1310011","Joseph A. Depaolo Middle School",="1315111","Middle",100.0
"Southington School District",="1310011","Plantsville Elementary School",="1310611","Middle",100.0
"Southington School District",="1310011","South End Elementary School",="1310711","Middle",100.0
"Southington School District",="1310011","Southington High School",="1316211","Middle",100.0
"Southington School District",="1310011","Strong Elementary School",="1310811","Middle",100.0
"Southington School District",="1310011","Thalberg Elementary School",="1310911","Low",100.0
"Southington School District",="1310011","Urbin T. Kelley School",="1311411","Low",100.0
"Sprague School District",="1330011","Sayles School",="1330111","Middle",100.0
"Stafford School District",="1340011","Stafford Elementary School",="1340611","Middle",100.0
"Stafford School District",="1340011","Stafford High School",="1346111","Middle",100.0
"Stafford School District",="1340011","Stafford Middle School",="1345211","Middle",96.6
"Stafford School District",="1340011","Staffordville School",="1340311","Middle",100.0
"Stafford School District",="1340011","West Stafford School",="1340411","Middle",100.0
"Stamford Academy District",="2820013","Stamford Academy",="2826013","High",60.0
"Stamford School District",="1350011","Alternate Routes To Success",="1350411","Middle",100.0
"Stamford School District",="1350011","Cloonan School",="1355611","Middle",100.0
"Stamford School District",="1350011","Davenport Ridge School",="1352011","Middle",100.0
"Stamford School District",="1350011","Dolan School",="1355311","Middle",100.0
"Stamford School District",="1350011","Hart School",="1352211","Middle",100.0
"Stamford School District",="1350011","Julia A. Stark School",="1351211","Middle",100.0
"Stamford School District",="1350011","K. T. Murphy School",="1350511","Middle",100.0
"Stamford School District",="1350011","Newfield School",="1350611","Middle",100.0
"Stamford School District",="1350011","Northeast School",="1351811","Middle",100.0
"Stamford School District",="1350011","Preschool Team",="1358011","Low",100.0
"Stamford School District",="1350011","Rippowam Middle School",="1355811","Middle",100.0
"Stamford School District",="1350011","Rogers International School",="1350811","Middle",100.0
"Stamford School District",="1350011","Roxbury School",="1350911","Middle",100.0
"Stamford School District",="1350011","Scofield Middle School",="1355711","Middle",100.0
"Stamford School District",="1350011","Springdale School",="1351111","Middle",100.0
"Stamford School District",="1350011","Stamford High School",="1356111","Middle",100.0
"Stamford School District",="1350011","Stillmeadow School",="1352111","Middle",100.0
"Stamford School District",="1350011","The Academy of Information Technology",="1356411","Middle",100.0
"Stamford School District",="1350011","Toquam Magnet School",="1351911","High",95.0
"Stamford School District",="1350011","Turn of River School",="1355511","Middle",100.0
"Stamford School District",="1350011","Westhill High School",="1356311","Middle",100.0
"Stamford School District",="1350011","Westover School",="1351411","Middle",99.1
"Sterling School District",="1360011","Sterling Community School",="1360311","Middle",94.3
"Stonington School District",="1370011","Deans Mill School",="1370511","Low",100.0
"Stonington School District",="1370011","Mystic Middle School",="1375211","Low",94.1
"Stonington School District",="1370011","Pawcatuck Middle School",="1375111","Middle",95.6
"Stonington School District",="1370011","Stonington High School",="1376111","Middle",98.1
"Stonington School District",="1370011","West Broad Street School",="1370411","Middle",89.8
"Stonington School District",="1370011","West Vine Street School",="1370611","Middle",94.0
"Stratford School District",="1380011","Eli Whitney School",="1381311","Middle",100.0
"Stratford School District",="1380011","Bunnell High School",="1386211","Middle",100.0
"Stratford School District",="1380011","Chapel School",="1380311","Middle",100.0
"Stratford School District",="1380011","David Wooster Middle School",="1385211","Middle",100.0
"Stratford School District",="1380011","Franklin School",="1380411","High",100.0
"Stratford School District",="1380011","Harry B. Flood Middle School",="1385311","Middle",100.0
"Stratford School District",="1380011","Honeyspot School",="1381611","Middle",100.0
"Stratford School District",="1380011","Lordship School",="1380811","Middle",100.0
"Stratford School District",="1380011","Nichols School",="1380911","Middle",100.0
"Stratford School District",="1380011","Second Hill Lane School",="1381011","Middle",100.0
"Stratford School District",="1380011","Stratford Academy - Johnson House",="1381511","Middle",100.0
"Stratford School District",="1380011","Stratford High School",="1386111","Middle",100.0
"Stratford School District",="1380011","Wilcoxson School",="1381411","Middle",100.0
"Suffield School District",="1390011","A. Ward Spaulding School",="1390411","Low",100.0
"Suffield School District",="1390011","McAlister Intermediate School",="1390311","Low",100.0
"Suffield School District",="1390011","Suffield High School",="1396111","Low",99.0
"Suffield School District",="1390011","Suffield Middle School",="1395111","Low",98.0
"The Bridge Academy District",="2690013","The Bridge Academy",="2696113","High",100.0
"The Gilbert School District",="9020022","The Gilbert School",="9026122","Middle",99.0
"Thomaston School District",="1400011","Black Rock School",="1400111","Middle",100.0
"Thomaston School District",="1400011","Thomaston Center School",="1400211","Middle",100.0
"Thomaston School District",="1400011","Thomaston High School",="1406211","Middle",100.0
"Thompson School District",="1410011","Mary R. Fisher Elementary School",="1410111","Middle",92.1
"Thompson School District",="1410011","Thompson Middle School",="1415111","Middle",100.0
"Thompson School District",="1410011","Tourtellotte Memorial High School",="1416111","Middle",95.4
"Tolland School District",="1420011","Birch Grove Primary School",="1420111","Low",100.0
"Tolland School District",="1420011","Tolland High School",="1426111","Low",100.0
"Tolland School District",="1420011","Tolland Intermediate School",="1420211","Low",100.0
"Tolland School District",="1420011","Tolland Middle School",="1425111","Low",100.0
"Torrington School District",="1430011","East School",="1430111","Middle",100.0
"Torrington School District",="1430011","Even Start Young Parent",="1431011","Middle",100.0
"Torrington School District",="1430011","Forbes School",="1430211","High",100.0
"Torrington School District",="1430011","Southwest School",="1430811","Middle",100.0
"Torrington School District",="1430011","Torringford School",="1430911","Middle",100.0
"Torrington School District",="1430011","Torrington High School",="1436111","Middle",100.0
"Torrington School District",="1430011","Torrington Middle School",="1435111","Middle",99.7
"Torrington School District",="1430011","Vogel-Wetmore / Reach",="1431711","Middle",100.0
"Torrington School District",="1430011","Vogel-Wetmore School",="1431311","High",100.0
"Torrington School District",="1430011","Voices / Vogel-Wetmore",="1432011","Middle",100.0
"Trailblazers Academy District",="2780013","Trailblazers Academy",="2785113","High",92.3
"Trumbull School District",="1440011","Booth Hill School",="1440111","Low",100.0
"Trumbull School District",="1440011","Daniels Farm School",="1440811","Low",100.0
"Trumbull School District",="1440011","Frenchtown Elementary School",="1441011","Low",100.0
"Trumbull School District",="1440011","Hillcrest Middle School",="1445211","Low",100.0
"Trumbull School District",="1440011","Jane Ryan School",="1440411","Low",100.0
"Trumbull School District",="1440011","Madison Middle School",="1445111","Low",99.1
"Trumbull School District",="1440011","Middlebrook School",="1440311","Middle",100.0
"Trumbull School District",="1440011","Tashua School",="1440911","Low",100.0
"Trumbull School District",="1440011","Trumbull Alternative School",="1440211","Middle",100.0
"Trumbull School District",="1440011","Trumbull Early Childhood Education Center",="1448011","Low",100.0
"Trumbull School District",="1440011","Trumbull High School",="1446111","Low",100.0
"Unified School District #2",="3470015","Children's Place School",="3470115","High",100.0
"Unified School District #2",="3470015","Riverview School",="3470315","High",100.0
"Unified School District #2",="3470015","Walter G. Cady School",="3476715","High",96.6
"Union School District",="1450011","Union Elementary School",="1450111","Low",100.0
"Vernon School District",="1460011","Northeast School",="1460311","Middle",100.0
"Vernon School District",="1460011","Center Road School",="1461411","Middle",100.0
"Vernon School District",="1460011","Lake Street School",="1460111","Middle",100.0
"Vernon School District",="1460011","Loveland Hill School",="1460511","Low",100.0
"Vernon School District",="1460011","Maple Street School",="1460211","High",100.0
"Vernon School District",="1460011","Rockville High School",="1466111","Middle",100.0
"Vernon School District",="1460011","Skinner Road School",="1461011","Middle",90.8
"Vernon School District",="1460011","Vernon Center Middle School",="1465111","Middle",100.0
"Voluntown School District",="1470011","Voluntown Elementary School",="1470111","Middle",100.0
"Wallingford School District",="1480011","Highland School",="1480211","Low",100.0
"Wallingford School District",="1480011","A.R.T.S. Academy",="1489011","Middle",100.0
"Wallingford School District",="1480011","Cook Hill School",="1481011","Middle",100.0
"Wallingford School District",="1480011","Dag Hammarskjold Middle School",="1485211","Middle",100.0
"Wallingford School District",="1480011","Education Enhancement Program",="1480511","Middle",100.0
"Wallingford School District",="1480011","Evarts C. Stevens School",="1480911","Middle",100.0
"Wallingford School District",="1480011","Harvest Park",="1489211","Middle",100.0
"Wallingford School District",="1480011","James H. Moran Middle School",="1485311","Middle",100.0
"Wallingford School District",="1480011","Lyman Hall High School",="1486111","Middle",98.5
"Wallingford School District",="1480011","Mark T. Sheehan High School",="1486211","Middle",100.0
"Wallingford School District",="1480011","Moses Y. Beach School",="1480111","Middle",100.0
"Wallingford School District",="1480011","Parker Farms School",="1480311","Middle",100.0
"Wallingford School District",="1480011","Pond Hill School",="1481211","Middle",100.0
"Wallingford School District",="1480011","Rock Hill School",="1480411","Middle",100.0
"Wallingford School District",="1480011","Yalesville School",="1480811","Low",100.0
"Waterbury School District",="1510011","West Side Middle School",="1515211","High",100.0
"Waterbury School District",="1510011","Washington School",="1512311","High",97.8
"Waterbury School District",="1510011","B. W. Tinker School",="1512111","High",100.0
"Waterbury School District",="1510011","Bucks Hill School",="1510511","High",100.0
"Waterbury School District",="1510011","Bunker Hill School",="1510611","High",98.5
"Waterbury School District",="1510011","Carrington School",="1512711","High",100.0
"Waterbury School District",="1510011","Crosby High School",="1516211","High",100.0
"Waterbury School District",="1510011","Driggs School",="1510911","High",100.0
"Waterbury School District",="1510011","Duggan School",="1511611","High",100.0
"Waterbury School District",="1510011","Enlightenment School",="1519111","High",100.0
"Waterbury School District",="1510011","F. J. Kingsbury School",="1511411","High",100.0
"Waterbury School District",="1510011","Gilmartin School",="1512611","High",94.0
"Waterbury School District",="1510011","H. S. Chase School",="1510711","High",100.0
"Waterbury School District",="1510011","Hopeville School",="1511311","High",98.6
"Waterbury School District",="1510011","John F. Kennedy High School",="1516411","High",100.0
"Waterbury School District",="1510011","Maloney Interdistrict Magnet School",="1513111","Middle",92.3
"Waterbury School District",="1510011","Margaret M. Generali Elementary School",="1511111","High",100.0
"Waterbury School District",="1510011","Michael F. Wallace Middle School",="1515111","High",97.4
"Waterbury School District",="1510011","North End Middle School",="1515311","High",100.0
"Waterbury School District",="1510011","Reed School",="1513411","High",93.9
"Waterbury School District",="1510011","Regan School",="1512811","High",100.0
"Waterbury School District",="1510011","Rotella Interdistrict Magnet School",="1513311","Middle",100.0
"Waterbury School District",="1510011","Sprague School",="1512011","High",92.6
"Waterbury School District",="1510011","State Street School",="1519011","High",100.0
"Waterbury School District",="1510011","Walsh School",="1512211","High",98.8
"Waterbury School District",="1510011","Waterbury Arts Magnet School (High)",="1516011","Middle",100.0
"Waterbury School District",="1510011","Waterbury Arts Magnet School (Middle)",="1515011","Middle",100.0
"Waterbury School District",="1510011","Waterbury Career Academy",="1516711","High",100.0
"Waterbury School District",="1510011","Wendell L. Cross School",="1510811","Middle",100.0
"Waterbury School District",="1510011","Wilby High School",="1516311","High",92.2
"Waterbury School District",="1510011","Woodrow Wilson School",="1513211","High",100.0
"Waterford School District",="1520011","Clark Lane Middle School",="1525111","Middle",100.0
"Waterford School District",="1520011","Great Neck Elementary School",="1520211","Middle",100.0
"Waterford School District",="1520011","Oswegatchie Elementary School",="1520611","Middle",100.0
"Waterford School District",="1520011","Quaker Hill Elementary School",="1520711","Middle",100.0
"Waterford School District",="1520011","Waterford High School",="1526111","Middle",100.0
"Watertown School District",="1530011","Fletcher W. Judson School",="1530311","Middle",100.0
"Watertown School District",="1530011","John Trumbull Primary School",="1530211","Middle",100.0
"Watertown School District",="1530011","Polk School",="1530411","Middle",100.0
"Watertown School District",="1530011","Swift Middle School",="1535111","Middle",100.0
"Watertown School District",="1530011","Watertown High School",="1536111","Middle",98.2
"West Hartford School District",="1550011","Smith School",="1551711","Middle",100.0
"West Hartford School District",="1550011","Aiken School",="1551611","Low",100.0
"West Hartford School District",="1550011","Braeburn School",="1550211","Low",100.0
"West Hartford School District",="1550011","Bristow Middle School",="1555311","Middle",100.0
"West Hartford School District",="1550011","Bugbee School",="1550411","Low",100.0
"West Hartford School District",="1550011","Charter Oak International Academy",="1550511","Middle",100.0
"West Hartford School District",="1550011","Conard High School",="1556111","Middle",100.0
"West Hartford School District",="1550011","Duffy School",="1550611","Low",100.0
"West Hartford School District",="1550011","Hall High School",="1556211","Middle",100.0
"West Hartford School District",="1550011","King Philip Middle School",="1555111","Middle",100.0
"West Hartford School District",="1550011","Morley School",="1550911","Low",100.0
"West Hartford School District",="1550011","Norfeldt School",="1551011","Low",100.0
"West Hartford School District",="1550011","Sedgwick Middle School",="1555211","Middle",100.0
"West Hartford School District",="1550011","Strive-West Hartford",="1559211","High",100.0
"West Hartford School District",="1550011","Webster Hill School",="1551211","Middle",100.0
"West Hartford School District",="1550011","Whiting Lane School",="1551311","Middle",98.8
"West Hartford School District",="1550011","Wolcott School",="1551511","Middle",100.0
"West Haven School District",="1560011","Washington School",="1561211","High",97.0
"West Haven School District",="1560011","Alma E. Pagels School",="1560811","Middle",100.0
"West Haven School District",="1560011","Carrigan 5/6 Intermediate School",="1565311","Middle",100.0
"West Haven School District",="1560011","Edith E. Mackrille School",="1560611","Middle",100.0
"West Haven School District",="1560011","Forest School",="1560311","High",100.0
"West Haven School District",="1560011","Harry M. Bailey Middle School",="1565111","Middle",100.0
"West Haven School District",="1560011","Life Skills",="1560111","High",100.0
"West Haven School District",="1560011","Savin Rock Community School",="1561411","High",100.0
"West Haven School District",="1560011","Seth G. Haley School",="1560411","Middle",100.0
"West Haven School District",="1560011","West Haven High School",="1566111","Middle",100.0
"Westbrook School District",="1540011","Daisy Ingraham School",="1540211","Middle",100.0
"Westbrook School District",="1540011","Westbrook High School",="1546111","Low",97.9
"Westbrook School District",="1540011","Westbrook Middle School",="1545111","Low",100.0
"Weston School District",="1570011","Hurlbutt Elementary School",="1570111","Low",100.0
"Weston School District",="1570011","Weston High School",="1576111","Low",100.0
"Weston School District",="1570011","Weston Intermediate School",="1570211","Low",100.0
"Weston School District",="1570011","Weston Middle School",="1575111","Low",100.0
"Westport School District",="1580011","Bedford Middle School",="1585111","Low",97.5
"Westport School District",="1580011","Coleytown Elementary School",="1580311","Low",98.8
"Westport School District",="1580011","Coleytown Middle School",="1585311","Low",99.1
"Westport School District",="1580011","Green's Farms School",="1580411","Low",100.0
"Westport School District",="1580011","King's Highway Elementary School",="1580511","Low",100.0
"Westport School District",="1580011","Long Lots School",="1580711","Low",100.0
"Westport School District",="1580011","Saugatuck Elementary School",="1580811","Low",100.0
"Westport School District",="1580011","Staples High School",="1586111","Low",99.8
"Wethersfield School District",="1590011","Alfred W. Hanmer School",="1590811","Middle",100.0
"Wethersfield School District",="1590011","Charles Wright School",="1591011","Middle",100.0
"Wethersfield School District",="1590011","Emerson-Williams School",="1590211","Middle",90.4
"Wethersfield School District",="1590011","Highcrest School",="1591111","Middle",100.0
"Wethersfield School District",="1590011","Samuel B. Webb Elementary School",="1591211","Middle",100.0
"Wethersfield School District",="1590011","Silas Deane Middle School",="1595211","Middle",100.0
"Wethersfield School District",="1590011","Wethersfield High School",="1596111","Middle",98.6
"Willington School District",="1600011","Center School",="1600111","Middle",100.0
"Willington School District",="1600011","Hall Memorial School",="1605111","Middle",100.0
"Wilton School District",="1610011","Middlebrook School",="1615211","Low",100.0
"Wilton School District",="1610011","Cider Mill School",="1610711","Low",100.0
"Wilton School District",="1610011","Miller-Driscoll School",="1610511","Low",100.0
"Wilton School District",="1610011","Wilton High School",="1616111","Low",100.0
"Winchester School District",="1620011","Batcheller Early Education Center",="1620411","Middle",100.0
"Winchester School District",="1620011","Mary P. Hinsdale School",="1620211","Middle",100.0
"Winchester School District",="1620011","Pearson Middle School",="1625111","Middle",100.0
"Winchester School District",="1620011","WISE Academy",="1620111","Low",100.0
"Windham School District",="1630011","Charles H. Barrows STEM Academy",="1630411","Middle",98.8
"Windham School District",="1630011","Natchaug School",="1630111","High",100.0
"Windham School District",="1630011","North Windham School",="1630311","High",90.0
"Windham School District",="1630011","W. B. Sweeney School",="1630611","High",96.6
"Windham School District",="1630011","Windham Center School",="1630511","High",89.4
"Windham School District",="1630011","Windham Early Childhood Prospect Street",="1638311","High",100.0
"Windham School District",="1630011","Windham High School",="1636111","High",97.6
"Windham School District",="1630011","Windham Middle School",="1635111","High",97.9
"Windsor Locks School District",="1650011","North Street School",="1650111","Middle",100.0
"Windsor Locks School District",="1650011","Pine Meadow Academy",="1650611","Middle",100.0
"Windsor Locks School District",="1650011","RISE Transition Academy",="1650211","High",0.0
"Windsor Locks School District",="1650011","South Elementary School",="1650411","Middle",100.0
"Windsor Locks School District",="1650011","Windsor Locks High School",="1656111","Middle",100.0
"Windsor Locks School District",="1650011","Windsor Locks Middle School",="1655111","Middle",96.9
"Windsor School District",="1640011","Clover Street School",="1640111","Middle",100.0
"Windsor School District",="1640011","John F. Kennedy School",="1640811","Middle",100.0
"Windsor School District",="1640011","Oliver Ellsworth School",="1640911","Middle",90.7
"Windsor School District",="1640011","Poquonock Elementary School",="1640511","Middle",100.0
"Windsor School District",="1640011","Sage Park Middle School",="1645311","Middle",97.1
"Windsor School District",="1640011","Windsor High School",="1646111","Middle",100.0
"Wolcott School District",="1660011","Alcott School",="1660611","Low",100.0
"Wolcott School District",="1660011","Frisbie School",="1660211","Middle",100.0
"Wolcott School District",="1660011","Tyrrell Middle School",="1665111","Middle",100.0
"Wolcott School District",="1660011","Wakelee School",="1660511","Middle",100.0
"Wolcott School District",="1660011","Wolcott High School",="1666111","Middle",100.0
"Woodbridge School District",="1670011","Beecher Road School",="1670311","Low",98.6
"Woodstock Academy District",="9030022","Woodstock Academy",="9036122","Low",100.0
"Woodstock School District",="1690011","Woodstock Elementary School",="1690211","Middle",100.0
"Woodstock School District",="1690011","Woodstock Middle School",="1695111","Middle",100.0

